x_m,y_m
0.370000,5.610000
0.370403,5.559799
0.370805,5.509597
0.371208,5.459396
0.371611,5.409195
0.372013,5.358993
0.372416,5.308792
0.372819,5.258591
0.373221,5.208389
0.373624,5.158188
0.374027,5.107987
0.374430,5.057785
0.374832,5.007584
0.375235,4.957383
0.375638,4.907181
0.376040,4.856980
0.376443,4.806779
0.376846,4.756577
0.377248,4.706376
0.377651,4.656174
0.378054,4.605973
0.378456,4.555772
0.378859,4.505570
0.379262,4.455369
0.379664,4.405168
0.380067,4.354966
0.380470,4.304765
0.380872,4.254564
0.381275,4.204362
0.381678,4.154161
0.382081,4.103960
0.382483,4.053758
0.382886,4.003557
0.383289,3.953356
0.383691,3.903154
0.384094,3.852953
0.384497,3.802752
0.384899,3.752550
0.385302,3.702349
0.385705,3.652148
0.386107,3.601946
0.386510,3.551745
0.386913,3.501544
0.387315,3.451342
0.387718,3.401141
0.388121,3.350940
0.388523,3.300738
0.388926,3.250537
0.389329,3.200336
0.389732,3.150134
0.390134,3.099933
0.390537,3.049732
0.390940,2.999530
0.391342,2.949329
0.391745,2.899128
0.392148,2.848926
0.392550,2.798725
0.392953,2.748523
0.393356,2.698322
0.393758,2.648121
0.394161,2.597919
0.394564,2.547718
0.394966,2.497517
0.395369,2.447315
0.395772,2.397114
0.396174,2.346913
0.396577,2.296711
0.396980,2.246510
0.397383,2.196309
0.397785,2.146107
0.398188,2.095906
0.398591,2.045705
0.398993,1.995503
0.399396,1.945302
0.399799,1.895101
0.400201,1.844899
0.400604,1.794698
0.401007,1.744497
0.401409,1.694295
0.401812,1.644094
0.402215,1.593893
0.402617,1.543691
0.403020,1.493490
0.403423,1.443289
0.403826,1.393087
0.404228,1.342886
0.404631,1.292685
0.405034,1.242483
0.405436,1.192282
0.405839,1.142081
0.406242,1.091879
0.406644,1.041678
0.407047,0.991477
0.407450,0.941275
0.407852,0.891074
0.408255,0.840872
0.408658,0.790671
0.409060,0.740470
0.409463,0.690268
0.409866,0.640067
0.410268,0.589866
0.410671,0.539664
0.411074,0.489463
0.411477,0.439262
0.411879,0.389060
0.412282,0.338859
0.412685,0.288658
0.413087,0.238456
0.413490,0.188255
0.413893,0.138054
0.414295,0.087852
0.414698,0.037651
0.415101,-0.012550
0.415503,-0.062752
0.415906,-0.112953
0.416309,-0.163154
0.416711,-0.213356
0.417114,-0.263557
0.417517,-0.313758
0.417919,-0.363960
0.418322,-0.414161
0.418725,-0.464362
0.419128,-0.514564
0.419530,-0.564765
0.419933,-0.614966
0.420336,-0.665168
0.420738,-0.715369
0.421141,-0.765570
0.421544,-0.815772
0.421946,-0.865973
0.422349,-0.916174
0.422752,-0.966376
0.423154,-1.016577
0.423557,-1.066779
0.423960,-1.116980
0.424362,-1.167181
0.424765,-1.217383
0.425168,-1.267584
0.425570,-1.317785
0.425973,-1.367987
0.426376,-1.418188
0.426779,-1.468389
0.427181,-1.518591
0.427584,-1.568792
0.427987,-1.618993
0.428389,-1.669195
0.428792,-1.719396
0.429195,-1.769597
0.429597,-1.819799
0.430000,-1.870000
