# 0e5ca390-b405-4c7e-a435-f6200aa4b3b9
# 1f33121d91b7f0e49544594bef0353728ab6343b
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.4488928; -0.8874377; -1.7920271; 0.1545213; 6.5682260; 3.4355217
0.0997548; -2.3514226; -0.9085824; -1.7769149; 0.1485114; 6.6201973; 3.4917892
0.1995097; -2.2536180; -0.9282873; -1.7623983; 0.1424984; 6.6726050; 3.5553729
0.2992645; -2.1555809; -0.9465918; -1.7484541; 0.1371364; 6.7255475; 3.5946329
0.3990194; -2.0572585; -0.9635612; -1.7350381; 0.1317859; 6.7786543; 3.6409405
0.4987742; -1.9587682; -0.9792291; -1.7221617; 0.1264446; 6.8320243; 3.6942999
0.5985291; -1.8600385; -0.9936608; -1.7098107; 0.1211312; 6.8857538; 3.7536821
0.6982839; -1.7611923; -1.0068915; -1.6979879; 0.1159730; 6.9399208; 3.8123131
0.7980388; -1.6621475; -1.0189841; -1.6866724; 0.1108429; 6.9945046; 0.3854722
0.8977936; -1.5630271; -1.0299749; -1.6758691; 0.1058160; 7.0000000; 0.0000000
0.9975485; -1.4637438; -1.0399241; -1.6655603; 0.1008227; 7.0000000; 0.0000000
1.0973033; -1.3644165; -1.0488696; -1.6557487; 0.0959472; 7.0000000; 0.0000000
1.1970582; -1.2649579; -1.0568679; -1.6464171; 0.0911052; 7.0000000; 0.0000000
1.2968130; -1.1654787; -1.0639585; -1.6375678; 0.0863624; 7.0000000; 0.0000000
1.3965679; -1.0658960; -1.0701947; -1.6291861; 0.0816553; 7.0000000; 0.0000000
1.4963227; -0.9663089; -1.0756170; -1.6212707; 0.0770786; 7.0000000; 0.0000000
1.5960776; -0.8666426; -1.0802753; -1.6138073; 0.0725424; 7.0000000; 0.0000000
1.6958324; -0.7669820; -1.0842104; -1.6067874; 0.0682292; 7.0000000; 0.0000000
1.7955873; -0.6672636; -1.0874683; -1.6001943; 0.0639268; 7.0000000; 0.0000000
1.8953421; -0.5675560; -1.0900896; -1.5940409; 0.0594618; 7.0000000; 0.0000000
1.9950970; -0.4678087; -1.0921200; -1.5883303; 0.0550637; 7.0000000; 0.0000000
2.0948518; -0.3680732; -1.0936010; -1.5830204; 0.0514061; 7.0000000; 0.0000000
2.1946067; -0.2683143; -1.0945708; -1.5780738; 0.0477564; 7.0000000; 0.0000000
2.2943615; -0.1685651; -1.0950654; -1.5734982; 0.0439859; 7.0000000; 0.0000000
2.3941164; -0.0688055; -1.0951223; -1.5692983; 0.0400736; 7.0000000; 0.0000000
2.4938712; 0.0309474; -1.0947842; -1.5656254; 0.0335659; 7.0000000; 0.0000000
2.5936261; 0.1307015; -1.0941122; -1.5626014; 0.0270477; 7.0000000; 0.0000000
2.6933809; 0.2304520; -1.0931715; -1.5602436; 0.0202249; 7.0000000; 0.0000000
2.7931357; 0.3302003; -1.0920295; -1.5585663; 0.0134130; 7.0000000; 0.0000000
2.8928906; 0.4299487; -1.0907537; -1.5575569; 0.0068250; 7.0000000; 0.0000000
2.9926454; 0.5296929; -1.0894100; -1.5572045; 0.0002914; 7.0000000; 0.0000000
3.0924003; 0.6294410; -1.0880615; -1.5574394; -0.0050006; 7.0000000; 0.0000000
3.1921551; 0.7291847; -1.0867628; -1.5582016; -0.0099706; 7.0000000; 0.0000000
3.2919100; 0.8289315; -1.0855508; -1.5590386; -0.0068099; 7.0000000; 0.0000000
3.3916648; 0.9286803; -1.0844066; -1.5595600; -0.0035566; 7.0000000; 0.0000000
3.4914197; 1.0284271; -1.0832938; -1.5596243; 0.0022675; 7.0000000; 0.0000000
3.5911745; 1.1281775; -1.0821584; -1.5591077; 0.0080873; 7.0000000; 0.0000000
3.6909294; 1.2279243; -1.0809427; -1.5580159; 0.0138020; 7.0000000; 0.0000000
3.7906842; 1.3276706; -1.0795897; -1.5563540; 0.0195148; 7.0000000; 0.0000000
3.8904391; 1.4274128; -1.0780426; -1.5541257; 0.0251619; 7.0000000; 0.0000000
3.9901939; 1.5271520; -1.0762452; -1.5513340; 0.0308085; 7.0000000; 0.0000000
4.0899488; 1.6268839; -1.0741412; -1.5479785; 0.0364670; 7.0000000; 0.0000000
4.1897036; 1.7266090; -1.0716744; -1.5440585; 0.0421256; 7.0000000; 0.0000000
4.2894585; 1.8263216; -1.0687887; -1.5395750; 0.0477655; 7.0000000; 0.0000000
4.3892133; 1.9260201; -1.0654278; -1.5345287; 0.0534001; 7.0000000; 0.0000000
4.4889682; 2.0256993; -1.0615367; -1.5289459; 0.0585320; 7.0000000; 0.0000000
4.5887230; 2.1253533; -1.0570637; -1.5228509; 0.0636605; 7.0000000; 0.0000000
4.6884779; 2.2249790; -1.0519592; -1.5162883; 0.0679120; 7.0000000; 0.0000000
4.7882327; 2.3245644; -1.0461802; -1.5093015; 0.0721757; 7.0000000; 0.0000000
4.8879876; 2.4241104; -1.0396826; -1.5018468; 0.0772815; 7.0000000; 0.0000000
4.9877424; 2.5235969; -1.0324183; -1.4938828; 0.0823977; 7.0000000; 0.0000000
5.0874973; 2.6230284; -1.0243356; -1.4854025; 0.0876191; 7.0000000; 0.0000000
5.1872521; 2.7223756; -1.0153851; -1.4764014; 0.0928563; 7.0000000; 0.0000000
5.2870069; 2.8216472; -1.0055135; -1.4668747; 0.0981368; 7.0000000; 0.0000000
5.3867618; 2.9208041; -0.9946720; -1.4568216; 0.1034368; 7.0000000; 0.0000000
5.4865166; 3.0198583; -0.9828061; -1.4462325; 0.1088534; 7.0000000; 0.0000000
5.5862715; 3.1187619; -0.9698673; -1.4351036; 0.1142927; 7.0000000; -1.9439194
5.6860263; 3.2175285; -0.9557992; -1.4234222; 0.1198931; 6.9722428; -3.5985881
5.7857812; 3.3161016; -0.9405536; -1.4111829; 0.1255226; 6.9205647; -3.5387787
5.8855360; 3.4144954; -0.9240725; -1.3984044; 0.1306485; 6.8693664; -3.4840340
5.9852909; 3.5126457; -0.9063142; -1.3851161; 0.1358027; 6.8185847; -3.3983486
6.0850457; 3.6105666; -0.8872229; -1.3712757; 0.1416717; 6.7686848; -3.3163584
6.1848006; 3.7081872; -0.8667540; -1.3568503; 0.1475787; 6.7196315; -3.2378258
6.2845554; 3.8055158; -0.8448456; -1.3418310; 0.1535248; 6.6713919; -3.1625400
6.3843103; 3.9024780; -0.8214540; -1.3262194; 0.1595113; 6.6239348; -3.0908831
6.4840651; 3.9990746; -0.7965177; -1.3100062; 0.1655273; 6.5772222; -3.0219367
6.5838200; 4.0952277; -0.7699949; -1.2931936; 0.1715897; 6.5312285; -2.9544372
6.6835748; 4.1909302; -0.7418251; -1.2757698; 0.1777231; 6.4859469; -2.8891351
6.7833297; 4.2861016; -0.7119682; -1.2577345; 0.1839083; 6.4413583; -2.8253577
6.8830845; 4.3807242; -0.6803655; -1.2390763; 0.1901578; 6.3974534; -2.7632347
6.9828394; 4.4747168; -0.6469784; -1.2197942; 0.1964662; 6.3542205; -2.7012074
7.0825942; 4.5680482; -0.6117514; -1.1998762; 0.2028666; 6.3116718; -2.6402436
7.1823491; 4.6606383; -0.5746467; -1.1793182; 0.2093328; 6.2698044; -2.5775073
7.2821039; 4.7524400; -0.5356139; -1.1581075; 0.2159287; 6.2286603; -2.5151250
7.3818588; 4.8433754; -0.4946147; -1.1362360; 0.2225975; 6.1882483; -2.4457913
7.4816136; 4.9333786; -0.4516060; -1.1136870; 0.2295126; 6.1486957; -2.3756710
7.5813685; 5.0223761; -0.4065468; -1.0904433; 0.2365087; 6.1100318; -2.2939322
7.6811233; 5.1102791; -0.3594037; -1.0664866; 0.2438497; 6.0724647; -2.2093643
7.7808782; 5.1970192; -0.3101309; -1.0417897; 0.2512890; 6.0360614; -2.0981517
7.8806330; 5.2824821; -0.2587073; -1.0163204; 0.2594262; 6.0012862; -1.9697411
7.9803878; 5.3666041; -0.2050776; -0.9900284; 0.2676663; 5.9684549; -1.8050268
8.0801427; 5.4492425; -0.1492345; -0.9628798; 0.2767549; 5.9382096; -1.6254922
8.1798975; 5.5303309; -0.0911148; -0.9348067; 0.2860388; 5.9108402; -1.4029991
8.2796524; 5.6097003; -0.0307249; -0.9057725; 0.2962116; 5.8871147; -1.1601497
8.3794072; 5.6872811; 0.0320081; -0.8757056; 0.3065245; 5.8674235; -0.7989500
8.4791621; 5.7628795; 0.0970648; -0.8444885; 0.3195387; 5.8538244; -0.3860137
8.5789169; 5.8363860; 0.1645166; -0.8119353; 0.3330484; 5.8472427; -0.1800016
8.6786718; 5.9075972; 0.2343433; -0.7783828; 0.3397779; 5.8441710; -0.0761581
8.7784266; 5.9764240; 0.3065670; -0.7441441; 0.3465451; 5.8428709; -0.0761242
8.8781815; 6.0426942; 0.3810985; -0.7093685; 0.3509221; 5.8415711; -0.0760904
8.9779363; 6.1063364; 0.4579301; -0.6741064; 0.3560196; 5.8402716; -0.0760565
9.0776912; 6.1672111; 0.5369488; -0.6388004; 0.3519420; 5.8389724; -0.0760227
9.1774460; 6.2252764; 0.6180587; -0.6038709; 0.3484539; 5.8376734; -0.0759889
9.2772009; 6.2804917; 0.7011432; -0.5692835; 0.3450189; 5.8363748; -0.0760240
9.3769557; 6.3328061; 0.7860643; -0.5350183; 0.3421190; 5.8350752; -0.1447143
9.4767106; 6.3822043; 0.8727429; -0.5010080; 0.3397209; 5.8326007; -0.2390659
9.5764654; 6.4286217; 0.9610169; -0.4672249; 0.3377915; 5.8285105; -0.3242317
9.6762203; 6.4720566; 1.0508395; -0.4336372; 0.3355263; 5.8229587; -0.4312027
9.7759751; 6.5124426; 1.1420237; -0.4002682; 0.3337257; 5.8155669; -0.5317716
9.8757300; 6.5497908; 1.2345504; -0.3670548; 0.3320450; 5.8064382; -0.6387990
9.9754848; 6.5840336; 1.3282076; -0.3340071; 0.3308030; 5.7954532; -0.7412349
10.0752397; 6.6151874; 1.4230047; -0.3010422; 0.3299517; 5.7826806; -0.8404658
10.1749945; 6.6431849; 1.5187093; -0.2681651; 0.3295018; 5.7681638; -0.9356544
10.2747494; 6.6680406; 1.6153551; -0.2352924; 0.3293752; 5.7519598; -1.0297677
10.3745042; 6.6896900; 1.7126861; -0.2024364; 0.3297052; 5.7340730; -1.1172817
10.4742591; 6.7081426; 1.8107592; -0.1695102; 0.3302041; 5.7146027; -1.2083326
10.5740139; 6.7233418; 1.9093011; -0.1365465; 0.3310276; 5.6934709; -1.2968907
10.6737687; 6.7352900; 2.0083768; -0.1034743; 0.3318218; 5.6707026; -1.3964024
10.7735236; 6.7439450; 2.1077089; -0.0703312; 0.3330176; 5.6460847; -1.4943543
10.8732784; 6.7493000; 2.2073638; -0.0370046; 0.3349173; 5.6196205; -1.5804459
10.9730333; 6.7513208; 2.3070465; -0.0034941; 0.3373572; 5.5914953; -1.6600400
