# 61c9a4e0-42cb-4def-8cc7-fd9433b8fe3a
# 520b0e7adf9ae2f693188b6d864b326c3aee9afa
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.4488928; -0.8874377; -1.7920271; 0.1545213; 5.4433910; 2.8082082
0.0997548; -2.3514226; -0.9085824; -1.7769149; 0.1485114; 5.4946129; 2.8682445
0.1995097; -2.2536180; -0.9282873; -1.7623983; 0.1424984; 5.5464415; 2.9349937
0.2992645; -2.1555809; -0.9465918; -1.7484541; 0.1371364; 5.5989796; 2.9822860
0.3990194; -2.0572585; -0.9635612; -1.7350381; 0.1317859; 5.6518641; 3.0359768
0.4987742; -1.9587682; -0.9792291; -1.7221617; 0.1264446; 5.7051972; 3.0961623
0.5985291; -1.8600385; -0.9936608; -1.7098107; 0.1211312; 5.7590788; 3.1620774
0.6982839; -1.7611923; -1.0068915; -1.6979879; 0.1159730; 5.8135922; 3.2281173
0.7980388; -1.6621475; -1.0189841; -1.6866724; 0.1108429; 5.8687217; 3.3000256
0.8977936; -1.5630271; -1.0299749; -1.6758691; 0.1058160; 5.9245491; 3.3743843
0.9975485; -1.4637438; -1.0399241; -1.6655603; 0.1008227; 5.9810956; 3.4545814
1.0973033; -1.3644165; -1.0488696; -1.6557487; 0.0959472; 6.0384375; 3.5365985
1.1970582; -1.2649579; -1.0568679; -1.6464171; 0.0911052; 6.0965820; 3.6247678
1.2968130; -1.1654787; -1.0639585; -1.6375678; 0.0863624; 6.1556063; 3.7158530
1.3965679; -1.0658960; -1.0701947; -1.6291861; 0.0816553; 6.2155320; 3.8133858
1.4963227; -0.9663089; -1.0756170; -1.6212707; 0.0770786; 6.2764357; 3.9123703
1.5960776; -0.8666426; -1.0802753; -1.6138073; 0.0725424; 6.3383121; 4.0180083
1.6958324; -0.7669820; -1.0842104; -1.6067874; 0.0682292; 6.4012368; 4.1198498
1.7955873; -0.6672636; -1.0874683; -1.6001943; 0.0639268; 6.4651205; 4.2305609
1.8953421; -0.5675560; -1.0900896; -1.5940409; 0.0594618; 6.5300705; 4.3614631
1.9950970; -0.4678087; -1.0921200; -1.5883303; 0.0550637; 6.5963607; 4.4989297
2.0948518; -0.3680732; -1.0936010; -1.5830204; 0.0514061; 6.6640494; 4.5983909
2.1946067; -0.2683143; -1.0945708; -1.5780738; 0.0477564; 6.7325313; 4.7078173
2.2943615; -0.1685651; -1.0950654; -1.5734982; 0.0439859; 6.8019287; 4.8368957
2.3941164; -0.0688055; -1.0951223; -1.5692983; 0.0400736; 6.8724989; 4.9884559
2.4938712; 0.0309474; -1.0947842; -1.5656254; 0.0335659; 6.9445292; 3.8770731
2.5936261; 0.1307015; -1.0941122; -1.5626014; 0.0270477; 7.0000000; 0.0000000
2.6933809; 0.2304520; -1.0931715; -1.5602436; 0.0202249; 7.0000000; 0.0000000
2.7931357; 0.3302003; -1.0920295; -1.5585663; 0.0134130; 7.0000000; 0.0000000
2.8928906; 0.4299487; -1.0907537; -1.5575569; 0.0068250; 7.0000000; 0.0000000
2.9926454; 0.5296929; -1.0894100; -1.5572045; 0.0002914; 7.0000000; 0.0000000
3.0924003; 0.6294410; -1.0880615; -1.5574394; -0.0050006; 7.0000000; 0.0000000
3.1921551; 0.7291847; -1.0867628; -1.5582016; -0.0099706; 7.0000000; 0.0000000
3.2919100; 0.8289315; -1.0855508; -1.5590386; -0.0068099; 7.0000000; 0.0000000
3.3916648; 0.9286803; -1.0844066; -1.5595600; -0.0035566; 7.0000000; 0.0000000
3.4914197; 1.0284271; -1.0832938; -1.5596243; 0.0022675; 7.0000000; 0.0000000
3.5911745; 1.1281775; -1.0821584; -1.5591077; 0.0080873; 7.0000000; 0.0000000
3.6909294; 1.2279243; -1.0809427; -1.5580159; 0.0138020; 7.0000000; 0.0000000
3.7906842; 1.3276706; -1.0795897; -1.5563540; 0.0195148; 7.0000000; 0.0000000
3.8904391; 1.4274128; -1.0780426; -1.5541257; 0.0251619; 7.0000000; -4.9346033
3.9901939; 1.5271520; -1.0762452; -1.5513340; 0.0308085; 6.9293217; -5.5027734
4.0899488; 1.6268839; -1.0741412; -1.5479785; 0.0364670; 6.8496454; -5.2275301
4.1897036; 1.7266090; -1.0716744; -1.5440585; 0.0421256; 6.7730864; -4.9729069
4.2894585; 1.8263216; -1.0687887; -1.5395750; 0.0477655; 6.6994445; -4.7358077
4.3892133; 1.9260201; -1.0654278; -1.5345287; 0.0534001; 6.6285531; -4.5470940
4.4889682; 2.0256993; -1.0615367; -1.5289459; 0.0585320; 6.5597658; -4.3715672
4.5887230; 2.1253533; -1.0570637; -1.5228509; 0.0636605; 6.4929467; -4.2623047
4.6884779; 2.2249790; -1.0519592; -1.5162883; 0.0679120; 6.4271289; -4.1622767
4.7882327; 2.3245644; -1.0461802; -1.5093015; 0.0721757; 6.3621986; -4.0225895
4.8879876; 2.4241104; -1.0396826; -1.5018468; 0.0772815; 6.2988115; -3.8922607
4.9877424; 2.5235969; -1.0324183; -1.4938828; 0.0823977; 6.2368648; -3.7654586
5.0874973; 2.6230284; -1.0243356; -1.4854025; 0.0876191; 6.1763449; -3.6466585
5.1872521; 2.7223756; -1.0153851; -1.4764014; 0.0928563; 6.1171638; -3.5339323
5.2870069; 2.8216472; -1.0055135; -1.4668747; 0.0981368; 6.0592606; -3.4281195
5.3867618; 2.9208041; -0.9946720; -1.4568216; 0.1034368; 6.0025575; -3.3240029
5.4865166; 3.0198583; -0.9828061; -1.4462325; 0.1088534; 5.9470602; -3.2259249
5.5862715; 3.1187619; -0.9698673; -1.4351036; 0.1142927; 5.8927007; -3.1269983
5.6860263; 3.2175285; -0.9557992; -1.4234222; 0.1198931; 5.8395253; -3.0331667
5.7857812; 3.3161016; -0.9405536; -1.4111829; 0.1255226; 5.7874787; -2.9683324
5.8855360; 3.4144954; -0.9240725; -1.3984044; 0.1306485; 5.7360874; -2.9084051
5.9852909; 3.5126457; -0.9063142; -1.3851161; 0.1358027; 5.6852830; -2.8235873
6.0850457; 3.6105666; -0.8872229; -1.3712757; 0.1416717; 5.6355222; -2.7427124
6.1848006; 3.7081872; -0.8667540; -1.3568503; 0.1475787; 5.5867622; -2.6655167
6.2845554; 3.8055158; -0.8448456; -1.3418310; 0.1535248; 5.5389634; -2.5917641
6.3843103; 3.9024780; -0.8214540; -1.3262194; 0.1595113; 5.4920883; -2.5217072
6.4840651; 3.9990746; -0.7965177; -1.3100062; 0.1655273; 5.4460930; -2.4545362
6.5838200; 4.0952277; -0.7699949; -1.2931936; 0.1715897; 5.4009467; -2.3891724
6.6835748; 4.1909302; -0.7418251; -1.2757698; 0.1777231; 5.3566372; -2.3261868
6.7833297; 4.2861016; -0.7119682; -1.2577345; 0.1839083; 5.3131408; -2.2649901
6.8830845; 4.3807242; -0.6803655; -1.2390763; 0.1901578; 5.2704438; -2.2056490
6.9828394; 4.4747168; -0.6469784; -1.2197942; 0.1964662; 5.2285303; -2.1468680
7.0825942; 4.5680482; -0.6117514; -1.1998762; 0.2028666; 5.1874086; -2.0893978
7.1823491; 4.6606383; -0.5746467; -1.1793182; 0.2093328; 5.1470723; -2.0309260
7.2821039; 4.7524400; -0.5356139; -1.1581075; 0.2159287; 5.1075595; -1.9731374
7.3818588; 4.8433754; -0.4946147; -1.1362360; 0.2225975; 5.0688760; -1.9101574
