# 64232d77-3428-4ccb-a013-41b9e54a87cb
# 1f33121d91b7f0e49544594bef0353728ab6343b
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -8.2898310; -8.0042999; -1.6211295; 0.2483899; 6.0229922; 2.2177220
0.0998582; -8.1900933; -8.0080400; -1.5949698; 0.2758595; 6.0596494; 1.0326815
0.1997164; -8.0901966; -8.0090322; -1.5660224; 0.3035886; 6.0766433; -0.0767125
0.2995746; -7.9903805; -8.0070081; -1.5346701; 0.3245923; 6.0753826; -0.0823033
0.3994327; -7.8906478; -8.0017478; -1.5011712; 0.3456595; 6.0740297; -0.0822667
0.4992909; -7.7911841; -7.9930970; -1.4670327; 0.3382020; 6.0726770; -0.0822300
0.5991491; -7.6920410; -7.9810890; -1.4336213; 0.3305228; 6.0713247; -0.0821934
0.6990073; -7.5933656; -7.9658374; -1.4015960; 0.3110525; 6.0699727; -0.0821934
0.7988655; -7.4951959; -7.9475252; -1.3714732; 0.2926275; 6.0686203; 0.3714233
0.8987237; -7.3976043; -7.9263409; -1.3427905; 0.2818127; 6.0747290; 0.7307102
0.9985819; -7.3006658; -7.9024234; -1.3151832; 0.2712746; 6.0867287; 1.0491637
1.0984401; -7.2043956; -7.8758827; -1.2885470; 0.2621847; 6.1039169; 1.2897241
1.1982982; -7.1088656; -7.8468347; -1.2628167; 0.2533117; 6.1249801; 1.5060779
1.2981564; -7.0140924; -7.8153740; -1.2378699; 0.2463360; 6.1494853; 1.6381694
1.3980146; -6.9201274; -7.7815938; -1.2136150; 0.2395341; 6.1760294; 1.7576918
1.4978728; -6.8269946; -7.7455739; -1.1899997; 0.2334539; 6.2043838; 1.8449205
1.5977310; -6.7347268; -7.7073928; -1.1669877; 0.2274846; 6.2340067; 1.9258839
1.6975892; -6.6433529; -7.6671264; -1.1445479; 0.2219781; 6.2647801; 1.9873445
1.7974474; -6.5528882; -7.6248418; -1.1226522; 0.2165742; 6.2963779; 2.0449262
1.8973056; -6.4633665; -7.5806143; -1.1012860; 0.2113908; 6.3287266; 2.0942166
1.9971637; -6.3747890; -7.5345022; -1.0804314; 0.2062900; 6.3616845; 2.1414161
2.0970219; -6.2871905; -7.4865808; -1.0600826; 0.2013039; 6.3952096; 2.1854051
2.1968801; -6.2005614; -7.4369016; -1.0402253; 0.1963944; 6.4292431; 2.2280348
