# a19bdea1-9fcc-473b-b819-aa1e0c95d738
# 520b0e7adf9ae2f693188b6d864b326c3aee9afa
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -8.2898310; -8.0042999; -1.6211295; 0.2483899; 4.9197061; 1.6949647
0.0998582; -8.1900933; -8.0080400; -1.5949698; 0.2758595; 4.9539904; 0.7554535
0.1997164; -8.0901966; -8.0090322; -1.5660224; 0.3035886; 4.9691948; -0.0550608
0.2995746; -7.9903805; -8.0070081; -1.5346701; 0.3245923; 4.9680882; -0.0550362
0.3994327; -7.8906478; -8.0017478; -1.5011712; 0.3456595; 4.9669819; -0.0550117
0.4992909; -7.7911841; -7.9930970; -1.4670327; 0.3382020; 4.9658758; -0.0549872
0.5991491; -7.6920410; -7.9810890; -1.4336213; 0.3305228; 4.9647699; -0.0549627
0.6990073; -7.5933656; -7.9658374; -1.4015960; 0.3110525; 4.9636643; -0.0549627
0.7988655; -7.4951959; -7.9475252; -1.3714732; 0.2926275; 4.9625584; 0.2273284
0.8987237; -7.3976043; -7.9263409; -1.3427905; 0.2818127; 4.9671307; 0.5212364
0.9985819; -7.3006658; -7.9024234; -1.3151832; 0.2712746; 4.9775985; 0.7816931
1.0984401; -7.2043956; -7.8758827; -1.2885470; 0.2621847; 4.9932558; 0.9795221
1.1982982; -7.1088656; -7.8468347; -1.2628167; 0.2533117; 5.0128066; 1.1579693
1.2981564; -7.0140924; -7.8153740; -1.2378699; 0.2463360; 5.0358213; 1.2690484
1.3980146; -6.9201274; -7.7815938; -1.2136150; 0.2395341; 5.0609234; 1.3702168
1.4978728; -6.8269946; -7.7455739; -1.1899997; 0.2334539; 5.0878876; 1.4456570
1.5977310; -6.7347268; -7.7073928; -1.1669877; 0.2274846; 5.1161823; 1.5162700
1.6975892; -6.6433529; -7.6671264; -1.1445479; 0.2219781; 5.1456919; 1.5713938
1.7974474; -6.5528882; -7.6248418; -1.1226522; 0.2165742; 5.1760969; 1.6236003
1.8973056; -6.4633665; -7.5806143; -1.1012860; 0.2113908; 5.2073254; 1.6693254
1.9971637; -6.3747890; -7.5345022; -1.0804314; 0.2062900; 5.2392394; 1.7135797
2.0970219; -6.2871905; -7.4865808; -1.0600826; 0.2013039; 5.2717985; 1.7554626
2.1968801; -6.2005614; -7.4369016; -1.0402253; 0.1963944; 5.3049462; 1.7964819
2.2967383; -6.1149350; -7.3855402; -1.0208574; 0.1915520; 5.3386554; 1.8371026
2.3965965; -6.0302942; -7.3325427; -1.0019669; 0.1867784; 5.3729080; 1.8773724
2.4964547; -5.9466691; -7.2779838; -0.9835534; 0.1820521; 5.4076874; 1.9181710
2.5963129; -5.8640368; -7.2219051; -0.9656061; 0.1773826; 5.4429930; 1.9592202
2.6961711; -5.7824229; -7.1643802; -0.9481270; 0.1727321; 5.4788193; 2.0020181
2.7960292; -5.7018014; -7.1054474; -0.9311064; 0.1681650; 5.5151879; 2.0441362
2.8958874; -5.6221921; -7.0451773; -0.9145341; 0.1637834; 5.5520757; 2.0816521
