# 8588ccc0-7138-493d-8bf6-555db99a87b2
# 817d2baab3c94d224eac9769010718d8ab383ecc
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -8.2898310; -8.0042999; -1.6211295; 0.2483899; 5.5011517; 1.9740259
0.0998582; -8.1900933; -8.0080400; -1.5949698; 0.2758595; 5.5368688; 0.8939650
0.1997164; -8.0901966; -8.0090322; -1.5660224; 0.3035886; 5.5529681; -0.0687576
0.2995746; -7.9903805; -8.0070081; -1.5346701; 0.3245923; 5.5517315; -0.0687269
0.3994327; -7.8906478; -8.0017478; -1.5011712; 0.3456595; 5.5504952; -0.0686963
0.4992909; -7.7911841; -7.9930970; -1.4670327; 0.3382020; 5.5492592; -0.0686657
0.5991491; -7.6920410; -7.9810890; -1.4336213; 0.3305228; 5.5480234; -0.0686352
0.6990073; -7.5933656; -7.9658374; -1.4015960; 0.3110525; 5.5467879; -0.0686352
0.7988655; -7.4951959; -7.9475252; -1.3714732; 0.2926275; 5.5455521; 0.2886999
0.8987237; -7.3976043; -7.9263409; -1.3427905; 0.2818127; 5.5507483; 0.6245575
0.9985819; -7.3006658; -7.9024234; -1.3151832; 0.2712746; 5.5619728; 0.9228198
1.0984401; -7.2043956; -7.8758827; -1.2885470; 0.2621847; 5.5785162; 1.1495559
1.1982982; -7.1088656; -7.8468347; -1.2628167; 0.2533117; 5.5990560; 1.3541150
1.2981564; -7.0140924; -7.8153740; -1.2378699; 0.2463360; 5.6231546; 1.4813437
1.3980146; -6.9201274; -7.7815938; -1.2136150; 0.2395341; 5.6493996; 1.5970319
1.4978728; -6.8269946; -7.7455739; -1.1899997; 0.2334539; 5.6775584; 1.6830625
1.5977310; -6.7347268; -7.7073928; -1.1669877; 0.2274846; 5.7070837; 1.7633390
1.6975892; -6.6433529; -7.6671264; -1.1445479; 0.2219781; 5.7378543; 1.8256962
1.7974474; -6.5528882; -7.6248418; -1.1226522; 0.2165742; 5.7695402; 1.8844920
1.8973056; -6.4633665; -7.5806143; -1.1012860; 0.2113908; 5.8020649; 1.9356772
1.9971637; -6.3747890; -7.5345022; -1.0804314; 0.2062900; 5.8352844; 1.9849640
2.0970219; -6.2871905; -7.4865808; -1.0600826; 0.2013039; 5.8691544; 2.0313359
2.1968801; -6.2005614; -7.4369016; -1.0402253; 0.1963944; 5.9036146; 2.0765101
2.2967383; -6.1149350; -7.3855402; -1.0208574; 0.1915520; 5.9386343; 2.1210164
2.3965965; -6.0302942; -7.3325427; -1.0019669; 0.1867784; 5.9741928; 2.1649108
2.4964547; -5.9466691; -7.2779838; -0.9835534; 0.1820521; 6.0102702; 2.2055948
2.5963129; -5.8640368; -7.2219051; -0.9656061; 0.1773826; 6.0468042; 2.2374244
2.6961711; -5.7824229; -7.1643802; -0.9481270; 0.1727321; 6.0836413; 2.2717640
2.7960292; -5.7018014; -7.1054474; -0.9311064; 0.1681650; 6.1208169; 2.3057752
2.8958874; -5.6221921; -7.0451773; -0.9145341; 0.1637834; 6.1583197; 2.3349585
2.9957456; -5.5435687; -6.9836052; -0.8983943; 0.1594861; 6.1960657; 2.3639543
3.0956038; -5.4659461; -6.9207966; -0.8826715; 0.1554414; 6.2340477; 2.3850039
3.1954620; -5.3892978; -6.8567825; -0.8673488; 0.1514161; 6.2721348; 2.4090843
3.2953202; -5.3136348; -6.7916244; -0.8524355; 0.1472978; 6.3103731; 2.4414512
3.3951784; -5.2389304; -6.7253534; -0.8379293; 0.1432201; 6.3488902; 2.4754748
3.4950366; -5.1651882; -6.6580270; -0.8238338; 0.1391071; 6.3877069; 2.5148790
3.5948947; -5.0923826; -6.5896775; -0.8101461; 0.1350382; 6.4269014; 2.5556183
3.6947529; -5.0205102; -6.5203570; -0.7968610; 0.1310531; 6.4664875; 2.5956673
