# 513edd1b-a491-4ad7-9d93-7994f4570591
# 817d2baab3c94d224eac9769010718d8ab383ecc
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -8.2878421; -7.9573504; -1.6196493; 0.2538660; 5.4653139; 1.9589130
0.0998641; -8.1880661; -7.9609049; -1.5925889; 0.2883303; 5.5009914; 0.6630170
0.1997282; -8.0881862; -7.9615849; -1.5620338; 0.3235574; 5.5130145; -0.0677717
0.2995924; -7.9883486; -7.9590615; -1.5286673; 0.3447305; 5.5117868; -0.0677415
0.3994565; -7.8886774; -7.9531040; -1.4931615; 0.3663095; 5.5105593; -0.0677113
0.4993206; -7.7892765; -7.9435796; -1.4577756; 0.3423916; 5.5093321; -0.0676812
0.5991847; -7.6902529; -7.9306616; -1.4247712; 0.3186224; 5.5081051; -0.0676812
0.6990488; -7.5916745; -7.9145967; -1.3941191; 0.2952882; 5.5068779; 0.4037702
0.7989130; -7.4936480; -7.8956383; -1.3657620; 0.2729953; 5.5141952; 1.1018099
0.8987771; -7.3961222; -7.8739826; -1.3389835; 0.2630671; 5.5341134; 1.3343685
0.9986412; -7.2992763; -7.8497919; -1.3132220; 0.2530844; 5.5581402; 1.5549266
1.0985053; -7.2030078; -7.8231413; -1.2883694; 0.2445110; 5.5860079; 1.7163371
1.1983694; -7.1074714; -7.7941642; -1.2643833; 0.2360680; 5.6166080; 1.8672429
1.2982336; -7.0126014; -7.7629250; -1.2411071; 0.2299935; 5.6497103; 1.9307059
1.3980977; -6.9185099; -7.7295281; -1.2184473; 0.2239337; 5.6837350; 1.9944826
1.4979618; -6.8251630; -7.6940246; -1.1963480; 0.2186157; 5.7186710; 2.0324939
1.5978259; -6.7326295; -7.6564984; -1.1747829; 0.2133422; 5.7540546; 2.0713621
1.6976900; -6.6409079; -7.6170049; -1.1537132; 0.2086251; 5.7898924; 2.0919878
1.7975542; -6.5500306; -7.5756099; -1.1331139; 0.2039422; 5.8258633; 2.1147212
1.8974183; -6.4600189; -7.5323743; -1.1129712; 0.1994876; 5.8620007; 2.1319665
1.9972824; -6.3708773; -7.4873496; -1.0932696; 0.1950770; 5.8982087; 2.1510296
2.0971465; -6.2826422; -7.4406035; -1.0740041; 0.1907996; 5.9345166; 2.1682444
2.1970106; -6.1952977; -7.3921757; -1.0551603; 0.1865649; 5.9708917; 2.1872464
2.2968748; -6.1088886; -7.3421396; -1.0367403; 0.1823872; 6.0073623; 2.2047631
2.3967389; -6.0233849; -7.2905258; -1.0187309; 0.1782608; 6.0439023; 2.2134691
2.4966030; -5.9388349; -7.2374114; -1.0011348; 0.1741946; 6.0803658; 2.2237813
2.5964671; -5.8551989; -7.1828196; -0.9839380; 0.1701684; 6.1167802; 2.2364182
2.6963312; -5.7725255; -7.1268298; -0.9671477; 0.1661511; 6.1531842; 2.2525960
2.7961954; -5.6907691; -7.0694597; -0.9507512; 0.1621924; 6.1896351; 2.2699193
2.8960595; -5.6099753; -7.0107892; -0.9347495; 0.1583310; 6.2261505; 2.2865127
2.9959236; -5.5300972; -6.9508321; -0.9191262; 0.1545599; 6.2627175; 2.3026354
3.0957877; -5.4511761; -6.8896658; -0.9038644; 0.1511393; 6.2993279; 2.3058775
3.1956518; -5.3731653; -6.8272978; -0.8889385; 0.1477386; 6.3357779; 2.3122895
3.2955160; -5.2961038; -6.7638028; -0.8743597; 0.1442814; 6.3721198; 2.3254326
3.3953801; -5.2199450; -6.6991870; -0.8601197; 0.1408578; 6.4084604; 2.3406048
3.4952442; -5.1447210; -6.6335225; -0.8462315; 0.1373218; 6.4448313; 2.3651095
3.5951083; -5.0703877; -6.5668176; -0.8326912; 0.1338360; 6.4813756; 2.3903434
3.6949724; -4.9969681; -6.4991392; -0.8194962; 0.1304537; 6.5181016; 2.4134553
3.7948366; -4.9244221; -6.4304966; -0.8066345; 0.1271143; 6.5549739; 2.4376797
3.8947007; -4.8527655; -6.3609503; -0.7941049; 0.1238434; 6.5920070; 2.4615714
3.9945648; -4.7819644; -6.2905131; -0.7818979; 0.1206311; 6.6291932; 2.4856300
4.0944289; -4.7120262; -6.2192373; -0.7700055; 0.1175575; 6.6665323; 2.5052804
4.1942930; -4.6429215; -6.1471369; -0.7584183; 0.1144272; 6.7039561; 2.5317722
4.2941571; -4.5746518; -6.0742595; -0.7471733; 0.1107936; 6.7415647; 2.5912778
4.3940213; -4.5071861; -6.0006242; -0.7362889; 0.1071240; 6.7798411; 2.6556855
4.4938854; -4.4405161; -5.9262768; -0.7257984; 0.1029780; 6.8188460; 2.7520307
4.5937495; -4.3746117; -5.8512449; -0.7157203; 0.0988730; 6.8590320; 2.8483520
4.6936136; -4.3094533; -5.7755679; -0.7060454; 0.0948908; 6.9003779; 2.9398222
4.7934777; -4.2450139; -5.6992757; -0.6967678; 0.0908969; 6.9427935; 3.0354808
4.8933419; -4.1812702; -5.6224026; -0.6878966; 0.0867696; 6.9863189; 3.1437678
4.9932060; -4.1181946; -5.5449795; -0.6794371; 0.0826373; 7.0311131; 3.2564849
5.0930701; -4.0557597; -5.4670384; -0.6713972; 0.0783796; 7.0772144; 3.3825006
5.1929342; -3.9939376; -5.3886119; -0.6637823; 0.0741124; 7.1247838; 3.5142736
5.2927983; -3.9326965; -5.3097287; -0.6566003; 0.0697225; 7.1738723; 3.6607401
5.3926625; -3.8720074; -5.2304228; -0.6498567; 0.0653178; 7.2246521; 3.8147980
5.4925266; -3.8118352; -5.1507209; -0.6435611; 0.0607650; 7.2771918; 3.9876190
5.5923907; -3.7521495; -5.0706575; -0.6377202; 0.0562064; 7.3317092; 4.1693812
5.6922548; -3.6929125; -4.9902584; -0.6323378; 0.0515861; 7.3882815; 4.3658636
5.7921189; -3.6340917; -4.9095568; -0.6274172; 0.0469373; 7.4470591; 4.5759047
5.8919831; -3.5756475; -4.8285777; -0.6229731; 0.0420639; 7.5081707; 4.8074036
5.9918472; -3.5175467; -4.7473576; -0.6190158; 0.0371616; 7.5718427; 4.9825456
6.0917113; -3.4597440; -4.6659179; -0.6155637; 0.0319695; 7.6372742; 5.1698811
6.1915754; -3.4022062; -4.5843006; -0.6126306; 0.0267761; 7.7045784; 5.1675776
6.2914395; -3.3448843; -4.5025259; -0.6102155; 0.0215902; 7.7712701; 5.1652752
6.3913037; -3.2877396; -4.4206291; -0.6083189; 0.0163579; 7.8373650; 5.1629738
6.4911678; -3.2307288; -4.3386398; -0.6069636; 0.0107865; 7.9028781; 5.1606734
6.5910319; -3.1738039; -4.2565857; -0.6061648; 0.0051627; 7.9678237; 5.1583740
6.6908960; -3.1169215; -4.1745035; -0.6059529; -0.0009207; 8.0322156; 5.1560757
6.7907601; -3.0600326; -4.0924282; -0.6063467; -0.0066280; 8.0960670; 5.1537783
6.8906243; -3.0030916; -4.0103860; -0.6071315; -0.0090883; 8.1593907; -5.9190301
6.9904884; -2.9460788; -3.9283994; -0.6081563; -0.0104759; 8.0866222; -6.3247390
7.0903525; -2.8889905; -3.8464653; -0.6088076; -0.0025677; 8.0081352; -7.2578684
7.1902166; -2.8318783; -3.7645418; -0.6086700; 0.0051940; 7.9171098; -6.8014986
7.2900807; -2.7748109; -3.6825950; -0.6078269; 0.0116898; 7.8308478; -6.4045680
7.3899449; -2.7178340; -3.6005740; -0.6063358; 0.0180735; 7.7487421; -6.1416653
7.4898090; -2.6610081; -3.5184569; -0.6042605; 0.0234885; 7.6691812; -5.9069000
7.5896731; -2.6043724; -3.4362029; -0.6016443; 0.0289151; 7.5918749; -5.6891841
7.6895372; -2.5479774; -3.3537897; -0.5984811; 0.0344357; 7.5166664; -5.4185236
7.7894013; -2.4918635; -3.2711792; -0.5947668; 0.0399340; 7.4443295; -5.1598971
7.8892655; -2.4360824; -3.1883503; -0.5905124; 0.0452723; 7.3747858; -4.9198326
7.9891296; -2.3806726; -3.1052645; -0.5857247; 0.0506020; 7.3078612; -4.7010247
8.0889937; -2.3256873; -3.0219059; -0.5804090; 0.0558607; 7.2433354; -4.4966473
8.1888578; -2.2711637; -2.9382355; -0.5745679; 0.0611099; 7.1810724; -4.3086820
8.2887219; -2.2171563; -2.8542410; -0.5682062; 0.0663016; 7.1209013; -4.1317931
8.3885861; -2.1637011; -2.7698829; -0.5613256; 0.0714888; 7.0627190; -3.9658405
8.4884502; -2.1108543; -2.6851530; -0.5539288; 0.0766568; 7.0064191; -3.8095299
8.5883143; -2.0586532; -2.6000136; -0.5460149; 0.0818091; 6.9519090; -3.6757428
8.6881784; -2.0071534; -2.5144579; -0.5375993; 0.0867392; 6.8989049; -3.5514093
8.7880425; -1.9563927; -2.4284527; -0.5286908; 0.0916312; 6.8473040; -3.4605586
8.8879067; -1.9064249; -2.3419943; -0.5193175; 0.0960987; 6.7966463; -3.3760588
8.9877708; -1.8572845; -2.2550522; -0.5094971; 0.1005636; 6.7468590; -3.2999201
9.0876349; -1.8090240; -2.1676290; -0.4992340; 0.1049889; 6.6978369; -3.2276261
9.1874990; -1.7616786; -2.0796968; -0.4885272; 0.1094465; 6.6495392; -3.1486063
9.2873631; -1.7153010; -1.9912591; -0.4773648; 0.1141153; 6.6020834; -3.0741545
9.3872273; -1.6699312; -1.9022929; -0.4657345; 0.1187955; 6.5554184; -3.0075463
9.4870914; -1.6256227; -1.8128002; -0.4536405; 0.1234252; 6.5094407; -2.9448850
9.5869555; -1.5824183; -1.7227633; -0.4410824; 0.1280732; 6.4641041; -2.8860120
9.6868196; -1.5403710; -1.6321856; -0.4280599; 0.1327408; 6.4193632; -2.8303495
9.7866837; -1.4995263; -1.5410546; -0.4145694; 0.1374376; 6.3751802; -2.7759986
9.8865479; -1.4599376; -1.4493747; -0.4006070; 0.1421995; 6.3315462; -2.7245926
9.9864120; -1.4216540; -1.3571398; -0.3861669; 0.1469929; 6.2884258; -2.6781894
10.0862761; -1.3847289; -1.2643542; -0.3712492; 0.1517759; 6.2457497; -2.6350511
10.1861402; -1.3492143; -1.1710193; -0.3558517; 0.1565845; 6.2034744; -2.6063537
10.2860043; -1.3151630; -1.0771403; -0.3399852; 0.1611846; 6.1613743; -2.5798509
10.3858685; -1.2826276; -0.9827265; -0.3236570; 0.1658438; 6.1194169; -2.5430965
10.4857326; -1.2516602; -0.8877850; -0.3068462; 0.1708363; 6.0777739; -2.5078704
10.5855967; -1.2223177; -0.7923315; -0.2895343; 0.1758977; 6.0364263; -2.4585713
10.6854608; -1.1946561; -0.6963740; -0.2716966; 0.1813459; 5.9956148; -2.3977191
10.7853249; -1.1687378; -0.5999355; -0.2533123; 0.1868428; 5.9555440; -2.3556916
10.8851891; -1.1446216; -0.5030257; -0.2343978; 0.1919649; 5.9159113; -2.3138321
10.9850532; -1.1223689; -0.4056768; -0.2149690; 0.1971670; 5.8767226; -2.2670607
11.0849173; -1.1020361; -0.3079028; -0.1950093; 0.2025716; 5.8380710; -2.2198764
11.1847814; -1.0836867; -0.2097440; -0.1745068; 0.2080626; 5.7999742; -2.1714845
11.2846455; -1.0673795; -0.1112185; -0.1534497; 0.2136570; 5.7624642; -2.1218148
11.3845097; -1.0531793; -0.0123748; -0.1318301; 0.2193528; 5.7255749; -2.0707210
11.4843738; -1.0411467; 0.0867637; -0.1096354; 0.2251493; 5.6893432; -2.0172052
11.5842379; -1.0313468; 0.1861398; -0.0868576; 0.2310672; 5.6538247; -1.9447130
11.6841020; -1.0238428; 0.2857232; -0.0634595; 0.2375389; 5.6193700; -1.8677318
11.7839661; -1.0187034; 0.3854487; -0.0394099; 0.2441448; 5.5860792; -1.7881721
11.8838303; -1.0159965; 0.4852777; -0.0146960; 0.2508159; 5.5540195; -1.7015584
11.9836944; -1.0157908; 0.5851349; 0.0106905; 0.2576599; 5.5233398; -1.5547292
12.0835585; -1.0181571; 0.6849722; 0.0368440; 0.2661355; 5.4951578; -1.3945241
12.1834226; -1.0231753; 0.7847032; 0.0638512; 0.2747943; 5.4697563; -1.1942774
12.2832867; -1.0309305; 0.8842717; 0.0917687; 0.2843292; 5.4479081; -0.9674847
12.3831508; -1.0415076; 0.9835615; 0.1206517; 0.2942192; 5.4301444; -0.7871032
12.4830150; -1.0549975; 1.0825247; 0.1504366; 0.3022501; 5.4156497; -0.5778028
12.5828791; -1.0714623; 1.1810001; 0.1810319; 0.3106577; 5.4049846; -0.0651417
12.6827432; -1.0909959; 1.2789601; 0.2128883; 0.3272554; 5.4037809; -0.0651127
12.7826073; -1.1137072; 1.3761734; 0.2464113; 0.3443866; 5.4025774; -0.0650837
12.8824714; -1.1397145; 1.4726191; 0.2801545; 0.3312393; 5.4013743; -0.0652138
12.9823356; -1.1688795; 1.5680925; 0.3125838; 0.3185006; 5.4001684; -0.2988162
13.0821997; -1.2010798; 1.6626480; 0.3436020; 0.3025311; 5.3946396; -0.8267616
13.1820638; -1.2361025; 1.7561362; 0.3730108; 0.2867838; 5.3793131; -1.4178905
13.2819279; -1.2738368; 1.8486122; 0.4019218; 0.2921388; 5.3529260; -1.3795554
13.3817920; -1.3142383; 1.9399157; 0.4313621; 0.2975725; 5.3271268; -1.3592418
13.4816562; -1.3573462; 2.0300049; 0.4613237; 0.3024601; 5.3015848; -1.3317869
13.5815203; -1.4031450; 2.1187309; 0.4917817; 0.3076063; 5.2764387; -1.3294322
13.6813844; -1.4516504; 2.2060197; 0.5226774; 0.3111505; 5.2512171; -1.3514229
13.7812485; -1.5028435; 2.2917583; 0.5539274; 0.3147046; 5.2254534; -1.3778212
13.8811126; -1.5567021; 2.3758405; 0.5855361; 0.3184431; 5.1990551; -1.4041900
13.9809768; -1.6132154; 2.4581796; 0.6175426; 0.3225584; 5.1720129; -1.4235764
14.0808409; -1.6723416; 2.5386432; 0.6499535; 0.3266392; 5.1444522; -1.4491134
14.1807050; -1.7340707; 2.6171484; 0.6827895; 0.3309477; 5.1162447; -1.4731152
14.2805691; -1.7983491; 2.6935577; 0.7160529; 0.3353618; 5.0874097; -1.5002110
14.3804332; -1.8651625; 2.7677854; 0.7497852; 0.3401707; 5.0578753; -1.5203692
14.4802974; -1.9344455; 2.8396884; 0.7839759; 0.3446954; 5.0277671; -1.5550562
14.5801615; -2.0061742; 2.9091758; 0.8186426; 0.3496053; 4.9967843; -1.5876512
14.6800256; -2.0802716; 2.9761039; 0.8538364; 0.3553747; 4.9649526; -1.6035784
14.7798897; -2.1567128; 3.0403735; 0.8896346; 0.3614836; 4.9325931; -1.6139950
14.8797538; -2.2354085; 3.1018319; 0.9260015; 0.3670022; 4.8998076; -1.6479274
14.9796180; -2.3163168; 3.1603745; 0.9629548; 0.3732289; 4.8661049; -1.6411049
15.0794821; -2.3993380; 3.2158493; 1.0006546; 0.3819353; 4.8323081; -1.6047625
15.1793462; -2.4844284; 3.2681264; 1.0392516; 0.3909003; 4.7990296; -1.6040414
15.2792103; -2.5714786; 3.3170369; 1.0786493; 0.3983205; 4.7655339; -1.6047436
15.3790744; -2.6604200; 3.3624540; 1.1188326; 0.4064799; 4.7317862; -1.5858217
15.4789386; -2.7511201; 3.4042183; 1.1598619; 0.4153829; 4.6981983; -1.5567046
15.5788027; -2.8434803; 3.4421872; 1.2018202; 0.4248741; 4.6649919; -1.5564909
15.6786668; -2.9373563; 3.4762023; 1.2446589; 0.4332449; 4.6315520; -1.5478809
15.7785309; -3.0326301; 3.5061293; 1.2883715; 0.4423952; 4.5980559; -1.4674618
15.8783950; -3.1291159; 3.5318107; 1.3331522; 0.4547068; 4.5660732; -1.3666620
15.9782592; -3.2266892; 3.5530897; 1.3792200; 0.4677755; 4.5360846; -1.2835164
16.0781233; -3.3251294; 3.5697876; 1.4265218; 0.4798360; 4.5077388; -1.1342577
16.1779874; -3.4242734; 3.5817522; 1.4750981; 0.4939259; 4.4825401; -0.6865438
16.2778515; -3.5238684; 3.5887957; 1.5257271; 0.5203536; 4.4672188; -0.1531492
16.3777156; -3.6237140; 3.5906561; 1.5790629; 0.5480560; 4.4637939; -0.0444302
16.4775798; -3.7235011; 3.5870452; 1.6354188; 0.5810800; 4.4627998; -0.0444104
16.5774439; -3.8229101; 3.5776510; 1.6952012; 0.6144744; 4.4618059; -0.0443906
16.6773080; -3.9215815; 3.5622122; 1.7569368; 0.6222129; 4.4608122; -0.0443709
16.7771721; -4.0190593; 3.5406829; 1.8195756; 0.6293157; 4.4598188; -0.0443511
16.8770362; -4.1150650; 3.5131317; 1.8802040; 0.5848059; 4.4588256; -0.0443511
16.9769004; -4.2092416; 3.4800417; 1.9364663; 0.5437485; 4.4578321; 0.1838878
17.0767645; -4.3015324; 3.4418472; 1.9894619; 0.5173219; 4.4619497; 0.6866676
17.1766286; -4.3916717; 3.3989641; 2.0398104; 0.4918983; 4.4772918; 1.1127845
17.2764927; -4.4796261; 3.3516828; 2.0879478; 0.4721735; 4.5020436; 1.3815282
17.3763568; -4.5652465; 3.3003124; 2.1341316; 0.4529713; 4.5325850; 1.5999521
17.4762210; -4.6484483; 3.2451276; 2.1784454; 0.4347253; 4.5676999; 1.7841370
17.5760851; -4.7292023; 3.1863646; 2.2209766; 0.4170158; 4.6065415; 1.9486136
17.6759492; -4.8074106; 3.1243141; 2.2617331; 0.3995091; 4.6485931; 2.1044025
17.7758133; -4.8831166; 3.0591627; 2.3007921; 0.3827232; 4.6935835; 2.2425599
17.8756774; -4.9562408; 2.9911995; 2.3382058; 0.3668331; 4.7410578; 2.3616635
17.9755416; -5.0268654; 2.9205645; 2.3740722; 0.3513284; 4.7905448; 2.4757329
18.0754057; -5.0949304; 2.8475372; 2.4083732; 0.3359021; 4.8418791; 2.5933329
18.1752698; -5.1605480; 2.7722214; 2.4411768; 0.3209495; 4.8950746; 2.7055308
18.2751339; -5.2236811; 2.6948866; 2.4724918; 0.3064360; 4.9499622; 2.8141240
18.3749980; -5.2844529; 2.6156108; 2.5023936; 0.2923251; 5.0064145; 2.9207552
18.4748622; -5.3428526; 2.5346389; 2.5308937; 0.2786412; 5.0643404; 3.0253088
18.5747263; -5.3990066; 2.4520292; 2.5580555; 0.2652484; 5.1236494; 3.1319399
18.6745904; -5.4529262; 2.3680021; 2.5838871; 0.2522445; 5.1843341; 3.2381977
18.7744545; -5.5047360; 2.2826040; 2.6084451; 0.2395146; 5.2463396; 3.3477009
18.8743186; -5.5544689; 2.1960248; 2.6317323; 0.2269671; 5.3096808; 3.4634447
18.9741828; -5.6022423; 2.1083121; 2.6537843; 0.2146380; 5.3744263; 3.5845985
19.0740469; -5.6481131; 2.0196176; 2.6746089; 0.2024788; 5.4406253; 3.7130184
19.1739110; -5.6921889; 1.9299978; 2.6942306; 0.1904769; 5.5083571; 3.8494936
19.2737751; -5.7345482; 1.8395640; 2.7126530; 0.1784932; 5.5777101; 3.9991984
19.3736392; -5.7752891; 1.7483889; 2.7298851; 0.1666330; 5.6488586; 4.1591307
19.4735034; -5.8145106; 1.6565406; 2.7459329; 0.1547434; 5.7219139; 4.3355416
19.5733675; -5.8523014; 1.5641136; 2.7607946; 0.1429315; 5.7970880; 4.5254799
19.6732316; -5.8887789; 1.4711319; 2.7744755; 0.1310163; 5.8745294; 4.7370733
19.7730957; -5.9240243; 1.3777138; 2.7869640; 0.1191415; 5.9545128; 4.9662178
19.8729598; -5.9581707; 1.2838428; 2.7982636; 0.1071011; 6.0372276; 5.2153697
19.9728240; -5.9912944; 1.1896595; 2.8083557; 0.0950689; 6.1228893; 5.2163673
20.0726881; -6.0235410; 1.0951123; 2.8172440; 0.0828779; 6.2073850; 5.2140431
20.1725522; -6.0549843; 1.0003606; 2.8249088; 0.0706701; 6.2907091; 5.2117199
20.2724163; -6.0857789; 0.9053269; 2.8313430; 0.0581363; 6.3729074; 5.2093978
20.3722804; -6.1160005; 0.8101815; 2.8365196; 0.0455630; 6.4540229; 5.2070767
20.4721445; -6.1458095; 0.7148336; 2.8404407; 0.0329293; 6.5340961; 5.2047567
20.5720087; -6.1752843; 0.6194548; 2.8430955; 0.0202500; 6.6131648; 5.2024377
20.6718728; -6.2045871; 0.5239524; 2.8444467; 0.0067837; 6.6912647; 5.2001197
20.7717369; -6.2338061; 0.4284927; 2.8444495; -0.0067358; 6.7684292; 5.1978027
20.8716010; -6.2631080; 0.3329945; 2.8430772; -0.0207511; 6.8446900; -6.0339940
20.9714651; -6.2925908; 0.2376118; 2.8403042; -0.0348068; 6.7560804; -6.6102301
