# x_m, y_m, v_mps
-7.930,-2.496,6.352
-7.875,-2.505,6.362
-7.819,-2.514,6.372
-7.764,-2.521,6.382
-7.709,-2.528,6.393
-7.654,-2.535,6.405
-7.599,-2.541,6.417
-7.544,-2.546,6.429
-7.489,-2.550,6.442
-7.434,-2.554,6.455
-7.380,-2.557,6.468
-7.325,-2.559,6.483
-7.270,-2.561,6.497
-7.215,-2.563,6.512
-7.161,-2.563,6.528
-7.106,-2.564,6.544
-7.052,-2.563,6.560
-6.998,-2.562,6.577
-6.943,-2.561,6.595
-6.889,-2.559,6.612
-6.835,-2.557,6.631
-6.781,-2.554,6.650
-6.728,-2.551,6.669
-6.674,-2.547,6.689
-6.621,-2.543,6.709
-6.567,-2.538,6.730
-6.514,-2.533,6.751
-6.461,-2.528,6.773
-6.408,-2.522,6.794
-6.355,-2.516,6.816
-6.302,-2.509,6.837
-6.249,-2.503,6.858
-6.197,-2.495,6.879
-6.145,-2.488,6.900
-6.092,-2.480,6.921
-6.040,-2.472,6.941
-5.988,-2.463,6.962
-5.937,-2.454,6.982
-5.885,-2.445,7.002
-5.833,-2.436,7.022
-5.782,-2.426,7.042
-5.731,-2.416,7.062
-5.679,-2.406,7.082
-5.628,-2.396,7.101
-5.578,-2.385,7.121
-5.527,-2.375,7.140
-5.476,-2.364,7.159
-5.426,-2.353,7.178
-5.375,-2.342,7.197
-5.325,-2.330,7.216
-5.275,-2.319,7.235
-5.225,-2.307,7.253
-5.175,-2.295,7.272
-5.125,-2.283,7.290
-5.076,-2.271,7.308
-5.026,-2.259,7.326
-4.977,-2.247,7.344
-4.927,-2.234,7.362
-4.878,-2.222,7.379
-4.829,-2.210,7.397
-4.780,-2.197,7.414
-4.731,-2.185,7.432
-4.682,-2.172,7.449
-4.634,-2.160,7.466
-4.585,-2.147,7.483
-4.537,-2.135,7.500
-4.488,-2.122,7.517
-4.440,-2.109,7.534
-4.391,-2.097,7.550
-4.343,-2.084,7.567
-4.294,-2.072,7.584
-4.246,-2.059,7.600
-4.198,-2.047,7.616
-4.150,-2.034,7.633
-4.101,-2.022,7.649
-4.053,-2.009,7.665
-4.005,-1.997,7.681
-3.956,-1.984,7.697
-3.908,-1.972,7.713
-3.859,-1.959,7.729
-3.811,-1.947,7.745
-3.762,-1.934,7.761
-3.713,-1.921,7.776
-3.665,-1.909,7.792
-3.616,-1.896,7.808
-3.567,-1.883,7.823
-3.518,-1.870,7.839
-3.470,-1.857,7.854
-3.421,-1.844,7.870
-3.372,-1.831,7.885
-3.323,-1.818,7.901
-3.274,-1.805,7.916
-3.226,-1.792,7.931
-3.177,-1.778,7.946
-3.128,-1.765,7.961
-3.080,-1.752,7.976
-3.031,-1.738,7.991
-2.983,-1.725,8.000
-2.934,-1.711,8.000
-2.886,-1.698,8.000
-2.837,-1.684,8.000
-2.789,-1.671,8.000
-2.741,-1.657,8.000
-2.692,-1.644,8.000
-2.644,-1.630,8.000
-2.596,-1.616,8.000
-2.547,-1.603,8.000
-2.499,-1.589,8.000
-2.451,-1.575,7.990
-2.402,-1.562,7.970
-2.354,-1.548,7.949
-2.306,-1.534,7.927
-2.257,-1.520,7.905
-2.209,-1.506,7.883
-2.160,-1.492,7.861
-2.112,-1.478,7.838
-2.063,-1.464,7.815
-2.015,-1.450,7.792
-1.966,-1.436,7.768
-1.918,-1.421,7.744
-1.869,-1.407,7.720
-1.820,-1.392,7.695
-1.772,-1.378,7.670
-1.723,-1.363,7.645
-1.674,-1.348,7.619
-1.625,-1.333,7.593
-1.576,-1.317,7.566
-1.527,-1.302,7.539
-1.478,-1.286,7.511
-1.429,-1.271,7.483
-1.380,-1.255,7.454
-1.331,-1.239,7.427
-1.282,-1.222,7.399
-1.233,-1.206,7.372
-1.184,-1.189,7.344
-1.135,-1.172,7.317
-1.086,-1.155,7.291
-1.037,-1.137,7.264
-0.988,-1.119,7.238
-0.939,-1.102,7.212
-0.890,-1.083,7.186
-0.841,-1.065,7.161
-0.792,-1.046,7.136
-0.744,-1.027,7.111
-0.695,-1.007,7.087
-0.646,-0.988,7.063
-0.597,-0.967,7.039
-0.548,-0.947,7.016
-0.500,-0.926,6.993
-0.451,-0.905,6.970
-0.403,-0.884,6.948
-0.354,-0.862,6.927
-0.306,-0.840,6.905
-0.258,-0.817,6.885
-0.209,-0.794,6.865
-0.161,-0.771,6.845
-0.113,-0.747,6.826
-0.066,-0.723,6.807
-0.018,-0.698,6.788
0.030,-0.673,6.770
0.077,-0.647,6.753
0.124,-0.621,6.736
0.172,-0.595,6.720
0.219,-0.568,6.704
0.265,-0.540,6.688
0.312,-0.513,6.673
0.358,-0.484,6.658
0.405,-0.455,6.644
0.451,-0.426,6.631
0.496,-0.396,6.618
0.542,-0.365,6.605
0.587,-0.334,6.593
0.632,-0.303,6.582
0.677,-0.271,6.571
0.721,-0.238,6.560
0.765,-0.205,6.550
0.809,-0.171,6.541
0.852,-0.137,6.532
0.895,-0.102,6.524
