# bcf440ec-c732-440c-b93f-238f85cd4ba3
# 1f33121d91b7f0e49544594bef0353728ab6343b
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -7.8389482; -1.9174722; -1.8437317; 0.2362936; 5.9923808; 2.7972495
0.0996886; -7.7426195; -1.9432295; -1.8205393; 0.2288539; 6.0387362; 2.8400125
0.1993773; -7.6457792; -1.9667703; -1.7981071; 0.2213349; 6.0854391; 2.8896271
0.2990659; -7.5484096; -1.9881720; -1.7762811; 0.2165094; 6.1325929; 2.8443992
0.3987546; -7.4506152; -2.0074644; -1.7549414; 0.2116096; 6.1786571; 2.8114856
0.4984432; -7.3524318; -2.0246923; -1.7341486; 0.2055626; 6.2238533; 2.8319124
0.5981319; -7.2539098; -2.0399057; -1.7139560; 0.1995552; 6.2690485; 2.8571591
0.6978205; -7.1551173; -2.0531543; -1.6943530; 0.1937701; 6.3143188; 2.8795562
0.7975092; -7.0560682; -2.0644944; -1.6753224; 0.1879890; 6.3596179; 2.9079947
0.8971978; -6.9568480; -2.0739744; -1.6568813; 0.1820478; 6.4050393; 2.9491457
0.9968865; -6.8574429; -2.0816546; -1.6390253; 0.1761571; 6.4507768; 2.9936881
1.0965751; -6.7579508; -2.0875859; -1.6217520; 0.1704552; 6.4968757; 3.0354754
1.1962638; -6.6583360; -2.0918273; -1.6050396; 0.1647996; 6.5432866; 3.0808673
1.2959524; -6.5587030; -2.0944304; -1.5888868; 0.1593388; 6.5900572; 3.1229999
1.3956411; -6.4590009; -2.0954511; -1.5732698; 0.1539258; 6.6371311; 3.1686912
1.4953297; -6.3593359; -2.0949420; -1.5581956; 0.1485709; 6.6845549; 3.2173769
1.5950184; -6.2596473; -2.0929560; -1.5436471; 0.1432712; 6.7323656; 3.2691472
1.6947070; -6.1600393; -2.0895477; -1.5296224; 0.1381665; 6.7806003; 3.3170444
1.7943957; -6.0604447; -2.0847657; -1.5160986; 0.1331084; 6.8291935; 3.3685386
1.8940843; -5.9609641; -2.0786651; -1.5030807; 0.1281232; 6.8781897; 3.4222319
1.9937729; -5.8615285; -2.0712913; -1.4905523; 0.1231897; 6.9276121; 3.4792285
2.0934616; -5.7622300; -2.0627002; -1.4785157; 0.1183452; 6.9774987; 3.5375127
2.1931502; -5.6630022; -2.0529346; -1.4669556; 0.1135457; 7.0278580; 3.5916904
2.2928389; -5.5639266; -2.0420502; -1.4558741; 0.1088207; 7.0786220; 3.6420402
2.3925275; -5.4649413; -2.0300876; -1.4452579; 0.1041407; 7.1297286; 3.6969756
2.4922162; -5.3661164; -2.0171019; -1.4351073; 0.0995389; 7.1812341; 3.7545296
2.5919048; -5.2673969; -2.0031323; -1.4254109; 0.0949806; 7.2331660; 3.8168038
2.6915935; -5.1688394; -1.9882322; -1.4161661; 0.0905173; 7.2855799; 3.8806478
2.7912821; -5.0703978; -1.9724398; -1.4073627; 0.0860930; 7.3384867; 3.9496519
2.8909708; -4.9721149; -1.9558063; -1.3989971; 0.0817589; 7.3919455; 4.0205728
2.9906594; -4.8739543; -1.9383694; -1.3910609; 0.0774701; 7.4459700; 4.0965068
3.0903481; -4.7759450; -1.9201772; -1.3835441; 0.0733449; 7.5006146; 4.1670092
3.1900367; -4.6780605; -1.9012668; -1.3764370; 0.0692186; 7.5557943; 4.0322235
3.2897254; -4.5803163; -1.8816831; -1.3697482; 0.0649808; 7.6088081; 3.9292755
3.3894140; -4.4826972; -1.8614658; -1.3634805; 0.0607943; 7.6601155; 3.8440970
3.4891027; -4.3852063; -1.8406577; -1.3576162; 0.0568590; 7.7099802; 3.7588984
3.5887913; -4.2878312; -1.8192966; -1.3521448; 0.0528395; 7.7584299; 3.7011957
3.6884800; -4.1905703; -1.7974237; -1.3471069; 0.0482358; 7.8058419; 3.7159668
3.7881686; -4.0934170; -1.7750837; -1.3425276; 0.0435336; 7.8531553; 3.7588453
3.8878573; -3.9963553; -1.7523220; -1.3384689; 0.0378888; 7.9007263; 3.9164497
3.9875459; -3.8993943; -1.7291972; -1.3349685; 0.0331543; 7.9499891; 3.9997852
4.0872345; -3.8025105; -1.7057419; -1.3315242; 0.0359449; 7.9999871; 0.0010357
4.1869232; -3.7057024; -1.6819374; -1.3278006; 0.0392672; 8.0000000; 0.0000000
4.2866118; -3.6090017; -1.6577508; -1.3234740; 0.0475450; 8.0000000; 0.0000000
4.3863005; -3.5123965; -1.6331009; -1.3183236; 0.0551442; 8.0000000; 0.0000000
4.4859891; -3.4159363; -1.6079312; -1.3127633; 0.0564124; 8.0000000; -0.5230180
4.5856778; -3.3196211; -1.5822199; -1.3070766; 0.0574505; 7.9934800; -1.0985457
4.6853664; -3.2234509; -1.5559599; -1.3014193; 0.0560424; 7.9797680; -1.4238475
4.7850551; -3.1274345; -1.5291645; -1.2959027; 0.0547729; 7.9619604; -1.7953655
4.8847437; -3.0315634; -1.5018424; -1.2904299; 0.0550252; 7.9394495; -2.0180921
4.9844324; -2.9358433; -1.4739947; -1.2849319; 0.0553071; 7.9140696; -2.2640701
5.0841210; -2.8402786; -1.4456194; -1.2793879; 0.0559200; 7.8854989; -2.4947878
5.1838097; -2.7448729; -1.4167116; -1.2737826; 0.0565338; 7.8538964; -2.7454380
5.2834983; -2.6496298; -1.3872659; -1.2681175; 0.0571214; 7.8189712; -3.0211915
5.3831870; -2.5545607; -1.3572800; -1.2623929; 0.0578453; 7.7803569; -3.3206291
5.4828756; -2.4596643; -1.3267435; -1.2565158; 0.0600602; 7.7376932; -3.5014321
5.5825643; -2.3649528; -1.2956396; -1.2504182; 0.0624824; 7.6924502; -3.6740310
5.6822529; -2.2704364; -1.2639416; -1.2439206; 0.0678799; 7.6446891; -3.6738639
5.7819416; -2.1761388; -1.2316056; -1.2368840; 0.0730914; 7.5966299; -3.6454959
5.8816302; -2.0820725; -1.1985855; -1.2294895; 0.0752535; 7.5486394; -3.8784577
5.9813188; -1.9882663; -1.1648643; -1.2218798; 0.0775616; 7.4972449; -4.0450516
6.0810075; -1.8947156; -1.1304124; -1.2139241; 0.0820422; 7.4432647; -3.9564550
6.1806961; -1.8014581; -1.0951996; -1.2055222; 0.0865451; 7.3900854; -3.8577091
6.2803848; -1.7084975; -1.0591792; -1.1966567; 0.0913103; 7.3378623; -3.7642588
6.3800734; -1.6158810; -1.0223190; -1.1873160; 0.0961042; 7.2865434; -3.6768733
6.4797621; -1.5236057; -0.9845666; -1.1774951; 0.1009102; 7.2360645; -3.5981045
6.5794507; -1.4317353; -0.9458964; -1.1671958; 0.1056838; 7.1863238; -3.5963364
6.6791394; -1.3402543; -0.9062523; -1.1564781; 0.1093149; 7.1362610; -3.5962960
6.7788280; -1.2492355; -0.8656247; -1.1454001; 0.1130301; 7.0858452; -3.5374677
6.8785167; -1.1586571; -0.8239616; -1.1338883; 0.1178977; 7.0359016; -3.4780268
6.9782053; -1.0685978; -0.7812478; -1.1218936; 0.1228072; 6.9864491; -3.3818755
7.0778940; -0.9790460; -0.7374230; -1.1093769; 0.1282840; 6.9380258; -3.2894171
7.1775826; -0.8900836; -0.6924674; -1.0963157; 0.1337824; 6.8905999; -3.2100032
7.2772713; -0.8017049; -0.6463173; -1.0827113; 0.1391249; 6.8440022; -3.1339540
7.3769599; -0.7140008; -0.5989599; -1.0685755; 0.1444909; 6.7982002; -3.0942542
7.4766486; -0.6269636; -0.5503317; -1.0539324; 0.1492463; 6.7526737; -3.0540193
7.5763372; -0.5406818; -0.5004268; -1.0388193; 0.1541167; 6.7074362; -2.9158671
7.6760259; -0.4551568; -0.4491869; -1.0231097; 0.1610345; 6.6639585; -2.7905833
7.7757145; -0.3704855; -0.3965930; -1.0067106; 0.1677239; 6.6220815; -2.7840407
7.8754032; -0.2866779; -0.3425809; -0.9898808; 0.1698837; 6.5800372; -2.8745254
7.9750918; -0.2038260; -0.2871767; -0.9728357; 0.1724029; 6.5363426; -2.8992047
8.0747804; -0.1219219; -0.2303393; -0.9553497; 0.1783641; 6.4919749; -2.8335909
8.1744691; -0.0410523; -0.1720628; -0.9372783; 0.1844624; 6.4483164; -2.6114408
8.2741577; 0.0387386; -0.1122980; -0.9184107; 0.1940929; 6.4078173; -2.3987547
8.3738464; 0.1173520; -0.0510054; -0.8985748; 0.2034235; 6.3703897; -2.3961533
8.4735350; 0.1947163; 0.0118667; -0.8781142; 0.2070432; 6.3327819; -2.4291019
8.5732237; 0.2707609; 0.0763171; -0.8572950; 0.2111268; 6.2944276; -2.2522533
8.6729123; 0.3454335; 0.1423642; -0.8357832; 0.2204782; 6.2586557; -2.0762282
8.7726010; 0.4186318; 0.2100324; -0.8133329; 0.2291697; 6.2254974; -2.0646087
8.8722896; 0.4902794; 0.2793543; -0.7904426; 0.2300489; 6.1923487; -2.1973106
8.9719783; 0.5603056; 0.3502878; -0.7674620; 0.2313068; 6.1568733; -2.3319115
9.0716669; 0.6286745; 0.4228173; -0.7442387; 0.2346191; 6.1189998; -2.3971916
9.1713556; 0.6953423; 0.4969408; -0.7206900; 0.2386321; 6.0798201; -2.2106998
9.2710442; 0.7602030; 0.5726145; -0.6963316; 0.2502016; 6.0434633; -1.9730291
9.3707329; 0.8231804; 0.6499124; -0.6707991; 0.2615535; 6.0108296; -1.8477092
9.4704215; 0.8840961; 0.7287862; -0.6443351; 0.2695020; 5.9801071; -1.6772257
9.5701102; 0.9429027; 0.8093110; -0.6170649; 0.2784240; 5.9520820; -1.1990857
9.6697988; 0.9994183; 0.8914055; -0.5884801; 0.2952753; 5.9319651; -0.6845391
9.7694875; 1.0535153; 0.9751631; -0.5581743; 0.3120703; 5.9204500; -0.2821178
9.8691761; 1.1049682; 1.0605316; -0.5264448; 0.3246055; 5.9156978; -0.0780337
9.9688647; 1.1536390; 1.1475324; -0.4934656; 0.3348841; 5.9143826; -0.0780633
10.0685534; 1.1993835; 1.2360740; -0.4603796; 0.3290693; 5.9130667; -0.1231755
10.1682420; 1.2422195; 1.3261106; -0.4278532; 0.3235442; 5.9109897; -0.3285275
10.2679307; 1.2821107; 1.4174440; -0.3957947; 0.3198669; 5.9054465; -0.4869944
10.3676193; 1.3190853; 1.5100433; -0.3640535; 0.3171285; 5.8972199; -0.6324040
10.4673080; 1.3530997; 1.6037325; -0.3324706; 0.3166238; 5.8865198; -0.7087636
10.5669966; 1.3841476; 1.6984712; -0.3009165; 0.3163603; 5.8745046; -0.7830816
10.6666853; 1.4121863; 1.7941192; -0.2693992; 0.3160867; 5.8612009; -0.8656795
10.7663739; 1.4372035; 1.8906267; -0.2378841; 0.3161649; 5.8464587; -0.9443201
10.8660626; 1.4591620; 1.9878547; -0.2063471; 0.3166597; 5.8303347; -1.0163128
10.9657512; 1.4780438; 2.0857438; -0.1747357; 0.3175177; 5.8129316; -1.0821242
11.0654399; 1.4938159; 2.1841672; -0.1430430; 0.3184056; 5.7943440; -1.1541774
11.1651285; 1.5064577; 2.2830529; -0.1112422; 0.3195814; 5.7744528; -1.2233030
11.2648172; 1.5159424; 2.3822828; -0.0793249; 0.3208420; 5.7532953; -1.2975798
11.3645058; 1.5222490; 2.4817709; -0.0472596; 0.3224895; 5.7307677; -1.3661748
11.4641945; 1.5253545; 2.5814075; -0.0150267; 0.3242364; 5.7069532; -1.4396500
11.5638831; 1.5252380; 2.6810915; 0.0173976; 0.3263382; 5.6817498; -1.5101585
11.6635718; 1.5218788; 2.7807216; 0.0500539; 0.3288774; 5.6551914; -1.5748778
11.7632604; 1.5152555; 2.8801834; 0.0829814; 0.3317966; 5.6273613; -1.6353540
11.8629491; 1.5053457; 2.9793786; 0.1162148; 0.3349857; 5.5983160; -1.6956811
11.9626377; 1.4921304; 3.0781782; 0.1497834; 0.3385703; 5.5680393; -1.7519497
12.0623263; 1.4755864; 3.1764872; 0.1837288; 0.3424842; 5.5365841; -1.8067470
12.1620150; 1.4556988; 3.2741597; 0.2180818; 0.3468293; 5.5039566; -1.8576490
12.2617036; 1.4324428; 3.3711024; 0.2528849; 0.3514196; 5.4702071; -1.9002202
12.3613923; 1.4058103; 3.4671526; 0.2881618; 0.3564520; 5.4354673; -1.9358666
12.4610809; 1.3757760; 3.5622151; 0.3239634; 0.3618249; 5.3998460; -1.9697489
12.5607696; 1.3423400; 3.6561121; 0.3603177; 0.3676814; 5.3633585; -1.9975888
12.6604582; 1.3054766; 3.7487428; 0.3972814; 0.3739037; 5.3260999; -2.0235985
12.7601469; 1.2651971; 3.8399109; 0.4348848; 0.3807127; 5.2880885; -2.0412523
12.8598355; 1.2214730; 3.9295119; 0.4732277; 0.3885239; 5.2494667; -2.0277737
12.9595242; 1.1743285; 4.0173209; 0.5123697; 0.3970001; 5.2108165; -2.0099508
13.0592128; 1.1237323; 4.1032203; 0.5523880; 0.4058496; 5.1722210; -1.9885894
13.1589015; 1.0697148; 4.1869841; 0.5932985; 0.4150386; 5.1337502; -1.9645942
13.2585901; 1.0122631; 4.2684641; 0.6351421; 0.4245297; 5.0954583; -1.9116622
13.3582788; 0.9514348; 4.3474139; 0.6779824; 0.4352926; 5.0579199; -1.8344717
13.4579674; 0.8872172; 4.4236748; 0.7219659; 0.4470610; 5.0216333; -1.7459403
13.5576561; 0.8196893; 4.4969730; 0.7671292; 0.4592493; 4.9868528; -1.6180530
13.6573447; 0.7488590; 4.5671203; 0.8135826; 0.4728637; 4.9544018; -1.4524575
13.7570334; 0.6748129; 4.6338409; 0.8614461; 0.4876460; 4.9250899; -1.2367371
13.8567220; 0.5976031; 4.6968901; 0.9108590; 0.5038520; 4.8999932; -0.9725593
13.9564106; 0.5173313; 4.7559777; 0.9619345; 0.5210840; 4.8801667; -0.5760625
14.0560993; 0.4340951; 4.8108147; 1.0149196; 0.5422462; 4.8683851; -0.0780415
14.1557879; 0.3480162; 4.8610737; 1.0700996; 0.5651627; 4.8667868; -0.0528147
14.2554766; 0.2592421; 4.9063948; 1.1279420; 0.5956982; 4.8657048; -0.0527913
14.3551652; 0.1679329; 4.9463664; 1.1889285; 0.6274435; 4.8646231; -0.0527678
14.4548539; 0.0743118; 4.9805807; 1.2521430; 0.6413514; 4.8635416; -0.0527443
14.5545425; -0.0212950; 5.0087378; 1.3169133; 0.6571839; 4.8624604; -0.0527209
14.6542312; -0.1185217; 5.0306519; 1.3807497; 0.6238479; 4.8613794; -0.0526974
14.7539198; -0.2169361; 5.0464815; 1.4413627; 0.5926313; 4.8602987; -0.0526974
14.8536085; -0.3160953; 5.0564658; 1.4990793; 0.5656932; 4.8592177; 0.0110874
14.9532971; -0.4156898; 5.0608452; 1.5542060; 0.5404390; 4.8594452; 0.5678955
15.0529858; -0.5153476; 5.0598556; 1.6068368; 0.5158199; 4.8710813; 1.0401163
15.1526744; -0.6148531; 5.0537419; 1.6570986; 0.4926672; 4.8923214; 1.4273599
15.2523631; -0.7139121; 5.0427540; 1.7050550; 0.4697166; 4.9213201; 1.7739608
15.3520517; -0.8123742; 5.0271363; 1.7507842; 0.4477840; 4.9571241; 2.0708517
15.4517404; -0.9100189; 5.0071459; 1.7943147; 0.4257574; 4.9985958; 2.3530567
15.5514290; -1.0067495; 4.9830241; 1.8356995; 0.4045852; 5.0453053; 2.6034859
15.6511177; -1.1024117; 4.9550270; 1.8749721; 0.3834591; 5.0964872; 2.8475506
15.7508063; -1.1969487; 4.9233889; 1.9121731; 0.3629471; 5.1518850; 3.0748340
15.8504950; -1.2902680; 4.8883559; 1.9473461; 0.3428008; 5.2110432; 3.2953082
15.9501836; -1.3823458; 4.8501504; 1.9805342; 0.3230851; 5.2737065; 3.5100590
16.0498722; -1.4731373; 4.8090033; 2.0117626; 0.3034927; 5.3396448; 3.7297609
16.1495609; -1.5626506; 4.7651244; 2.0410532; 0.2841833; 5.4088295; 3.9520097
16.2492495; -1.6508789; 4.7187307; 2.0684292; 0.2650877; 5.4811839; 4.1806774
16.3489382; -1.7378561; 4.6700185; 2.0939127; 0.2462045; 5.5566995; 4.4042166
16.4486268; -1.8236070; 4.6191886; 2.1175358; 0.2277550; 5.6351584; 4.6278877
16.5483155; -1.9081861; 4.5664221; 2.1393255; 0.2094146; 5.7164417; 4.8682674
16.6480041; -1.9916410; 4.5119035; 2.1593125; 0.1915911; 5.8007179; 5.1137437
16.7476928; -2.0740438; 4.4557980; 2.1775270; 0.1738443; 5.8879446; 5.2226623
16.8473814; -2.1554590; 4.3982744; 2.1939890; 0.1564354; 5.9757152; 5.2203394
16.9470701; -2.2359691; 4.3394867; 2.2087183; 0.1390772; 6.0621770; 5.2180176
17.0467587; -2.3156562; 4.2795885; 2.2217237; 0.1218434; 6.1473851; 5.2156967
17.1464474; -2.3946089; 4.2187275; 2.2330119; 0.1046327; 6.2313911; 5.2133769
17.2461360; -2.4729252; 4.1570441; 2.2425863; 0.0874498; 6.3142430; 5.2110582
17.3458247; -2.5506968; 4.0946835; 2.2504478; 0.0702757; 6.3959855; 5.2087404
17.4455133; -2.6280356; 4.0317747; 2.2565985; 0.0531163; 6.4766608; 5.2064237
17.5452020; -2.7050326; 3.9684636; 2.2610380; 0.0359541; 6.5563083; 5.2041080
17.6448906; -2.7818113; 3.9048694; 2.2637649; 0.0187489; 6.6349649; 5.2017934
17.7445793; -2.8584605; 3.8411405; 2.2647758; 0.0015314; 6.7126655; 5.1994797
17.8442679; -2.9351118; 3.7773903; 2.2640672; -0.0157523; 6.7894431; 5.1971672
17.9439565; -3.0118502; 3.7137712; 2.2616348; -0.0330538; 6.8653284; 4.2657097
18.0436452; -3.0888116; 3.6503942; 2.2574696; -0.0505108; 6.9269921; -6.8750435
18.1433338; -3.1660765; 3.5874175; 2.2515637; -0.0679915; 6.8273342; -6.2683535
18.2430225; -3.2437809; 3.5249544; 2.2439150; -0.0854485; 6.7351856; -5.6977677
18.3427111; -3.3220000; 3.4631668; 2.2345267; -0.1029244; 6.6503172; -5.1405172
18.4423998; -3.4008632; 3.4021747; 2.2233797; -0.1207117; 6.5728089; -4.6013106
18.5420884; -3.4804407; 3.3421464; 2.2104587; -0.1385414; 6.5026472; -4.0563568
18.6417771; -3.5608519; 3.2832146; 2.1957398; -0.1567589; 6.4401611; -3.5130503
18.7414657; -3.6421634; 3.2255542; 2.1792038; -0.1750156; 6.3855503; -2.9642695
18.8411544; -3.7244771; 3.1693152; 2.1608466; -0.1932757; 6.3391044; -2.3977700
18.9408430; -3.8078518; 3.1146773; 2.1406667; -0.2116079; 6.3012842; -1.8039210
19.0405317; -3.8923655; 3.0618070; 2.1186559; -0.2299949; 6.2726806; -1.1694022
19.1402203; -3.9780653; 3.0108906; 2.0948080; -0.2484702; 6.2540683; -0.4800760
19.2399090; -4.0650002; 2.9621121; 2.0691151; -0.2670337; 6.2464113; -0.0870025
19.3395976; -4.1532045; 2.9156640; 2.0415624; -0.2857493; 6.2450226; -0.0869638
19.4392863; -4.2426898; 2.8717491; 2.0121662; -0.3040650; 6.2436343; -0.0869251
19.5389749; -4.3334733; 2.8305629; 1.9809313; -0.3225759; 6.2422462; -0.0868865
19.6386636; -4.4255207; 2.7923237; 1.9478093; -0.3420956; 6.2408585; -0.0868479
19.7383522; -4.5188361; 2.7572388; 1.9127154; -0.3619341; 6.2394711; -0.0868092
19.8380409; -4.6133290; 2.7255408; 1.8759813; -0.3749481; 6.2380840; -0.0867707
19.9377295; -4.7089691; 2.6973880; 1.8379438; -0.3881284; 6.2366972; -0.0867321
20.0374181; -4.8055788; 2.6729215; 1.8000143; -0.3717567; 6.2353107; -0.0866935
20.1371068; -4.9030738; 2.6520420; 1.7638098; -0.3545394; 6.2339245; -0.0866550
20.2367954; -5.0012000; 2.6346220; 1.7295335; -0.3331110; 6.2325386; -0.0866165
20.3364841; -5.0998971; 2.6204632; 1.6973831; -0.3118406; 6.2311530; -0.0865779
20.4361727; -5.1989429; 2.6093854; 1.6673071; -0.2917720; 6.2297677; -0.0865779
20.5358614; -5.2983123; 2.6011894; 1.6392004; -0.2720599; 6.2283822; 0.2134278
20.6355500; -5.3978296; 2.5956940; 1.6130397; -0.2529286; 6.2317973; 0.9418563
