# e24d7522-5cb2-4831-b689-08487c88db30
# a373b5ca8b835d7bb5fed8d13f0961fc1a6a3549
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -7.8389482; -1.9174722; -1.8437317; 0.2362936; 5.8160722; 2.7071582
0.0499264; -7.7907712; -1.9306534; -1.8320218; 0.2325863; 5.8392648; 2.7294989
0.0998529; -7.7424603; -1.9432701; -1.8205017; 0.2288415; 5.8625559; 2.7547798
0.1497793; -7.6940214; -1.9553307; -1.8091725; 0.2250660; 5.8859693; 2.7827073
0.1997058; -7.6454591; -1.9668443; -1.7980344; 0.2213191; 5.9095258; 2.8109993
0.2496322; -7.5967489; -1.9778255; -1.7870435; 0.2189085; 5.9332270; 2.7894045
0.2995586; -7.5479272; -1.9882725; -1.7761744; 0.2164854; 5.9566528; 2.7707656
0.3494851; -7.4989991; -1.9981904; -1.7654274; 0.2140534; 5.9798312; 2.7548333
0.3994115; -7.4499694; -2.0075846; -1.7548024; 0.2115698; 6.0027876; 2.7422777
0.4493380; -7.4008409; -2.0164611; -1.7443156; 0.2085393; 6.0255525; 2.7471527
0.4992644; -7.3516216; -2.0248258; -1.7339798; 0.2055129; 6.0482720; 2.7537655
0.5491908; -7.3023172; -2.0326853; -1.7237945; 0.2024939; 6.0709609; 2.7619192
0.5991173; -7.2529347; -2.0400462; -1.7137595; 0.1994980; 6.0936320; 2.7709174
0.6490437; -7.2034904; -2.0469135; -1.7038730; 0.1966000; 6.1162926; 2.7776016
0.6989702; -7.1539764; -2.0532959; -1.6941303; 0.1937034; 6.1389239; 2.7860268
0.7488966; -7.1043972; -2.0591998; -1.6845310; 0.1908112; 6.1615404; 2.7960162
0.7988230; -7.0547619; -2.0646313; -1.6750756; 0.1879105; 6.1841548; 2.8080850
0.8487495; -7.0050946; -2.0695953; -1.6657704; 0.1849318; 6.2067838; 2.8252073
0.8986759; -6.9553754; -2.0741013; -1.6566122; 0.1819599; 6.2294679; 2.8435952
0.9486024; -6.9056082; -2.0781562; -1.6476006; 0.1789973; 6.2522166; 2.8631128
0.9985288; -6.8558050; -2.0817663; -1.6387362; 0.1760630; 6.2750380; 2.8828914
1.0484552; -6.8059939; -2.0849370; -1.6300198; 0.1732049; 6.2979335; 2.9007480
1.0983817; -6.7561465; -2.0876776; -1.6214442; 0.1703521; 6.3208872; 2.9199264
1.1483081; -6.7062662; -2.0899946; -1.6130089; 0.1675070; 6.3439087; 2.9403052
1.1982346; -6.6563673; -2.0918944; -1.6047151; 0.1646913; 6.3670068; 2.9608469
1.2481610; -6.6064793; -2.0933831; -1.5965637; 0.1619519; 6.3901819; 2.9793223
1.2980874; -6.5565682; -2.0944687; -1.5885467; 0.1592223; 6.4134171; 2.9989085
1.3480139; -6.5066371; -2.0951577; -1.5806637; 0.1565043; 6.4367203; 3.0195092
1.3979403; -6.4567028; -2.0954564; -1.5729162; 0.1538020; 6.4600987; 3.0408997
1.4478667; -6.4067934; -2.0953718; -1.5653071; 0.1511168; 6.4835575; 3.0630049
1.4977932; -6.3568725; -2.0949105; -1.5578297; 0.1484390; 6.5071013; 3.0862996
1.5477196; -6.3069426; -2.0940791; -1.5504838; 0.1457700; 6.5307384; 3.1107004
1.5976461; -6.2570218; -2.0928842; -1.5432710; 0.1431362; 6.5544760; 3.1348478
1.6475725; -6.2071368; -2.0913335; -1.5361911; 0.1405753; 6.5783113; 3.1567973
1.6974989; -6.1572496; -2.0894323; -1.5292368; 0.1380241; 6.6022265; 3.1798451
1.7474254; -6.1073624; -2.0871866; -1.5224077; 0.1354836; 6.6262291; 3.2039253
1.7973518; -6.0574944; -2.0846036; -1.5157055; 0.1329600; 6.6503258; 3.2287028
1.8472783; -6.0076695; -2.0816911; -1.5091319; 0.1304587; 6.6745208; 3.2538742
1.8972047; -5.9578506; -2.0784533; -1.5026811; 0.1279679; 6.6988161; 3.2800842
1.9471311; -5.9080398; -2.0748963; -1.4963526; 0.1254883; 6.7232182; 3.3072851
1.9970576; -5.8582559; -2.0710275; -1.4901481; 0.1230295; 6.7477333; 3.3349441
2.0469840; -5.8085192; -2.0668548; -1.4840682; 0.1205992; 6.7723636; 3.3626236
2.0969105; -5.7587956; -2.0623817; -1.4781078; 0.1181783; 6.7971079; 3.3914144
2.1468369; -5.7090867; -2.0576140; -1.4722666; 0.1157673; 6.8219732; 3.4212810
2.1967633; -5.6594100; -2.0525595; -1.4665458; 0.1133738; 6.8469660; 3.4517902
2.2466898; -5.6097826; -2.0472260; -1.4609462; 0.1110035; 6.8720895; 3.4826040
2.2966162; -5.5601740; -2.0416162; -1.4554633; 0.1086424; 6.8973446; 3.5145597
2.3465427; -5.5105853; -2.0357362; -1.4500969; 0.1062911; 6.9227380; 3.5476372
2.3964691; -5.4610322; -2.0295934; -1.4448479; 0.1039582; 6.9482763; 3.5813064
2.4463955; -5.4115286; -2.0231958; -1.4397164; 0.1016500; 6.9739621; 3.6151878
2.4963220; -5.3620482; -2.0165457; -1.4346990; 0.0993501; 6.9997953; 3.6503234
2.5462484; -5.3125922; -2.0096489; -1.4297952; 0.0970587; 7.0257832; 3.6867061
2.5961749; -5.2631731; -2.0025130; -1.4250058; 0.0947889; 7.0519329; 3.7235103
2.6461013; -5.2138022; -1.9951453; -1.4203301; 0.0925505; 7.0782456; 3.7601031
2.6960277; -5.1644580; -1.9875484; -1.4157652; 0.0903194; 7.1047180; 3.7980869
2.7459542; -5.1151412; -1.9797279; -1.4113108; 0.0880957; 7.1313580; 3.8374674
2.7958806; -5.0658616; -1.9716909; -1.4069674; 0.0858926; 7.1581736; 3.8773833
2.8458071; -5.0166273; -1.9634444; -1.4027338; 0.0837195; 7.1851665; 3.9171886
2.8957335; -4.9674222; -1.9549912; -1.3986082; 0.0815525; 7.2123339; 3.9585675
2.9456599; -4.9182468; -1.9463368; -1.3945902; 0.0793915; 7.2396847; 4.0015389
2.9955864; -4.8691075; -1.9374878; -1.3906797; 0.0772658; 7.2672278; 4.0440547
3.0455128; -4.8200099; -1.9284506; -1.3868741; 0.0751981; 7.2949579; 4.0844749
3.0954393; -4.7709429; -1.9192285; -1.3831712; 0.0731346; 7.3228585; 4.1267184
3.1453657; -4.7219066; -1.9098266; -1.3795711; 0.0710755; 7.3509402; 4.1708113
3.1952921; -4.6729045; -1.9002509; -1.3760739; 0.0689947; 7.3792133; 4.2187501
3.2452186; -4.6239397; -1.8905073; -1.3726824; 0.0668706; 7.4077016; 4.2722719
3.2951450; -4.5750059; -1.8805998; -1.3693967; 0.0647509; 7.4364401; 4.3277867
3.3450715; -4.5261034; -1.8705341; -1.3662166; 0.0626356; 7.4654393; 4.3853604
3.3949979; -4.4772332; -1.8603155; -1.3631417; 0.0605741; 7.4947098; 4.4411133
3.4449243; -4.4283959; -1.8499496; -1.3601667; 0.0586039; 7.5242364; 4.4007141
3.4948508; -4.3795885; -1.8394407; -1.3572901; 0.0566318; 7.5533805; 4.3457784
3.5447772; -4.3308098; -1.8287936; -1.3545119; 0.0546583; 7.5820509; 4.2969694
3.5947037; -4.2820598; -1.8180132; -1.3518332; 0.0525658; 7.6102930; 4.2643848
3.6446301; -4.2333389; -1.8071052; -1.3492664; 0.0502580; 7.6382178; 4.2567183
3.6945565; -4.1846453; -1.7960749; -1.3468146; 0.0479559; 7.6659909; 4.2541142
3.7444830; -4.1359792; -1.7849282; -1.3444777; 0.0456589; 7.6936469; 4.2566170
3.7944094; -4.0873375; -1.7736704; -1.3422570; 0.0431802; 7.7212200; 4.2822010
3.8443358; -4.0387168; -1.7623070; -1.3401715; 0.0403531; 7.7488598; 4.3478558
3.8942623; -3.9901227; -1.7508465; -1.3382274; 0.0375261; 7.7768229; 4.4196721
3.9441887; -3.9415541; -1.7392960; -1.3364245; 0.0346991; 7.8051451; 4.4981767
3.9941152; -3.8930073; -1.7276616; -1.3347501; 0.0333394; 7.8338654; 4.4270131
4.0440416; -3.8444783; -1.7159456; -1.3330507; 0.0347409; 7.8620288; 4.0574311
4.0939680; -3.7959693; -1.7041454; -1.3312816; 0.0361318; 7.8877527; 3.6924285
4.1438945; -3.7474775; -1.6922566; -1.3294431; 0.0375112; 7.9110898; 3.3334518
4.1938209; -3.6990092; -1.6802773; -1.3275278; 0.0398394; 7.9320992; 2.8674713
4.2437474; -3.6505722; -1.6682031; -1.3254356; 0.0439835; 7.9501272; 0.1720019
4.2936738; -3.6021545; -1.6560207; -1.3231361; 0.0481322; 7.9512073; -1.5596794
4.3436002; -3.5537609; -1.6437207; -1.3206291; 0.0522871; 7.9414079; -1.2993808
4.3935267; -3.5053998; -1.6312944; -1.3179248; 0.0552353; 7.9332346; -1.2978992
