# 5088aa49-84dc-4995-8e2c-14010865499b
# 520b0e7adf9ae2f693188b6d864b326c3aee9afa
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -7.8389482; -1.9174722; -1.8437317; 0.2362936; 4.8981957; 2.1242102
0.0499264; -7.7907712; -1.9306534; -1.8320218; 0.2325863; 4.9197997; 2.1452609
0.0998529; -7.7424603; -1.9432701; -1.8205017; 0.2288415; 4.9415220; 2.1686574
0.1497793; -7.6940214; -1.9553307; -1.8091725; 0.2250660; 4.9633846; 2.1941890
0.1997058; -7.6454591; -1.9668443; -1.7980344; 0.2213191; 4.9854070; 2.2201011
0.2496322; -7.5967489; -1.9778255; -1.7870435; 0.2189085; 5.0075909; 2.2073678
0.2995586; -7.5479272; -1.9882725; -1.7761744; 0.2164854; 5.0295505; 2.1968274
0.3494851; -7.4989991; -1.9981904; -1.7654274; 0.2140534; 5.0513105; 2.1883035
0.3994115; -7.4499694; -2.0075846; -1.7548024; 0.2115698; 5.0728933; 2.1830491
0.4493380; -7.4008409; -2.0164611; -1.7443156; 0.2085393; 5.0943331; 2.1964511
0.4992644; -7.3516216; -2.0248258; -1.7339798; 0.2055129; 5.1158139; 2.2110197
0.5491908; -7.3023172; -2.0326853; -1.7237945; 0.2024939; 5.1373464; 2.2266246
0.5991173; -7.2529347; -2.0400462; -1.7137595; 0.1994980; 5.1589401; 2.2427432
0.6490437; -7.2034904; -2.0469135; -1.7038730; 0.1966000; 5.1805992; 2.2569229
0.6989702; -7.1539764; -2.0532959; -1.6941303; 0.1937034; 5.2023041; 2.2723347
0.7488966; -7.1043972; -2.0591998; -1.6845310; 0.1908112; 5.2240662; 2.2888606
0.7988230; -7.0547619; -2.0646313; -1.6750756; 0.1879105; 5.2458952; 2.3069236
0.8487495; -7.0050946; -2.0695953; -1.6657704; 0.1849318; 5.2678050; 2.3288761
0.8986759; -6.9553754; -2.0741013; -1.6566122; 0.1819599; 5.2898312; 2.3517860
0.9486024; -6.9056082; -2.0781562; -1.6476006; 0.1789973; 5.3119815; 2.3755625
0.9985288; -6.8558050; -2.0817663; -1.6387362; 0.1760630; 5.3342623; 2.3995379
1.0484552; -6.8059939; -2.0849370; -1.6300198; 0.1732049; 5.3566738; 2.4220058
1.0983817; -6.7561465; -2.0876776; -1.6214442; 0.1703521; 5.3792006; 2.4455118
1.1483081; -6.7062662; -2.0899946; -1.6130089; 0.1675070; 5.4018506; 2.4699754
1.1982346; -6.6563673; -2.0918944; -1.6047151; 0.1646913; 5.4246313; 2.4945930
1.2481610; -6.6064793; -2.0933831; -1.5965637; 0.1619519; 5.4475423; 2.5176150
1.2980874; -6.5565682; -2.0944687; -1.5885467; 0.1592223; 5.4705674; 2.5415390
1.3480139; -6.5066371; -2.0951577; -1.5806637; 0.1565043; 5.4937135; 2.5663016
1.3979403; -6.4567028; -2.0954564; -1.5729162; 0.1538020; 5.5169865; 2.5917365
1.4478667; -6.4067934; -2.0953718; -1.5653071; 0.1511168; 5.5403910; 2.6177944
1.4977932; -6.3568725; -2.0949105; -1.5578297; 0.1484390; 5.5639309; 2.6448598
1.5477196; -6.3069426; -2.0940791; -1.5504838; 0.1457700; 5.5876134; 2.6728786
1.5976461; -6.2570218; -2.0928842; -1.5432710; 0.1431362; 5.6114453; 2.7007854
