# 97ce25fb-950a-4081-a977-b35534c824e9
# e135acb7fa5dc8de0ab469ba9b3b93c8b0e30c68
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -7.8389482; -1.9174722; -1.8437317; 0.2362936; 4.7739576; 2.0688532
0.0499264; -7.7907712; -1.9306534; -1.8320218; 0.2325863; 4.7955450; 2.0874069
0.0998529; -7.7424603; -1.9432701; -1.8205017; 0.2288415; 4.8172280; 2.1084513
0.1497793; -7.6940214; -1.9553307; -1.8091725; 0.2250660; 4.8390309; 2.1317610
0.1997058; -7.6454591; -1.9668443; -1.7980344; 0.2213191; 4.8609755; 2.1555402
0.2496322; -7.5967489; -1.9778255; -1.7870435; 0.2189085; 4.8830646; 2.1400412
0.2995586; -7.5479272; -1.9882725; -1.7761744; 0.2164854; 4.9048964; 2.1269336
0.3494851; -7.4989991; -1.9981904; -1.7654274; 0.2140534; 4.9264987; 2.1160242
0.3994115; -7.4499694; -2.0075846; -1.7548024; 0.2115698; 4.9478966; 2.1085776
0.4493380; -7.4008409; -2.0164611; -1.7443156; 0.2085393; 4.9691275; 2.1202716
0.4992644; -7.3516216; -2.0248258; -1.7339798; 0.2055129; 4.9903851; 2.1332191
0.5491908; -7.3023172; -2.0326853; -1.7237945; 0.2024939; 5.0116815; 2.1472807
0.5991173; -7.2529347; -2.0400462; -1.7137595; 0.1994980; 5.0330273; 2.1619175
0.6490437; -7.2034904; -2.0469135; -1.7038730; 0.1966000; 5.0544275; 2.1746209
0.6989702; -7.1539764; -2.0532959; -1.6941303; 0.1937034; 5.0758624; 2.1886309
0.7488966; -7.1043972; -2.0591998; -1.6845310; 0.1908112; 5.0973445; 2.2038216
0.7988230; -7.0547619; -2.0646313; -1.6750756; 0.1879105; 5.1188845; 2.2206207
0.8487495; -7.0050946; -2.0695953; -1.6657704; 0.1849318; 5.1404974; 2.2414280
0.8986759; -6.9553754; -2.0741013; -1.6566122; 0.1819599; 5.1622211; 2.2632355
0.9486024; -6.9056082; -2.0781562; -1.6476006; 0.1789973; 5.1840638; 2.2859474
0.9985288; -6.8558050; -2.0817663; -1.6387362; 0.1760630; 5.2060327; 2.3088780
