# 7d664053-ccf4-4e3a-9b99-578aa41ddfd1
# 817d2baab3c94d224eac9769010718d8ab383ecc
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -7.8389482; -1.9174722; -1.8437317; 0.2362936; 5.4711213; 2.5015956
0.0996886; -7.7426195; -1.9432295; -1.8205393; 0.2288539; 5.5165142; 2.5502293
0.1993773; -7.6457792; -1.9667703; -1.7981071; 0.2213349; 5.5624084; 2.6070179
0.2990659; -7.5484096; -1.9881720; -1.7762811; 0.2165094; 5.6089364; 2.5762574
0.3987546; -7.4506152; -2.0074644; -1.7549414; 0.2116096; 5.6545393; 2.5562987
0.4984432; -7.3524318; -2.0246923; -1.7341486; 0.2055626; 5.6994282; 2.5850303
0.5981319; -7.2539098; -2.0399057; -1.7139560; 0.1995552; 5.7444650; 2.6179936
0.6978205; -7.1551173; -2.0531543; -1.6943530; 0.1937701; 5.7897191; 2.6481777
0.7975092; -7.0560682; -2.0644944; -1.6753224; 0.1879890; 5.8351378; 2.6838132
0.8971978; -6.9568480; -2.0739744; -1.6568813; 0.1820478; 5.8808099; 2.7311241
0.9968865; -6.8574429; -2.0816546; -1.6390253; 0.1761571; 5.9269258; 2.7815912
1.0965751; -6.7579508; -2.0875859; -1.6217520; 0.1704552; 5.9735279; 2.8295774
1.1962638; -6.6583360; -2.0918273; -1.6050396; 0.1647996; 6.0205638; 2.8744231
1.2959524; -6.5587030; -2.0944304; -1.5888868; 0.1593388; 6.0679719; 2.9082585
1.3956411; -6.4590009; -2.0954511; -1.5732698; 0.1539258; 6.1155641; 2.9464105
1.4953297; -6.3593359; -2.0949420; -1.5581956; 0.1485709; 6.1634058; 2.9882924
1.5950184; -6.2596473; -2.0929560; -1.5436471; 0.1432712; 6.2115513; 3.0339363
1.6947070; -6.1600393; -2.0895477; -1.5296224; 0.1381665; 6.2600533; 3.0767651
1.7943957; -6.0604447; -2.0847657; -1.5160986; 0.1331084; 6.3088592; 3.1237350
1.8940843; -5.9609641; -2.0786651; -1.5030807; 0.1281232; 6.3580269; 3.1735017
1.9937729; -5.8615285; -2.0712913; -1.4905523; 0.1231897; 6.4075916; 3.2270845
2.0934616; -5.7622300; -2.0627002; -1.4785157; 0.1183452; 6.4576031; 3.2825574
2.1931502; -5.6630022; -2.0529346; -1.4669556; 0.1135457; 6.5080800; 3.3422050
2.2928389; -5.5639266; -2.0420502; -1.4558741; 0.1088207; 6.5590750; 3.4044666
2.3925275; -5.4649413; -2.0300876; -1.4452579; 0.1041407; 6.6106156; 3.4709973
2.4922162; -5.3661164; -2.0171019; -1.4351073; 0.0995389; 6.6627529; 3.5399971
2.5919048; -5.2673969; -2.0031323; -1.4254109; 0.0949806; 6.7155098; 3.6135290
2.6915935; -5.1688394; -1.9882322; -1.4161661; 0.0905173; 6.7689384; 3.6886575
2.7912821; -5.0703978; -1.9724398; -1.4073627; 0.0860930; 6.8230464; 3.7688558
2.8909708; -4.9721149; -1.9558063; -1.3989971; 0.0817589; 6.8778911; 3.8510937
2.9906594; -4.8739543; -1.9383694; -1.3910609; 0.0774701; 6.9334844; 3.9383721
3.0903481; -4.7759450; -1.9201772; -1.3835441; 0.0733449; 6.9898804; 4.0230479
3.1900367; -4.6780605; -1.9012668; -1.3764370; 0.0692186; 7.0470230; 4.1163082
3.2897254; -4.5803163; -1.8816831; -1.3697482; 0.0649808; 7.1050145; 4.2263223
3.3894140; -4.4826972; -1.8614658; -1.3634805; 0.0607943; 7.1640676; 4.3421275
3.4891027; -4.3852063; -1.8406577; -1.3576162; 0.0568590; 7.2242360; 4.4491964
3.5887913; -4.2878312; -1.8192966; -1.3521448; 0.0528395; 7.2853726; 4.5730889
3.6884800; -4.1905703; -1.7974237; -1.3471069; 0.0482358; 7.3476816; 4.7547395
3.7881686; -4.0934170; -1.7750837; -1.3425276; 0.0435336; 7.4119101; 4.9579826
3.8878573; -3.9963553; -1.7523220; -1.3384689; 0.0378888; 7.4782966; 5.1752418
3.9875459; -3.8993943; -1.7291972; -1.3349685; 0.0331543; 7.5469694; 5.1729400
4.0872345; -3.8025105; -1.7057419; -1.3315242; 0.0359449; 7.6149927; 4.9212833
4.1869232; -3.7057024; -1.6819374; -1.3278006; 0.0392672; 7.6791474; 4.3474235
4.2866118; -3.6090017; -1.6577508; -1.3234740; 0.0475450; 7.7353787; 2.8440378
4.3863005; -3.5123965; -1.6331009; -1.3183236; 0.0551442; 7.7719444; -2.6243385
4.4859891; -3.4159363; -1.6079312; -1.3127633; 0.0564124; 7.7382095; -2.6736785
4.5856778; -3.3196211; -1.5822199; -1.3070766; 0.0574505; 7.7036884; -2.7356095
4.6853664; -3.2234509; -1.5559599; -1.3014193; 0.0560424; 7.6682069; -3.0514238
4.7850551; -3.1274345; -1.5291645; -1.2959027; 0.0547729; 7.6284345; -3.3754001
4.8847437; -3.0315634; -1.5018424; -1.2904299; 0.0550252; 7.5841963; -3.5649673
4.9844324; -2.9358433; -1.4739947; -1.2849319; 0.0553071; 7.5371918; -3.7644061
5.0841210; -2.8402786; -1.4456194; -1.2793879; 0.0559200; 7.4872374; -3.9317207
5.1838097; -2.7448729; -1.4167116; -1.2737826; 0.0565338; 7.4347043; -4.0516951
5.2834983; -2.6496298; -1.3872659; -1.2681175; 0.0571214; 7.3801769; -4.1789777
5.3831870; -2.5545607; -1.3572800; -1.2623929; 0.0578453; 7.3235113; -4.3047245
5.4828756; -2.4596643; -1.3267435; -1.2565158; 0.0600602; 7.2646785; -4.3171424
