# 881ea028-8687-495e-8cf7-b3e640b1be86
# f40e0d5691a0623a4c8ee7fcaa2f54ff2dd51d07
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -7.8389482; -1.9174722; -1.8437317; 0.2362936; 5.3731671; 2.4310755
0.0499264; -7.7907712; -1.9306534; -1.8320218; 0.2325863; 5.3957089; 2.4528222
0.0998529; -7.7424603; -1.9432701; -1.8205017; 0.2288415; 5.4183573; 2.4772790
0.1497793; -7.6940214; -1.9553307; -1.8091725; 0.2250660; 5.4411358; 2.5041867
0.1997058; -7.6454591; -1.9668443; -1.7980344; 0.2213191; 5.4640653; 2.5314837
0.2496322; -7.5967489; -1.9778255; -1.7870435; 0.2189085; 5.4871473; 2.5135954
0.2995586; -7.5479272; -1.9882725; -1.7761744; 0.2164854; 5.5099705; 2.4949002
0.3494851; -7.4989991; -1.9981904; -1.7654274; 0.2140534; 5.5325309; 2.4743550
0.3994115; -7.4499694; -2.0075846; -1.7548024; 0.2115698; 5.5548150; 2.4580346
0.4493380; -7.4008409; -2.0164611; -1.7443156; 0.2085393; 5.5768639; 2.4638813
0.4992644; -7.3516216; -2.0248258; -1.7339798; 0.2055129; 5.5988782; 2.4713296
0.5491908; -7.3023172; -2.0326853; -1.7237945; 0.2024939; 5.6208724; 2.4802029
0.5991173; -7.2529347; -2.0400462; -1.7137595; 0.1994980; 5.6428593; 2.4898675
0.6490437; -7.2034904; -2.0469135; -1.7038730; 0.1966000; 5.6648462; 2.4974365
0.6989702; -7.1539764; -2.0532959; -1.6941303; 0.1937034; 5.6868144; 2.5066165
0.7488966; -7.1043972; -2.0591998; -1.6845310; 0.1908112; 5.7087784; 2.5172489
0.7988230; -7.0547619; -2.0646313; -1.6750756; 0.1879105; 5.7307509; 2.5298092
0.8487495; -7.0050946; -2.0695953; -1.6657704; 0.1849318; 5.7527484; 2.5470304
0.8986759; -6.9553754; -2.0741013; -1.6566122; 0.1819599; 5.7748111; 2.5654452
0.9486024; -6.9056082; -2.0781562; -1.6476006; 0.1789973; 5.7969483; 2.5849319
0.9985288; -6.8558050; -2.0817663; -1.6387362; 0.1760630; 5.8191686; 2.6046944
1.0484552; -6.8059939; -2.0849370; -1.6300198; 0.1732049; 5.8414732; 2.6227248
1.0983817; -6.7561465; -2.0876776; -1.6214442; 0.1703521; 5.8638465; 2.6420073
1.1483081; -6.7062662; -2.0899946; -1.6130089; 0.1675070; 5.8862983; 2.6624334
1.1982346; -6.6563673; -2.0918944; -1.6047151; 0.1646913; 5.9088374; 2.6830490
1.2481610; -6.6064793; -2.0933831; -1.5965637; 0.1619519; 5.9314644; 2.7017967
1.2980874; -6.5565682; -2.0944687; -1.5885467; 0.1592223; 5.9541625; 2.7216085
1.3480139; -6.5066371; -2.0951577; -1.5806637; 0.1565043; 5.9769400; 2.7423983
1.3979403; -6.4567028; -2.0954564; -1.5729162; 0.1538020; 5.9998040; 2.7639610
1.4478667; -6.4067934; -2.0953718; -1.5653071; 0.1511168; 6.0227600; 2.7862295
1.4977932; -6.3568725; -2.0949105; -1.5578297; 0.1484390; 6.0458127; 2.8096464
1.5477196; -6.3069426; -2.0940791; -1.5504838; 0.1457700; 6.0689704; 2.8341380
1.5976461; -6.2570218; -2.0928842; -1.5432710; 0.1431362; 6.0922409; 2.8584446
1.6475725; -6.2071368; -2.0913335; -1.5361911; 0.1405753; 6.1156212; 2.8807588
1.6974989; -6.1572496; -2.0894323; -1.5292368; 0.1380241; 6.1390940; 2.9041429
1.7474254; -6.1073624; -2.0871866; -1.5224077; 0.1354836; 6.1626668; 2.9285391
