# 96f6f9c4-a732-4cc7-ab79-7c8837ff4e80
# a373b5ca8b835d7bb5fed8d13f0961fc1a6a3549
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2044062; -0.0072699; -1.2201289; 0.1795765; 4.0000000; 0.0000000
0.0998375; 0.2978452; 0.0278743; -1.2018394; 0.1868370; 4.0000000; 0.0000000
0.1996750; 0.3906237; 0.0647598; -1.1828218; 0.1941066; 4.0000000; 0.0000000
0.2995124; 0.4826548; 0.1034294; -1.1630896; 0.2012323; 4.0000000; 0.0000000
0.3993499; 0.5739091; 0.1439484; -1.1426396; 0.2084008; 4.0000000; 0.0000000
0.4991874; 0.6642791; 0.1863472; -1.1214721; 0.2157072; 4.0000000; 0.0000000
0.5990249; 0.7537387; 0.2306939; -1.0995668; 0.2230651; 4.0000000; 0.0000000
0.6988624; 0.8421629; 0.2770083; -1.0769281; 0.2305330; 4.0000000; 0.0000000
0.7986998; 0.9295249; 0.3253605; -1.0535329; 0.2380753; 4.0000000; 0.0000000
0.8985373; 1.0156847; 0.3757589; -1.0293863; 0.2457478; 4.0000000; 0.0000000
0.9983748; 1.1006111; 0.4282738; -1.0044600; 0.2535252; 4.0000000; 0.0000000
1.0982123; 1.1841518; 0.4829022; -0.9787577; 0.2614775; 4.0000000; 0.0000000
1.1980497; 1.2662672; 0.5397128; -0.9522452; 0.2695814; 4.0000000; 0.0000000
1.2978872; 1.3467949; 0.5986916; -0.9249183; 0.2779785; 4.0000000; 0.0000000
1.3977247; 1.4256833; 0.6599045; -0.8967345; 0.2865353; 4.0000000; 0.0000000
1.4975622; 1.5027613; 0.7233266; -0.8676973; 0.2952997; 4.0000000; 0.0000000
1.5973997; 1.5779620; 0.7890159; -0.8377615; 0.3044163; 4.0000000; 0.0000000
1.6972371; 1.6511069; 0.8569383; -0.8068795; 0.3143776; 4.0000000; 0.0000000
1.7970746; 1.7221068; 0.9271451; -0.7749785; 0.3246240; 4.0000000; 0.0000000
1.8969121; 1.7907749; 0.9995959; -0.7420426; 0.3353218; 4.0000000; 0.0000000
1.9967496; 1.8569953; 1.0743230; -0.7080087; 0.3462965; 4.0000000; 0.0000000
2.0965871; 1.9205806; 1.1512789; -0.6729060; 0.3570359; 4.0000000; 0.0000000
2.1964245; 1.9813905; 1.2304623; -0.6367303; 0.3653051; 4.0000000; 0.0000000
2.2962620; 2.0392756; 1.3117937; -0.6004165; 0.3622768; 4.0000000; 0.0000000
2.3960995; 2.0941890; 1.3951769; -0.5643738; 0.3597173; 4.0000000; 0.0000000
2.4959370; 2.1460704; 1.4804746; -0.5285736; 0.3575486; 4.0000000; 0.0000000
2.5957745; 2.1948725; 1.5675673; -0.4929603; 0.3553987; 4.0000000; 0.0000000
2.6956119; 2.2405601; 1.6563431; -0.4576923; 0.3511178; 4.0000000; 0.0000000
2.7954494; 2.2831015; 1.7466525; -0.4228350; 0.3471014; 4.0000000; 0.0000000
2.8952869; 2.3224980; 1.8384041; -0.3883888; 0.3429309; 4.0000000; 0.0000000
2.9951244; 2.3587168; 1.9314160; -0.3543533; 0.3379445; 4.0000000; 0.0000000
3.0949619; 2.3917915; 2.0256223; -0.3210960; 0.3281880; 4.0000000; 0.0000000
3.1947993; 2.4217556; 2.1208403; -0.2888206; 0.3187221; 4.0000000; 0.0000000
3.2946368; 2.4486822; 2.2169943; -0.2573943; 0.3108373; 4.0000000; 0.0000000
3.3944743; 2.4726029; 2.3139028; -0.2267211; 0.3040712; 4.0000000; 0.0000000
3.4943118; 2.4935754; 2.4115145; -0.1966578; 0.2980618; 4.0000000; 0.0000000
3.5941492; 2.5116277; 2.5096706; -0.1671428; 0.2974837; 4.0000000; 0.0000000
3.6939867; 2.5267484; 2.6083352; -0.1367755; 0.3108827; 4.0000000; 0.0000000
3.7938242; 2.5388041; 2.7074497; -0.1051005; 0.3228612; 4.0000000; 0.0000000
3.8936617; 2.5476588; 2.8068879; -0.0723499; 0.3334323; 4.0000000; 0.0000000
3.9934992; 2.5531990; 2.9065805; -0.0385168; 0.3427873; 4.0000000; 0.0000000
4.0933366; 2.5553281; 3.0063818; -0.0040653; 0.3473967; 4.0000000; 0.0000000
4.1931741; 2.5539954; 3.1062005; 0.0308420; 0.3520416; 4.0000000; 0.0000000
4.2930116; 2.5491557; 3.2059065; 0.0662497; 0.3574112; 4.0000000; 0.0000000
4.3928491; 2.5407598; 3.3053998; 0.1022134; 0.3625644; 4.0000000; 0.0000000
4.4926866; 2.5287708; 3.4045068; 0.1386336; 0.3671784; 4.0000000; 0.0000000
4.5925240; 2.5131552; 3.5031171; 0.1755700; 0.3732438; 4.0000000; 0.0000000
4.6923615; 2.4938780; 3.6010646; 0.2132135; 0.3809440; 4.0000000; 0.0000000
4.7921990; 2.4708884; 3.6982174; 0.2516232; 0.3878472; 4.0000000; 0.0000000
4.8920365; 2.4441567; 3.7944028; 0.2906296; 0.3937046; 4.0000000; 0.0000000
4.9918740; 2.4136629; 3.8894697; 0.3302739; 0.4007351; 4.0000000; 0.0000000
5.0917114; 2.3793930; 3.9832327; 0.3706854; 0.4089181; 4.0000000; 0.0000000
5.1915489; 2.3413234; 4.0755215; 0.4119318; 0.4171045; 4.0000000; 0.0000000
5.2913864; 2.2994449; 4.1661443; 0.4539766; 0.4253063; 4.0000000; 0.0000000
5.3912239; 2.2537557; 4.2549092; 0.4968831; 0.4342418; 4.0000000; 0.0000000
5.4910613; 2.2042630; 4.3416079; 0.5407102; 0.4438641; 4.0000000; 0.0000000
5.5908988; 2.1509782; 4.4260277; 0.5855338; 0.4540374; 4.0000000; 0.0000000
5.6907363; 2.0939214; 4.5079466; 0.6313954; 0.4648476; 4.0000000; 0.0000000
5.7905738; 2.0331269; 4.5871274; 0.6783847; 0.4766243; 4.0000000; 0.0000000
5.8904113; 1.9686332; 4.6633272; 0.7266036; 0.4894955; 4.0000000; 0.0000000
5.9902487; 1.9004968; 4.7362815; 0.7761522; 0.5031729; 4.0000000; 0.0000000
6.0900862; 1.8287804; 4.8057235; 0.8271096; 0.5178424; 4.0000000; 0.0000000
6.1899237; 1.7535760; 4.8713608; 0.8796248; 0.5354323; 4.0000000; 0.0000000
6.2897612; 1.6749686; 4.9328860; 0.9341267; 0.5566099; 4.0000000; 0.0000000
6.3895987; 1.5930667; 4.9899494; 0.9907561; 0.5771721; 4.0000000; 0.0000000
6.4894361; 1.5080117; 5.0422018; 1.0493905; 0.5977899; 4.0000000; 0.0000000
6.5892736; 1.4199979; 5.0892916; 1.1096696; 0.5979649; 4.0000000; 0.0000000
6.6891111; 1.3293316; 5.1310587; 1.1681401; 0.5737424; 4.0000000; 0.0000000
6.7889486; 1.2364163; 5.1675676; 1.2242630; 0.5494367; 4.0000000; 0.0000000
6.8887861; 1.1416444; 5.1989257; 1.2778187; 0.5236849; 4.0000000; 0.0000000
6.9886235; 1.0453596; 5.2252878; 1.3288865; 0.4994901; 4.0000000; 0.0000000
7.0884610; 0.9478812; 5.2468165; 1.3775859; 0.4762840; 4.0000000; 0.0000000
7.1882985; 0.8494861; 5.2636869; 1.4240295; 0.4541549; 4.0000000; 0.0000000
7.2881360; 0.7504286; 5.2760793; 1.4682918; 0.4326862; 4.0000000; 0.0000000
7.3879735; 0.6509252; 5.2841818; 1.5104569; 0.4119891; 4.0000000; 0.0000000
7.4878109; 0.5511742; 5.2881853; 1.5505710; 0.3917113; 4.0000000; 0.0000000
7.5876484; 0.4513408; 5.2882851; 1.5886938; 0.3719606; 4.0000000; 0.0000000
7.6874859; 0.3515736; 5.2846781; 1.6248514; 0.3524493; 4.0000000; 0.0000000
7.7873234; 0.2519931; 5.2775629; 1.6590851; 0.3333257; 4.0000000; 0.0000000
7.8871608; 0.1527053; 5.2671382; 1.6914154; 0.3143924; 4.0000000; 0.0000000
7.9869983; 0.0537925; 5.2536022; 1.7218730; 0.2957373; 4.0000000; 0.0000000
8.0868358; -0.0446768; 5.2371521; 1.7504699; 0.2771693; 4.0000000; 0.0000000
8.1866733; -0.1426540; 5.2179834; 1.7772244; 0.2588025; 4.0000000; 0.0000000
8.2865108; -0.2401033; 5.1962898; 1.8021491; 0.2405272; 4.0000000; 0.0000000
8.3863482; -0.3370049; 5.1722621; 1.8252565; 0.2223663; 4.0000000; 0.0000000
8.4861857; -0.4333487; 5.1460894; 1.8465514; 0.2042416; 4.0000000; 0.0000000
8.5860232; -0.5291387; 5.1179576; 1.8660428; 0.1862424; 4.0000000; 0.0000000
8.6858607; -0.6243891; 5.0880496; 1.8837397; 0.1682770; 4.0000000; 0.0000000
8.7856982; -0.7191236; 5.0565457; 1.8996458; 0.1503934; 4.0000000; 0.0000000
8.8855356; -0.8133752; 5.0236226; 1.9137704; 0.1325634; 4.0000000; 0.0000000
8.9853731; -0.9071832; 4.9894549; 1.9261182; 0.1148272; 4.0000000; 0.0000000
9.0852106; -1.0005933; 4.9542141; 1.9366997; 0.0971503; 4.0000000; 0.0000000
