# x_m, y_m, v_mps
0.078,0.424,5.000
0.165,0.448,5.000
0.252,0.473,5.000
0.337,0.500,5.000
0.422,0.529,5.000
0.505,0.559,5.000
0.588,0.591,5.000
0.669,0.624,5.000
0.749,0.660,5.000
0.827,0.697,5.000
0.905,0.736,5.000
0.980,0.777,5.000
1.055,0.820,5.000
1.127,0.864,5.000
1.198,0.911,5.000
1.267,0.959,5.000
1.334,1.009,5.000
1.399,1.061,5.000
1.462,1.115,5.000
1.522,1.171,5.000
1.580,1.228,5.000
1.636,1.288,5.000
1.689,1.349,5.000
1.740,1.412,5.000
1.789,1.477,5.000
1.835,1.544,5.000
1.880,1.613,5.000
1.922,1.684,5.000
1.962,1.757,5.000
1.999,1.831,5.000
2.034,1.906,5.000
2.066,1.983,5.000
2.096,2.061,5.000
2.124,2.140,5.000
2.150,2.221,5.000
2.173,2.302,5.000
2.193,2.385,5.000
2.212,2.469,5.000
2.228,2.553,5.000
2.242,2.637,5.000
2.253,2.721,5.000
2.261,2.805,5.000
2.267,2.889,5.000
2.271,2.973,5.000
2.271,3.057,5.000
2.269,3.140,5.000
2.264,3.223,5.000
2.256,3.305,5.000
2.246,3.387,5.000
2.233,3.468,5.000
2.217,3.548,5.000
2.198,3.628,5.000
2.176,3.706,5.000
2.152,3.784,5.000
2.125,3.860,5.000
2.095,3.934,5.000
2.062,4.008,5.000
2.026,4.079,5.000
1.988,4.148,5.000
1.948,4.216,5.000
1.904,4.282,5.000
1.858,4.345,5.000
1.810,4.405,5.000
1.760,4.463,5.000
1.707,4.518,5.000
1.652,4.571,5.000
1.595,4.620,5.000
1.537,4.665,5.000
1.476,4.707,5.000
1.415,4.746,5.000
1.352,4.780,5.000
1.288,4.811,5.000
1.222,4.838,5.000
1.155,4.861,5.000
1.086,4.880,5.000
1.015,4.895,5.000
0.942,4.908,5.000
0.866,4.916,5.000
0.790,4.922,5.000
0.712,4.923,5.000
0.633,4.922,5.000
0.553,4.917,5.000
0.473,4.909,5.000
0.392,4.898,5.000
0.311,4.884,5.000
0.229,4.867,5.000
0.147,4.847,5.000
0.064,4.825,5.000
-0.018,4.800,5.000
-0.101,4.772,5.000
-0.184,4.743,5.000
-0.267,4.711,5.000
-0.350,4.677,5.000
-0.433,4.641,5.000
-0.517,4.603,5.000
-0.600,4.564,5.000
-0.685,4.523,5.000
-0.769,4.481,5.000
-0.854,4.437,5.000
-0.940,4.392,5.000
-1.026,4.347,5.000
-1.113,4.300,5.000
-1.200,4.254,5.000
-1.289,4.206,5.000
-1.379,4.158,5.000
-1.469,4.111,5.000
-1.561,4.063,5.000
-1.654,4.016,5.000
-1.749,3.969,5.000
-1.845,3.923,5.000
-1.943,3.878,5.000
-2.042,3.835,5.000
-2.143,3.792,5.000
-2.246,3.752,5.000
-2.350,3.713,5.000
-2.457,3.677,5.000
-2.565,3.643,5.000
-2.675,3.612,5.000
-2.787,3.584,5.000
-2.901,3.559,5.000
-3.016,3.538,5.000
