# x_m, y_m, v_mps
-4.140,-0.703,6.674
-4.041,-0.702,6.748
-3.941,-0.700,6.822
-3.842,-0.699,6.894
-3.744,-0.697,6.965
-3.645,-0.696,7.000
-3.547,-0.696,7.000
-3.448,-0.695,7.000
-3.350,-0.695,7.000
-3.252,-0.695,7.000
-3.154,-0.696,7.000
-3.056,-0.697,7.000
-2.958,-0.698,6.978
-2.859,-0.700,6.883
-2.760,-0.701,6.790
-2.661,-0.703,6.697
-2.561,-0.705,6.605
-2.461,-0.707,6.516
-2.361,-0.709,6.427
-2.260,-0.710,6.341
-2.159,-0.712,6.256
-2.058,-0.713,6.173
-1.957,-0.714,6.093
-1.855,-0.715,6.014
-1.752,-0.715,5.938
-1.650,-0.714,5.863
-1.547,-0.713,5.791
-1.444,-0.711,5.721
-1.340,-0.709,5.653
-1.236,-0.706,5.587
-1.132,-0.701,5.523
-1.028,-0.696,5.461
-0.923,-0.690,5.402
-0.818,-0.682,5.344
-0.713,-0.674,5.289
-0.607,-0.664,5.236
-0.501,-0.653,5.185
-0.395,-0.640,5.137
-0.289,-0.626,5.091
-0.183,-0.610,5.047
-0.077,-0.592,5.005
0.029,-0.573,4.966
0.136,-0.552,4.928
0.242,-0.528,4.892
0.348,-0.503,4.858
0.454,-0.476,4.827
0.560,-0.447,4.797
0.665,-0.415,4.768
0.771,-0.381,4.742
0.876,-0.344,4.717
0.980,-0.305,4.694
1.084,-0.263,4.673
1.187,-0.219,4.654
1.290,-0.171,4.637
1.392,-0.121,4.621
1.493,-0.067,4.607
1.592,-0.010,4.595
1.690,0.050,4.584
1.787,0.113,4.576
1.882,0.180,4.569
1.976,0.250,4.565
2.067,0.324,4.562
2.156,0.401,4.561
2.243,0.482,4.560
2.326,0.567,4.559
2.407,0.654,4.557
2.483,0.744,4.556
2.556,0.837,4.555
2.626,0.932,4.554
2.692,1.029,4.553
2.754,1.128,4.551
2.813,1.229,4.550
2.869,1.331,4.549
2.920,1.436,4.548
2.968,1.541,4.547
3.013,1.648,4.546
3.054,1.756,4.544
3.092,1.865,4.543
3.126,1.975,4.542
3.157,2.085,4.541
3.184,2.196,4.540
3.209,2.308,4.539
3.229,2.421,4.537
3.247,2.534,4.536
3.261,2.649,4.535
3.272,2.764,4.534
3.279,2.879,4.533
3.282,2.995,4.532
3.282,3.112,4.530
3.277,3.228,4.529
3.269,3.345,4.528
3.257,3.461,4.527
3.240,3.577,4.526
3.220,3.693,4.524
3.195,3.808,4.523
3.166,3.922,4.522
3.133,4.036,4.521
3.095,4.149,4.520
3.053,4.260,4.518
3.007,4.370,4.517
2.956,4.479,4.516
2.901,4.585,4.515
2.841,4.690,4.514
2.776,4.792,4.512
2.707,4.892,4.511
2.634,4.989,4.510
2.555,5.083,4.509
2.473,5.174,4.507
2.385,5.262,4.506
2.293,5.345,4.505
2.197,5.424,4.504
2.096,5.499,4.502
1.990,5.569,4.501
1.880,5.633,4.500
1.765,5.692,4.499
1.645,5.744,4.497
1.520,5.789,4.496
1.393,5.826,4.495
1.265,5.854,4.493
1.137,5.874,4.492
1.012,5.887,4.491
0.888,5.893,4.490
0.765,5.894,4.488
0.645,5.889,4.487
0.526,5.879,4.486
0.409,5.866,4.485
0.293,5.848,4.484
0.179,5.826,4.482
0.066,5.801,4.482
-0.045,5.773,4.490
-0.154,5.742,4.506
-0.261,5.708,4.530
-0.367,5.672,4.560
-0.471,5.634,4.597
-0.573,5.594,4.640
-0.674,5.553,4.689
-0.773,5.510,4.744
-0.871,5.466,4.805
-0.967,5.420,4.873
-1.062,5.374,4.948
-1.156,5.328,5.030
-1.249,5.281,5.121
-1.340,5.233,5.220
-1.431,5.186,5.321
-1.520,5.138,5.419
-1.609,5.091,5.513
-1.697,5.044,5.605
-1.784,4.997,5.549
-1.871,4.951,5.444
-1.957,4.906,5.352
-2.042,4.862,5.274
-2.127,4.820,5.208
-2.212,4.778,5.154
-2.296,4.738,5.112
-2.380,4.699,5.081
-2.464,4.662,5.062
-2.547,4.627,5.055
-2.630,4.594,5.054
-2.713,4.563,5.053
-2.796,4.534,5.052
-2.879,4.507,5.051
-2.961,4.484,5.050
-3.043,4.462,5.049
-3.125,4.444,5.048
-3.206,4.429,5.047
-3.286,4.416,5.046
-3.366,4.407,5.045
-3.445,4.401,5.044
-3.524,4.399,5.043
-3.603,4.399,5.042
-3.683,4.403,5.042
-3.764,4.410,5.041
-3.846,4.421,5.040
-3.928,4.434,5.039
-4.011,4.450,5.038
-4.094,4.468,5.037
-4.178,4.489,5.036
-4.261,4.513,5.035
-4.345,4.539,5.034
-4.430,4.567,5.033
-4.514,4.597,5.035
-4.599,4.629,5.049
-4.684,4.663,5.075
-4.769,4.698,5.114
-4.855,4.735,5.165
-4.941,4.774,5.228
-5.028,4.814,5.305
-5.114,4.855,5.395
-5.202,4.896,5.487
-5.290,4.939,5.578
-5.379,4.982,5.560
-5.469,5.026,5.428
-5.560,5.070,5.308
-5.652,5.115,5.199
-5.745,5.159,5.100
-5.839,5.203,5.010
-5.935,5.246,4.929
-6.032,5.289,4.856
-6.131,5.331,4.790
-6.231,5.371,4.731
-6.333,5.411,4.680
-6.437,5.448,4.635
-6.542,5.484,4.597
-6.649,5.517,4.567
-6.758,5.548,4.545
-6.869,5.576,4.531
-6.982,5.601,4.526
-7.096,5.622,4.525
-7.212,5.640,4.524
-7.330,5.654,4.522
-7.449,5.663,4.521
-7.570,5.667,4.520
-7.692,5.666,4.519
-7.815,5.660,4.517
-7.939,5.647,4.516
-8.063,5.628,4.515
-8.187,5.602,4.514
-8.311,5.569,4.512
-8.434,5.528,4.511
-8.555,5.480,4.510
-8.673,5.425,4.508
-8.787,5.362,4.507
-8.896,5.294,4.506
-9.000,5.220,4.505
-9.099,5.142,4.503
-9.194,5.058,4.502
-9.283,4.971,4.501
-9.368,4.879,4.500
-9.447,4.784,4.498
-9.521,4.686,4.497
-9.591,4.585,4.496
-9.656,4.482,4.495
-9.715,4.376,4.493
-9.770,4.268,4.492
-9.820,4.159,4.491
-9.866,4.048,4.490
-9.907,3.936,4.489
-9.943,3.824,4.487
-9.975,3.710,4.486
-10.003,3.596,4.485
-10.027,3.481,4.484
-10.047,3.366,4.483
-10.063,3.251,4.482
-10.075,3.136,4.480
-10.083,3.020,4.479
-10.088,2.904,4.478
-10.089,2.788,4.477
-10.086,2.672,4.476
-10.079,2.556,4.475
-10.068,2.440,4.473
-10.054,2.325,4.472
-10.036,2.210,4.471
-10.014,2.096,4.470
-9.988,1.982,4.469
-9.959,1.869,4.468
-9.926,1.758,4.467
-9.888,1.647,4.465
-9.847,1.537,4.464
-9.803,1.429,4.463
-9.754,1.323,4.462
-9.702,1.217,4.461
-9.646,1.114,4.460
-9.586,1.013,4.458
-9.522,0.913,4.457
-9.455,0.816,4.456
-9.384,0.721,4.455
-9.309,0.629,4.454
-9.231,0.539,4.452
-9.149,0.452,4.451
-9.063,0.369,4.452
-8.974,0.289,4.454
-8.883,0.212,4.459
-8.789,0.140,4.465
-8.693,0.072,4.473
-8.596,0.008,4.483
-8.498,-0.053,4.495
-8.398,-0.111,4.508
-8.297,-0.165,4.523
-8.194,-0.216,4.540
-8.091,-0.263,4.558
-7.987,-0.308,4.579
-7.882,-0.350,4.601
-7.777,-0.389,4.625
-7.671,-0.425,4.650
-7.565,-0.459,4.678
-7.458,-0.490,4.707
-7.352,-0.518,4.738
-7.245,-0.545,4.771
-7.138,-0.569,4.806
-7.031,-0.590,4.843
-6.924,-0.610,4.882
-6.817,-0.628,4.923
-6.710,-0.644,4.966
-6.603,-0.658,5.011
-6.497,-0.670,5.058
-6.390,-0.681,5.108
-6.284,-0.691,5.160
-6.179,-0.699,5.215
-6.073,-0.706,5.272
-5.968,-0.711,5.331
-5.863,-0.715,5.393
-5.759,-0.719,5.457
-5.655,-0.721,5.523
-5.551,-0.723,5.591
-5.448,-0.724,5.662
-5.345,-0.724,5.734
-5.242,-0.723,5.809
-5.140,-0.722,5.886
-5.038,-0.721,5.965
-4.937,-0.719,6.047
-4.836,-0.717,6.129
-4.736,-0.715,6.211
-4.637,-0.713,6.291
-4.537,-0.711,6.369
-4.438,-0.709,6.447
-4.339,-0.707,6.524
-4.239,-0.705,6.599
