# 6998a61c-2f5e-44e2-846d-8ba61dad19e2
# 18d375a46e429a9d3d343eb54373008783fcffc0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.1366589; -0.4566739; -1.5740776; 0.0569514; 6.1784192; 3.7807580
0.0997708; -4.0368888; -0.4567293; -1.5687393; 0.0500626; 6.2391732; 4.1803618
0.1995416; -3.9371185; -0.4562863; -1.5640879; 0.0431783; 6.3056671; 4.5961681
0.2993124; -3.8373511; -0.4554149; -1.5601636; 0.0354863; 6.3779750; 5.0092536
0.3990832; -3.7375883; -0.4541902; -1.5570069; 0.0277989; 6.4558593; 5.0070238
0.4988540; -3.6378287; -0.4526868; -1.5545535; 0.0213813; 6.5327811; 5.0047950
0.5986248; -3.5380728; -0.4509705; -1.5527404; 0.0149952; 6.6087740; 5.0025672
0.6983956; -3.4383196; -0.4490956; -1.5512750; 0.0143810; 6.6838697; 5.0003403
0.7981664; -3.3385693; -0.4470775; -1.5498708; 0.0138014; 6.7580981; 2.4285576
0.8979373; -3.2388225; -0.4449145; -1.5482923; 0.0178407; 6.7938567; -6.0223531
0.9977081; -3.1390786; -0.4425740; -1.5463109; 0.0218798; 6.7048325; -5.7427347
1.0974789; -3.0393413; -0.4400156; -1.5439218; 0.0260115; 6.6188265; -5.4863960
1.1972497; -2.9396096; -0.4371983; -1.5411205; 0.0301449; 6.5356025; -5.2426880
1.2970205; -2.8398871; -0.4340810; -1.5379021; 0.0343711; 6.4550728; -5.0182174
1.3967913; -2.7401768; -0.4306217; -1.5342619; 0.0386005; 6.3770387; -4.8094392
1.4965621; -2.6404772; -0.4267783; -1.5301985; 0.0428537; 6.3013442; -4.6162660
1.5963329; -2.5408006; -0.4225089; -1.5257106; 0.0471149; 6.2278248; -4.4335425
1.6961037; -2.4411366; -0.4177705; -1.5207943; 0.0514322; 6.1563890; -4.2638496
1.7958745; -2.3415099; -0.4125214; -1.5154474; 0.0557605; 6.0868966; -4.1034806
1.8956453; -2.2418992; -0.4067171; -1.5096655; 0.0601356; 6.0192603; -3.9540503
1.9954161; -2.1423429; -0.4003165; -1.5034474; 0.0645253; 5.9533602; -3.8126577
2.0951869; -2.0428089; -0.3932735; -1.4967878; 0.0689595; 5.8891182; -3.6804048
2.1949577; -1.9433499; -0.3855477; -1.4896865; 0.0734136; 5.8264328; -3.5536532
2.2947285; -1.8439229; -0.3770913; -1.4821356; 0.0779327; 5.7652596; -3.4348402
2.3944993; -1.7445950; -0.3678648; -1.4741350; 0.0824732; 5.7055082; -3.3248076
2.4942702; -1.6453129; -0.3578180; -1.4656788; 0.0870146; 5.6470689; -3.2216885
2.5940410; -1.5461584; -0.3469136; -1.4567711; 0.0915798; 5.5898592; -3.1332653
2.6938118; -1.4470687; -0.3350992; -1.4474101; 0.0960352; 5.5336524; -3.0499924
2.7935826; -1.3481381; -0.3223413; -1.4376073; 0.1005348; 5.4783856; -2.9497796
2.8933534; -1.2492980; -0.3085852; -1.4273292; 0.1054576; 5.4243990; -2.8553327
2.9931242; -1.1506518; -0.2937964; -1.4165632; 0.1104024; 5.3716243; -2.7736959
3.0928950; -1.0521301; -0.2779150; -1.4053048; 0.1152360; 5.3198571; -2.6964468
3.1926658; -0.9538426; -0.2609098; -1.3935677; 0.1201097; 5.2690441; -2.6196842
3.2924366; -0.8557211; -0.2427195; -1.3813330; 0.1250943; 5.2192040; -2.5471921
3.3922074; -0.7578791; -0.2233148; -1.3686051; 0.1301136; 5.1702823; -2.4771780
3.4919782; -0.6602537; -0.2026324; -1.3553672; 0.1352001; 5.1222572; -2.4109482
3.5917490; -0.5629587; -0.1806447; -1.3416260; 0.1403247; 5.0750798; -2.3466343
3.6915198; -0.4659407; -0.1572872; -1.3273637; 0.1455240; 5.0287358; -2.2904036
3.7912906; -0.3693108; -0.1325335; -1.3125868; 0.1507664; 4.9830867; -2.2420240
