# d5f45932-f93a-42eb-9fb2-9f5eb3c895da
# f40e0d5691a0623a4c8ee7fcaa2f54ff2dd51d07
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1950624; 0.0371111; -1.2423211; 0.1810887; 4.0000000; 0.0000000
0.0998819; 0.2892968; 0.0701959; -1.2238519; 0.1887623; 4.0000000; 0.0000000
0.1997637; 0.3829030; 0.1050559; -1.2046130; 0.1964427; 4.0000000; 0.0000000
0.2996456; 0.4757906; 0.1417391; -1.1846155; 0.2040359; 4.0000000; 0.0000000
0.3995275; 0.5679315; 0.1803159; -1.1638529; 0.2116710; 4.0000000; 0.0000000
0.4994094; 0.6592132; 0.2208219; -1.1423267; 0.2194350; 4.0000000; 0.0000000
0.5992912; 0.7496103; 0.2633305; -1.1200163; 0.2272508; 4.0000000; 0.0000000
0.6991731; 0.8389922; 0.3078664; -1.0969271; 0.2351721; 4.0000000; 0.0000000
0.7990550; 0.9273319; 0.3545044; -1.0730351; 0.2431730; 4.0000000; 0.0000000
0.8989368; 1.0144832; 0.4032576; -1.0483453; 0.2513174; 4.0000000; 0.0000000
0.9988187; 1.1004134; 0.4542008; -1.0228278; 0.2595731; 4.0000000; 0.0000000
1.0987006; 1.1849638; 0.5073357; -0.9964851; 0.2680290; 4.0000000; 0.0000000
1.1985825; 1.2680914; 0.5627348; -0.9692807; 0.2766419; 4.0000000; 0.0000000
1.2984643; 1.3496271; 0.6203888; -0.9412122; 0.2855309; 4.0000000; 0.0000000
1.3983462; 1.4295144; 0.6803661; -0.9122357; 0.2946292; 4.0000000; 0.0000000
1.4982281; 1.5075750; 0.7426468; -0.8823414; 0.3041138; 4.0000000; 0.0000000
1.5981100; 1.5837325; 0.8072906; -0.8514749; 0.3139735; 4.0000000; 0.0000000
1.6979918; 1.6578008; 0.8742690; -0.8195932; 0.3245671; 4.0000000; 0.0000000
1.7978737; 1.7296827; 0.9436358; -0.7866309; 0.3353592; 4.0000000; 0.0000000
1.8977556; 1.7991800; 1.0153497; -0.7525891; 0.3464638; 4.0000000; 0.0000000
1.9976374; 1.8661749; 1.0894483; -0.7174142; 0.3569423; 4.0000000; 0.0000000
2.0975193; 1.9304743; 1.1658688; -0.6814154; 0.3640446; 4.0000000; 0.0000000
2.1974012; 1.9919594; 1.2445850; -0.6447057; 0.3683412; 4.0000000; 0.0000000
2.2972831; 2.0505102; 1.3254934; -0.6082841; 0.3610458; 4.0000000; 0.0000000
2.3971649; 2.1061116; 1.4084697; -0.5725545; 0.3552870; 4.0000000; 0.0000000
2.4970468; 2.1587281; 1.4933647; -0.5371487; 0.3537726; 4.0000000; 0.0000000
2.5969287; 2.2083122; 1.5800661; -0.5018706; 0.3520020; 4.0000000; 0.0000000
2.6968105; 2.2548197; 1.6684549; -0.4669275; 0.3477257; 4.0000000; 0.0000000
2.7966924; 2.2982302; 1.7584068; -0.4323964; 0.3437736; 4.0000000; 0.0000000
2.8965743; 2.3385296; 1.8498035; -0.3982247; 0.3405378; 4.0000000; 0.0000000
2.9964562; 2.3756900; 1.9425006; -0.3643661; 0.3362693; 4.0000000; 0.0000000
3.0963380; 2.4097236; 2.0363987; -0.3312377; 0.3270463; 4.0000000; 0.0000000
3.1962199; 2.4406701; 2.1313505; -0.2990357; 0.3182855; 4.0000000; 0.0000000
3.2961018; 2.4685831; 2.2272439; -0.2675905; 0.3114572; 4.0000000; 0.0000000
3.3959837; 2.4935018; 2.3239682; -0.2367988; 0.3053826; 4.0000000; 0.0000000
3.4958655; 2.5154558; 2.4213966; -0.2065515; 0.3003420; 4.0000000; 0.0000000
3.5957474; 2.5344765; 2.5194381; -0.1767046; 0.3017735; 4.0000000; 0.0000000
3.6956293; 2.5505203; 2.6179923; -0.1457882; 0.3173474; 4.0000000; 0.0000000
3.7955111; 2.5634390; 2.7170463; -0.1133677; 0.3302918; 4.0000000; 0.0000000
3.8953930; 2.5730834; 2.8164427; -0.0799313; 0.3395086; 4.0000000; 0.0000000
3.9952749; 2.5793538; 2.9161492; -0.0455281; 0.3483424; 4.0000000; 0.0000000
4.0951568; 2.5821530; 3.0159679; -0.0104428; 0.3543211; 4.0000000; 0.0000000
4.1950386; 2.5814186; 3.1158548; 0.0252395; 0.3596929; 4.0000000; 0.0000000
4.2949205; 2.5770984; 3.2156227; 0.0613884; 0.3643786; 4.0000000; 0.0000000
4.3948024; 2.5691473; 3.3152026; 0.0980622; 0.3701996; 4.0000000; 0.0000000
4.4946842; 2.5575236; 3.4143831; 0.1353873; 0.3773700; 4.0000000; 0.0000000
4.5945661; 2.5421652; 3.5130889; 0.1734516; 0.3844729; 4.0000000; 0.0000000
4.6944480; 2.5230345; 3.6111022; 0.2121880; 0.3914141; 4.0000000; 0.0000000
4.7943299; 2.5000791; 3.7083246; 0.2516659; 0.3987330; 4.0000000; 0.0000000
4.8942117; 2.4732793; 3.8045264; 0.2918324; 0.4057508; 4.0000000; 0.0000000
4.9940936; 2.4425958; 3.8995862; 0.3327436; 0.4133967; 4.0000000; 0.0000000
5.0939755; 2.4080211; 3.9932779; 0.3744412; 0.4217523; 4.0000000; 0.0000000
5.1938574; 2.3695233; 4.0854480; 0.4170203; 0.4305982; 4.0000000; 0.0000000
5.2937392; 2.3271044; 4.1758638; 0.4604611; 0.4394407; 4.0000000; 0.0000000
5.3936211; 2.2807536; 4.2643398; 0.5048375; 0.4490641; 4.0000000; 0.0000000
5.4935030; 2.2304839; 4.3506444; 0.5501896; 0.4592195; 4.0000000; 0.0000000
5.5933848; 2.1763102; 4.4345507; 0.5966115; 0.4702804; 4.0000000; 0.0000000
5.6932667; 2.1182498; 4.5158287; 0.6441570; 0.4818815; 4.0000000; 0.0000000
5.7931486; 2.0563573; 4.5942029; 0.6929216; 0.4947048; 4.0000000; 0.0000000
5.8930305; 1.9906487; 4.6694461; 0.7430225; 0.5085553; 4.0000000; 0.0000000
5.9929123; 1.9212325; 4.7412248; 0.7945689; 0.5238434; 4.0000000; 0.0000000
6.0927942; 1.8481166; 4.8093109; 0.8477131; 0.5402660; 4.0000000; 0.0000000
6.1926761; 1.7714862; 4.8733090; 0.9025651; 0.5585758; 4.0000000; 0.0000000
6.2925579; 1.6913381; 4.9329823; 0.9593696; 0.5787101; 4.0000000; 0.0000000
6.3924398; 1.6079606; 4.9878680; 1.0182106; 0.5963953; 4.0000000; 0.0000000
6.4923217; 1.5213730; 5.0377671; 1.0777786; 0.5960369; 4.0000000; 0.0000000
6.5922036; 1.4320923; 5.0823624; 1.1373226; 0.5930948; 4.0000000; 0.0000000
6.6920854; 1.3402246; 5.1216635; 1.1953857; 0.5689637; 4.0000000; 0.0000000
6.7919673; 1.2463859; 5.1556421; 1.2509957; 0.5452021; 4.0000000; 0.0000000
6.8918492; 1.1507477; 5.1844922; 1.3042273; 0.5204366; 4.0000000; 0.0000000
6.9917311; 1.0537999; 5.2083193; 1.3549705; 0.4961799; 4.0000000; 0.0000000
7.0916129; 0.9557466; 5.2273234; 1.4033475; 0.4725115; 4.0000000; 0.0000000
7.1914948; 0.8569253; 5.2416771; 1.4493810; 0.4496176; 4.0000000; 0.0000000
7.2913767; 0.7575479; 5.2515809; 1.4931849; 0.4276019; 4.0000000; 0.0000000
7.3912585; 0.6578357; 5.2572323; 1.5348180; 0.4061903; 4.0000000; 0.0000000
7.4911404; 0.5579823; 5.2588346; 1.5743370; 0.3852654; 4.0000000; 0.0000000
7.5910223; 0.4581269; 5.2565934; 1.6117965; 0.3648802; 4.0000000; 0.0000000
7.6909042; 0.3584342; 5.2507161; 1.6472369; 0.3449030; 4.0000000; 0.0000000
7.7907860; 0.2589837; 5.2414064; 1.6807097; 0.3253662; 4.0000000; 0.0000000
7.8906679; 0.1599065; 5.2288723; 1.7122422; 0.3061498; 4.0000000; 0.0000000
7.9905498; 0.0612381; 5.2133113; 1.7418797; 0.2873118; 4.0000000; 0.0000000
8.0904316; -0.0369245; 5.1949289; 1.7696456; 0.2687603; 4.0000000; 0.0000000
8.1903135; -0.1345779; 5.1739139; 1.7955783; 0.2505034; 4.0000000; 0.0000000
8.2901954; -0.2316577; 5.1504663; 1.8196942; 0.2324598; 4.0000000; 0.0000000
8.3900773; -0.3281849; 5.1247662; 1.8420240; 0.2146670; 4.0000000; 0.0000000
8.4899591; -0.4241238; 5.0970066; 1.8625847; 0.1970879; 4.0000000; 0.0000000
8.5898410; -0.5195126; 5.0673591; 1.8814019; 0.1796906; 4.0000000; 0.0000000
8.6897229; -0.6143416; 5.0360084; 1.8984853; 0.1624154; 4.0000000; 0.0000000
8.7896048; -0.7086608; 5.0031194; 1.9138521; 0.1452890; 4.0000000; 0.0000000
8.8894866; -0.8024839; 4.9688683; 1.9275136; 0.1282839; 4.0000000; 0.0000000
8.9893685; -0.8958687; 4.9334146; 1.9394829; 0.1114056; 4.0000000; 0.0000000
9.0892504; -0.9888475; 4.8969261; 1.9497732; 0.0946513; 4.0000000; 0.0000000
9.1891322; -1.0814817; 4.8595584; 1.9583932; 0.0779530; 4.0000000; 0.0000000
9.2890141; -1.1738196; 4.8214715; 1.9653470; 0.0612858; 4.0000000; 0.0000000
9.3888960; -1.2659233; 4.7828198; 1.9706369; 0.0446440; 4.0000000; 0.0000000
9.4887779; -1.3578546; 4.7437574; 1.9742659; 0.0280161; 4.0000000; 0.0000000
9.5886597; -1.4496739; 4.7044389; 1.9762333; 0.0113883; 4.0000000; 0.0000000
9.6885416; -1.5414515; 4.6650146; 1.9765406; -0.0052447; 4.0000000; 0.0000000
9.7884235; -1.6332450; 4.6256405; 1.9751845; -0.0218980; 4.0000000; 0.0000000
9.8883053; -1.7251293; 4.5864652; 1.9721651; -0.0385715; 4.0000000; 0.0000000
9.9881872; -1.8171574; 4.5476470; 1.9674777; -0.0552783; 4.0000000; 0.0000000
10.0880691; -1.9094039; 4.5093352; 1.9611210; -0.0720152; 4.0000000; 0.0000000
10.1879510; -2.0019168; 4.4716909; 1.9530895; -0.0888077; 4.0000000; 0.0000000
10.2878328; -2.0947650; 4.4348667; 1.9433784; -0.1056526; 4.0000000; 0.0000000
10.3877147; -2.1879901; 4.3990268; 1.9319822; -0.1225571; 4.0000000; 0.0000000
10.4875966; -2.2816512; 4.3643292; 1.9188942; -0.1395209; 4.0000000; 0.0000000
10.5874785; -2.3757803; 4.3309425; 1.9041117; -0.1564818; 4.0000000; 0.0000000
10.6873603; -2.4704235; 4.2990296; 1.8876363; -0.1734231; 4.0000000; 0.0000000
10.7872422; -2.5655972; 4.2687635; 1.8694573; -0.1908752; 4.0000000; 0.0000000
10.8871241; -2.6613371; 4.2403154; 1.8494984; -0.2087727; 4.0000000; 0.0000000
10.9870059; -2.7576382; 4.2138732; 1.8277258; -0.2278199; 4.0000000; 0.0000000
11.0868878; -2.8545286; 4.1896259; 1.8039704; -0.2478307; 4.0000000; 0.0000000
11.1867697; -2.9519715; 4.1677880; 1.7782205; -0.2680049; 4.0000000; 0.0000000
11.2866516; -3.0499857; 4.1485615; 1.7504346; -0.2883179; 4.0000000; 0.0000000
11.3865334; -3.1484776; 4.1321694; 1.7206950; -0.3066034; 4.0000000; 0.0000000
