# x_m, y_m, v_mps
-4.140,-0.703,7.000
-4.041,-0.702,7.000
-3.941,-0.700,7.000
-3.842,-0.699,7.000
-3.744,-0.697,7.000
-3.645,-0.696,7.000
-3.547,-0.696,7.000
-3.448,-0.695,7.000
-3.350,-0.695,7.000
-3.252,-0.695,7.000
-3.154,-0.696,7.000
-3.056,-0.697,7.000
-2.958,-0.698,7.000
-2.859,-0.700,7.000
-2.760,-0.701,7.000
-2.661,-0.703,7.000
-2.561,-0.705,7.000
-2.461,-0.707,7.000
-2.361,-0.709,6.939
-2.260,-0.710,6.853
-2.159,-0.712,6.769
-2.058,-0.713,6.686
-1.957,-0.714,6.605
-1.855,-0.715,6.527
-1.752,-0.715,6.450
-1.650,-0.714,6.375
-1.547,-0.713,6.302
-1.444,-0.711,6.232
-1.340,-0.709,6.163
-1.236,-0.706,6.096
-1.132,-0.701,6.032
-1.028,-0.696,5.969
-0.923,-0.690,5.909
-0.818,-0.682,5.850
-0.713,-0.674,5.794
-0.607,-0.664,5.740
-0.501,-0.653,5.688
-0.395,-0.640,5.639
-0.289,-0.626,5.591
-0.183,-0.610,5.546
-0.077,-0.592,5.503
0.029,-0.573,5.463
0.136,-0.552,5.425
0.242,-0.528,5.389
0.348,-0.503,5.355
0.454,-0.476,5.323
0.560,-0.447,5.294
0.665,-0.415,5.268
0.771,-0.381,5.243
0.876,-0.344,5.222
0.980,-0.305,5.203
1.084,-0.263,5.186
1.187,-0.219,5.173
1.290,-0.171,5.162
1.392,-0.121,5.155
1.493,-0.067,5.152
1.592,-0.010,5.150
1.690,0.050,5.149
1.787,0.113,5.148
1.882,0.180,5.146
1.976,0.250,5.145
2.067,0.324,5.144
2.156,0.401,5.142
2.243,0.482,5.141
2.326,0.567,5.140
2.407,0.654,5.138
2.483,0.744,5.137
2.556,0.837,5.135
2.626,0.932,5.134
2.692,1.029,5.133
2.754,1.128,5.131
2.813,1.229,5.130
2.869,1.331,5.129
2.920,1.436,5.127
2.968,1.541,5.126
3.013,1.648,5.125
3.054,1.756,5.123
3.092,1.865,5.122
3.126,1.975,5.121
3.157,2.085,5.120
3.184,2.196,5.118
3.209,2.308,5.117
3.229,2.421,5.116
3.247,2.534,5.114
3.261,2.649,5.113
3.272,2.764,5.112
3.279,2.879,5.110
3.282,2.995,5.109
3.282,3.112,5.108
3.277,3.228,5.106
3.269,3.345,5.105
3.257,3.461,5.104
3.240,3.577,5.102
3.220,3.693,5.101
3.195,3.808,5.100
3.166,3.922,5.098
3.133,4.036,5.097
3.095,4.149,5.096
3.053,4.260,5.094
3.007,4.370,5.093
2.956,4.479,5.092
2.901,4.585,5.090
2.841,4.690,5.089
2.776,4.792,5.087
2.707,4.892,5.086
2.634,4.989,5.085
2.555,5.083,5.083
2.473,5.174,5.082
2.385,5.262,5.080
2.293,5.345,5.079
2.197,5.424,5.078
2.096,5.499,5.076
1.990,5.569,5.075
1.880,5.633,5.073
1.765,5.692,5.072
1.645,5.744,5.070
1.520,5.789,5.069
1.393,5.826,5.067
1.265,5.854,5.066
1.137,5.874,5.064
1.012,5.887,5.063
0.888,5.893,5.062
0.765,5.894,5.060
0.645,5.889,5.059
0.526,5.879,5.058
0.409,5.866,5.056
0.293,5.848,5.055
0.179,5.826,5.054
0.066,5.801,5.052
-0.045,5.773,5.051
-0.154,5.742,5.053
-0.261,5.708,5.066
-0.367,5.672,5.088
-0.471,5.634,5.119
-0.573,5.594,5.157
-0.674,5.553,5.203
-0.773,5.510,5.257
-0.871,5.466,5.317
-0.967,5.420,5.386
-1.062,5.374,5.462
-1.156,5.328,5.547
-1.249,5.281,5.640
-1.340,5.233,5.732
-1.431,5.186,5.822
-1.520,5.138,5.910
-1.609,5.091,5.995
-1.697,5.044,6.078
-1.784,4.997,6.158
-1.871,4.951,6.055
-1.957,4.906,5.967
-2.042,4.862,5.893
-2.127,4.820,5.833
-2.212,4.778,5.788
-2.296,4.738,5.756
-2.380,4.699,5.738
-2.464,4.662,5.734
-2.547,4.627,5.733
-2.630,4.594,5.732
-2.713,4.563,5.731
-2.796,4.534,5.730
-2.879,4.507,5.729
-2.961,4.484,5.727
-3.043,4.462,5.726
-3.125,4.444,5.725
-3.206,4.429,5.724
-3.286,4.416,5.723
