# 01e2bb4a-03e2-49e2-9893-2ea24520122c
# d79d3ac4f0deada50830d50bc2b572b7aa3783b7
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.1366589; -0.4566739; -1.5740776; 0.0569514; 6.6837710; 4.0127295
0.0997708; -4.0368888; -0.4567293; -1.5687393; 0.0500626; 6.7434043; 4.4551193
0.1995416; -3.9371185; -0.4562863; -1.5640879; 0.0431783; 6.8090002; 4.9126128
0.2993124; -3.8373511; -0.4554149; -1.5601636; 0.0354863; 6.8806071; 4.9943871
0.3990832; -3.7375883; -0.4541902; -1.5570069; 0.0277989; 6.9526500; 3.3108792
0.4988540; -3.6378287; -0.4526868; -1.5545535; 0.0213813; 7.0000000; 0.0000000
0.5986248; -3.5380728; -0.4509705; -1.5527404; 0.0149952; 7.0000000; 0.0000000
0.6983956; -3.4383196; -0.4490956; -1.5512750; 0.0143810; 7.0000000; 0.0000000
0.7981664; -3.3385693; -0.4470775; -1.5498708; 0.0138014; 7.0000000; 0.0000000
0.8979373; -3.2388225; -0.4449145; -1.5482923; 0.0178407; 7.0000000; 0.0000000
0.9977081; -3.1390786; -0.4425740; -1.5463109; 0.0218798; 7.0000000; 0.0000000
1.0974789; -3.0393413; -0.4400156; -1.5439218; 0.0260115; 7.0000000; 0.0000000
1.1972497; -2.9396096; -0.4371983; -1.5411205; 0.0301449; 7.0000000; -2.8078467
1.2970205; -2.8398871; -0.4340810; -1.5379021; 0.0343711; 6.9598648; -5.3693107
1.3967913; -2.7401768; -0.4306217; -1.5342619; 0.0386005; 6.8824644; -5.1551355
1.4965621; -2.6404772; -0.4267783; -1.5301985; 0.0428537; 6.8073235; -4.9577255
1.5963329; -2.5408006; -0.4225089; -1.5257106; 0.0471149; 6.7342691; -4.7711503
1.6961037; -2.4411366; -0.4177705; -1.5207943; 0.0514322; 6.6632077; -4.5984452
1.7958745; -2.3415099; -0.4125214; -1.5154474; 0.0557605; 6.5939939; -4.4353839
1.8956453; -2.2418992; -0.4067171; -1.5096655; 0.0601356; 6.5265391; -4.2839042
1.9954161; -2.1423429; -0.4003165; -1.5034474; 0.0645253; 6.4607194; -4.1407224
2.0951869; -2.0428089; -0.3932735; -1.4967878; 0.0689595; 6.3964560; -4.0071910
2.1949577; -1.9433499; -0.3855477; -1.4896865; 0.0734136; 6.3336441; -3.8791657
2.2947285; -1.8439229; -0.3770913; -1.4821356; 0.0779327; 6.2722398; -3.7595430
2.3944993; -1.7445950; -0.3678648; -1.4741350; 0.0824732; 6.2121500; -3.6493950
2.4942702; -1.6453129; -0.3578180; -1.4656788; 0.0870146; 6.1532594; -3.5466531
2.5940410; -1.5461584; -0.3469136; -1.4567711; 0.0915798; 6.0954816; -3.4604866
2.6938118; -1.4470687; -0.3350992; -1.4474101; 0.0960352; 6.0385748; -3.3799444
2.7935826; -1.3481381; -0.3223413; -1.4376073; 0.1005348; 5.9824699; -3.2793299
2.8933534; -1.2492980; -0.3085852; -1.4273292; 0.1054576; 5.9275275; -3.1850147
2.9931242; -1.1506518; -0.2937964; -1.4165632; 0.1104024; 5.8736734; -3.1053310
3.0928950; -1.0521301; -0.2779150; -1.4053048; 0.1152360; 5.8206870; -3.0306182
3.1926658; -0.9538426; -0.2609098; -1.3935677; 0.1201097; 5.7685061; -2.9564196
3.2924366; -0.8557211; -0.2427195; -1.3813330; 0.1250943; 5.7171439; -2.8872359
3.3922074; -0.7578791; -0.2233148; -1.3686051; 0.1301136; 5.6665342; -2.8210922
3.4919782; -0.6602537; -0.2026324; -1.3553672; 0.1352001; 5.6166436; -2.7596349
3.5917490; -0.5629587; -0.1806447; -1.3416260; 0.1403247; 5.5674072; -2.7008205
3.6915198; -0.4659407; -0.1572872; -1.3273637; 0.1455240; 5.5187949; -2.6463973
3.7912906; -0.3693108; -0.1325335; -1.3125868; 0.1507664; 5.4707431; -2.5919600
3.8910614; -0.2730285; -0.1063192; -1.2972746; 0.1561349; 5.4232671; -2.5426623
3.9908322; -0.1771995; -0.0786180; -1.2814306; 0.1615318; 5.3762868; -2.4984201
4.0906031; -0.0817996; -0.0493669; -1.2650416; 0.1669614; 5.3297205; -2.4570474
4.1903739; 0.0130727; -0.0185396; -1.2481137; 0.1724706; 5.2835251; -2.4080633
