# dca692c1-fe5f-43fe-a50e-bdd84e184701
# 18d375a46e429a9d3d343eb54373008783fcffc0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.6286376; -0.6043671; -1.7364027; 0.2436496; 4.4317390; 1.2292802
0.0996601; -0.5301575; -0.6196131; -1.7125043; 0.2359999; 4.4592972; 1.3376839
0.1993202; -0.4313328; -0.6325404; -1.6893558; 0.2285411; 4.4890933; 1.4350375
0.2989804; -0.3322341; -0.6432138; -1.6669389; 0.2213030; 4.5208396; 1.5235462
0.3986405; -0.2329324; -0.6516980; -1.6452332; 0.2143098; 4.5543017; 1.6033373
0.4983006; -0.1334985; -0.6580578; -1.6242171; 0.2075803; 4.5892529; 1.6741353
0.5979607; -0.0338185; -0.6623432; -1.6031936; 0.2141220; 4.6254655; 1.2734781
0.6976208; 0.0658771; -0.6644976; -1.5814954; 0.2210830; 4.6528229; 0.8895346
0.7972810; 0.1655357; -0.6644542; -1.5591094; 0.2281839; 4.6718372; 0.5343179
0.8969411; 0.2651084; -0.6621467; -1.5360236; 0.2353937; 4.6832215; 0.2096199
0.9966012; 0.3645460; -0.6575086; -1.5122287; 0.2426761; 4.6876801; -0.0490207
1.0962613; 0.4639986; -0.6504817; -1.4884366; 0.2341206; 4.6866378; 0.2382517
1.1959214; 0.5632369; -0.6411379; -1.4655496; 0.2250974; 4.6917015; 0.5450336
1.2955816; 0.6622201; -0.6295726; -1.4435642; 0.2161285; 4.7032647; 0.8191992
1.3952417; 0.7609132; -0.6158807; -1.4224721; 0.2072554; 4.7205912; 1.0659588
1.4949018; 0.8592813; -0.6001573; -1.4022624; 0.1985116; 4.7430422; 1.2896499
1.5945619; 0.9574448; -0.5824561; -1.3825346; 0.1972703; 4.7700631; 1.2096838
1.6942220; 1.0552089; -0.5628335; -1.3629093; 0.1963795; 4.7952702; 1.1245843
1.7938822; 1.1525256; -0.5413105; -1.3433748; 0.1956267; 4.8185858; 1.0427648
1.8935423; 1.2493519; -0.5179073; -1.3239189; 0.1950150; 4.8401047; 0.9636019
1.9932024; 1.3456445; -0.4926441; -1.3045290; 0.1945474; 4.8599052; 0.8865555
2.0928625; 1.4416493; -0.4654598; -1.2852400; 0.1920419; 4.8780516; 0.9009713
2.1925226; 1.5370574; -0.4364591; -1.2662159; 0.1895127; 4.8964241; 0.9166873
2.2921828; 1.6318415; -0.4056805; -1.2474543; 0.1870128; 4.9150466; 0.9314184
2.3918429; 1.7259800; -0.3731605; -1.2289510; 0.1845521; 4.9338964; 0.9448623
2.4915030; 1.8194522; -0.3389355; -1.2107008; 0.1821322; 4.9529450; 0.9570577
2.5911631; 1.9125059; -0.3029384; -1.1927349; 0.1780006; 4.9721650; 1.0440494
2.6908232; 2.0048540; -0.2653159; -1.1751891; 0.1739116; 4.9930477; 1.1245088
2.7904834; 2.0964835; -0.2261205; -1.1580583; 0.1698770; 5.0154424; 1.2035404
2.8901435; 2.1873817; -0.1854043; -1.1413365; 0.1659073; 5.0393008; 1.2789081
2.9898036; 2.2775478; -0.1432142; -1.1250151; 0.1620076; 5.0645301; 1.3488294
3.0894637; 2.3672282; -0.0994727; -1.1090471; 0.1580513; 5.0910032; 1.4198095
3.1891238; 2.4561494; -0.0543526; -1.0934848; 0.1540857; 5.1187216; 1.4900045
3.2887840; 2.5443129; -0.0079006; -1.0783271; 0.1501216; 5.1476498; 1.5593304
3.3884441; 2.6317206; 0.0398367; -1.0635728; 0.1461686; 5.1777509; 1.6277363
3.4881042; 2.7183945; 0.0888244; -1.0492150; 0.1424773; 5.2089870; 1.6833547
3.5877643; 2.8045058; 0.1391239; -1.0350773; 0.1410458; 5.2410946; 1.6274770
3.6874244; 2.8898622; 0.1906056; -1.0210907; 0.1395741; 5.2719504; 1.5793868
3.7870846; 2.9744649; 0.2432515; -1.0072575; 0.1380665; 5.3017228; 1.5383464
3.8867447; 3.0583150; 0.2970430; -0.9935795; 0.1365272; 5.3305617; 1.5036680
3.9864048; 3.1414228; 0.3519680; -0.9800493; 0.1358777; 5.3586006; 1.1107376
4.0860649; 3.2238161; 0.4080447; -0.9663033; 0.1399674; 5.3792186; -1.1228612
4.1857250; 3.3054139; 0.4652617; -0.9521494; 0.1440785; 5.3583751; -0.9831080
4.2853852; 3.3861786; 0.5236421; -0.9375856; 0.1482027; 5.3400590; -0.8348660
4.3850453; 3.4660720; 0.5832088; -0.9226106; 0.1523308; 5.3244553; -0.7287621
4.4847054; 3.5450514; 0.6439807; -0.9072352; 0.1555317; 5.3107973; -0.7242341
4.5843655; 3.6230727; 0.7059603; -0.8917293; 0.1557015; 5.2971892; -0.7747267
4.6840256; 3.7001307; 0.7691492; -0.8762027; 0.1559143; 5.2825935; -0.8271220
4.7836858; 3.7762044; 0.8335337; -0.8606514; 0.1561694; 5.2669661; -0.8816311
4.8833459; 3.8512731; 0.8990999; -0.8450713; 0.1564662; 5.2502576; -0.9394540
4.9830060; 3.9253061; 0.9658253; -0.8294571; 0.1570250; 5.2323946; -0.9903225
5.0826661; 3.9982690; 1.0336856; -0.8137555; 0.1581360; 5.2134980; -1.0163579
5.1823262; 4.0701596; 1.1026932; -0.7979403; 0.1592784; 5.1940332; -1.0437463
5.2819864; 4.1409529; 1.1728402; -0.7820082; 0.1604492; 5.1739676; -1.0727914
5.3816465; 4.2106239; 1.2441190; -0.7659561; 0.1616455; 5.1532623; -1.1066756
5.4813066; 4.2791321; 1.3165054; -0.7497727; 0.1635411; 5.1318154; -1.0507189
5.5809667; 4.3464347; 1.3899816; -0.7333220; 0.1666628; 5.1113697; -0.9870660
5.6806268; 4.4125157; 1.4645743; -0.7165553; 0.1698444; 5.0920877; -0.9176211
5.7802870; 4.4773314; 1.5402827; -0.6994670; 0.1730779; 5.0740967; -0.8420352
5.8799471; 4.5408382; 1.6171061; -0.6820524; 0.1763548; 5.0575313; -0.7946325
5.9796072; 4.6029792; 1.6950264; -0.6643261; 0.1789621; 5.0418485; -0.7871151
6.0792673; 4.6637109; 1.7740290; -0.6464068; 0.1806979; 5.0262658; -0.7761729
6.1789274; 4.7230154; 1.8541195; -0.6283090; 0.1825127; 5.0108523; -0.7633233
6.2785876; 4.7808571; 1.9352807; -0.6100253; 0.1844012; 4.9956476; -0.7509336
6.3782477; 4.8372002; 2.0174955; -0.5915491; 0.1863580; 4.9806444; -0.7509111
6.4779078; 4.8920048; 2.1007395; -0.5728834; 0.1880498; 4.9655964; -0.7498056
6.5775679; 4.9452370; 2.1849914; -0.5540716; 0.1894797; 4.9505248; -0.7622441
6.6772280; 4.9968691; 2.2702342; -0.5351129; 0.1909939; 4.9351560; -0.7730827
6.7768882; 5.0468688; 2.3564435; -0.5159995; 0.1925877; 4.9195197; -0.7824564
6.8765483; 5.0952037; 2.4435947; -0.4967238; 0.1942562; 4.9036430; -0.7910883
6.9762084; 5.1418468; 2.5316738; -0.4772732; 0.1961186; 4.8875387; -0.7872319
7.0758685; 5.1867617; 2.6206527; -0.4576233; 0.1981823; 4.8714601; -0.7775233
7.1755286; 5.2299068; 2.7104943; -0.4377641; 0.2003484; 4.8555275; -0.7638671
7.2751888; 5.2712454; 2.8011702; -0.4176863; 0.2026100; 4.8398237; -0.7462273
7.3748489; 5.3107403; 2.8926519; -0.3973809; 0.2049592; 4.8244331; -0.7379126
7.4745090; 5.3483650; 2.9849328; -0.3769058; 0.2050414; 4.8091656; -0.8032320
7.5741691; 5.3840990; 3.0779699; -0.3565388; 0.2036762; 4.7924914; -0.9379797
7.6738293; 5.4179354; 3.1717080; -0.3363060; 0.2023730; 4.7729462; -1.0825273
7.7734894; 5.4498734; 3.2661064; -0.3162003; 0.2011370; 4.7502890; -1.2373218
7.8731495; 5.4799124; 3.3611244; -0.2962147; 0.1999729; 4.7242589; -1.4108043
7.9728096; 5.5080409; 3.4566886; -0.2762815; 0.2008742; 4.6944031; -1.5182999
8.0724697; 5.5342493; 3.5527882; -0.2561794; 0.2027322; 4.6620589; -1.5978991
8.1721299; 5.5585173; 3.6494202; -0.2358895; 0.2045453; 4.6277748; -1.6882579
8.2717900; 5.5808194; 3.7465650; -0.2154136; 0.2063037; 4.5912738; -1.7906793
8.3714501; 5.6011304; 3.8442032; -0.1947538; 0.2079973; 4.5522386; -1.8813042
8.4711102; 5.6193802; 3.9420876; -0.1737771; 0.2147085; 4.5108641; -1.7789719
8.5707703; 5.6355316; 4.0403301; -0.1519695; 0.2233701; 4.4713879; -1.6754600
8.6704305; 5.6495036; 4.1389797; -0.1292792; 0.2320997; 4.4338873; -1.5702424
8.7700906; 5.6611989; 4.2380027; -0.1056993; 0.2408515; 4.3984515; -1.4638794
8.8697507; 5.6705200; 4.3373653; -0.0812263; 0.2495708; 4.3651569; -1.4282247
8.9694108; 5.6773518; 4.4366800; -0.0560324; 0.2561203; 4.3324266; -1.4090131
9.0690709; 5.6816492; 4.5361341; -0.0302318; 0.2622618; 4.2998925; -1.3874815
9.1687311; 5.6833491; 4.6357586; -0.0037851; 0.2686006; 4.2676132; -1.3648811
9.2683912; 5.6823801; 4.7354831; 0.0233257; 0.2750936; 4.2356197; -1.3427235
9.3680513; 5.6786709; 4.8352371; 0.0511160; 0.2816909; 4.2039079; -1.3247579
9.4677114; 5.6721786; 4.9345954; 0.0794913; 0.2882754; 4.1723843; -1.3004454
9.5673715; 5.6628371; 5.0337267; 0.1085377; 0.2951986; 4.1412058; -1.2690047
9.6670317; 5.6505752; 5.1326167; 0.1383141; 0.3024658; 4.1105532; -1.2313970
9.7666918; 5.6353266; 5.2311616; 0.1688509; 0.3100177; 4.0805888; -1.1888094
9.8663519; 5.6170250; 5.3292574; 0.2001745; 0.3177853; 4.0514505; -1.1408700
9.9660120; 5.5956622; 5.4265542; 0.2322248; 0.3257512; 4.0232888; -1.0758320
10.0656721; 5.5711541; 5.5231038; 0.2650951; 0.3342828; 3.9965507; -0.9919624
10.1653323; 5.5434319; 5.6188251; 0.2988571; 0.3433443; 3.9717376; -0.8883526
10.2649924; 5.5124396; 5.7135745; 0.3335570; 0.3528454; 3.9493839; -0.7638891
10.3646525; 5.4781211; 5.8072083; 0.3692344; 0.3626784; 3.9300604; -0.7537582
10.4643126; 5.4404704; 5.8994790; 0.4056869; 0.3678584; 3.9108995; -0.7525371
10.5639727; 5.3994625; 5.9903075; 0.4425692; 0.3724199; 3.8916756; -0.7515558
10.6636329; 5.3551067; 6.0795613; 0.4799493; 0.3777530; 3.8723816; -0.7246159
10.7632930; 5.3074237; 6.1670789; 0.5178957; 0.3837971; 3.8536876; -0.6788091
10.8629531; 5.2564342; 6.2526988; 0.5564725; 0.3904794; 3.8360928; -0.6560133
10.9626132; 5.2021106; 6.3363336; 0.5957114; 0.3961123; 3.8190118; -0.6209308
11.0622733; 5.1445264; 6.4177560; 0.6355104; 0.4021506; 3.8027736; -0.5578541
11.1619335; 5.0837539; 6.4967650; 0.6759378; 0.4090994; 3.7881256; -0.4635223
11.2615936; 5.0198503; 6.5731843; 0.7170748; 0.4168739; 3.7759113; -0.3338805
11.3612537; 4.9528726; 6.6468376; 0.7589963; 0.4253702; 3.7670887; -0.0316433
11.4609138; 4.8826210; 6.7177887; 0.8021696; 0.4413195; 3.7662514; -0.0316293
11.5605739; 4.8092965; 6.7855872; 0.8472378; 0.4615099; 3.7654144; -0.0316152
11.6602341; 4.7330462; 6.8498367; 0.8943417; 0.4835009; 3.7645775; -0.0316012
11.7598942; 4.6539308; 6.9102314; 0.9436270; 0.5069473; 3.7637409; -0.0315871
11.8595543; 4.5720110; 6.9664659; 0.9952125; 0.5313752; 3.7629044; -0.0315731
11.9592144; 4.4868547; 7.0185409; 1.0486916; 0.5347766; 3.7620681; -0.0315590
12.0588745; 4.3989813; 7.0660270; 1.1019942; 0.5327457; 3.7612319; -0.0315450
12.1585347; 4.3088522; 7.1087052; 1.1551153; 0.5328690; 3.7603960; -0.0315310
12.2581948; 4.2167629; 7.1464653; 1.2082565; 0.5352212; 3.7595603; -0.0315170
12.3578549; 4.1230088; 7.1791972; 1.2616227; 0.5398423; 3.7587247; -0.0315030
12.4575150; 4.0273922; 7.2069314; 1.3152494; 0.5349316; 3.7578893; -0.0314890
12.5571751; 3.9304541; 7.2295335; 1.3680555; 0.5257186; 3.7570542; -0.0314750
12.6568353; 3.8324792; 7.2470328; 1.4198700; 0.5152141; 3.7562192; -0.0314610
12.7564954; 3.7336284; 7.2594985; 1.4706444; 0.5037726; 3.7553843; -0.0314470
12.8561555; 3.6340624; 7.2669997; 1.5203523; 0.4917252; 3.7545497; -0.0314330
12.9558156; 3.5346536; 7.2695859; 1.5692943; 0.4948270; 3.7537153; -0.0314191
13.0554757; 3.4351136; 7.2672704; 1.6189506; 0.5029975; 3.7528810; -0.0314051
13.1551359; 3.3356754; 7.2599581; 1.6696328; 0.5139648; 3.7520469; -0.0313911
13.2547960; 3.2366742; 7.2475487; 1.7215750; 0.5275008; 3.7512130; -0.0313772
13.3544561; 3.1384451; 7.2299421; 1.7749947; 0.5433185; 3.7503793; -0.0313632
13.4541162; 3.0414234; 7.2071115; 1.8285177; 0.5277008; 3.7495458; -0.0313493
13.5537763; 2.9457381; 7.1792108; 1.8802249; 0.5099891; 3.7487125; -0.0313354
13.6534365; 2.8515862; 7.1464795; 1.9302486; 0.4939023; 3.7478793; -0.0313214
13.7530966; 2.7591767; 7.1091597; 1.9787544; 0.4797662; 3.7470464; -0.0313075
13.8527567; 2.6687183; 7.0674935; 2.0259268; 0.4678329; 3.7462136; -0.0313075
13.9524168; 2.5800652; 7.0215646; 2.0711270; 0.4362327; 3.7453806; 0.1763013
14.0520769; 2.4935575; 6.9718557; 2.1130145; 0.4034345; 3.7500689; 0.8540212
14.1517371; 2.4091917; 6.9187519; 2.1516261; 0.3713127; 3.7726967; 1.4181810
14.2513972; 2.3269431; 6.8626278; 2.1870438; 0.3402300; 3.8099754; 1.8985003
14.3510573; 2.2467873; 6.8038582; 2.2193678; 0.3103770; 3.8593162; 2.3180447
14.4507174; 2.1678992; 6.7421811; 2.2487973; 0.2772401; 3.9187186; 2.8044725
14.5503775; 2.0909350; 6.6784926; 2.2748171; 0.2436001; 3.9894039; 3.3042785
14.6500377; 2.0157204; 6.6131078; 2.2974091; 0.2097274; 4.0711120; 3.8284208
14.7496978; 1.9420744; 6.5463369; 2.3165702; 0.1757343; 4.1637765; 4.3915738
14.8493579; 1.8697356; 6.4784134; 2.3323222; 0.1429064; 4.2675946; 4.9746441
14.9490180; 1.7978265; 6.4089181; 2.3455851; 0.1222111; 4.3822268; 5.2520951
15.0486781; 1.7269522; 6.3387304; 2.3567161; 0.1008707; 4.5000845; 5.2548243
15.1483383; 1.6569131; 6.2679613; 2.3656769; 0.0790503; 4.6149922; 5.2524878
15.2479984; 1.5875092; 6.1967223; 2.3724399; 0.0569003; 4.7270583; 5.2501523
15.3476585; 1.5185442; 6.1251280; 2.3769849; 0.0343997; 4.8364803; 5.2478178
15.4473186; 1.4498213; 6.0532958; 2.3792594; 0.0113603; 4.9434338; 5.2454844
15.5469787; 1.3811194; 5.9813228; 2.3792456; -0.0116096; 5.0480758; 5.2335368
15.6466389; 1.3122268; 5.9093168; 2.3769519; -0.0343687; 5.1503611; 5.2107527
15.7462990; 1.2429319; 5.8373854; 2.3723961; -0.0567764; 5.2502217; 5.1884636
15.8459591; 1.1734238; 5.7660428; 2.3657543; -0.0734635; 5.3478027; 4.7433575
15.9456192; 1.1037414; 5.6955515; 2.3580303; -0.0823540; 5.4354798; 4.0480325
16.0452793; 1.0332437; 5.6253921; 2.3494043; -0.0910677; 5.5092010; -3.1066748
16.1449395; 0.9618620; 5.5556304; 2.3398874; -0.0995941; 5.4527124; -2.8969323
16.2445996; 0.8895274; 5.4863322; 2.3294918; -0.1079196; 5.3995051; -2.4342124
16.3442597; 0.8167296; 5.4180828; 2.3182323; -0.1194761; 5.3543877; -1.7700798
16.4439198; 0.7434356; 5.3509905; 2.3056139; -0.1345258; 5.3213395; -1.0640646
16.5435799; 0.6690570; 5.2847133; 2.2914532; -0.1497926; 5.3013739; -0.2923900
16.6432401; 0.5935533; 5.2194310; 2.2757282; -0.1653411; 5.2958744; -0.0625383
16.7429002; 0.5168844; 5.1553232; 2.2584131; -0.1812207; 5.2946974; -0.0625105
16.8425603; 0.4391183; 5.0926537; 2.2395785; -0.1946506; 5.2935206; -0.0624827
16.9422204; 0.3602358; 5.0315732; 2.2196008; -0.2059170; 5.2923442; -0.0624549
