# x_m, y_m, v_mps
4.007,7.718,4.209
3.923,7.742,4.208
3.838,7.761,4.208
3.754,7.775,4.207
3.669,7.785,4.206
3.585,7.789,4.205
3.502,7.788,4.204
3.419,7.781,4.204
3.338,7.769,4.203
3.258,7.751,4.202
3.180,7.727,4.201
3.104,7.698,4.201
3.029,7.663,4.200
2.956,7.623,4.199
2.885,7.578,4.198
2.816,7.528,4.197
2.749,7.473,4.197
2.685,7.415,4.196
2.623,7.352,4.201
2.563,7.287,4.215
2.506,7.218,4.236
2.451,7.147,4.264
2.398,7.073,4.299
2.348,6.996,4.341
2.299,6.918,4.390
2.253,6.838,4.446
2.208,6.756,4.510
2.166,6.672,4.582
2.124,6.587,4.661
2.084,6.500,4.749
2.046,6.412,4.846
2.008,6.324,4.949
1.971,6.234,5.051
1.935,6.143,5.151
1.899,6.051,5.250
1.864,5.959,5.346
1.828,5.866,5.442
1.793,5.772,5.536
1.756,5.678,5.628
1.719,5.584,5.720
1.681,5.489,5.810
1.641,5.394,5.899
1.600,5.299,5.965
1.557,5.204,6.008
1.512,5.109,6.031
1.465,5.015,6.036
1.414,4.921,6.035
1.361,4.828,6.033
1.304,4.736,6.032
1.244,4.645,6.030
1.180,4.556,6.029
1.111,4.470,6.027
1.039,4.385,6.026
0.962,4.304,6.024
0.881,4.226,6.023
0.796,4.153,6.021
0.708,4.083,6.020
0.616,4.019,6.018
0.522,3.959,6.017
0.426,3.904,6.015
0.328,3.853,6.014
0.229,3.807,6.012
0.128,3.765,6.011
0.027,3.726,6.009
-0.075,3.691,6.008
-0.177,3.660,6.006
-0.280,3.631,6.005
-0.383,3.606,6.004
-0.485,3.582,6.002
-0.588,3.561,6.016
-0.690,3.543,6.044
-0.792,3.525,6.088
-0.894,3.510,6.104
-0.995,3.495,6.025
-1.096,3.482,5.920
-1.196,3.469,5.788
-1.296,3.457,5.628
-1.395,3.445,5.470
-1.493,3.433,5.325
-1.591,3.420,5.191
-1.688,3.407,5.069
-1.784,3.393,4.956
-1.879,3.378,4.853
-1.973,3.362,4.759
-2.067,3.344,4.674
-2.159,3.325,4.596
-2.251,3.304,4.527
-2.341,3.280,4.465
-2.429,3.254,4.411
-2.517,3.226,4.363
-2.602,3.195,4.323
-2.686,3.161,4.290
-2.768,3.124,4.264
-2.848,3.084,4.246
-2.925,3.041,4.236
-3.000,2.995,4.233
-3.071,2.946,4.233
-3.139,2.893,4.232
-3.204,2.837,4.231
-3.265,2.778,4.230
-3.322,2.716,4.229
-3.374,2.650,4.229
-3.422,2.582,4.228
-3.465,2.511,4.227
-3.503,2.438,4.226
-3.536,2.362,4.225
-3.564,2.284,4.225
-3.587,2.203,4.224
-3.605,2.121,4.223
-3.618,2.037,4.222
-3.626,1.952,4.221
-3.629,1.867,4.221
-3.627,1.780,4.220
-3.621,1.694,4.219
-3.610,1.607,4.218
-3.595,1.520,4.217
-3.576,1.434,4.217
-3.553,1.348,4.216
-3.526,1.262,4.215
-3.496,1.178,4.214
-3.463,1.095,4.213
-3.426,1.013,4.212
-3.386,0.932,4.211
-3.342,0.853,4.211
-3.296,0.775,4.210
-3.247,0.699,4.209
