# 03f38bf4-5abf-4a17-b18a-6f272ea9c449
# d79d3ac4f0deada50830d50bc2b572b7aa3783b7
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 4.0810326; 7.9274548; 1.2896024; 0.5642417; 3.7647081; -0.3467882
0.0999592; 3.9842005; 7.9524895; 1.3459825; 0.5634703; 3.7554890; -0.4381837
0.1999185; 3.8861960; 7.9720130; 1.4023693; 0.5653491; 3.7438077; -0.3416542
0.2998777; 3.7872115; 7.9859695; 1.4592655; 0.5767429; 3.7346745; -0.0311011
0.3998370; 3.6875722; 7.9941943; 1.5179537; 0.5974310; 3.7338420; -0.0310872
0.4997962; 3.5877558; 7.9964554; 1.5787130; 0.6197016; 3.7330096; -0.0310734
0.5997555; 3.4878276; 7.9925206; 1.6420518; 0.6472888; 3.7321775; -0.0310595
0.6997147; 3.3884547; 7.9821395; 1.7082166; 0.6772029; 3.7313455; -0.0310457
0.7996740; 3.2900171; 7.9650692; 1.7770410; 0.6926786; 3.7305137; -0.0310318
0.8996332; 3.1929617; 7.9412261; 1.8463856; 0.6953164; 3.7296821; -0.0310180
0.9995925; 3.0978027; 7.9106994; 1.9161563; 0.7008257; 3.7288507; -0.0310042
1.0995517; 3.0050094; 7.8736613; 1.9843778; 0.6648784; 3.7280195; -0.0309903
1.1995110; 2.9148428; 7.8305222; 2.0491592; 0.6316781; 3.7271885; -0.0309765
1.2994702; 2.8275887; 7.7817833; 2.1107033; 0.5984215; 3.7263576; -0.0309765
1.3994295; 2.7434112; 7.7279203; 2.1687527; 0.5634220; 3.7255266; 0.6071787
1.4993887; 2.6623699; 7.6693807; 2.2234196; 0.5304955; 3.7417823; 1.1363987
1.5993480; 2.5845857; 7.6066588; 2.2748621; 0.4991639; 3.7720183; 1.5530516
1.6993072; 2.5099980; 7.5401093; 2.3232400; 0.4689179; 3.8129523; 1.8997398
1.7992665; 2.4386178; 7.4701429; 2.3686663; 0.4401348; 3.8624343; 2.1894450
1.8992257; 2.3703890; 7.3971098; 2.4112479; 0.4120227; 3.9186872; 2.4545134
1.9991850; 2.3052068; 7.3213064; 2.4510738; 0.3848213; 3.9808054; 2.6992048
2.0991442; 2.2430104; 7.2430805; 2.4881878; 0.3579199; 4.0480159; 2.9249418
2.1991035; 2.1836384; 7.1626611; 2.5226404; 0.3314629; 4.1196096; 3.1477209
2.2990627; 2.1269648; 7.0803205; 2.5544755; 0.3054756; 4.1952915; 3.3805779
2.3990220; 2.0728344; 6.9962922; 2.5837154; 0.2796118; 4.2750802; 3.6364259
2.4989812; 2.0210692; 6.9107764; 2.6103879; 0.2540901; 4.3592774; 3.9129802
2.5989405; 1.9714941; 6.8239757; 2.6345226; 0.2287957; 4.4480981; 4.2178308
2.6988997; 1.9239185; 6.7360667; 2.6561335; 0.2036275; 4.5418938; 4.5589836
2.7988590; 1.8781386; 6.6472003; 2.6752414; 0.1787118; 4.6411447; 4.9382428
2.8988182; 1.8339542; 6.5575316; 2.6918660; 0.1539044; 4.7463112; 5.2497454
2.9987775; 1.7911629; 6.4672117; 2.7060109; 0.1291732; 4.8556144; 5.2474041
