# x_m, y_m, v_mps
0.360,-0.189,7.000
0.451,-0.146,7.000
0.541,-0.103,7.000
0.631,-0.061,7.000
0.722,-0.018,7.000
0.813,0.025,7.000
0.904,0.068,7.000
0.995,0.112,7.000
1.086,0.156,7.000
1.177,0.200,7.000
1.268,0.245,7.000
1.359,0.290,7.000
1.451,0.335,7.000
1.542,0.382,7.000
1.633,0.428,7.000
1.724,0.476,7.000
1.816,0.524,7.000
1.907,0.573,7.000
1.998,0.623,7.000
2.089,0.674,7.000
2.180,0.726,7.000
2.270,0.779,7.000
2.361,0.834,7.000
2.451,0.889,7.000
2.540,0.946,7.000
2.629,1.004,7.000
2.718,1.064,6.966
2.806,1.125,6.906
2.893,1.187,6.848
2.980,1.251,6.793
3.066,1.317,6.740
3.151,1.385,6.689
3.235,1.454,6.641
3.318,1.525,6.595
3.400,1.598,6.551
3.480,1.673,6.509
3.560,1.749,6.470
3.638,1.828,6.432
3.714,1.909,6.397
3.789,1.991,6.363
3.862,2.076,6.332
3.933,2.163,6.302
4.002,2.252,6.274
4.069,2.343,6.247
4.134,2.436,6.221
4.197,2.532,6.197
4.257,2.631,6.174
4.314,2.732,6.151
4.369,2.835,6.130
4.419,2.940,6.109
4.466,3.047,6.090
4.510,3.156,6.071
4.549,3.266,6.052
4.585,3.377,6.034
4.617,3.489,6.017
4.645,3.601,5.999
4.670,3.715,5.982
4.690,3.829,5.964
4.707,3.943,5.947
4.721,4.058,5.929
4.731,4.173,5.911
4.737,4.288,5.892
4.739,4.403,5.873
4.738,4.519,5.853
4.734,4.634,5.832
4.726,4.748,5.811
4.714,4.863,5.789
4.699,4.977,5.766
4.680,5.090,5.742
4.658,5.203,5.717
4.633,5.315,5.692
4.604,5.427,5.666
4.571,5.537,5.639
4.535,5.647,5.611
4.496,5.755,5.582
4.454,5.862,5.553
4.408,5.968,5.523
4.359,6.072,5.493
4.306,6.176,5.463
4.250,6.277,5.433
4.190,6.377,5.403
4.127,6.475,5.373
4.060,6.572,5.344
3.990,6.666,5.315
3.916,6.758,5.286
3.838,6.847,5.257
3.757,6.934,5.228
3.672,7.018,5.198
3.584,7.099,5.168
3.492,7.176,5.137
3.396,7.250,5.105
3.296,7.320,5.071
3.194,7.386,5.036
3.087,7.448,5.002
2.978,7.504,4.972
2.865,7.556,4.946
2.749,7.602,4.925
2.630,7.643,4.915
2.508,7.677,4.912
2.384,7.705,4.911
2.257,7.726,4.913
2.128,7.740,4.917
1.998,7.746,4.930
1.866,7.744,4.953
1.734,7.733,4.984
1.602,7.713,5.023
1.473,7.685,5.061
1.346,7.648,5.097
1.224,7.605,5.132
1.105,7.554,5.166
0.992,7.498,5.200
0.883,7.438,5.236
0.778,7.372,5.273
0.677,7.303,5.312
0.581,7.230,5.355
0.489,7.154,5.400
0.400,7.075,5.450
0.316,6.994,5.504
0.235,6.910,5.563
0.157,6.826,5.626
0.083,6.740,5.695
0.011,6.652,5.770
-0.057,6.564,5.852
-0.123,6.476,5.940
-0.186,6.387,6.035
-0.247,6.298,6.139
-0.306,6.209,6.251
-0.363,6.121,6.373
-0.418,6.033,6.494
-0.473,5.946,6.612
-0.526,5.859,6.726
-0.578,5.774,6.684
-0.630,5.690,6.508
-0.681,5.607,6.349
-0.732,5.525,6.205
-0.783,5.446,6.076
-0.834,5.367,5.961
-0.886,5.291,5.858
-0.938,5.217,5.768
-0.990,5.144,5.689
-1.044,5.074,5.620
-1.098,5.006,5.561
-1.153,4.941,5.511
-1.210,4.878,5.468
-1.267,4.818,5.432
-1.326,4.761,5.402
-1.385,4.706,5.378
-1.446,4.656,5.357
-1.508,4.608,5.341
-1.571,4.564,5.326
-1.634,4.524,5.314
-1.699,4.488,5.301
-1.764,4.456,5.298
-1.831,4.427,5.309
