# x_m, y_m, v_mps
-0.065,0.716,7.000
0.024,0.759,7.000
0.114,0.801,7.000
0.204,0.843,7.000
0.294,0.886,7.000
0.384,0.928,7.000
0.473,0.971,6.973
0.562,1.013,6.906
0.650,1.056,6.838
0.739,1.099,6.769
0.827,1.142,6.699
0.914,1.185,6.630
1.001,1.229,6.560
1.088,1.273,6.491
1.174,1.317,6.421
1.260,1.361,6.353
1.345,1.406,6.285
1.429,1.452,6.218
1.513,1.498,6.152
1.596,1.544,6.088
1.678,1.591,6.024
1.760,1.639,5.963
1.840,1.688,5.902
1.920,1.737,5.843
1.999,1.787,5.786
2.077,1.838,5.731
2.154,1.890,5.678
2.230,1.942,5.626
2.305,1.996,5.577
2.378,2.050,5.529
2.451,2.106,5.483
2.522,2.162,5.439
2.592,2.220,5.397
2.660,2.278,5.357
2.728,2.338,5.319
2.793,2.399,5.282
2.857,2.461,5.247
2.920,2.524,5.214
2.980,2.588,5.182
3.039,2.653,5.152
3.097,2.720,5.123
3.152,2.787,5.095
3.205,2.856,5.069
3.256,2.925,5.044
3.305,2.995,5.020
3.352,3.066,4.997
3.395,3.138,4.975
3.437,3.211,4.954
3.475,3.284,4.933
3.511,3.358,4.914
3.544,3.434,4.895
3.575,3.511,4.876
3.603,3.589,4.858
3.628,3.667,4.840
3.651,3.747,4.823
3.671,3.828,4.806
3.689,3.910,4.789
3.704,3.992,4.773
3.716,4.075,4.756
3.726,4.158,4.740
3.733,4.242,4.723
3.737,4.326,4.707
3.739,4.410,4.691
3.739,4.494,4.674
3.735,4.578,4.658
3.729,4.662,4.641
3.721,4.746,4.625
3.710,4.830,4.608
3.696,4.913,4.591
3.680,4.996,4.574
3.661,5.079,4.557
3.640,5.160,4.540
3.616,5.241,4.524
3.590,5.321,4.508
3.561,5.401,4.494
3.530,5.479,4.481
3.497,5.556,4.471
3.461,5.632,4.464
3.423,5.706,4.462
3.383,5.779,4.461
3.340,5.851,4.460
3.295,5.920,4.459
3.249,5.988,4.459
3.200,6.053,4.458
3.149,6.117,4.457
3.095,6.178,4.456
3.040,6.237,4.455
2.983,6.293,4.455
2.925,6.347,4.454
2.864,6.398,4.453
2.802,6.446,4.452
2.738,6.490,4.451
2.673,6.532,4.451
2.607,6.571,4.450
2.539,6.605,4.449
2.471,6.637,4.448
2.402,6.664,4.448
2.332,6.688,4.447
2.262,6.708,4.446
2.192,6.724,4.446
2.122,6.735,4.445
2.052,6.743,4.444
1.983,6.746,4.444
1.916,6.745,4.443
1.849,6.739,4.442
1.784,6.730,4.442
1.718,6.715,4.441
1.653,6.696,4.440
1.588,6.673,4.440
1.522,6.645,4.439
1.457,6.613,4.438
1.392,6.577,4.437
1.328,6.537,4.443
1.264,6.493,4.456
1.201,6.445,4.476
1.140,6.395,4.504
1.079,6.341,4.539
1.020,6.284,4.580
0.962,6.224,4.629
0.905,6.162,4.686
0.849,6.097,4.749
0.794,6.030,4.821
0.740,5.960,4.900
0.687,5.888,4.988
0.634,5.815,5.082
0.583,5.739,5.176
0.531,5.662,5.268
0.480,5.583,5.360
0.429,5.502,5.451
0.378,5.420,5.542
0.327,5.336,5.632
0.275,5.252,5.721
0.222,5.166,5.810
0.168,5.079,5.898
0.114,4.991,5.986
0.057,4.903,6.073
-0.001,4.815,6.160
-0.061,4.726,6.247
-0.123,4.636,6.310
-0.188,4.548,6.353
-0.255,4.459,6.377
-0.325,4.371,6.384
-0.399,4.284,6.382
-0.476,4.199,6.380
-0.556,4.115,6.379
-0.640,4.032,6.377
-0.728,3.953,6.375
-0.820,3.876,6.374
-0.917,3.802,6.372
-1.018,3.731,6.370
-1.123,3.665,6.368
-1.233,3.604,6.366
-1.346,3.548,6.365
