# 0a2e521e-3bba-4d9b-acad-33122399631c
# b6dd16ccd58ac89eca382af8fdb968753a082c71
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2842692; -0.0101066; -1.1172796; 0.0935163; 6.7274416; 2.4710279
0.0998403; 0.3738126; 0.0340528; -1.1080103; 0.0921677; 6.7640141; 2.4066690
0.1996806; 0.4629456; 0.0790343; -1.0988751; 0.0908305; 6.7994449; 1.7716587
0.2995209; 0.5516681; 0.1248234; -1.0898390; 0.0908440; 6.8254097; -2.4235724
0.3993611; 0.6399711; 0.1714156; -1.0807021; 0.0921850; 6.7898657; -2.4801027
0.4992014; 0.7278379; 0.2188166; -1.0714311; 0.0935462; 6.7532991; -2.5460876
0.5990417; 0.8152662; 0.2670421; -1.0619834; 0.0957002; 6.7155524; -2.5490161
0.6988820; 0.9022219; 0.3160963; -1.0523205; 0.0978762; 6.6775486; -2.5549068
0.7987223; 0.9886986; 0.3660006; -1.0424388; 0.1000664; 6.6392387; -2.5646711
0.8985626; 1.0746736; 0.4167671; -1.0323376; 0.1022750; 6.6005587; -2.5783486
0.9984028; 1.1601110; 0.4683999; -1.0220165; 0.1045185; 6.5614426; -2.5787406
1.0982431; 1.2450300; 0.5209378; -1.0114418; 0.1072813; 6.5220859; -2.5638691
1.1980834; 1.3293614; 0.5743697; -1.0005925; 0.1100701; 6.4827193; -2.5464094
1.2979237; 1.4131085; 0.6287304; -0.9894605; 0.1129570; 6.4433827; -2.5265676
1.3977640; 1.4962401; 0.6840341; -0.9780334; 0.1159400; 6.4041139; -2.5090924
1.4976043; 1.5787032; 0.7402808; -0.9663102; 0.1189571; 6.3648769; -2.4849305
1.5974445; 1.6605286; 0.7975284; -0.9542723; 0.1221319; 6.3257779; -2.4635638
1.6972848; 1.7416227; 0.8557502; -0.9419202; 0.1253339; 6.2867750; -2.4311010
1.7971251; 1.8219925; 0.9149900; -0.9292402; 0.1287575; 6.2480474; -2.3887459
1.8969654; 1.9015971; 0.9752605; -0.9162035; 0.1323808; 6.2097592; -2.3510500
1.9968057; 1.9803738; 1.0365587; -0.9028075; 0.1359901; 6.1718434; -2.3496544
2.0966460; 2.0583508; 1.0989513; -0.8890834; 0.1388646; 6.1337159; -2.3645146
2.1964862; 2.1354251; 1.1623943; -0.8750757; 0.1417778; 6.0951065; -2.3831840
2.2963265; 2.2116052; 1.2269319; -0.8607610; 0.1451503; 6.0559431; -2.3653427
2.3961668; 2.2868436; 1.2925682; -0.8460834; 0.1488590; 6.0168210; -2.3490517
2.4960071; 2.3610780; 1.3592972; -0.8310387; 0.1526294; 5.9777148; -2.3067347
2.5958474; 2.4343168; 1.4271780; -0.8155843; 0.1569003; 5.9390626; -2.2660246
2.6956877; 2.5064615; 1.4961771; -0.7997062; 0.1612092; 5.9008460; -2.2386173
2.7955279; 2.5774959; 1.5663376; -0.7833998; 0.1653655; 5.8628470; -2.2206681
2.8953682; 2.6473622; 1.6376613; -0.7666860; 0.1694439; 5.8249078; -2.2044279
2.9952085; 2.7160006; 1.7101445; -0.7495659; 0.1735849; 5.7870000; -2.1792178
3.0950488; 2.7833890; 1.7838246; -0.7320145; 0.1779750; 5.7492801; -2.1566742
3.1948891; 2.8494455; 1.8586770; -0.7140259; 0.1824051; 5.7117052; -2.1471220
3.2947294; 2.9141322; 1.9347245; -0.6955979; 0.1866964; 5.6740495; -2.1466169
3.3945697; 2.9773906; 2.0119649; -0.6767468; 0.1909363; 5.6361511; -2.1438299
3.4944099; 3.0391619; 2.0903929; -0.6574707; 0.1953461; 5.5980460; -2.1110191
3.5942502; 3.0993917; 2.1700116; -0.6377140; 0.2004436; 5.5602688; -2.0820083
3.6940905; 3.1580207; 2.2508257; -0.6174459; 0.2055574; 5.5227577; -2.0801093
3.7939308; 3.2149745; 2.3328184; -0.5966980; 0.2098560; 5.4850246; -2.0941873
3.8937711; 3.2702014; 2.4159913; -0.5755441; 0.2139168; 5.4467721; -2.1273906
3.9936114; 3.3236397; 2.5003252; -0.5539811; 0.2179132; 5.4076361; -2.1695937
4.0934516; 3.3752188; 2.5857803; -0.5320601; 0.2212930; 5.3674298; -2.2513088
4.1932919; 3.4249184; 2.6723901; -0.5097983; 0.2245533; 5.3253882; -2.2762851
4.2931322; 3.4726338; 2.7600459; -0.4870496; 0.2325346; 5.2825401; -2.1109642
4.3929725; 3.5183180; 2.8488172; -0.4633524; 0.2421742; 5.2424909; -1.9106511
4.4928128; 3.5618552; 2.9386939; -0.4386773; 0.2524432; 5.2059765; -1.6094742
4.5926531; 3.6030855; 3.0295812; -0.4128750; 0.2646547; 5.1750179; -1.2703511
4.6924933; 3.6419292; 3.1215961; -0.3858214; 0.2770951; 5.1504511; -0.9433669
4.7923336; 3.6781928; 3.2145962; -0.3575833; 0.2884285; 5.1321315; -0.5748167
4.8921739; 3.7117703; 3.3086213; -0.3282228; 0.2997541; 5.1209369; -0.2783982
4.9920142; 3.7425232; 3.4036213; -0.2977554; 0.3083021; 5.1155062; -0.2754616
5.0918545; 3.7703328; 3.4994828; -0.2669312; 0.3093504; 5.1101271; -0.2610336
5.1916948; 3.7951807; 3.5962040; -0.2359748; 0.3106479; 5.1050246; -0.2517487
5.2915350; 3.8170111; 3.6936134; -0.2049734; 0.3100539; 5.1000987; -0.3079207
5.3913753; 3.8358188; 3.7916676; -0.1740537; 0.3093835; 5.0940672; -0.3767623
5.4912156; 3.8515904; 3.8902679; -0.1431741; 0.3090218; 5.0866776; -0.4406854
5.5910559; 3.8643107; 3.9892927; -0.1123460; 0.3085792; 5.0780205; -0.5189422
5.6908962; 3.8739741; 4.0886598; -0.0815432; 0.3085327; 5.0678072; -0.5909512
5.7907365; 3.8805730; 4.1882894; -0.0507326; 0.3085980; 5.0561515; -0.6693825
5.8905768; 3.8840988; 4.2880639; -0.0199072; 0.3089538; 5.0429164; -0.7471902
5.9904170; 3.8845455; 4.3878967; 0.0109692; 0.3095551; 5.0281017; -0.8255189
6.0902573; 3.8819062; 4.4877142; 0.0419118; 0.3102507; 5.0116830; -0.9125958
6.1900976; 3.8761785; 4.5873680; 0.0729319; 0.3113163; 4.9934696; -0.9990466
6.2899379; 3.8673524; 4.6868369; 0.1040963; 0.3129182; 4.9734544; -1.0775970
6.3897782; 3.8554258; 4.7859568; 0.1354354; 0.3149376; 4.9517747; -1.1519823
6.4896185; 3.8403907; 4.8846413; 0.1669897; 0.3172464; 4.9284931; -1.2266855
6.5894587; 3.8222312; 4.9828345; 0.1987915; 0.3197165; 4.9035803; -1.3080971
6.6892990; 3.8009578; 5.0803486; 0.2308389; 0.3224879; 4.8768738; -1.3899357
6.7891393; 3.7765443; 5.1771758; 0.2631791; 0.3252013; 4.8483353; -1.4885833
6.8889796; 3.7490067; 5.2731353; 0.2957921; 0.3281823; 4.8175838; -1.5951418
6.9888199; 3.7183432; 5.3681321; 0.3287194; 0.3316829; 4.7844116; -1.7028944
7.0886602; 3.6845401; 5.4620903; 0.3620500; 0.3359353; 4.7487430; -1.8023454
7.1885004; 3.6476215; 5.5548211; 0.3958082; 0.3405392; 4.7106970; -1.9267844
7.2883407; 3.6075543; 5.6462730; 0.4302064; 0.3490826; 4.6696815; -1.9248271
7.3881810; 3.5643310; 5.7362597; 0.4655271; 0.3585339; 4.6283447; -1.9158570
7.4880213; 3.5179175; 5.8246373; 0.5017989; 0.3682633; 4.5868306; -1.8935236
7.5878616; 3.4682812; 5.9112578; 0.5390837; 0.3787232; 4.5454279; -1.8642039
7.6877019; 3.4154050; 5.9959405; 0.5774399; 0.3896918; 4.5042946; -1.8424682
7.7875421; 3.3592771; 6.0784997; 0.6168898; 0.4006412; 4.4632684; -1.8112120
7.8873824; 3.2998910; 6.1587496; 0.6574617; 0.4121947; 4.4225672; -1.7660226
7.9872227; 3.2372540; 6.2364871; 0.6992177; 0.4244670; 4.3825176; -1.6938022
8.0870630; 3.1713809; 6.3114984; 0.7422545; 0.4378127; 4.3437589; -1.6009428
8.1869033; 3.1022868; 6.3835651; 0.7866658; 0.4518809; 4.3068044; -1.5313267
8.2867436; 3.0300214; 6.4524364; 0.8324360; 0.4650873; 4.2711577; -1.4306160
8.3865838; 2.9546322; 6.5178820; 0.8795731; 0.4793207; 4.2375844; -1.2957252
8.4864241; 2.8761967; 6.5796465; 0.9281797; 0.4944571; 4.2069455; -1.1060817
8.5862644; 2.7948108; 6.6374623; 0.9783560; 0.5108997; 4.1806133; -0.8485306
8.6861047; 2.7105855; 6.6910504; 1.0302383; 0.5285917; 4.1602996; -0.5095844
8.7859450; 2.6236470; 6.7401225; 1.0839323; 0.5472834; 4.1480524; -0.0384100
8.8857853; 2.5341627; 6.7843694; 1.1395814; 0.5677512; 4.1471278; -0.0383500
8.9856256; 2.4423151; 6.8234748; 1.1973306; 0.5890683; 4.1462044; -0.0383329
9.0854658; 2.3483263; 6.8571124; 1.2572731; 0.6120804; 4.1452812; -0.0383158
9.1853061; 2.2524615; 6.8849445; 1.3196176; 0.6370702; 4.1443583; -0.0382988
9.2851464; 2.1550331; 6.9066360; 1.3841575; 0.6562603; 4.1434355; -0.0382817
9.3849867; 2.0563838; 6.9219011; 1.4507520; 0.6781534; 4.1425130; -0.0382647
9.4848270; 1.9569468; 6.9304616; 1.5191885; 0.6841672; 4.1415907; -0.0382476
9.5846673; 1.8571515; 6.9322215; 1.5869734; 0.6743963; 4.1406685; -0.0382306
9.6845075; 1.7574166; 6.9272571; 1.6539859; 0.6679929; 4.1397466; -0.0382136
9.7843478; 1.6582824; 6.9157113; 1.7189176; 0.6333840; 4.1388249; -0.0381966
9.8841881; 1.5600425; 6.8979153; 1.7805612; 0.6018925; 4.1379034; -0.0381966
9.9840284; 1.4630407; 6.8742467; 1.8391520; 0.5700585; 4.1369817; -0.0048945
10.0838687; 1.3675541; 6.8451019; 1.8943599; 0.5360324; 4.1368635; 0.7873689
10.1837090; 1.2737896; 6.8108993; 1.9462458; 0.5040305; 4.1558227; 1.3850911
10.2835492; 1.1818167; 6.7719968; 1.9951992; 0.4763675; 4.1889662; 1.7896688
10.3833895; 1.0918361; 6.7287830; 2.0414036; 0.4494852; 4.2314064; 2.1307657
10.4832298; 1.0038731; 6.6815691; 2.0849773; 0.4233380; 4.2813868; 2.4284300
10.5830701; 0.9179777; 6.6306768; 2.1259430; 0.3973094; 4.3376472; 2.7122003
10.6829104; 0.8341944; 6.5764348; 2.1643278; 0.3718935; 4.3996314; 2.9778667
10.7827507; 0.7524432; 6.5190941; 2.2001697; 0.3459500; 4.4666966; 3.2653446
10.8825909; 0.6727452; 6.4589823; 2.2334196; 0.3202401; 4.5390973; 3.5538588
10.9824312; 0.5950046; 6.3963495; 2.2641167; 0.2946135; 4.6166049; 3.8536979
11.0822715; 0.5191360; 6.3314546; 2.2922410; 0.2687804; 4.6992073; 4.1835379
11.1821118; 0.4450424; 6.2645531; 2.3177891; 0.2430716; 4.7872665; 4.5382858
11.2819521; 0.3725921; 6.1958720; 2.3407692; 0.2172887; 4.8809967; 4.9311637
11.3817924; 0.3016409; 6.1256279; 2.3611762; 0.1915031; 4.9808419; 5.2446562
11.4816326; 0.2320583; 6.0540529; 2.3790141; 0.1659351; 5.0848837; 5.2253432
11.5814729; 0.1636652; 5.9813293; 2.3943065; 0.1404265; 5.1864671; 5.2026989
11.6813132; 0.0962809; 5.9076346; 2.4070571; 0.1149998; 5.2856711; 5.1805406
11.7811535; 0.0297881; 5.8332166; 2.4172822; 0.0899232; 5.3826362; 5.1588399
