# 2fc98cb8-f59b-461b-abd4-b950a70aa40b
# 8aede70a0b32b5972adb65a4e0acf12b0a80a302
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2842692; -0.0101066; -1.1172796; 0.0935163; 7.6926898; 4.3744948
0.0998403; 0.3738126; 0.0340528; -1.1080103; 0.0921677; 7.7492566; 4.3323310
0.1996806; 0.4629456; 0.0790343; -1.0988751; 0.0908305; 7.8048741; 3.6433087
0.2995209; 0.5516681; 0.1248234; -1.0898390; 0.0908440; 7.8513412; -4.4376090
0.3993611; 0.6399711; 0.1714156; -1.0807021; 0.0921850; 7.7947068; -4.4737937
0.4992014; 0.7278379; 0.2188166; -1.0714311; 0.0935462; 7.7371910; -4.4914962
0.5990417; 0.8152662; 0.2670421; -1.0619834; 0.0957002; 7.6790142; -4.4717555
0.6988820; 0.9022219; 0.3160963; -1.0523205; 0.0978762; 7.6206520; -4.4562286
0.7987223; 0.9886986; 0.3660006; -1.0424388; 0.1000664; 7.5620444; -4.4447491
0.8985626; 1.0746736; 0.4167671; -1.0323376; 0.1022750; 7.5031317; -4.4253229
0.9984028; 1.1601110; 0.4683999; -1.0220165; 0.1045185; 7.4440133; -4.3689767
1.0982431; 1.2450300; 0.5209378; -1.0114418; 0.1072813; 7.3851834; -4.3158183
1.1980834; 1.3293614; 0.5743697; -1.0005925; 0.1100701; 7.3266056; -4.2603287
1.2979237; 1.4131085; 0.6287304; -0.9894605; 0.1129570; 7.2683178; -4.2027939
1.3977640; 1.4962401; 0.6840341; -0.9780334; 0.1159400; 7.2103556; -4.1479957
1.4976043; 1.5787032; 0.7402808; -0.9663102; 0.1189571; 7.1526886; -4.0868554
1.5974445; 1.6605286; 0.7975284; -0.9542723; 0.1221319; 7.0954132; -4.0290334
1.6972848; 1.7416227; 0.8557502; -0.9419202; 0.1253339; 7.0384919; -3.9606185
1.7971251; 1.8219925; 0.9149900; -0.9292402; 0.1287575; 6.9820849; -3.8832564
1.8969654; 1.9015971; 0.9752605; -0.9162035; 0.1323808; 6.9263337; -3.8118565
1.9968057; 1.9803738; 1.0365587; -0.9028075; 0.1359901; 6.8711677; -3.7958389
2.0966460; 2.0583508; 1.0989513; -0.8890834; 0.1388646; 6.8157898; -3.7831368
2.1964862; 2.1354251; 1.1623943; -0.8750757; 0.1417778; 6.7601458; -3.7460806
2.2963265; 2.2116052; 1.2269319; -0.8607610; 0.1451503; 6.7045918; -3.6929304
2.3961668; 2.2868436; 1.2925682; -0.8460834; 0.1488590; 6.6493718; -3.6414264
2.4960071; 2.3610780; 1.3592972; -0.8310387; 0.1526294; 6.5944691; -3.5639235
2.5958474; 2.4343168; 1.4271780; -0.8155843; 0.1569003; 6.5402888; -3.4891079
2.6956877; 2.5064615; 1.4961771; -0.7997062; 0.1612092; 6.4868074; -3.4286295
2.7955279; 2.5774959; 1.5663376; -0.7833998; 0.1653655; 6.4338200; -3.3780851
2.8953682; 2.6473622; 1.6376613; -0.7666860; 0.1694439; 6.3811834; -3.3292904
2.9952085; 2.7160006; 1.7101445; -0.7495659; 0.1735849; 6.3288788; -3.2714357
3.0950488; 2.7833890; 1.7838246; -0.7320145; 0.1779750; 6.2770586; -3.2165108
3.1948891; 2.8494455; 1.8586770; -0.7140259; 0.1824051; 6.2256879; -3.1746987
3.2947294; 2.9141322; 1.9347245; -0.6955979; 0.1866964; 6.1745659; -3.1414139
3.3945697; 2.9773906; 2.0119649; -0.6767468; 0.1909363; 6.1235598; -3.1047916
3.4944099; 3.0391619; 2.0903929; -0.6574707; 0.1953461; 6.0727274; -3.0369611
3.5942502; 3.0993917; 2.1700116; -0.6377140; 0.2004436; 6.0225905; -2.9730523
3.6940905; 3.1580207; 2.2508257; -0.6174459; 0.2055574; 5.9731010; -2.9566262
3.7939308; 3.2149745; 2.3328184; -0.5966980; 0.2098560; 5.9234749; -2.9564634
3.8937711; 3.2702014; 2.4159913; -0.5755441; 0.2139168; 5.8734322; -2.9580082
3.9936114; 3.3236397; 2.5003252; -0.5539811; 0.2179132; 5.8229331; -2.9676373
4.0934516; 3.3752188; 2.5857803; -0.5320601; 0.2212930; 5.7718255; -3.0148111
4.1932919; 3.4249184; 2.6723901; -0.5097983; 0.2245533; 5.7194380; -2.9345584
4.2931322; 3.4726338; 2.7600459; -0.4870496; 0.2325346; 5.6679799; -2.7105593
4.3929725; 3.5183180; 2.8488172; -0.4633524; 0.2421742; 5.6200312; -2.4541878
4.4928128; 3.5618552; 2.9386939; -0.4386773; 0.2524432; 5.5762619; -2.1007052
4.5926531; 3.6030855; 3.0295812; -0.4128750; 0.2646547; 5.5385221; -1.7195152
4.6924933; 3.6419292; 3.1215961; -0.3858214; 0.2770951; 5.5074380; -1.3648996
4.7923336; 3.6781928; 3.2145962; -0.3575833; 0.2884285; 5.4826389; -0.9842653
4.8921739; 3.7117703; 3.3086213; -0.3282228; 0.2997541; 5.4646858; -0.6968198
4.9920142; 3.7425232; 3.4036213; -0.2977554; 0.3083021; 5.4519400; -0.6944217
5.0918545; 3.7703328; 3.4994828; -0.2669312; 0.3093504; 5.4392083; -0.7180978
5.1916948; 3.7951807; 3.5962040; -0.2359748; 0.3106479; 5.4260111; -0.7252775
5.2915350; 3.8170111; 3.6936134; -0.2049734; 0.3100539; 5.4126493; -0.8174007
5.3913753; 3.8358188; 3.7916676; -0.1740537; 0.3093835; 5.3975507; -0.9226245
5.4912156; 3.8515904; 3.8902679; -0.1431741; 0.3090218; 5.3804576; -1.0235359
5.5910559; 3.8643107; 3.9892927; -0.1123460; 0.3085792; 5.3614311; -1.1388940
5.6908962; 3.8739741; 4.0886598; -0.0815432; 0.3085327; 5.3401806; -1.2481292
5.7907365; 3.8805730; 4.1882894; -0.0507326; 0.3085980; 5.3167943; -1.3639633
5.8905768; 3.8840988; 4.2880639; -0.0199072; 0.3089538; 5.2911194; -1.4793550
5.9904170; 3.8845455; 4.3878967; 0.0109692; 0.3095551; 5.2631308; -1.5959187
6.0902573; 3.8819062; 4.4877142; 0.0419118; 0.3102507; 5.2327690; -1.7214871
6.1900976; 3.8761785; 4.5873680; 0.0729319; 0.3113163; 5.1998196; -1.8464221
6.2899379; 3.8673524; 4.6868369; 0.1040963; 0.3129182; 5.1642453; -1.9641204
6.3897782; 3.8554258; 4.7859568; 0.1354354; 0.3149376; 5.1261324; -2.0791395
6.4896185; 3.8403907; 4.8846413; 0.1669897; 0.3172464; 5.0854763; -2.1966440
6.5894587; 3.8222312; 4.9828345; 0.1987915; 0.3197165; 5.0421664; -2.3239568
6.6892990; 3.8009578; 5.0803486; 0.2308389; 0.3224879; 4.9959377; -2.4583447
6.7891393; 3.7765443; 5.1771758; 0.2631791; 0.3252013; 4.9465654; -2.5082821
6.8889796; 3.7490067; 5.2731353; 0.2957921; 0.3281823; 4.8956771; -2.5559776
6.9888199; 3.7183432; 5.3681321; 0.3287194; 0.3316829; 4.8432711; -2.5936592
7.0886602; 3.6845401; 5.4620903; 0.3620500; 0.3359353; 4.7895064; -2.6131579
7.1885004; 3.6476215; 5.5548211; 0.3958082; 0.3405392; 4.7347202; -2.5231213
7.2883407; 3.6075543; 5.6462730; 0.4302064; 0.3490826; 4.6812132; -2.3919172
7.3881810; 3.5643310; 5.7362597; 0.4655271; 0.3585339; 4.6299176; -2.2541979
7.4880213; 3.5179175; 5.8246373; 0.5017989; 0.3682633; 4.5810499; -2.0947980
7.5878616; 3.4682812; 5.9112578; 0.5390837; 0.3787232; 4.5351656; -1.9501033
7.6877019; 3.4154050; 5.9959405; 0.5774399; 0.3896918; 4.4920296; -1.9460361
7.7875421; 3.3592771; 6.0784997; 0.6168898; 0.4006412; 4.4485665; -1.9369757
7.8873824; 3.2998910; 6.1587496; 0.6574617; 0.4121947; 4.4048800; -1.9194740
7.9872227; 3.2372540; 6.2364871; 0.6992177; 0.4244670; 4.3611565; -1.8821538
8.0870630; 3.1713809; 6.3114984; 0.7422545; 0.4378127; 4.3178532; -1.8333967
8.1869033; 3.1022868; 6.3835651; 0.7866658; 0.4518809; 4.2752500; -1.8187440
8.2867436; 3.0300214; 6.4524364; 0.8324360; 0.4650873; 4.2325636; -1.7881600
8.3865838; 2.9546322; 6.5178820; 0.8795731; 0.4793207; 4.1901711; -1.7432748
8.4864241; 2.8761967; 6.5796465; 0.9281797; 0.4944571; 4.1484257; -1.6705401
8.5862644; 2.7948108; 6.6374623; 0.9783560; 0.5108997; 4.1080240; -1.5662150
8.6861047; 2.7105855; 6.6910504; 1.0302383; 0.5285917; 4.0697812; -1.4297044
8.7859450; 2.6236470; 6.7401225; 1.0839323; 0.5472834; 4.0345551; -1.2308948
8.8857853; 2.5341627; 6.7843694; 1.1395814; 0.5677512; 4.0039791; -0.9575106
8.9856256; 2.4423151; 6.8234748; 1.1973306; 0.5890683; 3.9800317; -0.5840916
9.0854658; 2.3483263; 6.8571124; 1.2572731; 0.6120804; 3.9653526; -0.0731683
9.1853061; 2.2524615; 6.8849445; 1.3196176; 0.6370702; 3.9635099; -0.0350292
9.2851464; 2.1550331; 6.9066360; 1.3841575; 0.6562603; 3.9626274; -0.0350136
9.3849867; 2.0563838; 6.9219011; 1.4507520; 0.6781534; 3.9617451; -0.0349980
