# x_m, y_m, v_mps
2.084,7.545,4.326
1.959,7.550,4.325
1.833,7.547,4.324
1.706,7.535,4.323
1.581,7.515,4.321
1.459,7.487,4.320
1.340,7.452,4.319
1.224,7.410,4.318
1.112,7.362,4.317
1.004,7.309,4.315
0.900,7.251,4.314
0.799,7.189,4.313
0.702,7.123,4.312
0.609,7.054,4.311
0.519,6.981,4.311
0.433,6.906,4.321
0.351,6.829,4.340
0.271,6.750,4.368
0.195,6.670,4.403
0.121,6.588,4.446
0.050,6.505,4.497
-0.019,6.421,4.555
-0.085,6.337,4.620
-0.149,6.252,4.694
-0.212,6.168,4.776
-0.272,6.083,4.868
-0.332,5.999,4.971
-0.390,5.915,5.077
-0.447,5.831,5.181
-0.504,5.749,5.280
-0.560,5.667,5.377
-0.616,5.586,5.274
-0.671,5.506,5.175
-0.727,5.428,5.092
-0.783,5.351,5.025
-0.839,5.275,4.971
-0.896,5.201,4.932
-0.954,5.129,4.906
-1.012,5.059,4.893
-1.071,4.992,4.892
-1.132,4.926,4.892
-1.193,4.863,4.891
-1.256,4.803,4.890
-1.319,4.745,4.889
-1.384,4.691,4.888
-1.450,4.640,4.887
-1.518,4.592,4.886
-1.586,4.548,4.885
-1.656,4.508,4.884
-1.727,4.472,4.883
-1.800,4.439,4.883
-1.876,4.409,4.882
-1.953,4.383,4.881
-2.033,4.359,4.880
-2.115,4.339,4.879
-2.199,4.321,4.878
-2.284,4.306,4.877
-2.370,4.294,4.876
-2.458,4.284,4.875
-2.547,4.277,4.874
-2.638,4.272,4.876
-2.729,4.268,4.891
-2.821,4.267,4.919
-2.915,4.267,4.962
-3.009,4.268,5.018
-3.105,4.271,5.089
-3.201,4.275,5.176
-3.298,4.279,5.273
-3.396,4.284,5.369
-3.495,4.290,5.350
-3.596,4.295,5.212
-3.697,4.301,5.088
-3.799,4.306,4.977
-3.902,4.310,4.877
-4.006,4.313,4.787
-4.111,4.315,4.707
-4.217,4.316,4.636
-4.324,4.315,4.574
-4.432,4.311,4.519
-4.541,4.306,4.473
-4.651,4.297,4.434
-4.762,4.286,4.404
-4.873,4.271,4.382
-4.984,4.252,4.370
-5.097,4.230,4.369
-5.209,4.203,4.368
-5.321,4.171,4.367
-5.433,4.133,4.365
-5.544,4.091,4.364
-5.654,4.042,4.363
-5.763,3.986,4.362
-5.869,3.925,4.361
-5.973,3.856,4.360
-6.072,3.780,4.358
-6.168,3.698,4.357
-6.258,3.609,4.356
-6.341,3.515,4.355
-6.418,3.416,4.353
-6.488,3.313,4.352
-6.552,3.207,4.351
-6.608,3.098,4.350
-6.659,2.987,4.349
-6.702,2.874,4.347
-6.740,2.759,4.346
-6.772,2.644,4.345
-6.797,2.527,4.344
-6.817,2.410,4.343
-6.832,2.292,4.342
-6.841,2.175,4.341
-6.845,2.057,4.339
-6.843,1.940,4.338
-6.837,1.824,4.337
-6.826,1.708,4.336
-6.811,1.593,4.335
-6.791,1.480,4.334
-6.767,1.368,4.333
-6.739,1.257,4.332
-6.707,1.148,4.331
-6.672,1.041,4.329
-6.633,0.934,4.328
-6.591,0.829,4.327
-6.545,0.726,4.326
-6.496,0.624,4.325
-6.444,0.524,4.324
-6.389,0.425,4.323
-6.330,0.329,4.322
-6.268,0.235,4.321
-6.204,0.142,4.320
-6.136,0.052,4.319
-6.066,-0.036,4.320
-5.992,-0.122,4.324
-5.916,-0.205,4.328
-5.838,-0.286,4.333
-5.757,-0.364,4.339
-5.673,-0.440,4.346
-5.587,-0.513,4.353
-5.499,-0.583,4.361
-5.409,-0.650,4.369
-5.316,-0.714,4.377
-5.222,-0.776,4.386
-5.125,-0.834,4.395
-5.027,-0.889,4.404
-4.926,-0.941,4.414
-4.824,-0.990,4.424
-4.720,-1.036,4.435
-4.613,-1.078,4.446
-4.506,-1.116,4.458
-4.397,-1.150,4.470
-4.288,-1.180,4.483
-4.178,-1.207,4.497
-4.068,-1.230,4.511
-3.958,-1.249,4.527
-3.847,-1.265,4.543
-3.737,-1.278,4.560
-3.627,-1.288,4.578
-3.517,-1.295,4.597
-3.407,-1.299,4.617
-3.297,-1.300,4.638
-3.187,-1.298,4.661
-3.078,-1.294,4.685
-2.970,-1.288,4.710
-2.861,-1.279,4.737
-2.754,-1.268,4.765
-2.646,-1.255,4.794
-2.540,-1.239,4.825
-2.434,-1.222,4.857
-2.328,-1.202,4.890
-2.223,-1.181,4.926
-2.119,-1.158,4.962
-2.016,-1.134,5.000
-1.913,-1.107,5.040
-1.810,-1.080,5.082
-1.709,-1.050,5.126
-1.608,-1.020,5.171
-1.508,-0.988,5.218
-1.408,-0.955,5.267
-1.309,-0.921,5.317
-1.211,-0.885,5.369
-1.113,-0.849,5.422
-1.016,-0.812,5.476
-0.919,-0.774,5.531
-0.823,-0.735,5.587
-0.728,-0.695,5.644
-0.633,-0.655,5.701
-0.539,-0.614,5.759
-0.445,-0.572,5.817
-0.352,-0.530,5.876
-0.259,-0.488,5.934
-0.167,-0.445,5.992
-0.075,-0.402,6.049
0.016,-0.359,6.105
0.107,-0.316,6.161
0.198,-0.272,6.214
0.289,-0.229,6.267
0.379,-0.185,6.317
0.469,-0.142,6.366
0.560,-0.098,6.355
0.650,-0.054,6.305
0.741,-0.010,6.253
0.831,0.034,6.200
0.922,0.079,6.145
1.013,0.124,6.088
1.104,0.170,6.031
1.195,0.216,5.973
1.285,0.263,5.915
1.376,0.311,5.857
1.467,0.359,5.799
1.557,0.408,5.742
1.647,0.458,5.685
1.738,0.509,5.630
1.827,0.560,5.575
1.917,0.613,5.521
2.006,0.667,5.468
2.095,0.721,5.417
2.183,0.777,5.367
2.271,0.834,5.318
2.358,0.893,5.271
2.445,0.952,5.225
2.531,1.013,5.181
2.617,1.075,5.139
2.702,1.138,5.099
2.786,1.203,5.060
2.869,1.270,5.024
2.951,1.338,4.989
3.032,1.407,4.955
3.112,1.479,4.923
3.191,1.551,4.892
3.269,1.626,4.863
3.345,1.702,4.835
3.420,1.780,4.808
3.494,1.859,4.783
3.566,1.941,4.759
3.637,2.024,4.735
3.705,2.109,4.713
3.772,2.196,4.692
3.837,2.285,4.672
3.899,2.375,4.653
3.960,2.468,4.634
4.018,2.562,4.617
4.074,2.658,4.600
4.127,2.756,4.584
4.177,2.856,4.568
4.224,2.958,4.553
4.269,3.061,4.539
4.310,3.166,4.525
4.348,3.272,4.511
4.382,3.380,4.498
4.413,3.489,4.485
4.440,3.599,4.473
4.464,3.709,4.461
4.484,3.820,4.450
4.500,3.931,4.439
4.513,4.042,4.428
4.523,4.153,4.418
4.529,4.265,4.408
4.532,4.376,4.399
4.532,4.488,4.390
4.529,4.599,4.382
4.523,4.710,4.375
4.513,4.821,4.370
4.500,4.933,4.365
4.483,5.044,4.363
4.463,5.154,4.361
4.440,5.264,4.360
4.413,5.374,4.359
4.382,5.482,4.358
4.348,5.590,4.357
4.311,5.697,4.356
4.269,5.802,4.355
4.224,5.907,4.354
4.176,6.010,4.353
4.123,6.111,4.352
4.067,6.211,4.350
4.008,6.308,4.349
3.944,6.404,4.348
3.877,6.497,4.347
3.806,6.588,4.346
3.732,6.677,4.345
3.654,6.762,4.344
3.572,6.845,4.343
3.487,6.925,4.341
3.398,7.001,4.340
3.305,7.073,4.339
3.209,7.142,4.338
3.110,7.206,4.337
3.007,7.266,4.336
2.901,7.321,4.335
2.792,7.371,4.333
2.680,7.415,4.332
2.566,7.454,4.331
2.448,7.487,4.330
2.329,7.513,4.329
2.207,7.533,4.328
