# e945d492-867c-486b-a90d-3b457af129b6
# 09d0e98aafc5841a745ed547cec426d07d54a9cc
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2842692; -0.0101066; -1.1172796; 0.0935163; 6.2636973; 3.0669551
0.0998403; 0.3738126; 0.0340528; -1.1080103; 0.0921677; 6.3123938; 3.0304942
0.1996806; 0.4629456; 0.0790343; -1.0988751; 0.0908305; 6.3601451; 2.1223009
0.2995209; 0.5516681; 0.1248234; -1.0898390; 0.0908440; 6.3933738; -3.0902361
0.3993611; 0.6399711; 0.1714156; -1.0807021; 0.0921850; 6.3449325; -3.1213614
0.4992014; 0.7278379; 0.2188166; -1.0714311; 0.0935462; 6.2956249; -3.1416790
0.5990417; 0.8152662; 0.2670421; -1.0619834; 0.0957002; 6.2456033; -3.1293508
0.6988820; 0.9022219; 0.3160963; -1.0523205; 0.0978762; 6.1953765; -3.1206946
0.7987223; 0.9886986; 0.3660006; -1.0424388; 0.1000664; 6.1448798; -3.1156262
0.8985626; 1.0746736; 0.4167671; -1.0323376; 0.1022750; 6.0940478; -3.1132710
0.9984028; 1.1601110; 0.4683999; -1.0220165; 0.1045185; 6.0428270; -3.0826123
1.0982431; 1.2450300; 0.5209378; -1.0114418; 0.1072813; 5.9916793; -3.0552829
1.1980834; 1.3293614; 0.5743697; -1.0005925; 0.1100701; 5.9405505; -3.0269542
1.2979237; 1.4131085; 0.6287304; -0.9894605; 0.1129570; 5.8894580; -2.9979318
1.3977640; 1.4962401; 0.6840341; -0.9780334; 0.1159400; 5.8384148; -2.9721145
1.4976043; 1.5787032; 0.7402808; -0.9663102; 0.1189571; 5.7873667; -2.9423970
1.5974445; 1.6605286; 0.7975284; -0.9542723; 0.1221319; 5.7363816; -2.9165424
1.6972848; 1.7416227; 0.8557502; -0.9419202; 0.1253339; 5.6853933; -2.8836797
1.7971251; 1.8219925; 0.9149900; -0.9292402; 0.1287575; 5.6345259; -2.8452211
1.8969654; 1.9015971; 0.9752605; -0.9162035; 0.1323808; 5.5838828; -2.8130389
1.9968057; 1.9803738; 1.0365587; -0.9028075; 0.1359901; 5.5333568; -2.8123051
2.0966460; 2.0583508; 1.0989513; -0.8890834; 0.1388646; 5.4823786; -2.8243216
2.1964862; 2.1354251; 1.1623943; -0.8750757; 0.1417778; 5.4307010; -2.8420552
2.2963265; 2.2116052; 1.2269319; -0.8607610; 0.1451503; 5.3781977; -2.8349486
2.3961668; 2.2868436; 1.2925682; -0.8460834; 0.1488590; 5.3253099; -2.8307688
2.4960071; 2.3610780; 1.3592972; -0.8310387; 0.1526294; 5.2719708; -2.8099155
2.5958474; 2.4343168; 1.4271780; -0.8155843; 0.1569003; 5.2184855; -2.7948128
2.6956877; 2.5064615; 1.4961771; -0.7997062; 0.1612092; 5.1647382; -2.7948052
2.7955279; 2.5774959; 1.5663376; -0.7833998; 0.1653655; 5.1104259; -2.7939975
2.8953682; 2.6473622; 1.6376613; -0.7666860; 0.1694439; 5.0555460; -2.8049254
2.9952085; 2.7160006; 1.7101445; -0.7495659; 0.1735849; 4.9998457; -2.7039493
3.0950488; 2.7833890; 1.7838246; -0.7320145; 0.1779750; 4.9455566; -2.5873853
3.1948891; 2.8494455; 1.8586770; -0.7140259; 0.1824051; 4.8930440; -2.4804031
3.2947294; 2.9141322; 1.9347245; -0.6955979; 0.1866964; 4.8421681; -2.3790825
3.3945697; 2.9773906; 2.0119649; -0.6767468; 0.1909363; 4.7928629; -2.2746130
3.4944099; 3.0391619; 2.0903929; -0.6574707; 0.1953461; 4.7452438; -2.1475090
3.5942502; 3.0993917; 2.1700116; -0.6377140; 0.2004436; 4.6998429; -2.0228487
3.6940905; 3.1580207; 2.2508257; -0.6174459; 0.2055574; 4.6566726; -1.9302532
3.7939308; 3.2149745; 2.3328184; -0.5966980; 0.2098560; 4.6151019; -1.8481978
3.8937711; 3.2702014; 2.4159913; -0.5755441; 0.2139168; 4.5749444; -1.7702276
3.9936114; 3.3236397; 2.5003252; -0.5539811; 0.2179132; 4.5361477; -1.7212810
4.0934516; 3.3752188; 2.5857803; -0.5320601; 0.2212930; 4.4981029; -1.7127149
