# b91b9652-c5a8-4744-92f6-0cc3034cd472
# 18d375a46e429a9d3d343eb54373008783fcffc0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2842692; -0.0101066; -1.1172796; 0.0935163; 5.8146877; 2.2367156
0.0998403; 0.3738126; 0.0340528; -1.1080103; 0.0921677; 5.8529669; 2.1966010
0.1996806; 0.4629456; 0.0790343; -1.0988751; 0.0908305; 5.8903175; 1.4997977
0.2995209; 0.5516681; 0.1248234; -1.0898390; 0.0908440; 5.9156843; -2.2268040
0.3993611; 0.6399711; 0.1714156; -1.0807021; 0.0921850; 5.8779819; -2.2619619
0.4992014; 0.7278379; 0.2188166; -1.0714311; 0.0935462; 5.8394350; -2.2932267
0.5990417; 0.8152662; 0.2670421; -1.0619834; 0.0957002; 5.8000938; -2.2863003
0.6988820; 0.9022219; 0.3160963; -1.0523205; 0.0978762; 5.7606040; -2.2825152
0.7987223; 0.9886986; 0.3660006; -1.0424388; 0.1000664; 5.7209077; -2.2817913
0.8985626; 1.0746736; 0.4167671; -1.0323376; 0.1022750; 5.6809467; -2.2817025
0.9984028; 1.1601110; 0.4683999; -1.0220165; 0.1045185; 5.6407042; -2.2563800
1.0982431; 1.2450300; 0.5209378; -1.0114418; 0.1072813; 5.6006239; -2.2318820
1.1980834; 1.3293614; 0.5743697; -1.0005925; 0.1100701; 5.5606947; -2.2053824
1.2979237; 1.4131085; 0.6287304; -0.9894605; 0.1129570; 5.5209558; -2.1770526
1.3977640; 1.4962401; 0.6840341; -0.9780334; 0.1159400; 5.4814449; -2.1505706
1.4976043; 1.5787032; 0.7402808; -0.9663102; 0.1189571; 5.4421329; -2.1188838
1.5974445; 1.6605286; 0.7975284; -0.9542723; 0.1221319; 5.4031205; -2.0893647
1.6972848; 1.7416227; 0.8557502; -0.9419202; 0.1253339; 5.3643737; -2.0512384
1.7971251; 1.8219925; 0.9149900; -0.9292402; 0.1287575; 5.3260598; -2.0055407
1.8969654; 1.9015971; 0.9752605; -0.9162035; 0.1323808; 5.2883311; -1.9635505
1.9968057; 1.9803738; 1.0365587; -0.9028075; 0.1359901; 5.2511296; -1.9634213
2.0966460; 2.0583508; 1.0989513; -0.8890834; 0.1388646; 5.2136653; -1.9632327
2.1964862; 2.1354251; 1.1623943; -0.8750757; 0.1417778; 5.1759333; -1.9499567
2.2963265; 2.2116052; 1.2269319; -0.8607610; 0.1451503; 5.1381823; -1.9215372
2.3961668; 2.2868436; 1.2925682; -0.8460834; 0.1488590; 5.1007082; -1.8938163
2.4960071; 2.3610780; 1.3592972; -0.8310387; 0.1526294; 5.0635033; -1.8456007
2.5958474; 2.4343168; 1.4271780; -0.8155843; 0.1569003; 5.0269807; -1.8009274
2.6956877; 2.5064615; 1.4961771; -0.7997062; 0.1612092; 4.9910845; -1.7743118
2.7955279; 2.5774959; 1.5663376; -0.7833998; 0.1653655; 4.9554646; -1.7550819
2.8953682; 2.6473622; 1.6376613; -0.7666860; 0.1694439; 4.9199770; -1.7372226
2.9952085; 2.7160006; 1.7101445; -0.7495659; 0.1735849; 4.8845966; -1.7125726
3.0950488; 2.7833890; 1.7838246; -0.7320145; 0.1779750; 4.8494656; -1.6900532
3.1948891; 2.8494455; 1.8586770; -0.7140259; 0.1824051; 4.8145452; -1.6774612
3.2947294; 2.9141322; 1.9347245; -0.6955979; 0.1866964; 4.7796327; -1.6716746
3.3945697; 2.9773906; 2.0119649; -0.6767468; 0.1909363; 4.7445851; -1.6640314
3.4944099; 3.0391619; 2.0903929; -0.6574707; 0.1953461; 4.7094388; -1.6336158
3.5942502; 3.0993917; 2.1700116; -0.6377140; 0.2004436; 4.6746778; -1.6061306
3.6940905; 3.1580207; 2.2508257; -0.6174459; 0.2055574; 4.6402477; -1.6053316
3.7939308; 3.2149745; 2.3328184; -0.5966980; 0.2098560; 4.6055777; -1.6110523
3.8937711; 3.2702014; 2.4159913; -0.5755441; 0.2139168; 4.5705196; -1.6309609
3.9936114; 3.3236397; 2.5003252; -0.5539811; 0.2179132; 4.5347523; -1.6573978
4.0934516; 3.3752188; 2.5857803; -0.5320601; 0.2212930; 4.4981139; -1.7126640
4.1932919; 3.4249184; 2.6723901; -0.5097983; 0.2245533; 4.4599375; -1.7224366
4.2931322; 3.4726338; 2.7600459; -0.4870496; 0.2325346; 4.4212109; -1.5945297
4.3929725; 3.5183180; 2.8488172; -0.4633524; 0.2421742; 4.3850552; -1.4409538
4.4928128; 3.5618552; 2.9386939; -0.4386773; 0.2524432; 4.3521234; -1.2125935
4.5926531; 3.6030855; 3.0295812; -0.4128750; 0.2646547; 4.3242164; -0.9566521
4.6924933; 3.6419292; 3.1215961; -0.3858214; 0.2770951; 4.3020719; -0.7105509
4.7923336; 3.6781928; 3.2145962; -0.3575833; 0.2884285; 4.2855500; -0.4341211
4.8921739; 3.7117703; 3.3086213; -0.3282228; 0.2997541; 4.2754244; -0.2123065
4.9920142; 3.7425232; 3.4036213; -0.2977554; 0.3083021; 4.2704637; -0.2101900
5.0918545; 3.7703328; 3.4994828; -0.2669312; 0.3093504; 4.2655468; -0.1995278
5.1916948; 3.7951807; 3.5962040; -0.2359748; 0.3106479; 4.2608740; -0.1926828
5.2915350; 3.8170111; 3.6936134; -0.2049734; 0.3100539; 4.2563567; -0.2349155
5.3913753; 3.8358188; 3.7916676; -0.1740537; 0.3093835; 4.2508428; -0.2865375
5.4912156; 3.8515904; 3.8902679; -0.1431741; 0.3090218; 4.2441075; -0.3344166
5.5910559; 3.8643107; 3.9892927; -0.1123460; 0.3085792; 4.2362332; -0.3928972
5.6908962; 3.8739741; 4.0886598; -0.0815432; 0.3085327; 4.2269632; -0.4466049
5.7907365; 3.8805730; 4.1882894; -0.0507326; 0.3085980; 4.2164013; -0.5049905
5.8905768; 3.8840988; 4.2880639; -0.0199072; 0.3089538; 4.2044266; -0.5627841
5.9904170; 3.8845455; 4.3878967; 0.0109692; 0.3095551; 4.1910411; -0.6208477
6.0902573; 3.8819062; 4.4877142; 0.0419118; 0.3102507; 4.1762249; -0.6852993
6.1900976; 3.8761785; 4.5873680; 0.0729319; 0.3113163; 4.1598093; -0.7491243
6.2899379; 3.8673524; 4.6868369; 0.1040963; 0.3129182; 4.1417904; -0.8069096
6.3897782; 3.8554258; 4.7859568; 0.1354354; 0.3149376; 4.1222935; -0.8614645
6.4896185; 3.8403907; 4.8846413; 0.1669897; 0.3172464; 4.1013761; -0.9161498
6.5894587; 3.8222312; 4.9828345; 0.1987915; 0.3197165; 4.0790132; -0.9757287
6.6892990; 3.8009578; 5.0803486; 0.2308389; 0.3224879; 4.0550604; -1.0355399
6.7891393; 3.7765443; 5.1771758; 0.2631791; 0.3252013; 4.0294835; -1.1077824
