# x_m, y_m, v_mps
-0.065,0.716,6.281
0.024,0.759,6.342
0.114,0.801,6.297
0.204,0.843,6.235
0.294,0.886,6.170
0.384,0.928,6.104
0.473,0.971,6.036
0.562,1.013,5.967
0.650,1.056,5.898
0.739,1.099,5.829
0.827,1.142,5.759
0.914,1.185,5.690
1.001,1.229,5.621
1.088,1.273,5.552
1.174,1.317,5.485
1.260,1.361,5.418
1.345,1.406,5.352
1.429,1.452,5.288
1.513,1.498,5.225
1.596,1.544,5.163
1.678,1.591,5.104
1.760,1.639,5.045
1.840,1.688,4.989
1.920,1.737,4.934
1.999,1.787,4.882
2.077,1.838,4.830
2.154,1.890,4.781
2.230,1.942,4.734
2.305,1.996,4.688
2.378,2.050,4.645
2.451,2.106,4.603
2.522,2.162,4.563
2.592,2.220,4.524
2.660,2.278,4.488
2.728,2.338,4.453
2.793,2.399,4.420
2.857,2.461,4.389
2.920,2.524,4.358
2.980,2.588,4.330
3.039,2.653,4.302
3.097,2.720,4.276
3.152,2.787,4.251
3.205,2.856,4.227
3.256,2.925,4.204
3.305,2.995,4.182
3.352,3.066,4.162
3.395,3.138,4.142
3.437,3.211,4.123
3.475,3.284,4.105
3.511,3.358,4.087
3.544,3.434,4.070
3.575,3.511,4.053
3.603,3.589,4.037
3.628,3.667,4.021
3.651,3.747,4.005
3.671,3.828,3.989
3.689,3.910,3.974
3.704,3.992,3.959
3.716,4.075,3.943
3.726,4.158,3.928
3.733,4.242,3.913
3.737,4.326,3.898
3.739,4.410,3.883
3.739,4.494,3.867
3.735,4.578,3.852
3.729,4.662,3.836
3.721,4.746,3.820
3.710,4.830,3.804
3.696,4.913,3.787
3.680,4.996,3.771
3.661,5.079,3.754
3.640,5.160,3.736
3.616,5.241,3.719
3.590,5.321,3.701
3.561,5.401,3.684
3.530,5.479,3.667
3.497,5.556,3.652
3.461,5.632,3.639
3.423,5.706,3.628
3.383,5.779,3.620
3.340,5.851,3.616
3.295,5.920,3.616
3.249,5.988,3.615
3.200,6.053,3.614
3.149,6.117,3.614
3.095,6.178,3.613
3.040,6.237,3.613
2.983,6.293,3.612
2.925,6.347,3.611
2.864,6.398,3.611
2.802,6.446,3.610
2.738,6.490,3.609
2.673,6.532,3.609
2.607,6.571,3.608
2.539,6.605,3.608
2.471,6.637,3.607
2.402,6.664,3.606
2.332,6.688,3.606
2.262,6.708,3.605
2.192,6.724,3.605
2.122,6.735,3.604
2.052,6.743,3.604
1.983,6.746,3.603
1.916,6.745,3.602
1.849,6.739,3.602
1.784,6.730,3.601
1.718,6.715,3.601
1.653,6.696,3.600
1.588,6.673,3.600
1.522,6.645,3.599
1.457,6.613,3.600
1.392,6.577,3.606
1.328,6.537,3.619
1.264,6.493,3.637
1.201,6.445,3.662
1.140,6.395,3.691
1.079,6.341,3.727
1.020,6.284,3.768
0.962,6.224,3.814
0.905,6.162,3.867
0.849,6.097,3.926
0.794,6.030,3.992
0.740,5.960,4.065
0.687,5.888,4.145
0.634,5.815,4.233
0.583,5.739,4.328
0.531,5.662,4.432
0.480,5.583,4.543
0.429,5.502,4.652
0.378,5.420,4.760
0.327,5.336,4.867
0.275,5.252,4.973
0.222,5.166,5.078
0.168,5.079,5.182
0.114,4.991,5.284
0.057,4.903,5.386
-0.001,4.815,5.474
-0.061,4.726,5.540
-0.123,4.636,5.585
-0.188,4.548,5.612
-0.255,4.459,5.616
-0.325,4.371,5.614
-0.399,4.284,5.613
-0.476,4.199,5.612
-0.556,4.115,5.610
-0.640,4.032,5.609
-0.728,3.953,5.607
-0.820,3.876,5.606
-0.917,3.802,5.604
-1.018,3.731,5.603
-1.123,3.665,5.601
-1.233,3.604,5.599
-1.346,3.548,5.598
-1.462,3.498,5.596
-1.579,3.455,5.595
-1.697,3.418,5.593
-1.815,3.387,5.592
-1.933,3.361,5.590
-2.050,3.340,5.589
-2.167,3.324,5.587
-2.283,3.312,5.586
-2.398,3.304,5.584
-2.512,3.300,5.583
-2.624,3.299,5.582
-2.736,3.300,5.580
-2.846,3.304,5.592
-2.955,3.310,5.617
-3.062,3.317,5.603
-3.168,3.326,5.545
-3.272,3.336,5.465
-3.376,3.347,5.363
-3.477,3.359,5.237
-3.578,3.371,5.086
-3.677,3.383,4.931
-3.775,3.394,4.788
-3.871,3.405,4.657
-3.966,3.415,4.536
-4.060,3.425,4.425
-4.153,3.433,4.323
-4.245,3.439,4.230
-4.335,3.444,4.145
-4.424,3.447,4.067
-4.512,3.448,3.996
-4.599,3.447,3.932
-4.684,3.444,3.875
-4.767,3.438,3.824
-4.850,3.429,3.779
-4.930,3.418,3.740
-5.008,3.404,3.707
-5.085,3.387,3.679
-5.159,3.366,3.657
-5.231,3.343,3.641
-5.300,3.317,3.631
-5.365,3.288,3.627
-5.428,3.256,3.626
-5.488,3.221,3.626
-5.544,3.183,3.625
-5.597,3.142,3.625
-5.647,3.098,3.624
-5.694,3.050,3.623
-5.739,2.998,3.623
-5.781,2.943,3.622
-5.821,2.885,3.622
-5.858,2.823,3.621
-5.892,2.759,3.621
-5.923,2.692,3.620
-5.950,2.623,3.619
-5.974,2.552,3.619
-5.995,2.479,3.618
-6.013,2.405,3.618
-6.027,2.329,3.617
-6.038,2.253,3.616
-6.045,2.175,3.616
-6.050,2.097,3.615
-6.051,2.018,3.614
-6.048,1.939,3.614
-6.043,1.859,3.613
-6.034,1.779,3.612
-6.022,1.700,3.612
-6.007,1.620,3.611
-5.989,1.540,3.611
-5.968,1.461,3.610
-5.944,1.382,3.610
-5.918,1.303,3.615
-5.889,1.225,3.623
-5.857,1.148,3.634
-5.822,1.071,3.647
-5.785,0.995,3.662
-5.745,0.920,3.678
-5.704,0.847,3.694
-5.660,0.774,3.710
-5.614,0.703,3.727
-5.566,0.634,3.743
-5.516,0.566,3.758
-5.464,0.500,3.773
-5.409,0.435,3.788
-5.353,0.372,3.802
-5.295,0.311,3.815
-5.235,0.252,3.829
-5.174,0.195,3.842
-5.110,0.139,3.854
-5.045,0.086,3.867
-4.979,0.035,3.879
-4.911,-0.014,3.891
-4.841,-0.061,3.903
-4.770,-0.105,3.915
-4.698,-0.147,3.927
-4.625,-0.186,3.939
-4.550,-0.224,3.952
-4.475,-0.258,3.965
-4.398,-0.290,3.978
-4.321,-0.319,3.991
-4.243,-0.345,4.005
-4.165,-0.369,4.020
-4.086,-0.389,4.035
-4.006,-0.407,4.051
-3.926,-0.422,4.068
-3.844,-0.434,4.086
-3.762,-0.443,4.104
-3.678,-0.450,4.124
-3.594,-0.454,4.146
-3.509,-0.456,4.168
-3.424,-0.455,4.192
-3.338,-0.451,4.217
-3.252,-0.446,4.244
-3.165,-0.438,4.272
-3.078,-0.427,4.302
-2.991,-0.415,4.334
-2.904,-0.401,4.367
-2.816,-0.384,4.403
-2.729,-0.366,4.440
-2.641,-0.346,4.479
-2.553,-0.323,4.520
-2.466,-0.300,4.563
-2.378,-0.274,4.608
-2.290,-0.247,4.656
-2.203,-0.219,4.705
-2.115,-0.189,4.757
-2.027,-0.158,4.810
-1.939,-0.125,4.866
-1.851,-0.092,4.923
-1.763,-0.057,4.983
-1.675,-0.021,5.044
-1.587,0.016,5.107
-1.499,0.053,5.171
-1.411,0.092,5.238
-1.323,0.131,5.305
-1.234,0.171,5.375
-1.145,0.211,5.445
-1.056,0.252,5.516
-0.967,0.294,5.587
-0.877,0.336,5.659
-0.787,0.378,5.732
-0.697,0.420,5.804
-0.607,0.463,5.876
-0.516,0.505,5.947
-0.426,0.547,6.017
-0.336,0.590,6.086
-0.246,0.632,6.153
-0.155,0.674,6.218
