# e91a124a-374d-4fdb-be6e-75d77b921bd5
# 28e6e7e9405023e891f50068080eaa78c2882ace
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2842692; -0.0101066; -1.1172796; 0.0935163; 6.1669709; 2.9243756
0.0998403; 0.3738126; 0.0340528; -1.1080103; 0.0921677; 6.2141348; 2.8911566
0.1996806; 0.4629456; 0.0790343; -1.0988751; 0.0908305; 6.2604136; 2.0816954
0.2995209; 0.5516681; 0.1248234; -1.0898390; 0.0908440; 6.2935247; -2.9513582
0.3993611; 0.6399711; 0.1714156; -1.0807021; 0.0921850; 6.2465290; -2.9797092
0.4992014; 0.7278379; 0.2188166; -1.0714311; 0.0935462; 6.1987204; -2.9960736
0.5990417; 0.8152662; 0.2670421; -1.0619834; 0.0957002; 6.1502745; -2.9826985
0.6988820; 0.9022219; 0.3160963; -1.0523205; 0.0978762; 6.1016628; -2.9726656
0.7987223; 0.9886986; 0.3660006; -1.0424388; 0.1000664; 6.0528263; -2.9658816
0.8985626; 1.0746736; 0.4167671; -1.0323376; 0.1022750; 6.0037053; -2.9614993
0.9984028; 1.1601110; 0.4683999; -1.0220165; 0.1045185; 5.9542525; -2.9299869
1.0982431; 1.2450300; 0.5209378; -1.0114418; 0.1072813; 5.9049184; -2.9014250
1.1980834; 1.3293614; 0.5743697; -1.0005925; 0.1100701; 5.8556557; -2.8716703
1.2979237; 1.4131085; 0.6287304; -0.9894605; 0.1129570; 5.8064866; -2.8409884
1.3977640; 1.4962401; 0.6840341; -0.9780334; 0.1159400; 5.7574297; -2.8130670
1.4976043; 1.5787032; 0.7402808; -0.9663102; 0.1189571; 5.7084395; -2.7810990
1.5974445; 1.6605286; 0.7975284; -0.9542723; 0.1221319; 5.6595892; -2.7524542
1.6972848; 1.7416227; 0.8557502; -0.9419202; 0.1253339; 5.6108233; -2.7167133
1.7971251; 1.8219925; 0.9149900; -0.9292402; 0.1287575; 5.5622715; -2.6751721
1.8969654; 1.9015971; 0.9752605; -0.9162035; 0.1323808; 5.5140442; -2.6391262
1.9968057; 1.9803738; 1.0365587; -0.9028075; 0.1359901; 5.4660499; -2.6387551
2.0966460; 2.0583508; 1.0989513; -0.8890834; 0.1388646; 5.4176373; -2.6448502
2.1964862; 2.1354251; 1.1623943; -0.8750757; 0.1417778; 5.3686747; -2.6497987
2.2963265; 2.2116052; 1.2269319; -0.8607610; 0.1451503; 5.3191686; -2.6338846
2.3961668; 2.2868436; 1.2925682; -0.8460834; 0.1488590; 5.2694990; -2.6211860
2.4960071; 2.3610780; 1.3592972; -0.8310387; 0.1526294; 5.2195996; -2.5914486
2.5958474; 2.4343168; 1.4271780; -0.8155843; 0.1569003; 5.1697928; -2.5660952
2.6956877; 2.5064615; 1.4961771; -0.7997062; 0.1612092; 5.1199959; -2.5540026
2.7955279; 2.5774959; 1.5663376; -0.7833998; 0.1653655; 5.0699481; -2.5522939
2.8953682; 2.6473622; 1.6376613; -0.7666860; 0.1694439; 5.0194352; -2.5036394
2.9952085; 2.7160006; 1.7101445; -0.7495659; 0.1735849; 4.9693865; -2.4175342
3.0950488; 2.7833890; 1.7838246; -0.7320145; 0.1779750; 4.9205759; -2.3330590
3.1948891; 2.8494455; 1.8586770; -0.7140259; 0.1824051; 4.8730074; -2.2571258
3.2947294; 2.9141322; 1.9347245; -0.6955979; 0.1866964; 4.8265409; -2.1860776
3.3945697; 2.9773906; 2.0119649; -0.6767468; 0.1909363; 4.7811065; -2.1112451
3.4944099; 3.0391619; 2.0903929; -0.6574707; 0.1953461; 4.7368138; -2.0129772
3.5942502; 3.0993917; 2.1700116; -0.6377140; 0.2004436; 4.6941935; -1.9160490
3.6940905; 3.1580207; 2.2508257; -0.6174459; 0.2055574; 4.6532628; -1.8504983
3.7939308; 3.2149745; 2.3328184; -0.5966980; 0.2098560; 4.6133877; -1.7953025
3.8937711; 3.2702014; 2.4159913; -0.5755441; 0.2139168; 4.5743698; -1.7442076
3.9936114; 3.3236397; 2.5003252; -0.5539811; 0.2179132; 4.5361410; -1.7213170
4.0934516; 3.3752188; 2.5857803; -0.5320601; 0.2212930; 4.4980953; -1.7127505
4.1932919; 3.4249184; 2.6723901; -0.5097983; 0.2245533; 4.4599168; -1.7225487
4.2931322; 3.4726338; 2.7600459; -0.4870496; 0.2325346; 4.4211875; -1.5946597
4.3929725; 3.5183180; 2.8488172; -0.4633524; 0.2421742; 4.3850286; -1.4411054
4.4928128; 3.5618552; 2.9386939; -0.4386773; 0.2524432; 4.3520932; -1.2127722
4.5926531; 3.6030855; 3.0295812; -0.4128750; 0.2646547; 4.3241818; -0.9568638
4.6924933; 3.6419292; 3.1215961; -0.3858214; 0.2770951; 4.3020322; -0.7108016
4.7923336; 3.6781928; 3.2145962; -0.3575833; 0.2884285; 4.2855044; -0.4344194
4.8921739; 3.7117703; 3.3086213; -0.3282228; 0.2997541; 4.2753717; -0.2126598
4.9920142; 3.7425232; 3.4036213; -0.2977554; 0.3083021; 4.2704026; -0.2105997
5.0918545; 3.7703328; 3.4994828; -0.2669312; 0.3093504; 4.2654761; -0.2000036
5.1916948; 3.7951807; 3.5962040; -0.2359748; 0.3106479; 4.2607921; -0.1931488
5.2915350; 3.8170111; 3.6936134; -0.2049734; 0.3100539; 4.2562638; -0.2354426
5.3913753; 3.8358188; 3.7916676; -0.1740537; 0.3093835; 4.2507373; -0.2871332
5.4912156; 3.8515904; 3.8902679; -0.1431741; 0.3090218; 4.2439879; -0.3350904
5.5910559; 3.8643107; 3.9892927; -0.1123460; 0.3085792; 4.2360975; -0.3936585
5.6908962; 3.8739741; 4.0886598; -0.0815432; 0.3085327; 4.2268092; -0.4474660
5.7907365; 3.8805730; 4.1882894; -0.0507326; 0.3085980; 4.2162265; -0.5059642
5.8905768; 3.8840988; 4.2880639; -0.0199072; 0.3089538; 4.2042282; -0.5638860
5.9904170; 3.8845455; 4.3878967; 0.0109692; 0.3095551; 4.1908158; -0.6220952
6.0902573; 3.8819062; 4.4877142; 0.0419118; 0.3102507; 4.1759690; -0.6867117
6.1900976; 3.8761785; 4.5873680; 0.0729319; 0.3113163; 4.1595185; -0.7507245
6.2899379; 3.8673524; 4.6868369; 0.1040963; 0.3129182; 4.1414598; -0.8087253
6.3897782; 3.8554258; 4.7859568; 0.1354354; 0.3149376; 4.1219173; -0.8635273
6.4896185; 3.8403907; 4.8846413; 0.1669897; 0.3172464; 4.1009478; -0.9184958
6.5894587; 3.8222312; 4.9828345; 0.1987915; 0.3197165; 4.0785251; -0.9783984
6.6892990; 3.8009578; 5.0803486; 0.2308389; 0.3224879; 4.0545036; -1.0385820
6.7891393; 3.7765443; 5.1771758; 0.2631791; 0.3252013; 4.0288479; -1.1112491
6.8889796; 3.7490067; 5.2731353; 0.2957921; 0.3281823; 4.0012149; -1.1897776
6.9888199; 3.7183432; 5.3681321; 0.3287194; 0.3316829; 3.9714160; -1.2691992
7.0886602; 3.6845401; 5.4620903; 0.3620500; 0.3359353; 3.9393794; -1.3425249
7.1885004; 3.6476215; 5.5548211; 0.3958082; 0.3405392; 3.9052061; -1.4344986
7.2883407; 3.6075543; 5.6462730; 0.4302064; 0.3490826; 3.8683579; -1.4335706
