# x_m, y_m, v_mps
0.360,-0.189,7.000
0.451,-0.146,7.000
0.541,-0.103,7.000
0.631,-0.061,7.000
0.722,-0.018,7.000
0.813,0.025,7.000
0.904,0.068,7.000
0.995,0.112,7.000
1.086,0.156,7.000
1.177,0.200,7.000
1.268,0.245,7.000
1.359,0.290,7.000
1.451,0.335,7.000
1.542,0.382,7.000
1.633,0.428,7.000
1.724,0.476,7.000
1.816,0.524,6.933
1.907,0.573,6.855
1.998,0.623,6.780
2.089,0.674,6.706
2.180,0.726,6.634
2.270,0.779,6.565
2.361,0.834,6.497
2.451,0.889,6.432
2.540,0.946,6.369
2.629,1.004,6.308
2.718,1.064,6.250
2.806,1.125,6.194
2.893,1.187,6.140
2.980,1.251,6.088
3.066,1.317,6.039
3.151,1.385,5.991
3.235,1.454,5.946
3.318,1.525,5.902
3.400,1.598,5.861
3.480,1.673,5.821
3.560,1.749,5.784
3.638,1.828,5.748
3.714,1.909,5.714
3.789,1.991,5.682
3.862,2.076,5.651
3.933,2.163,5.622
4.002,2.252,5.594
4.069,2.343,5.567
4.134,2.436,5.541
4.197,2.532,5.516
4.257,2.631,5.491
4.314,2.732,5.467
4.369,2.835,5.443
4.419,2.940,5.420
4.466,3.047,5.396
4.510,3.156,5.373
4.549,3.266,5.349
4.585,3.377,5.326
4.617,3.489,5.302
4.645,3.601,5.277
4.670,3.715,5.252
4.690,3.829,5.230
4.707,3.943,5.221
4.721,4.058,5.213
4.731,4.173,5.206
4.737,4.288,5.198
4.739,4.403,5.191
4.738,4.519,5.184
4.734,4.634,5.176
4.726,4.748,5.159
4.714,4.863,5.134
4.699,4.977,5.108
4.680,5.090,5.080
4.658,5.203,5.050
4.633,5.315,5.019
4.604,5.427,4.986
4.571,5.537,4.952
4.535,5.647,4.919
4.496,5.755,4.887
4.454,5.862,4.855
4.408,5.968,4.826
4.359,6.072,4.797
4.306,6.176,4.771
4.250,6.277,4.747
4.190,6.377,4.726
4.127,6.475,4.708
4.060,6.572,4.692
3.990,6.666,4.679
3.916,6.758,4.670
3.838,6.847,4.663
3.757,6.934,4.660
3.672,7.018,4.659
3.584,7.099,4.658
3.492,7.176,4.656
3.396,7.250,4.655
3.296,7.320,4.654
3.194,7.386,4.653
3.087,7.448,4.651
2.978,7.504,4.650
2.865,7.556,4.649
2.749,7.602,4.647
2.630,7.643,4.646
2.508,7.677,4.645
2.384,7.705,4.644
2.257,7.726,4.642
2.128,7.740,4.641
1.998,7.746,4.639
1.866,7.744,4.638
1.734,7.733,4.637
1.602,7.713,4.635
1.473,7.685,4.634
1.346,7.648,4.633
1.224,7.605,4.631
1.105,7.554,4.630
0.992,7.498,4.630
0.883,7.438,4.636
0.778,7.372,4.649
0.677,7.303,4.668
0.581,7.230,4.694
0.489,7.154,4.727
0.400,7.075,4.768
0.316,6.994,4.816
0.235,6.910,4.872
0.157,6.826,4.936
0.083,6.740,5.009
0.011,6.652,5.090
-0.057,6.564,5.176
-0.123,6.476,5.267
-0.186,6.387,5.363
-0.247,6.298,5.466
-0.306,6.209,5.577
-0.363,6.121,5.696
-0.418,6.033,5.825
-0.473,5.946,5.957
-0.526,5.859,6.084
-0.578,5.774,6.049
-0.630,5.690,5.880
-0.681,5.607,5.727
-0.732,5.525,5.590
-0.783,5.446,5.467
-0.834,5.367,5.356
-0.886,5.291,5.258
-0.938,5.217,5.172
-0.990,5.144,5.096
-1.044,5.074,5.029
-1.098,5.006,4.973
-1.153,4.941,4.928
-1.210,4.878,4.892
-1.267,4.818,4.864
-1.326,4.761,4.845
-1.385,4.706,4.832
-1.446,4.656,4.824
-1.508,4.608,4.820
-1.571,4.564,4.820
-1.634,4.524,4.819
-1.699,4.488,4.818
-1.764,4.456,4.817
-1.831,4.427,4.816
