# 58b19f8b-eb39-451f-a981-6228e387af37
# d79d3ac4f0deada50830d50bc2b572b7aa3783b7
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2842692; -0.0101066; -1.1172796; 0.0935163; 6.3117988; 2.3820049
0.0998403; 0.3738126; 0.0340528; -1.1080103; 0.0921677; 6.3493657; 2.3281955
0.1996806; 0.4629456; 0.0790343; -1.0988751; 0.0908305; 6.3858703; 1.6439888
0.2995209; 0.5516681; 0.1248234; -1.0898390; 0.0908440; 6.4115219; -2.3504075
0.3993611; 0.6399711; 0.1714156; -1.0807021; 0.0921850; 6.3748162; -2.3976700
0.4992014; 0.7278379; 0.2188166; -1.0714311; 0.0935462; 6.3371534; -2.4502898
0.5990417; 0.8152662; 0.2670421; -1.0619834; 0.0957002; 6.2984314; -2.4502528
0.6988820; 0.9022219; 0.3160963; -1.0523205; 0.0978762; 6.2594705; -2.4505242
0.7987223; 0.9886986; 0.3660006; -1.0424388; 0.1000664; 6.2202611; -2.4542990
0.8985626; 1.0746736; 0.4167671; -1.0323376; 0.1022750; 6.1807421; -2.4615778
0.9984028; 1.1601110; 0.4683999; -1.0220165; 0.1045185; 6.1408504; -2.4504807
1.0982431; 1.2450300; 0.5209378; -1.0114418; 0.1072813; 6.1008794; -2.4313075
1.1980834; 1.3293614; 0.5743697; -1.0005925; 0.1100701; 6.0609607; -2.4098460
1.2979237; 1.4131085; 0.6287304; -0.9894605; 0.1129570; 6.0211333; -2.3862952
1.3977640; 1.4962401; 0.6840341; -0.9780334; 0.1159400; 5.9814337; -2.3649448
1.4976043; 1.5787032; 0.7402808; -0.9663102; 0.1189571; 5.9418276; -2.3376202
1.5974445; 1.6605286; 0.7975284; -0.9542723; 0.1221319; 5.9024180; -2.3128939
1.6972848; 1.7416227; 0.8557502; -0.9419202; 0.1253339; 5.8631645; -2.2782489
1.7971251; 1.8219925; 0.9149900; -0.9292402; 0.1287575; 5.8242404; -2.2348380
1.8969654; 1.9015971; 0.9752605; -0.9162035; 0.1323808; 5.7858035; -2.1957916
1.9968057; 1.9803738; 1.0365587; -0.9028075; 0.1359901; 5.7477879; -2.1950103
2.0966460; 2.0583508; 1.0989513; -0.8890834; 0.1388646; 5.7095328; -2.2038271
2.1964862; 2.1354251; 1.1623943; -0.8750757; 0.1417778; 5.6708644; -2.2100373
2.2963265; 2.2116052; 1.2269319; -0.8607610; 0.1451503; 5.6318205; -2.1885674
2.3961668; 2.2868436; 1.2925682; -0.8460834; 0.1488590; 5.5928872; -2.1684478
2.4960071; 2.3610780; 1.3592972; -0.8310387; 0.1526294; 5.5540427; -2.1249888
2.5958474; 2.4343168; 1.4271780; -0.8155843; 0.1569003; 5.5157113; -2.0830365
2.6956877; 2.5064615; 1.4961771; -0.7997062; 0.1612092; 5.4778764; -2.0530086
2.7955279; 2.5774959; 1.5663376; -0.7833998; 0.1653655; 5.4403294; -2.0313666
2.8953682; 2.6473622; 1.6376613; -0.7666860; 0.1694439; 5.4029214; -2.0111107
2.9952085; 2.7160006; 1.7101445; -0.7495659; 0.1735849; 5.3656295; -1.9826755
3.0950488; 2.7833890; 1.7838246; -0.7320145; 0.1779750; 5.3286094; -1.9564464
3.1948891; 2.8494455; 1.8586770; -0.7140259; 0.1824051; 5.2918251; -1.9415617
3.2947294; 2.9141322; 1.9347245; -0.6955979; 0.1866964; 5.2550662; -1.9343844
3.3945697; 2.9773906; 2.0119649; -0.6767468; 0.1909363; 5.2181857; -1.9247209
3.4944099; 3.0391619; 2.0903929; -0.6574707; 0.1953461; 5.1812289; -1.8878304
3.5942502; 3.0993917; 2.1700116; -0.6377140; 0.2004436; 5.1447225; -1.8538647
3.6940905; 3.1580207; 2.2508257; -0.6174459; 0.2055574; 5.1086191; -1.8531062
3.7939308; 3.2149745; 2.3328184; -0.5966980; 0.2098560; 5.0722736; -1.8580936
3.8937711; 3.2702014; 2.4159913; -0.5755441; 0.2139168; 5.0355670; -1.8794466
3.9936114; 3.3236397; 2.5003252; -0.5539811; 0.2179132; 4.9981642; -1.9070976
4.0934516; 3.3752188; 2.5857803; -0.5320601; 0.2212930; 4.9599229; -1.9797596
4.1932919; 3.4249184; 2.6723901; -0.5097983; 0.2245533; 4.9199101; -2.0024513
4.2931322; 3.4726338; 2.7600459; -0.4870496; 0.2325346; 4.8791050; -1.8561392
4.3929725; 3.5183180; 2.8488172; -0.4633524; 0.2421742; 4.8409741; -1.6792394
4.4928128; 3.5618552; 2.9386939; -0.4386773; 0.2524432; 4.8062167; -1.4133550
4.5926531; 3.6030855; 3.0295812; -0.4128750; 0.2646547; 4.7767666; -1.1141429
4.6924933; 3.6419292; 3.1215961; -0.3858214; 0.2770951; 4.7534226; -0.8256983
4.7923336; 3.6781928; 3.2145962; -0.3575833; 0.2884285; 4.7360480; -0.5001784
4.8921739; 3.7117703; 3.3086213; -0.3282228; 0.2997541; 4.7254920; -0.2378404
4.9920142; 3.7425232; 3.4036213; -0.2977554; 0.3083021; 4.7204642; -0.2346613
5.0918545; 3.7703328; 3.4994828; -0.2669312; 0.3093504; 4.7154984; -0.2212013
5.1916948; 3.7951807; 3.5962040; -0.2359748; 0.3106479; 4.7108126; -0.2129473
5.2915350; 3.8170111; 3.6936134; -0.2049734; 0.3100539; 4.7062973; -0.2617704
5.3913753; 3.8358188; 3.7916676; -0.1740537; 0.3093835; 4.7007408; -0.3218221
5.4912156; 3.8515904; 3.8902679; -0.1431741; 0.3090218; 4.6939005; -0.3775253
5.5910559; 3.8643107; 3.9892927; -0.1123460; 0.3085792; 4.6858636; -0.4459389
5.6908962; 3.8739741; 4.0886598; -0.0815432; 0.3085327; 4.6763525; -0.5088573
5.7907365; 3.8805730; 4.1882894; -0.0507326; 0.3085980; 4.6654757; -0.5774853
5.8905768; 3.8840988; 4.2880639; -0.0199072; 0.3089538; 4.6531012; -0.6455984
5.9904170; 3.8845455; 4.3878967; 0.0109692; 0.3095551; 4.6392281; -0.7141952
6.0902573; 3.8819062; 4.4877142; 0.0419118; 0.3102507; 4.6238325; -0.7905567
6.1900976; 3.8761785; 4.5873680; 0.0729319; 0.3113163; 4.6067307; -0.8664268
6.2899379; 3.8673524; 4.6868369; 0.1040963; 0.3129182; 4.5879145; -0.9353869
6.3897782; 3.8554258; 4.7859568; 0.1354354; 0.3149376; 4.5675136; -1.0007255
6.4896185; 3.8403907; 4.8846413; 0.1669897; 0.3172464; 4.5455863; -1.0663899
6.5894587; 3.8222312; 4.9828345; 0.1987915; 0.3197165; 4.5221032; -1.1380155
6.6892990; 3.8009578; 5.0803486; 0.2308389; 0.3224879; 4.4969076; -1.2100717
6.7891393; 3.7765443; 5.1771758; 0.2631791; 0.3252013; 4.4699609; -1.2969664
6.8889796; 3.7490067; 5.2731353; 0.2957921; 0.3281823; 4.4408976; -1.3908966
6.9888199; 3.7183432; 5.3681321; 0.3287194; 0.3316829; 4.4095166; -1.4859880
7.0886602; 3.6845401; 5.4620903; 0.3620500; 0.3359353; 4.3757415; -1.5739434
7.1885004; 3.6476215; 5.5548211; 0.3958082; 0.3405392; 4.3396806; -1.6839527
7.2883407; 3.6075543; 5.6462730; 0.4302064; 0.3490826; 4.3007645; -1.6869303
7.3881810; 3.5643310; 5.7362597; 0.4655271; 0.3585339; 4.2614232; -1.6825755
7.4880213; 3.5179175; 5.8246373; 0.5017989; 0.3682633; 4.2218183; -1.6676229
7.5878616; 3.4682812; 5.9112578; 0.5390837; 0.3787232; 4.1821954; -1.6478960
7.6877019; 3.4154050; 5.9959405; 0.5774399; 0.3896918; 4.1426689; -1.6384224
7.7875421; 3.3592771; 6.0784997; 0.6168898; 0.4006412; 4.1029921; -1.6232825
7.8873824; 3.2998910; 6.1587496; 0.6574617; 0.4121947; 4.0632999; -1.5990741
7.9872227; 3.2372540; 6.2364871; 0.6992177; 0.4244670; 4.0238169; -1.5465231
8.0870630; 3.1713809; 6.3114984; 0.7422545; 0.4378127; 3.9852593; -1.4656855
8.1869033; 3.1022868; 6.3835651; 0.7866658; 0.4518809; 3.9483696; -1.4061702
8.2867436; 3.0300214; 6.4524364; 0.8324360; 0.4650873; 3.9126510; -1.3216438
8.3865838; 2.9546322; 6.5178820; 0.8795731; 0.4793207; 3.8787796; -1.2101816
8.4864241; 2.8761967; 6.5796465; 0.9281797; 0.4944571; 3.8475033; -1.0551871
8.5862644; 2.7948108; 6.6374623; 0.9783560; 0.5108997; 3.8200237; -0.8470081
8.6861047; 2.7105855; 6.6910504; 1.0302383; 0.5285917; 3.7978218; -0.5765056
8.7859450; 2.6236470; 6.7401225; 1.0839323; 0.5472834; 3.7826358; -0.2040560
8.8857853; 2.5341627; 6.7843694; 1.1395814; 0.5677512; 3.7772460; -0.0318142
8.9856256; 2.4423151; 6.8234748; 1.1973306; 0.5890683; 3.7764050; -0.0318000
9.0854658; 2.3483263; 6.8571124; 1.2572731; 0.6120804; 3.7755642; -0.0317859
9.1853061; 2.2524615; 6.8849445; 1.3196176; 0.6370702; 3.7747235; -0.0317717
9.2851464; 2.1550331; 6.9066360; 1.3841575; 0.6562603; 3.7738831; -0.0317576
9.3849867; 2.0563838; 6.9219011; 1.4507520; 0.6781534; 3.7730428; -0.0317434
9.4848270; 1.9569468; 6.9304616; 1.5191885; 0.6841672; 3.7722027; -0.0317293
9.5846673; 1.8571515; 6.9322215; 1.5869734; 0.6743963; 3.7713629; -0.0317152
9.6845075; 1.7574166; 6.9272571; 1.6539859; 0.6679929; 3.7705232; -0.0317010
9.7843478; 1.6582824; 6.9157113; 1.7189176; 0.6333840; 3.7696837; -0.0316869
9.8841881; 1.5600425; 6.8979153; 1.7805612; 0.6018925; 3.7688443; -0.0316869
9.9840284; 1.4630407; 6.8742467; 1.8391520; 0.5700585; 3.7680048; 0.1630863
10.0838687; 1.3675541; 6.8451019; 1.8943599; 0.5360324; 3.7723236; 0.8124651
10.1837090; 1.2737896; 6.8108993; 1.9462458; 0.5040305; 3.7937658; 1.3093916
10.2835492; 1.1818167; 6.7719968; 1.9951992; 0.4763675; 3.8280699; 1.6490828
10.3833895; 1.0918361; 6.7287830; 2.0414036; 0.4494852; 3.8708408; 1.9396604
10.4832298; 1.0038731; 6.6815691; 2.0849773; 0.4233380; 3.9205512; 2.1967717
10.5830701; 0.9179777; 6.6306768; 2.1259430; 0.3973094; 3.9761003; 2.4448170
10.6829104; 0.8341944; 6.5764348; 2.1643278; 0.3718935; 4.0370232; 2.6634262
10.7827507; 0.7524432; 6.5190941; 2.2001697; 0.3459500; 4.1023641; 2.8933848
10.8825909; 0.6727452; 6.4589823; 2.2334196; 0.3202401; 4.1721869; 3.1319733
10.9824312; 0.5950046; 6.3963495; 2.2641167; 0.2946135; 4.2464736; 3.3876858
11.0822715; 0.5191360; 6.3314546; 2.2922410; 0.2687804; 4.3253893; 3.6730079
11.1821118; 0.4450424; 6.2645531; 2.3177891; 0.2430716; 4.4093561; 3.9834592
11.2819521; 0.3725921; 6.1958720; 2.3407692; 0.2172887; 4.4986487; 4.3306980
11.3817924; 0.3016409; 6.1256279; 2.3611762; 0.1915031; 4.5937563; 4.7192046
11.4816326; 0.2320583; 6.0540529; 2.3790141; 0.1659351; 4.6952029; 5.1494810
11.5814729; 0.1636652; 5.9813293; 2.3943065; 0.1404265; 4.8034552; 5.2485280
11.6813132; 0.0962809; 5.9076346; 2.4070571; 0.1149998; 4.9113349; 5.2461900
