# x_m, y_m, v_mps
-0.065,0.716,6.790
0.024,0.759,6.849
0.114,0.801,6.805
0.204,0.843,6.744
0.294,0.886,6.680
0.384,0.928,6.615
0.473,0.971,6.548
0.562,1.013,6.480
0.650,1.056,6.411
0.739,1.099,6.341
0.827,1.142,6.271
0.914,1.185,6.201
1.001,1.229,6.131
1.088,1.273,6.061
1.174,1.317,5.992
1.260,1.361,5.924
1.345,1.406,5.856
1.429,1.452,5.790
1.513,1.498,5.724
1.596,1.544,5.661
1.678,1.591,5.598
1.760,1.639,5.537
1.840,1.688,5.478
1.920,1.737,5.420
1.999,1.787,5.365
2.077,1.838,5.311
2.154,1.890,5.259
2.230,1.942,5.209
2.305,1.996,5.161
2.378,2.050,5.115
2.451,2.106,5.071
2.522,2.162,5.029
2.592,2.220,4.989
2.660,2.278,4.951
2.728,2.338,4.915
2.793,2.399,4.880
2.857,2.461,4.847
2.920,2.524,4.815
2.980,2.588,4.785
3.039,2.653,4.756
3.097,2.720,4.729
3.152,2.787,4.703
3.205,2.856,4.678
3.256,2.925,4.654
3.305,2.995,4.631
3.352,3.066,4.609
3.395,3.138,4.589
3.437,3.211,4.569
3.475,3.284,4.550
3.511,3.358,4.531
3.544,3.434,4.513
3.575,3.511,4.496
3.603,3.589,4.479
3.628,3.667,4.462
3.651,3.747,4.445
3.671,3.828,4.429
3.689,3.910,4.413
3.704,3.992,4.397
3.716,4.075,4.381
3.726,4.158,4.366
3.733,4.242,4.350
3.737,4.326,4.334
3.739,4.410,4.318
3.739,4.494,4.302
3.735,4.578,4.286
3.729,4.662,4.270
3.721,4.746,4.254
3.710,4.830,4.237
3.696,4.913,4.220
3.680,4.996,4.203
3.661,5.079,4.186
3.640,5.160,4.168
3.616,5.241,4.150
3.590,5.321,4.133
3.561,5.401,4.116
3.530,5.479,4.100
3.497,5.556,4.086
3.461,5.632,4.075
3.423,5.706,4.066
3.383,5.779,4.061
3.340,5.851,4.060
3.295,5.920,4.060
3.249,5.988,4.059
3.200,6.053,4.058
3.149,6.117,4.057
3.095,6.178,4.057
3.040,6.237,4.056
2.983,6.293,4.055
2.925,6.347,4.054
2.864,6.398,4.054
2.802,6.446,4.053
2.738,6.490,4.052
2.673,6.532,4.052
2.607,6.571,4.051
2.539,6.605,4.050
2.471,6.637,4.050
2.402,6.664,4.049
2.332,6.688,4.048
2.262,6.708,4.048
2.192,6.724,4.047
2.122,6.735,4.046
2.052,6.743,4.046
1.983,6.746,4.045
1.916,6.745,4.045
1.849,6.739,4.044
1.784,6.730,4.043
1.718,6.715,4.043
1.653,6.696,4.042
1.588,6.673,4.042
1.522,6.645,4.041
1.457,6.613,4.040
1.392,6.577,4.044
1.328,6.537,4.055
1.264,6.493,4.072
1.201,6.445,4.095
1.140,6.395,4.125
1.079,6.341,4.161
1.020,6.284,4.203
0.962,6.224,4.251
