# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
0.278236,-0.007722,7.350586,0.000000,0.000000,0.055382,-1.127571,4.887111
0.368665,0.035393,7.416894,0.000000,0.100182,0.055400,-1.125007,2.473242
0.458957,0.078611,7.450199,0.000000,0.200283,0.055767,-1.122358,-5.032235
0.549145,0.121912,7.382314,0.000000,0.300328,0.056479,-1.119563,-5.047133
0.639349,0.165361,7.313542,0.000000,0.400451,0.057531,-1.116566,-5.031568
0.729573,0.209000,7.244262,0.000000,0.500674,0.058916,-1.113324,-5.001290
0.819820,0.252882,7.174648,0.000000,0.601025,0.060625,-1.109794,-4.957471
0.910081,0.297065,7.104870,0.000000,0.701519,0.062648,-1.105941,-4.901375
1.000332,0.341603,7.035098,0.000000,0.802161,0.064978,-1.101731,-4.834578
1.090541,0.386547,6.965494,0.000000,0.902946,0.067606,-1.097128,-4.759748
1.180673,0.431944,6.896188,0.000000,1.003865,0.070521,-1.092099,-4.674208
1.270721,0.477856,6.827334,0.000000,1.104943,0.073719,-1.086608,-4.582374
1.360639,0.524330,6.759058,0.000000,1.206160,0.077192,-1.080615,-4.482610
1.450406,0.571425,6.691490,0.000000,1.307532,0.080935,-1.074074,-4.376264
1.539989,0.619194,6.624761,0.000000,1.409055,0.084935,-1.066955,-4.266504
1.629340,0.667683,6.558962,0.000000,1.510715,0.089184,-1.059241,-4.148919
1.718456,0.716963,6.494227,0.000000,1.612549,0.093676,-1.050919,-4.029435
1.807267,0.767071,6.430646,0.000000,1.714520,0.098400,-1.041985,-3.905175
1.895755,0.818070,6.368322,0.000000,1.816653,0.103347,-1.032435,-3.777243
1.983875,0.870011,6.307359,0.000000,1.918942,0.108506,-1.022266,-3.648810
2.071570,0.922939,6.247823,0.000000,2.021371,0.113856,-1.011474,-3.516193
2.158824,0.976920,6.189810,0.000000,2.123973,0.119374,-1.000051,-3.385584
2.245555,1.031978,6.133363,0.000000,2.226704,0.125032,-0.987996,-3.254954
2.331739,1.088174,6.078516,0.000000,2.329591,0.130802,-0.975305,-3.124525
2.417339,1.145568,6.025308,0.000000,2.432651,0.136661,-0.961975,-2.996951
2.502288,1.204207,5.973745,0.000000,2.535874,0.142580,-0.948003,-2.869924
2.586547,1.264155,5.923857,0.000000,2.639282,0.148537,-0.933386,-2.747151
2.670024,1.325437,5.875637,0.000000,2.742839,0.154515,-0.918121,-2.626858
2.752675,1.388109,5.829079,0.000000,2.846564,0.160489,-0.902204,-2.509749
2.834431,1.452212,5.784175,0.000000,2.950454,0.166445,-0.885635,-2.396748
2.915219,1.517781,5.740900,0.000000,3.054503,0.172368,-0.868414,-2.286430
2.994985,1.584869,5.699238,0.000000,3.158730,0.178241,-0.850536,-2.180564
3.073637,1.653500,5.659158,0.000000,3.263116,0.184051,-0.831990,-2.078136
3.151109,1.723715,5.620632,0.000000,3.367672,0.189785,-0.812764,-1.979695
3.227316,1.795541,5.583626,0.000000,3.472393,0.195430,-0.792819,-1.885438
3.302174,1.869002,5.548097,0.000000,3.577275,0.200975,-0.772119,-1.795234
3.375605,1.944127,5.514000,0.000000,3.682327,0.206403,-0.750635,-1.709293
3.447522,2.020939,5.481284,0.000000,3.787551,0.211699,-0.728325,-1.628056
3.517825,2.099449,5.449892,0.000000,3.892938,0.216848,-0.705162,-1.551900
3.586421,2.179667,5.419753,0.000000,3.998486,0.221832,-0.681160,-1.480849
3.653220,2.261599,5.390792,0.000000,4.104198,0.226637,-0.656332,-1.416004
3.718121,2.345247,5.362910,0.000000,4.210070,0.231258,-0.630718,-1.355373
3.781051,2.430667,5.336029,0.000000,4.316168,0.235686,-0.604380,-1.301936
3.841880,2.517845,5.310029,0.000000,4.422471,0.239929,-0.577368,-1.252119
3.900534,2.606912,5.284822,0.000000,4.529115,0.243991,-0.549729,-1.206055
3.956843,2.697914,5.260343,0.000000,4.636131,0.247881,-0.521507,-1.166136
4.010589,2.790814,5.236496,0.000000,4.743457,0.251602,-0.492742,-1.128903
4.061607,2.885673,5.213225,0.000000,4.851165,0.255164,-0.463481,-1.094873
4.109654,2.982395,5.190493,0.000000,4.959164,0.258579,-0.433761,-1.066456
4.154512,3.080770,5.168231,0.000000,5.067283,0.261855,-0.403626,-1.039847
4.196078,3.180707,5.146408,0.000000,5.175520,0.265004,-0.373113,-1.017638
4.234218,3.281949,5.124970,0.000000,5.283708,0.268032,-0.342255,-0.999190
4.268912,3.384311,5.103855,0.000000,5.391789,0.270949,-0.311091,-0.983845
4.300174,3.487672,5.082996,0.000000,5.499775,0.273758,-0.279659,-0.971710
4.328016,3.591921,5.062327,0.000000,5.607677,0.276457,-0.247998,-0.962772
4.352447,3.696948,5.041777,0.000000,5.715508,0.279056,-0.216169,-0.956721
4.373478,3.802654,5.021284,0.000000,5.823286,0.281553,-0.184236,-0.954578
4.391112,3.908906,5.000766,0.000000,5.930991,0.283949,-0.152261,-0.954374
4.405364,4.015629,4.980175,0.000000,6.038663,0.286257,-0.120309,-0.954902
4.416240,4.122698,4.959498,0.000000,6.146282,0.288494,-0.088445,-0.958422
4.423751,4.230007,4.938665,0.000000,6.253854,0.290679,-0.056686,-0.963684
4.427908,4.337489,4.917632,0.000000,6.361416,0.292845,-0.025058,-0.971503
4.428720,4.444998,4.896346,0.000000,6.468928,0.295016,0.006447,-0.979883
4.426198,4.552483,4.874783,0.000000,6.576443,0.297221,0.037861,-0.989215
4.420351,4.659816,4.852921,0.000000,6.683935,0.299497,0.069207,-0.998740
4.411192,4.766899,4.830752,0.000000,6.791409,0.301856,0.100509,-1.007138
4.398727,4.873670,4.808288,0.000000,6.898905,0.304334,0.131807,-1.015366
4.382975,4.979979,4.785540,0.000000,7.006375,0.306954,0.163142,-1.021147
4.363938,5.085781,4.762546,0.000000,7.113876,0.309724,0.194551,-1.025478
4.341635,5.190947,4.739341,0.000000,7.221381,0.312675,0.226081,-1.026034
4.316079,5.295380,4.716008,0.000000,7.328895,0.315814,0.257771,-1.020830
