# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
0.130349,0.306553,8.367400,0.000000,0.000000,0.042586,-1.119052,6.624069
0.219920,0.350242,8.445925,0.000000,0.099657,0.038833,-1.114995,4.971912
0.309320,0.394276,8.504389,0.000000,0.199315,0.035081,-1.111312,-7.168823
0.398567,0.438625,8.419963,0.000000,0.298972,0.034928,-1.107913,-7.206038
0.487657,0.483285,8.334237,0.000000,0.398629,0.038379,-1.104260,-7.132063
0.576574,0.528285,8.248514,0.000000,0.498286,0.041832,-1.100264,-6.957624
0.665306,0.573661,8.164021,0.000000,0.597944,0.047247,-1.095825,-6.787958
0.753819,0.619451,8.080736,0.000000,0.697601,0.052669,-1.090846,-6.627263
0.842093,0.665707,7.998586,0.000000,0.797258,0.058023,-1.085329,-6.490709
0.930099,0.712473,7.917303,0.000000,0.896915,0.063312,-1.079283,-6.358064
1.017800,0.759788,7.836864,0.000000,0.996573,0.068609,-1.072710,-6.212276
1.105188,0.807710,7.757464,0.000000,1.096230,0.074250,-1.065591,-6.070418
1.192210,0.856272,7.679083,0.000000,1.195887,0.079901,-1.057910,-5.931455
1.278844,0.905527,7.601716,0.000000,1.295544,0.085585,-1.049665,-5.795226
1.365058,0.955521,7.525358,0.000000,1.395202,0.091307,-1.040850,-5.663055
1.450802,1.006290,7.449986,0.000000,1.494859,0.097041,-1.031466,-5.526928
1.536069,1.057896,7.375683,0.000000,1.594516,0.102952,-1.021500,-5.394677
1.620789,1.110368,7.302428,0.000000,1.694173,0.108879,-1.010945,-5.267934
1.704938,1.163757,7.230178,0.000000,1.793831,0.114790,-0.999799,-5.146200
1.788474,1.218108,7.158894,0.000000,1.893488,0.120696,-0.988065,-5.028473
1.871338,1.273451,7.088549,0.000000,1.993145,0.126617,-0.975743,-4.931330
1.953514,1.329846,7.018877,0.000000,2.092802,0.132202,-0.962846,-4.829297
2.034929,1.387312,6.949970,0.000000,2.192460,0.137807,-0.949392,-4.699180
2.115549,1.445892,6.882258,0.000000,2.292117,0.144078,-0.935362,-4.545308
2.195321,1.505625,6.816122,0.000000,2.391774,0.150994,-0.920659,-4.395764
2.274180,1.566547,6.751547,0.000000,2.491431,0.157922,-0.905267,-4.272699
2.352078,1.628708,6.688182,0.000000,2.591089,0.164350,-0.889208,-4.152410
2.428943,1.692133,6.626020,0.000000,2.690746,0.170821,-0.872508,-4.034284
2.504718,1.756857,6.565063,0.000000,2.790403,0.177347,-0.855160,-3.917372
2.579338,1.822911,6.505325,0.000000,2.890061,0.183946,-0.837158,-3.802346
2.652734,1.890321,6.446813,0.000000,2.989718,0.190599,-0.818496,-3.671147
2.724835,1.959113,6.389811,0.000000,3.089375,0.197739,-0.799146,-3.540580
2.795568,2.029314,6.334350,0.000000,3.189032,0.204945,-0.779081,-3.427160
2.864851,2.100943,6.280200,0.000000,3.288690,0.211799,-0.758307,-3.326551
2.932607,2.174019,6.227189,0.000000,3.388347,0.218409,-0.736872,-3.222865
2.998760,2.248556,6.175396,0.000000,3.488004,0.225175,-0.714771,-3.057500
3.063215,2.324551,6.125856,0.000000,3.587661,0.233589,-0.691914,-2.888876
3.125889,2.402034,6.078677,0.000000,3.687319,0.242099,-0.668212,-2.784017
3.186673,2.481000,6.032862,0.000000,3.786976,0.248932,-0.643707,-2.726809
3.245479,2.561450,5.987648,0.000000,3.886633,0.254468,-0.618625,-2.655350
3.302235,2.643377,5.943289,0.000000,3.986290,0.260270,-0.592980,-2.492694
3.356830,2.726730,5.901343,0.000000,4.085948,0.268622,-0.566632,-2.323263
3.409185,2.811530,5.861978,0.000000,4.185605,0.277143,-0.539437,-1.975775
3.459170,2.897736,5.828292,0.000000,4.285262,0.290559,-0.511258,-1.471219
3.506636,2.985352,5.803082,0.000000,4.384919,0.308053,-0.481433,-0.954544
3.551402,3.074406,5.786666,0.000000,4.484577,0.325220,-0.449852,-0.662917
3.593258,3.164837,5.775238,0.000000,4.584234,0.335243,-0.416950,-0.325360
3.632073,3.256627,5.769621,0.000000,4.683891,0.346032,-0.383007,-0.316858
3.667706,3.349703,5.764145,0.000000,4.783548,0.346942,-0.348243,-0.297886
3.700101,3.443948,5.758993,0.000000,4.883206,0.339805,-0.314025,-0.555839
3.729280,3.539218,5.749366,0.000000,4.982863,0.333307,-0.280501,-0.814644
3.755284,3.635440,5.735228,0.000000,5.082520,0.329971,-0.247447,-0.978352
3.778103,3.732436,5.718202,0.000000,5.182177,0.326969,-0.214718,-1.142934
3.797752,3.830133,5.698248,0.000000,5.281835,0.325320,-0.182240,-1.272388
3.814223,3.928419,5.675952,0.000000,5.381492,0.324755,-0.149849,-1.372713
