# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.065438,0.716306,8.016545,0.000000,0.000000,0.052972,-1.128666,6.256637
0.024499,0.758627,8.093749,0.000000,0.099397,0.052913,-1.127378,6.253862
0.114447,0.801022,8.170222,0.000000,0.198835,0.053237,-1.125962,-5.729421
0.204382,0.843471,8.100182,0.000000,0.298285,0.053945,-1.124358,-7.236526
0.294132,0.885909,8.010999,0.000000,0.397562,0.055036,-1.122502,-7.306851
0.383650,0.928360,7.920118,0.000000,0.496636,0.056508,-1.120347,-7.339788
0.472901,0.970850,7.827976,0.000000,0.595485,0.058354,-1.117856,-7.329555
0.561847,1.013414,7.735098,0.000000,0.694091,0.060565,-1.114998,-7.292588
0.650468,1.056094,7.641799,0.000000,0.792454,0.063132,-1.111749,-7.236532
0.738757,1.098936,7.548297,0.000000,0.890588,0.066044,-1.108084,-7.157636
0.826696,1.141980,7.454878,0.000000,0.988497,0.069295,-1.103980,-7.058322
0.914255,1.185259,7.361822,0.000000,1.086167,0.072876,-1.099415,-6.945840
1.001402,1.228808,7.269323,0.000000,1.183590,0.076786,-1.094363,-6.817401
1.088107,1.272664,7.177620,0.000000,1.280755,0.081029,-1.088792,-6.680544
1.174292,1.316847,7.086903,0.000000,1.377606,0.085609,-1.082661,-6.533265
1.259917,1.361403,6.997354,0.000000,1.474130,0.090527,-1.075943,-6.375103
1.344948,1.406380,6.909159,0.000000,1.570323,0.095786,-1.068626,-6.209421
1.429338,1.451821,6.822476,0.000000,1.666170,0.101371,-1.060694,-6.035651
1.513055,1.497780,6.737457,0.000000,1.761672,0.107274,-1.052139,-5.855789
1.596058,1.544302,6.654244,0.000000,1.856824,0.113478,-1.042948,-5.673646
1.678303,1.591433,6.572923,0.000000,1.951616,0.119964,-1.033108,-5.486587
1.759780,1.639234,6.493593,0.000000,2.046081,0.126712,-1.022607,-5.296654
1.840458,1.687751,6.416344,0.000000,2.140223,0.133707,-1.011432,-5.102022
1.920299,1.737022,6.341303,0.000000,2.234043,0.140932,-0.999570,-4.908244
1.999218,1.787061,6.268558,0.000000,2.327489,0.148364,-0.987011,-4.717352
2.077152,1.837904,6.198137,0.000000,2.420541,0.155977,-0.973750,-4.525840
2.154083,1.889610,6.130079,0.000000,2.513234,0.163740,-0.959785,-4.337605
2.229966,1.942217,6.064392,0.000000,2.605569,0.171606,-0.945111,-4.151986
2.304759,1.995762,6.001085,0.000000,2.697552,0.179557,-0.929725,-3.970091
2.378407,2.050272,5.940159,0.000000,2.789179,0.187558,-0.913626,-3.794586
2.450848,2.105770,5.881575,0.000000,2.880435,0.195580,-0.896818,-3.622374
2.522045,2.162295,5.825318,0.000000,2.971342,0.203598,-0.879296,-3.457206
2.591927,2.219859,5.771335,0.000000,3.061880,0.211582,-0.861054,-3.298525
2.660444,2.278486,5.719565,0.000000,3.152056,0.219499,-0.842092,-3.146991
2.727542,2.338199,5.669928,0.000000,3.241877,0.227304,-0.822377,-3.004653
2.793154,2.399005,5.622323,0.000000,3.331332,0.234971,-0.801873,-2.870505
2.857225,2.460921,5.576648,0.000000,3.420431,0.242467,-0.780546,-2.747133
2.919676,2.523941,5.532769,0.000000,3.509154,0.249763,-0.758363,-2.633207
2.980445,2.588070,5.490561,0.000000,3.597502,0.256871,-0.735255,-2.528405
3.039474,2.653321,5.449891,0.000000,3.685491,0.263771,-0.711231,-2.430622
3.096697,2.719688,5.410667,0.000000,3.773122,0.270474,-0.686286,-2.342231
3.152006,2.787117,5.372782,0.000000,3.860333,0.276982,-0.660439,-2.261617
3.205305,2.855579,5.336135,0.000000,3.947096,0.283291,-0.633733,-2.183892
3.256483,2.925023,5.300712,0.000000,4.033361,0.289408,-0.606214,-2.119179
3.305309,2.995256,5.266404,0.000000,4.118899,0.295321,-0.577942,-2.063129
3.351653,3.066246,5.233086,0.000000,4.203676,0.301047,-0.548953,-2.016522
3.395417,3.137998,5.200599,0.000000,4.287722,0.306580,-0.519319,-1.976123
3.436554,3.210562,5.168807,0.000000,4.371135,0.311926,-0.489085,-1.953068
3.474977,3.283929,5.137418,0.000000,4.453954,0.317100,-0.458310,-1.929873
3.510809,3.358410,5.106275,0.000000,4.536607,0.322099,-0.427065,-1.917814
3.544021,3.433969,5.075181,0.000000,4.619143,0.326947,-0.395381,-1.914320
3.574632,3.510667,5.043936,0.000000,4.701724,0.331646,-0.363337,-1.914235
3.602665,3.588525,5.012433,0.000000,4.784475,0.336208,-0.330990,-1.887192
3.628109,3.667455,4.981112,0.000000,4.867404,0.340647,-0.298411,-1.834082
3.650955,3.747378,4.950410,0.000000,4.950528,0.344974,-0.265687,-1.787370
3.671183,3.828148,4.920255,0.000000,5.033793,0.349217,-0.232915,-1.740758
3.688803,3.909743,4.890633,0.000000,5.117269,0.353375,-0.200222,-1.699984
3.703791,3.991983,4.861489,0.000000,5.200863,0.357458,-0.167680,-1.661690
3.716154,4.074803,4.832782,0.000000,5.284601,0.361472,-0.135341,-1.624723
3.725889,4.158113,4.804501,0.000000,5.368478,0.365425,-0.103281,-1.594242
3.732992,4.241753,4.776566,0.000000,5.452418,0.369315,-0.071427,-1.561521
3.737474,4.325743,4.748990,0.000000,5.536528,0.373161,-0.039806,-1.533862
3.739334,4.409872,4.721732,0.000000,5.620677,0.376977,-0.008376,-1.506500
3.738581,4.494102,4.694780,0.000000,5.704911,0.380782,0.022903,-1.477743
3.735220,4.578345,4.668167,0.000000,5.789221,0.384609,0.054049,-1.452506
3.729268,4.662436,4.641863,0.000000,5.873523,0.388473,0.085086,-1.421401
3.720722,4.746428,4.615938,0.000000,5.957948,0.392385,0.116020,-1.392511
3.709610,4.830087,4.590408,0.000000,6.042342,0.396361,0.146909,-1.359610
3.695937,4.913396,4.565334,0.000000,6.126765,0.400440,0.177773,-1.321198
3.679720,4.996264,4.540832,0.000000,6.211206,0.404668,0.208658,-1.280325
3.660988,5.078539,4.516977,0.000000,6.295586,0.409075,0.239601,-1.251760
3.639730,5.160262,4.493515,0.000000,6.380029,0.413780,0.270639,-1.247793
3.615999,5.241217,4.470028,0.000000,6.464390,0.418815,0.301832,-1.279082
3.589799,5.321382,4.445829,0.000000,6.548728,0.424396,0.333212,-1.302504
3.561153,5.400669,4.421062,0.000000,6.633031,0.430596,0.364836,-1.316035
3.530103,5.478956,4.395921,0.000000,6.717251,0.437412,0.396738,-1.300734
3.496683,5.556129,4.370965,0.000000,6.801350,0.444927,0.428967,-1.268526
3.460957,5.631984,4.346563,0.000000,6.885197,0.453090,0.461584,-1.216933
3.422936,5.706437,4.323094,0.000000,6.968795,0.461871,0.494624,-1.145535
3.382654,5.779364,4.300961,0.000000,7.052108,0.471214,0.528149,-1.052250
3.340135,5.850653,4.280605,0.000000,7.135114,0.481043,0.562207,-0.936238
3.295434,5.920152,4.262494,0.000000,7.217748,0.491305,0.596851,-0.795690
3.248567,5.987768,4.247109,0.000000,7.300018,0.501835,0.632140,-0.628815
3.199593,6.053350,4.234973,0.000000,7.381868,0.512567,0.668112,-0.438736
3.148533,6.116808,4.226526,0.000000,7.463318,0.523138,0.704834,-0.225334
3.095435,6.178022,4.222204,0.000000,7.544352,0.533354,0.742368,-0.039532
3.040397,6.236820,4.221450,0.000000,7.624891,0.543099,0.780780,-0.039471
2.983439,6.293122,4.220701,0.000000,7.704978,0.552122,0.820109,-0.039470
2.924686,6.346746,4.219957,0.000000,7.784524,0.560366,0.860393,-0.039439
2.864185,6.397596,4.219218,0.000000,7.863556,0.567725,0.901679,-0.039401
2.802037,6.445533,4.218485,0.000000,7.942044,0.574124,0.944017,-0.039406
2.738364,6.490411,4.217757,0.000000,8.019943,0.579506,0.987473,-0.039331
2.673233,6.532138,4.217036,0.000000,8.097294,0.583796,1.032088,-0.039309
