# 93a8bd52-1d78-4db6-84e2-f288e21a4a38
# b6956a2435d9de7c6a1583f428f9ab83a0f7f5a3
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.4819886; -0.8149339; -1.5535861; 0.1033910; 7.3439249; 4.3034732
0.0998762; -3.3821481; -0.8127130; -1.5436572; 0.0954606; 7.4022201; 4.6472067
0.1997524; -3.2823176; -0.8095398; -1.5345167; 0.0875739; 7.4646603; 4.9959775
0.2996286; -3.1825215; -0.8054945; -1.5262098; 0.0778692; 7.5312092; 5.4567978
0.3995048; -3.0827642; -0.8006740; -1.5190047; 0.0664135; 7.6032309; 6.0317342
0.4993810; -2.9830338; -0.7951915; -1.5129431; 0.0551027; 7.6820553; 6.6165188
0.5992572; -2.8833579; -0.7891540; -1.5077599; 0.0487047; 7.7676019; 6.9267708
0.6991334; -2.7836900; -0.7826302; -1.5032155; 0.0422912; 7.8561618; 7.2521337
0.7990096; -2.6840592; -0.7756831; -1.4991475; 0.0419677; 7.9478242; 2.3829865
0.8988858; -2.5844597; -0.7683167; -1.4947142; 0.0468125; 7.9777137; -6.9272449
0.9987620; -2.4848708; -0.7604828; -1.4897957; 0.0515843; 7.8905122; -6.7920354
1.0986382; -2.3853492; -0.7521402; -1.4844784; 0.0549038; 7.8040667; -6.6630242
1.1985144; -2.2858654; -0.7432511; -1.4788278; 0.0582462; 7.7183225; -6.5779804
1.2983906; -2.1864359; -0.7337838; -1.4728603; 0.0609693; 7.6327279; -6.5279292
1.3982668; -2.0870695; -0.7237118; -1.4666599; 0.0631929; 7.5468248; -6.4737129
1.4981430; -1.9877691; -0.7130128; -1.4602371; 0.0655833; 7.4606585; -6.3028674
1.5980192; -1.8885435; -0.7016608; -1.4534570; 0.0701898; 7.3757991; -6.1413695
1.6978954; -1.7893955; -0.6896130; -1.4462167; 0.0747947; 7.2921642; -5.9678168
1.7977716; -1.6903429; -0.6768249; -1.4385051; 0.0797973; 7.2099635; -5.7883381
1.8976478; -1.5913950; -0.6632477; -1.4302709; 0.0850930; 7.1293295; -5.6168625
