# d53245cd-aae2-4fbd-921e-92eaa790801f
# 316929af294cf4ff9943a6ed95acaf8522159fa0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.4854434; -0.8061519; -1.5678919; 0.1122436; 6.4928196; 3.1741337
0.0998577; -3.3856014; -0.8053149; -1.5570601; 0.1047364; 6.5414547; 3.4228067
0.1997153; -3.2857565; -0.8034335; -1.5469736; 0.0972772; 6.5934980; 3.6739683
0.2995730; -3.1859376; -0.8005831; -1.5376759; 0.0881070; 6.6489070; 4.0063472
0.3994306; -3.0861521; -0.7968553; -1.5294151; 0.0773493; 6.7088071; 4.4182511
0.4992883; -2.9863910; -0.7923566; -1.5222272; 0.0668017; 6.7742516; 4.8320629
0.5991459; -2.8866848; -0.7871875; -1.5158807; 0.0603276; 6.8451094; 5.0687945
0.6990036; -2.7869883; -0.7814167; -1.5101804; 0.0538323; 6.9186587; 5.3163801
0.7988612; -2.6873370; -0.7751075; -1.5049561; 0.0534303; 6.9949697; -2.1579746
0.8987189; -2.5877192; -0.7682652; -1.4994115; 0.0576255; 6.9640951; -5.1711143
0.9985766; -2.4881151; -0.7608477; -1.4934462; 0.0618291; 6.8895478; -5.0327445
1.0984342; -2.3885907; -0.7528179; -1.4870599; 0.0660967; 6.8162125; -4.8997350
1.1982919; -2.2891048; -0.7441298; -1.4802448; 0.0703952; 6.7440493; -4.7794697
1.2981495; -2.1896861; -0.7347431; -1.4730041; 0.0745573; 6.6729055; -4.6699401
1.3980072; -2.0903442; -0.7246168; -1.4653564; 0.0786171; 6.6026517; -4.5638721
1.4978648; -1.9910831; -0.7137109; -1.4573028; 0.0827332; 6.5332637; -4.4465390
1.5977225; -1.8919210; -0.7019853; -1.4488161; 0.0872510; 6.4649433; -4.3352721
1.6975802; -1.7928579; -0.6893955; -1.4398776; 0.0917680; 6.3976302; -4.2256551
1.7974378; -1.6939194; -0.6758990; -1.4304853; 0.0963876; 6.3313303; -4.1191443
1.8972955; -1.5951137; -0.6614505; -1.4206265; 0.1010732; 6.2660265; -4.0158283
1.9971531; -1.4964534; -0.6460048; -1.4102984; 0.1058206; 6.2016986; -3.9066610
2.0970108; -1.3979700; -0.6295183; -1.3994802; 0.1108626; 6.1384726; -3.8021925
2.1968684; -1.2996691; -0.6119416; -1.3881567; 0.1159263; 6.0763056; -3.7281509
2.2967261; -1.2015805; -0.5932291; -1.3763507; 0.1203130; 6.0147253; -3.6698016
2.3965837; -1.1037242; -0.5733395; -1.3641326; 0.1244009; 5.9534868; -3.6050030
2.4964414; -1.0061210; -0.5522356; -1.3515021; 0.1288001; 5.8927100; -3.5032062
2.5962991; -0.9087980; -0.5298770; -1.3383612; 0.1343947; 5.8330427; -3.4053689
2.6961567; -0.8117860; -0.5062148; -1.3246602; 0.1400245; 5.7744508; -3.3206763
2.7960144; -0.7151103; -0.4811976; -1.3104046; 0.1454122; 5.7167379; -3.2427602
2.8958720; -0.6188107; -0.4547800; -1.2956184; 0.1507393; 5.6598113; -3.1683209
