# x_m, y_m, v_mps
-3.485,-0.615,6.378
-3.388,-0.613,6.433
-3.290,-0.610,6.488
-3.191,-0.606,6.543
-3.093,-0.601,6.597
-2.995,-0.596,6.650
-2.896,-0.590,6.702
-2.797,-0.583,6.754
-2.698,-0.576,6.788
-2.600,-0.569,6.735
-2.501,-0.561,6.681
-2.403,-0.553,6.626
-2.304,-0.544,6.570
-2.206,-0.535,6.513
-2.108,-0.525,6.455
-2.010,-0.514,6.396
-1.912,-0.503,6.336
-1.814,-0.491,6.276
-1.717,-0.479,6.215
-1.619,-0.465,6.155
-1.522,-0.451,6.094
-1.425,-0.436,6.033
-1.329,-0.420,5.973
-1.233,-0.403,5.912
-1.136,-0.385,5.853
-1.041,-0.366,5.793
-0.945,-0.346,5.735
-0.850,-0.325,5.677
-0.756,-0.303,5.620
-0.661,-0.279,5.564
-0.568,-0.254,5.509
-0.474,-0.228,5.456
-0.382,-0.200,5.403
-0.289,-0.171,5.352
-0.198,-0.141,5.302
-0.107,-0.109,5.254
-0.017,-0.075,5.207
0.073,-0.040,5.162
0.162,-0.004,5.118
0.250,0.035,5.075
0.337,0.075,5.034
0.423,0.117,4.993
0.508,0.160,4.955
0.592,0.206,4.917
0.674,0.253,4.880
0.756,0.302,4.844
0.836,0.353,4.810
0.915,0.406,4.776
0.992,0.461,4.743
1.067,0.517,4.710
1.140,0.576,4.679
1.212,0.637,4.648
1.281,0.699,4.617
1.348,0.764,4.587
1.412,0.831,4.558
1.474,0.900,4.530
1.533,0.971,4.501
1.589,1.044,4.474
1.643,1.120,4.446
1.693,1.197,4.419
1.741,1.276,4.393
1.786,1.357,4.367
1.829,1.440,4.342
1.868,1.524,4.317
1.904,1.609,4.292
1.938,1.696,4.269
1.968,1.784,4.246
1.995,1.873,4.224
2.019,1.962,4.202
2.041,2.053,4.182
2.059,2.144,4.163
2.073,2.236,4.145
2.085,2.328,4.128
2.093,2.421,4.112
2.099,2.513,4.098
2.101,2.606,4.085
2.099,2.699,4.074
2.094,2.791,4.064
2.086,2.883,4.055
2.074,2.974,4.048
2.059,3.065,4.042
2.040,3.155,4.037
2.018,3.244,4.033
1.992,3.331,4.030
1.962,3.418,4.028
1.929,3.502,4.027
1.892,3.585,4.026
1.851,3.666,4.025
1.807,3.745,4.024
1.759,3.821,4.023
1.707,3.894,4.023
1.652,3.964,4.023
1.593,4.031,4.023
1.531,4.095,4.024
1.466,4.154,4.026
1.398,4.210,4.030
1.327,4.260,4.034
1.253,4.306,4.040
1.176,4.348,4.047
1.096,4.384,4.055
1.014,4.416,4.066
0.930,4.444,4.078
0.843,4.467,4.092
0.755,4.486,4.109
0.666,4.500,4.128
0.576,4.511,4.149
0.484,4.517,4.173
0.392,4.520,4.200
0.300,4.520,4.230
0.207,4.516,4.262
0.114,4.509,4.299
0.021,4.499,4.339
-0.072,4.486,4.382
-0.165,4.470,4.430
-0.258,4.452,4.482
-0.351,4.431,4.539
-0.444,4.408,4.600
-0.536,4.383,4.666
-0.629,4.357,4.738
-0.721,4.328,4.815
-0.813,4.298,4.897
-0.905,4.267,4.985
-0.997,4.234,5.079
-1.089,4.200,5.178
-1.181,4.166,5.284
-1.273,4.130,5.395
-1.365,4.094,5.513
-1.458,4.058,5.637
-1.551,4.021,5.767
-1.644,3.984,5.902
-1.737,3.947,6.027
-1.831,3.911,6.140
-1.926,3.875,6.242
-2.021,3.839,6.334
-2.117,3.804,6.417
-2.214,3.771,6.491
-2.311,3.738,6.556
-2.410,3.707,6.613
-2.509,3.678,6.663
-2.610,3.650,6.707
-2.711,3.625,6.746
-2.814,3.602,6.780
-2.917,3.582,6.789
-3.022,3.565,6.759
-3.128,3.551,6.729
-3.234,3.541,6.699
-3.341,3.534,6.668
-3.449,3.532,6.635
-3.556,3.534,6.600
-3.663,3.539,6.563
-3.769,3.548,6.522
-3.874,3.561,6.477
-3.978,3.576,6.426
-4.081,3.594,6.370
-4.184,3.614,6.307
