# 37d2ea70-aa26-4bd5-b940-6f7810d95575
# 316929af294cf4ff9943a6ed95acaf8522159fa0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.4819886; -0.8149339; -1.5535861; 0.1033910; 6.5686061; 3.4427786
0.0998762; -3.3821481; -0.8127130; -1.5436572; 0.0954606; 6.6207469; 3.7177653
0.1997524; -3.2823176; -0.8095398; -1.5345167; 0.0875739; 6.6765951; 3.9967820
0.2996286; -3.1825215; -0.8054945; -1.5262098; 0.0778692; 6.7361183; 4.3654382
0.3995048; -3.0827642; -0.8006740; -1.5190047; 0.0664135; 6.8005365; 4.8253874
0.4993810; -2.9830338; -0.7951915; -1.5129431; 0.0551027; 6.8710391; 5.2932151
0.5992572; -2.8833579; -0.7891540; -1.5077599; 0.0487047; 6.9475543; 5.5414167
0.6991334; -2.7836900; -0.7826302; -1.5032155; 0.0422912; 7.0267647; 5.8017070
0.7990096; -2.6840592; -0.7756831; -1.4991475; 0.0419677; 7.1087501; 1.9063892
0.8988858; -2.5844597; -0.7683167; -1.4947142; 0.0468125; 7.1354841; -5.5417959
0.9987620; -2.4848708; -0.7604828; -1.4897957; 0.0515843; 7.0574887; -5.4336283
1.0986382; -2.3853492; -0.7521402; -1.4844784; 0.0549038; 6.9801695; -5.3304194
1.1985144; -2.2858654; -0.7432511; -1.4788278; 0.0582462; 6.9034775; -5.2623843
1.2983906; -2.1864359; -0.7337838; -1.4728603; 0.0609693; 6.8269194; -5.2223434
1.3982668; -2.0870695; -0.7237118; -1.4666599; 0.0631929; 6.7500854; -5.1789704
1.4981430; -1.9877691; -0.7130128; -1.4602371; 0.0655833; 6.6730158; -5.0422939
1.5980192; -1.8885435; -0.7016608; -1.4534570; 0.0701898; 6.5971153; -4.9130956
1.6978954; -1.7893955; -0.6896130; -1.4462167; 0.0747947; 6.5223100; -4.7742534
1.7977716; -1.6903429; -0.6768249; -1.4385051; 0.0797973; 6.4487874; -4.6306705
1.8976478; -1.5913950; -0.6632477; -1.4302709; 0.0850930; 6.3766662; -4.4934900
1.9975240; -1.4925614; -0.6488293; -1.4215071; 0.0904132; 6.3058930; -4.3549191
2.0974002; -1.3938680; -0.6335197; -1.4122009; 0.0959482; 6.2365359; -4.2227426
2.1972764; -1.2953224; -0.6172645; -1.4023407; 0.1014994; 6.1685393; -4.1169257
2.2971526; -1.1969467; -0.6000114; -1.3919413; 0.1065346; 6.1015172; -4.0295727
2.3970288; -1.0987611; -0.5817128; -1.3810663; 0.1112378; 6.0351963; -3.9416393
2.4969050; -1.0007854; -0.5623247; -1.3697198; 0.1161138; 5.9696099; -3.8135017
2.5967812; -0.9030379; -0.5417992; -1.3578149; 0.1222755; 5.9054624; -3.6905780
2.6966574; -0.8055538; -0.5200827; -1.3452937; 0.1284688; 5.8427121; -3.5841185
2.7965336; -0.7083512; -0.4971162; -1.3321621; 0.1343584; 5.7811200; -3.4887934
2.8964098; -0.6114673; -0.4728478; -1.3184570; 0.1400851; 5.7205292; -3.3973725
2.9962860; -0.5149395; -0.4472282; -1.3041791; 0.1458573; 5.6609028; -3.3077287
3.0961622; -0.4187814; -0.4202011; -1.2893169; 0.1517372; 5.6022401; -3.2217661
3.1960384; -0.3230576; -0.3917240; -1.2738672; 0.1576633; 5.5445052; -3.1380366
3.2959146; -0.2277852; -0.3617403; -1.2578206; 0.1636789; 5.4876869; -3.0565028
3.3957908; -0.1330178; -0.3302037; -1.2411683; 0.1697833; 5.4317736; -2.9795895
3.4956670; -0.0388089; -0.2970684; -1.2239058; 0.1758935; 5.3767075; -2.9132244
3.5955432; 0.0548201; -0.2622772; -1.2060420; 0.1818038; 5.3223172; -2.8498809
3.6954194; 0.1477874; -0.2257975; -1.1875878; 0.1877686; 5.2685662; -2.7794645
3.7952956; 0.2400617; -0.1875774; -1.1685222; 0.1941440; 5.2156098; -2.7062364
3.8951718; 0.3315764; -0.1475758; -1.1488008; 0.2007816; 5.1635267; -2.6430246
3.9950480; 0.4222637; -0.1057504; -1.1284172; 0.2072114; 5.1121480; -2.6160153
4.0949242; 0.5120739; -0.0620550; -1.1074605; 0.2124483; 5.0607808; -2.5920943
4.1948004; 0.6009339; -0.0164654; -1.0859785; 0.2177391; 5.0093637; -2.5132042
4.2946766; 0.6887745; 0.0310438; -1.0638894; 0.2253465; 4.9590026; -2.4115546
4.3945528; 0.7755284; 0.0805206; -1.0409503; 0.2340204; 4.9101927; -2.3003141
4.4944290; 0.8611091; 0.1320156; -1.0171376; 0.2432272; 4.8631779; -2.1374225
4.5943052; 0.9453952; 0.1855651; -0.9922787; 0.2546719; 4.8190812; -1.9723531
4.6941815; 1.0283152; 0.2412565; -0.9662619; 0.2662590; 4.7780291; -1.7979167
4.7940577; 1.1097070; 0.2991206; -0.9390788; 0.2782418; 4.7402978; -1.6136550
4.8939339; 1.1894657; 0.3592287; -0.9106750; 0.2905782; 4.7061760; -1.4205680
4.9938101; 1.2674584; 0.4216359; -0.8810245; 0.3031516; 4.6759309; -1.2081620
5.0936863; 1.3435106; 0.4863632; -0.8500943; 0.3163333; 4.6500534; -0.9768800
5.1935625; 1.4174878; 0.5534681; -0.8178196; 0.3299873; 4.6290240; -0.6960192
5.2934387; 1.4892139; 0.6229770; -0.7841144; 0.3453206; 4.6139822; -0.3748528
5.3933149; 1.5584941; 0.6949122; -0.7488124; 0.3616710; 4.6058608; -0.1130109
5.4931911; 1.6251305; 0.7693016; -0.7119039; 0.3744099; 4.6034095; -0.1059173
5.5930673; 1.6889608; 0.8461388; -0.6744738; 0.3751170; 4.6011110; -0.0772180
5.6929435; 1.7498455; 0.9252848; -0.6369407; 0.3767455; 4.5994345; -0.0689925
5.7928197; 1.8077447; 1.0067050; -0.5994443; 0.3721779; 4.5979361; -0.1673707
