# f73336a5-56fe-47ad-952b-42151c1112bd
# d125fbc87fdcd7e4c669f2434eda3971fca9a607
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.4854434; -0.8061519; -1.5678919; 0.1122436; 6.8866751; 3.5709004
0.0998577; -3.3856014; -0.8053149; -1.5570601; 0.1047364; 6.9382604; 3.8506575
0.1997153; -3.2857565; -0.8034335; -1.5469736; 0.0972772; 6.9934608; 0.4581856
0.2995730; -3.1859376; -0.8005831; -1.5376759; 0.0881070; 7.0000000; 0.0000000
0.3994306; -3.0861521; -0.7968553; -1.5294151; 0.0773493; 7.0000000; 0.0000000
0.4992883; -2.9863910; -0.7923566; -1.5222272; 0.0668017; 7.0000000; 0.0000000
0.5991459; -2.8866848; -0.7871875; -1.5158807; 0.0603276; 7.0000000; 0.0000000
0.6990036; -2.7869883; -0.7814167; -1.5101804; 0.0538323; 7.0000000; 0.0000000
0.7988612; -2.6873370; -0.7751075; -1.5049561; 0.0534303; 7.0000000; 0.0000000
0.8987189; -2.5877192; -0.7682652; -1.4994115; 0.0576255; 7.0000000; 0.0000000
0.9985766; -2.4881151; -0.7608477; -1.4934462; 0.0618291; 7.0000000; 0.0000000
1.0984342; -2.3885907; -0.7528179; -1.4870599; 0.0660967; 7.0000000; 0.0000000
1.1982919; -2.2891048; -0.7441298; -1.4802448; 0.0703952; 7.0000000; 0.0000000
1.2981495; -2.1896861; -0.7347431; -1.4730041; 0.0745573; 7.0000000; 0.0000000
1.3980072; -2.0903442; -0.7246168; -1.4653564; 0.0786171; 7.0000000; -4.9121127
1.4978648; -1.9910831; -0.7137109; -1.4573028; 0.0827332; 6.9295726; -5.0023563
1.5977225; -1.8919210; -0.7019853; -1.4488161; 0.0872510; 6.8571079; -4.8771811
1.6975802; -1.7928579; -0.6893955; -1.4398776; 0.0917680; 6.7857115; -4.7538620
1.7974378; -1.6939194; -0.6758990; -1.4304853; 0.0963876; 6.7153899; -4.6340373
1.8972955; -1.5951137; -0.6614505; -1.4206265; 0.1010732; 6.6461247; -4.5178068
1.9971531; -1.4964534; -0.6460048; -1.4102984; 0.1058206; 6.5778947; -4.3949937
2.0970108; -1.3979700; -0.6295183; -1.3994802; 0.1108626; 6.5108334; -4.2774665
2.1968684; -1.2996691; -0.6119416; -1.3881567; 0.1159263; 6.4448953; -4.1941698
2.2967261; -1.2015805; -0.5932291; -1.3763507; 0.1203130; 6.3795796; -4.1285268
2.3965837; -1.1037242; -0.5733395; -1.3641326; 0.1244009; 6.3146263; -4.0556284
2.4964414; -1.0061210; -0.5522356; -1.3515021; 0.1288001; 6.2501628; -3.9411070
2.5962991; -0.9087980; -0.5298770; -1.3383612; 0.1343947; 6.1868760; -3.8310400
2.6961567; -0.8117860; -0.5062148; -1.3246602; 0.1400245; 6.1247300; -3.7357608
2.7960144; -0.7151103; -0.4811976; -1.3104046; 0.1454122; 6.0635162; -3.6481052
2.8958720; -0.6188107; -0.4547800; -1.2956184; 0.1507393; 6.0031364; -3.5643610
2.9957297; -0.5229224; -0.4269167; -1.2802986; 0.1561025; 5.9435502; -3.4845495
3.0955873; -0.4274729; -0.3975599; -1.2644407; 0.1614994; 5.8847150; -3.4080428
3.1954450; -0.3325193; -0.3666709; -1.2480430; 0.1669461; 5.8265970; -3.3294681
3.2953027; -0.2380843; -0.3341998; -1.2310916; 0.1725974; 5.7692536; -3.2517704
3.3951603; -0.1442278; -0.3001076; -1.2135688; 0.1783685; 5.7126928; -3.1808978
3.4950180; -0.0509977; -0.2643509; -1.1954692; 0.1840801; 5.6568175; -3.1227952
3.5948756; 0.0415688; -0.2268831; -1.1768140; 0.1895466; 5.6014208; -3.0674898
3.6947333; 0.1333983; -0.1876747; -1.1576120; 0.1950746; 5.5464664; -2.9925153
3.7945909; 0.2244551; -0.1466804; -1.1378251; 0.2013807; 5.4923255; -2.9137577
3.8944486; 0.3146654; -0.1038652; -1.1173879; 0.2079603; 5.4390916; -2.8578103
3.9943062; 0.4039641; -0.0591876; -1.0963016; 0.2139358; 5.3863688; -2.8482962
4.0941639; 0.4922926; -0.0126116; -1.0747110; 0.2185041; 5.3333029; -2.8416330
4.1940216; 0.5795825; 0.0358798; -1.0526606; 0.2231461; 5.2798298; -2.7696686
4.2938792; 0.6657618; 0.0863022; -1.0300461; 0.2302522; 5.2271844; -2.6874839
4.3937369; 0.7507660; 0.1386967; -1.0066726; 0.2378892; 5.1755894; -2.5785087
4.4935945; 0.8345025; 0.1930962; -0.9825167; 0.2466565; 5.1255983; -2.4121853
4.5934522; 0.9168641; 0.2495368; -0.9573403; 0.2576714; 5.0783863; -2.2438434
4.6933098; 0.9977676; 0.3080932; -0.9310492; 0.2688313; 5.0340717; -2.0536618
4.7931675; 1.0770455; 0.3687824; -0.9036152; 0.2808452; 4.9931683; -1.8530963
4.8930251; 1.1546034; 0.4316814; -0.8749541; 0.2932091; 4.9559700; -1.6473153
4.9928828; 1.2302916; 0.4968286; -0.8450494; 0.3056515; 4.9226664; -1.4288851
5.0927405; 1.3039483; 0.5642484; -0.8138962; 0.3183885; 4.8935952; -1.1906925
5.1925981; 1.3754276; 0.6339790; -0.7814448; 0.3316058; 4.8692376; -0.8445187
5.2924558; 1.4445664; 0.7060533; -0.7474951; 0.3486709; 4.8518874; -0.4499687
5.3923134; 1.5111376; 0.7804732; -0.7117775; 0.3668230; 4.8426176; -0.1968010
5.4921711; 1.5749410; 0.8572812; -0.6743686; 0.3782488; 4.8385578; -0.1676354
5.5920287; 1.6358120; 0.9364532; -0.6365079; 0.3800349; 4.8350969; -0.1199761
5.6918864; 1.6936089; 1.0178409; -0.5984538; 0.3824632; 4.8326184; -0.1049197
5.7917441; 1.7483149; 1.1014398; -0.5605878; 0.3749525; 4.8304500; -0.2877652
5.8916017; 1.7998180; 1.1869726; -0.5235233; 0.3676319; 4.8244975; -0.4830636
5.9914594; 1.8481563; 1.2743574; -0.4871021; 0.3626071; 4.8144886; -0.6379656
6.0913170; 1.8933094; 1.3634589; -0.4510286; 0.3596963; 4.8012383; -0.7513262
6.1911747; 1.9351790; 1.4540046; -0.4152700; 0.3572569; 4.7855864; -0.8598358
6.2910323; 1.9738663; 1.5461600; -0.3797012; 0.3545114; 4.7676111; -0.9833598
6.3908900; 2.0092212; 1.6395080; -0.3444337; 0.3521511; 4.7469699; -1.1065296
6.4907476; 2.0412840; 1.7340758; -0.3093586; 0.3505679; 4.7236355; -1.2198358
6.5906053; 2.0700231; 1.8297303; -0.2743900; 0.3496794; 4.6977774; -1.3244748
6.6904630; 2.0953788; 1.9262263; -0.2395287; 0.3491934; 4.6695390; -1.4276206
6.7903206; 2.1173906; 2.0237095; -0.2046218; 0.3494208; 4.6389090; -1.5218706
