# 143b080f-6d0f-47ca-8b0c-b011ac11502b
# d125fbc87fdcd7e4c669f2434eda3971fca9a607
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.4819886; -0.8149339; -1.5535861; 0.1033910; 6.9670589; 3.8731259
0.0998762; -3.3821481; -0.8127130; -1.5436572; 0.0954606; 7.0223626; 4.1824860
0.1997524; -3.2823176; -0.8095398; -1.5345167; 0.0875739; 7.0815985; 4.4963798
0.2996286; -3.1825215; -0.8054945; -1.5262098; 0.0778692; 7.1447324; 4.9111180
0.3995048; -3.0827642; -0.8006740; -1.5190047; 0.0664135; 7.2130582; 5.4285608
0.4993810; -2.9830338; -0.7951915; -1.5129431; 0.0551027; 7.2878375; 5.9548669
0.5992572; -2.8833579; -0.7891540; -1.5077599; 0.0487047; 7.3689942; 6.2340938
0.6991334; -2.7836900; -0.7826302; -1.5032155; 0.0422912; 7.4530095; 6.5269203
0.7990096; -2.6840592; -0.7756831; -1.4991475; 0.0419677; 7.5399681; 2.1446879
0.8988858; -2.5844597; -0.7683167; -1.4947142; 0.0468125; 7.5683238; -6.2345204
0.9987620; -2.4848708; -0.7604828; -1.4897957; 0.0515843; 7.4855971; -6.1128318
1.0986382; -2.3853492; -0.7521402; -1.4844784; 0.0549038; 7.4035878; -5.9967218
1.1985144; -2.2858654; -0.7432511; -1.4788278; 0.0582462; 7.3222436; -5.9201824
1.2983906; -2.1864359; -0.7337838; -1.4728603; 0.0609693; 7.2410415; -5.8751363
1.3982668; -2.0870695; -0.7237118; -1.4666599; 0.0631929; 7.1595467; -5.8263417
1.4981430; -1.9877691; -0.7130128; -1.4602371; 0.0655833; 7.0778021; -5.6725806
1.5980192; -1.8885435; -0.7016608; -1.4534570; 0.0701898; 6.9972974; -5.5272325
1.6978954; -1.7893955; -0.6896130; -1.4462167; 0.0747947; 6.9179544; -5.3710351
1.7977716; -1.6903429; -0.6768249; -1.4385051; 0.0797973; 6.8399720; -5.2095043
1.8976478; -1.5913950; -0.6632477; -1.4302709; 0.0850930; 6.7634758; -5.0551763
1.9975240; -1.4925614; -0.6488293; -1.4215071; 0.0904132; 6.6884095; -4.8992840
2.0974002; -1.3938680; -0.6335197; -1.4122009; 0.0959482; 6.6148453; -4.7505854
2.1972764; -1.2953224; -0.6172645; -1.4023407; 0.1014994; 6.5427240; -4.6315414
2.2971526; -1.1969467; -0.6000114; -1.3919413; 0.1065346; 6.4716362; -4.5332693
2.3970288; -1.0987611; -0.5817128; -1.3810663; 0.1112378; 6.4012924; -4.4343442
2.4969050; -1.0007854; -0.5623247; -1.3697198; 0.1161138; 6.3317275; -4.2901895
2.5967812; -0.9030379; -0.5417992; -1.3578149; 0.1222755; 6.2636888; -4.1519002
2.6966574; -0.8055538; -0.5200827; -1.3452937; 0.1284688; 6.1971320; -4.0321333
2.7965336; -0.7083512; -0.4971162; -1.3321621; 0.1343584; 6.1318037; -3.9248926
2.8964098; -0.6114673; -0.4728478; -1.3184570; 0.1400851; 6.0675374; -3.8220441
2.9962860; -0.5149395; -0.4472282; -1.3041791; 0.1458573; 6.0042941; -3.7211948
3.0961622; -0.4187814; -0.4202011; -1.2893169; 0.1517372; 5.9420729; -3.6244868
3.1960384; -0.3230576; -0.3917240; -1.2738672; 0.1576633; 5.8808359; -3.5302912
3.2959146; -0.2277852; -0.3617403; -1.2578206; 0.1636789; 5.8205710; -3.4385657
3.3957908; -0.1330178; -0.3302037; -1.2411683; 0.1697833; 5.7612659; -3.3520381
3.4956670; -0.0388089; -0.2970684; -1.2239058; 0.1758935; 5.7028595; -3.2773774
3.5955432; 0.0548201; -0.2622772; -1.2060420; 0.1818038; 5.6451699; -3.2061160
3.6954194; 0.1477874; -0.2257975; -1.1875878; 0.1877686; 5.5881583; -3.1268975
3.7952956; 0.2400617; -0.1875774; -1.1685222; 0.1941440; 5.5319895; -3.0445160
3.8951718; 0.3315764; -0.1475758; -1.1488008; 0.2007816; 5.4767471; -2.9734027
3.9950480; 0.4222637; -0.1057504; -1.1284172; 0.2072114; 5.4222518; -2.9430172
4.0949242; 0.5120739; -0.0620550; -1.1074605; 0.2124483; 5.3677686; -2.9161061
4.1948004; 0.6009339; -0.0164654; -1.0859785; 0.2177391; 5.3132326; -2.8273547
4.2946766; 0.6887745; 0.0310438; -1.0638894; 0.2253465; 5.2598165; -2.7129990
4.3945528; 0.7755284; 0.0805206; -1.0409503; 0.2340204; 5.2080459; -2.5878533
4.4944290; 0.8611091; 0.1320156; -1.0171376; 0.2432272; 5.1581791; -2.4046003
4.5943052; 0.9453952; 0.1855651; -0.9922787; 0.2546719; 5.1114075; -2.2188972
4.6941815; 1.0283152; 0.2412565; -0.9662619; 0.2662590; 5.0678651; -2.0226563
4.7940577; 1.1097070; 0.2991206; -0.9390788; 0.2782418; 5.0278451; -1.8153619
4.8939339; 1.1894657; 0.3592287; -0.9106750; 0.2905782; 4.9916534; -1.5981390
4.9938101; 1.2674584; 0.4216359; -0.8810245; 0.3031516; 4.9595737; -1.3591822
5.0936863; 1.3435106; 0.4863632; -0.8500943; 0.3163333; 4.9321265; -1.0989900
5.1935625; 1.4174878; 0.5534681; -0.8178196; 0.3299873; 4.9098213; -0.7830216
5.2934387; 1.4892139; 0.6229770; -0.7841144; 0.3453206; 4.8938671; -0.4217094
5.3933149; 1.5584941; 0.6949122; -0.7488124; 0.3616710; 4.8852531; -0.1271373
5.4931911; 1.6251305; 0.7693016; -0.7119039; 0.3744099; 4.8826532; -0.1191570
5.5930673; 1.6889608; 0.8461388; -0.6744738; 0.3751170; 4.8802151; -0.0868703
