# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-3.464467,-0.973433,6.237833,0.000000,0.000000,0.092943,-1.534407,3.598152
-3.364668,-0.969351,6.295188,0.000000,0.099889,0.083933,-1.525574,3.929235
-3.264896,-0.964432,6.357230,0.000000,0.199778,0.074963,-1.517638,4.269144
-3.165166,-0.958767,6.423959,0.000000,0.299668,0.063723,-1.510655,4.735076
-3.065476,-0.952468,6.497170,0.000000,0.399557,0.050314,-1.504960,5.331842
-2.965819,-0.945668,6.578633,0.000000,0.499446,0.037104,-1.500603,5.947712
-2.866205,-0.938490,6.668330,0.000000,0.599335,0.030418,-1.497232,6.244413
-2.766592,-0.931008,6.761222,0.000000,0.699224,0.023719,-1.494528,6.562574
-2.667006,-0.923286,6.857491,0.000000,0.799114,0.024332,-1.492294,6.477471
-2.567439,-0.915321,6.951205,0.000000,0.899003,0.031057,-1.489528,-3.894980
-2.467872,-0.907045,6.895007,0.000000,0.998892,0.037655,-1.486089,-5.690750
-2.368360,-0.898399,6.812065,0.000000,1.098781,0.042084,-1.482107,-5.509467
-2.268880,-0.889335,6.730791,0.000000,1.198670,0.046534,-1.477681,-5.509080
-2.169443,-0.879810,6.648531,0.000000,1.298560,0.047360,-1.472913,-5.535607
-2.070055,-0.869817,6.564835,0.000000,1.398449,0.045414,-1.468279,-5.712513
-1.970717,-0.859372,6.477332,0.000000,1.498338,0.043943,-1.463839,-5.729835
-1.871425,-0.848484,6.388359,0.000000,1.598227,0.048055,-1.459244,-5.609017
-1.772184,-0.837120,6.300045,0.000000,1.698116,0.052163,-1.454238,-5.444714
-1.673006,-0.825237,6.213118,0.000000,1.798006,0.057432,-1.448789,-5.256834
-1.573897,-0.812786,6.128020,0.000000,1.897895,0.063506,-1.442748,-5.082643
-1.474864,-0.799706,6.044603,0.000000,1.997784,0.069582,-1.436101,-4.898878
-1.375932,-0.785938,5.963098,0.000000,2.097673,0.075696,-1.428846,-4.698769
-1.277101,-0.771422,5.883862,0.000000,2.197562,0.081816,-1.420979,-4.508301
-1.178394,-0.756100,5.806821,0.000000,2.297452,0.087872,-1.412502,-4.325617
-1.079825,-0.739911,5.731928,0.000000,2.397341,0.093899,-1.403424,-4.150206
-0.981412,-0.722799,5.659141,0.000000,2.497230,0.099900,-1.393743,-3.990703
-0.883173,-0.704705,5.588258,0.000000,2.597119,0.105646,-1.383477,-3.835857
-0.785134,-0.685576,5.519266,0.000000,2.697008,0.111411,-1.372637,-3.662847
-0.687311,-0.665357,5.452572,0.000000,2.796898,0.117788,-1.361200,-3.480888
-0.589733,-0.643988,5.388426,0.000000,2.896787,0.124537,-1.349097,-3.306034
-0.492434,-0.621408,5.326787,0.000000,2.996676,0.131223,-1.336320,-3.153482
-0.395429,-0.597552,5.267320,0.000000,3.096565,0.137415,-1.322903,-3.003267
-0.298771,-0.572371,5.210055,0.000000,3.196454,0.143645,-1.308866,-2.853210
-0.202476,-0.545802,5.155062,0.000000,3.296344,0.149965,-1.294203,-2.703340
-0.106593,-0.517795,5.102411,0.000000,3.396233,0.156365,-1.278903,-2.555965
-0.011168,-0.488297,5.052125,0.000000,3.496122,0.162765,-1.262964,-2.415558
0.083781,-0.457246,5.004138,0.000000,3.596011,0.169023,-1.246392,-2.351460
0.178177,-0.424601,4.956977,0.000000,3.695900,0.175332,-1.229195,-2.294600
0.271996,-0.390305,4.910521,0.000000,3.795790,0.181801,-1.211360,-2.239328
0.365174,-0.354312,4.864755,0.000000,3.895679,0.188389,-1.192871,-2.192234
0.457651,-0.316575,4.819531,0.000000,3.995568,0.194890,-1.173725,-2.166244
0.549385,-0.277042,4.774423,0.000000,4.095457,0.200893,-1.153958,-2.144938
0.640302,-0.235678,4.729334,0.000000,4.195346,0.206938,-1.133590,-2.066849
0.730341,-0.192443,4.685476,0.000000,4.295236,0.215079,-1.112544,-1.967061
0.819435,-0.147283,4.643352,0.000000,4.395125,0.224106,-1.090609,-1.857089
0.907498,-0.100138,4.603228,0.000000,4.495014,0.233587,-1.067767,-1.703553
0.994425,-0.050956,4.566111,0.000000,4.594903,0.244671,-1.043884,-1.545152
1.080142,0.000346,4.532183,0.000000,4.694792,0.255865,-1.018883,-1.377313
1.164504,0.053812,4.501725,0.000000,4.794682,0.267263,-0.992761,-1.196148
1.247416,0.109516,4.475105,0.000000,4.894571,0.278917,-0.965484,-0.998696
1.328752,0.167514,4.452757,0.000000,4.994460,0.290820,-0.937030,-0.772320
1.408356,0.227840,4.435398,0.000000,5.094349,0.303306,-0.907362,-0.517709
1.486105,0.290558,4.423723,0.000000,5.194238,0.316137,-0.876424,-0.246660
1.561835,0.355700,4.418150,0.000000,5.294128,0.328623,-0.844216,-0.043526
1.635383,0.423289,4.417166,0.000000,5.394017,0.341461,-0.810752,-0.043507
1.706581,0.493345,4.416182,0.000000,5.493906,0.351902,-0.776021,-0.043487
1.775287,0.565867,4.415198,0.000000,5.593795,0.355270,-0.740701,-0.043468
1.841356,0.640758,4.414215,0.000000,5.693684,0.359245,-0.705025,-0.043449
1.904725,0.717993,4.413231,0.000000,5.793574,0.355479,-0.669236,-0.043429
1.965298,0.797414,4.412248,0.000000,5.893463,0.349917,-0.634010,-0.043410
