# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-3.486024,-0.606153,6.284886,0.000000,0.000000,0.115778,-1.576830,3.338693
-3.388349,-0.605334,6.336563,0.000000,0.097679,0.114156,-1.567291,3.326847
-3.290521,-0.603490,6.387728,0.000000,0.195525,0.112786,-1.558039,3.306960
-3.192560,-0.600693,6.438263,0.000000,0.293525,0.111660,-1.549035,3.279095
-3.094426,-0.597027,6.488086,0.000000,0.391728,0.110775,-1.540249,3.243006
-2.996101,-0.592592,6.537098,0.000000,0.490152,0.110127,-1.531650,3.198536
-2.897662,-0.587489,6.585151,0.000000,0.588723,0.109714,-1.523203,3.145610
-2.799104,-0.581784,6.632142,0.000000,0.687447,0.109530,-1.514880,0.068957
-2.700496,-0.575541,6.633169,0.000000,0.786253,0.109571,-1.506649,-3.274017
-2.601984,-0.568775,6.584251,0.000000,0.884996,0.109834,-1.498484,-3.330113
-2.503570,-0.561446,6.534147,0.000000,0.983683,0.110313,-1.490359,-3.382097
-2.405318,-0.553519,6.482926,0.000000,1.082254,0.111004,-1.482246,-3.424559
-2.307190,-0.544949,6.430683,0.000000,1.180755,0.111906,-1.474114,-3.460856
-2.209213,-0.535699,6.377499,0.000000,1.279168,0.113029,-1.465908,-3.490258
-2.111393,-0.525728,6.323458,0.000000,1.377495,0.114380,-1.457575,-3.511950
-2.013733,-0.514998,6.268655,0.000000,1.475743,0.115977,-1.449053,-3.527075
-1.916257,-0.503471,6.213182,0.000000,1.573898,0.117834,-1.440267,-3.533401
-1.818967,-0.491107,6.157157,0.000000,1.671970,0.119959,-1.431148,-3.525300
-1.721890,-0.477864,6.100802,0.000000,1.769947,0.122366,-1.421636,-3.509617
-1.625035,-0.463701,6.044229,0.000000,1.867831,0.125058,-1.411682,-3.486041
-1.528415,-0.448575,5.987559,0.000000,1.965628,0.128034,-1.401262,-3.456674
-1.432066,-0.432446,5.930894,0.000000,2.063318,0.131297,-1.390371,-3.420287
-1.335994,-0.415268,5.874342,0.000000,2.160913,0.134845,-1.379005,-3.377975
-1.240225,-0.396998,5.818007,0.000000,2.258410,0.138694,-1.367156,-3.328591
-1.144763,-0.377595,5.762006,0.000000,2.355823,0.142849,-1.354819,-3.272317
-1.049629,-0.357025,5.706462,0.000000,2.453156,0.147308,-1.341986,-3.210524
-0.954868,-0.335255,5.651494,0.000000,2.550386,0.152068,-1.328649,-3.144414
-0.860518,-0.312243,5.597199,0.000000,2.647502,0.157109,-1.314804,-3.073666
-0.766602,-0.287940,5.543671,0.000000,2.744511,0.162417,-1.300443,-2.999491
-0.673154,-0.262305,5.490992,0.000000,2.841411,0.167967,-1.285557,-2.923051
-0.580208,-0.235296,5.439223,0.000000,2.938202,0.173733,-1.270137,-2.843191
-0.487790,-0.206872,5.388444,0.000000,3.034892,0.179715,-1.254182,-2.762654
-0.395955,-0.176998,5.338702,0.000000,3.131464,0.185885,-1.237695,-2.679319
-0.304726,-0.145629,5.290064,0.000000,3.227936,0.192240,-1.220670,-2.595443
-0.214163,-0.112734,5.242578,0.000000,3.324288,0.198752,-1.203095,-2.512072
-0.124313,-0.078273,5.196262,0.000000,3.420520,0.205381,-1.184956,-2.427996
-0.035205,-0.042206,5.151149,0.000000,3.516650,0.212107,-1.166219,-2.346489
0.053093,-0.004505,5.107227,0.000000,3.612660,0.218875,-1.146862,-2.266127
0.140541,0.034864,5.064495,0.000000,3.708562,0.225658,-1.126854,-2.189306
0.227059,0.075927,5.022926,0.000000,3.804330,0.232421,-1.106166,-2.116725
0.312586,0.118717,4.982461,0.000000,3.899964,0.239136,-1.084767,-2.046764
0.397095,0.163279,4.943059,0.000000,3.995502,0.245796,-1.062624,-1.980327
0.480530,0.209629,4.904672,0.000000,4.090947,0.252364,-1.039702,-1.917756
0.562806,0.257767,4.867257,0.000000,4.186270,0.258850,-1.015964,-1.859761
0.643831,0.307708,4.830752,0.000000,4.281450,0.265222,-0.991347,-1.805291
0.723516,0.359476,4.795110,0.000000,4.376474,0.271469,-0.965788,-1.756258
0.801725,0.413069,4.760258,0.000000,4.471284,0.277609,-0.939299,-1.709885
0.878369,0.468543,4.726151,0.000000,4.565897,0.283628,-0.911862,-1.668440
0.953291,0.525896,4.692723,0.000000,4.660251,0.289562,-0.883529,-1.629276
1.026397,0.585184,4.659929,0.000000,4.754376,0.295417,-0.854343,-1.592484
1.097553,0.646429,4.627734,0.000000,4.848260,0.301218,-0.824365,-1.558115
