# fe0787be-b973-4cfd-9c79-76c8649313b2
# 316929af294cf4ff9943a6ed95acaf8522159fa0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.5968956; -0.1195889; 2.5208979; 0.0085055; 7.0000000; 0.0000000
0.0999424; -0.6549915; -0.2009151; 2.5216656; 0.0068572; 7.0000000; 0.0000000
0.1998848; -0.7130297; -0.2822781; 2.5222686; 0.0052094; 7.0000000; 0.0000000
0.2998272; -0.7710258; -0.3636720; 2.5227117; 0.0037540; 7.0000000; 0.0000000
0.3997696; -0.8289916; -0.4450881; 2.5230237; 0.0024883; 7.0000000; 0.0000000
0.4997120; -0.8869349; -0.5265154; 2.5232091; 0.0012464; 7.0000000; 0.0000000
0.5996544; -0.9448644; -0.6079559; 2.5234675; 0.0039242; 7.0000000; 0.0000000
0.6995968; -1.0027622; -0.6894194; 2.5239935; 0.0066016; 7.0000000; 0.0000000
0.7995392; -1.0606053; -0.7709203; 2.5247996; 0.0097745; 7.0000000; 0.0000000
0.8994816; -1.1183688; -0.8524779; 2.5259589; 0.0134243; 7.0000000; 0.0000000
0.9994241; -1.1760251; -0.9341163; 2.5274829; 0.0170695; 7.0000000; 0.0000000
1.0993665; -1.2335392; -1.0158480; 2.5293572; 0.0204390; 7.0000000; 0.0000000
1.1993089; -1.2908884; -1.0977001; 2.5315684; 0.0238085; 7.0000000; 0.0000000
1.2992513; -1.3480426; -1.1796880; 2.5341036; 0.0266889; 7.0000000; 0.0000000
1.3991937; -1.4049776; -1.2618273; 2.5368920; 0.0291104; 7.0000000; -1.1966381
1.4991361; -1.4616740; -1.3441329; 2.5399224; 0.0315409; 6.9828941; -6.4733692
1.5990785; -1.5181091; -1.4266155; 2.5432172; 0.0343928; 6.8896213; -6.3826922
1.6990209; -1.5742609; -1.5092926; 2.5467970; 0.0372442; 6.7964019; -6.2209392
1.7989633; -1.6301036; -1.5921779; 2.5507064; 0.0418116; 6.7042977; -5.9995638
1.8989057; -1.6855988; -1.6752961; 2.5551922; 0.0479568; 6.6142563; -5.7897954
1.9988481; -1.7406962; -1.7586811; 2.5602923; 0.0541244; 6.5261852; -5.5516519
2.0987905; -1.7953386; -1.8423609; 2.5660578; 0.0612536; 6.4406058; -5.3262753
2.1987329; -1.8494690; -1.9263756; 2.5725360; 0.0683847; 6.3574178; -5.1205475
2.2986753; -1.9030235; -2.0107576; 2.5797218; 0.0753259; 6.2764036; -4.9324058
2.3986177; -1.9559411; -2.0955399; 2.5875886; 0.0821008; 6.1973647; -4.7539202
2.4985601; -2.0081626; -2.1807557; 2.5961328; 0.0888921; 6.1202199; -4.5672914
2.5985025; -2.0596225; -2.2664295; 2.6053800; 0.0961640; 6.0451766; -4.3899386
2.6984449; -2.1102576; -2.3525957; 2.6153548; 0.1034475; 5.9721586; -4.2192243
2.7983874; -2.1599991; -2.4392805; 2.6260595; 0.1108010; 5.9011286; -4.0545726
2.8983298; -2.2087773; -2.5265104; 2.6375043; 0.1182289; 5.8320555; -3.8978386
