# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.812479,0.031351,6.500000,0.000000,0.000000,0.051053,2.521287,0.000000
-0.870784,-0.049951,6.500000,0.000000,0.100047,0.051350,2.523622,0.000000
-0.928959,-0.131323,6.500000,0.000000,0.200076,0.051916,2.526107,0.000000
-0.987018,-0.212771,6.500000,0.000000,0.300099,0.052754,2.528810,0.000000
-1.044993,-0.294370,6.500000,0.000000,0.400197,0.053864,2.531789,0.000000
-1.102857,-0.376157,6.500000,0.000000,0.500383,0.055246,2.535097,0.000000
-1.160585,-0.458184,6.500000,0.000000,0.600688,0.056894,2.538783,0.000000
-1.218139,-0.540517,6.500000,0.000000,0.701142,0.058803,2.542869,0.000000
-1.275454,-0.623196,6.500000,0.000000,0.801745,0.060964,2.547371,0.000000
-1.332464,-0.706257,6.500000,0.000000,0.902488,0.063366,2.552302,0.000000
-1.389107,-0.789735,6.500000,0.000000,1.003370,0.066002,2.557664,0.000000
-1.445313,-0.873649,6.500000,0.000000,1.104368,0.068863,2.563466,0.000000
-1.501023,-0.957998,6.500000,0.000000,1.205454,0.071946,2.569730,0.000000
-1.556195,-1.042807,6.500000,0.000000,1.306630,0.075242,2.576482,0.000000
-1.610786,-1.128087,6.500000,0.000000,1.407886,0.078739,2.583736,0.000000
-1.664753,-1.213848,6.500000,0.000000,1.509214,0.082425,2.591488,0.000000
-1.718070,-1.300127,6.500000,0.000000,1.610638,0.086287,2.599740,0.000000
-1.770683,-1.386921,6.500000,0.000000,1.712133,0.090308,2.608481,0.000000
-1.822561,-1.474261,6.500000,0.000000,1.813718,0.094471,2.617701,0.000000
-1.873660,-1.562162,6.500000,0.000000,1.915393,0.098757,2.627392,-2.376109
-1.923923,-1.650620,6.462701,0.000000,2.017134,0.103156,2.637542,-4.222049
-1.973336,-1.739701,6.395805,0.000000,2.119001,0.107659,2.648148,-4.095694
-2.021819,-1.829365,6.330194,0.000000,2.220934,0.112257,2.659206,-3.968810
-2.069341,-1.919656,6.265896,0.000000,2.322968,0.116949,2.670724,-3.842494
-2.115848,-2.010571,6.202956,0.000000,2.425087,0.121731,2.682705,-3.722541
-2.161278,-2.102080,6.141338,0.000000,2.527253,0.126606,2.695155,-3.596867
-2.205627,-2.194276,6.081123,0.000000,2.629560,0.131586,2.708087,-3.475564
-2.248808,-2.287101,6.022327,0.000000,2.731938,0.136674,2.721502,-3.352584
-2.290781,-2.380606,5.964997,0.000000,2.834431,0.141867,2.735410,-3.228424
-2.331484,-2.474789,5.909205,0.000000,2.937033,0.147162,2.749819,-3.109277
-2.370843,-2.569616,5.854933,0.000000,3.039704,0.152535,2.764732,-2.986618
-2.408830,-2.665168,5.802244,0.000000,3.142531,0.157960,2.780163,-2.870010
-2.445352,-2.761365,5.751122,0.000000,3.245427,0.163423,2.796111,-2.754863
-2.480362,-2.858246,5.701564,0.000000,3.348440,0.168898,2.812587,-2.641747
-2.513794,-2.955803,5.653580,0.000000,3.451566,0.174380,2.829596,-2.534537
-2.545573,-3.053993,5.607121,0.000000,3.554771,0.179852,2.847139,-2.427159
-2.575654,-3.152877,5.562201,0.000000,3.658129,0.185302,2.865225,-2.325040
-2.603947,-3.252374,5.518792,0.000000,3.761571,0.190735,2.883846,-2.224719
