# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.747569,-0.047370,7.000000,0.000000,0.000000,0.003548,2.549072,0.000000
-0.803266,-0.130284,7.000000,0.000000,0.099884,0.003050,2.548757,0.000000
-0.858851,-0.213027,7.000000,0.000000,0.199564,0.002834,2.548434,0.000000
-0.914371,-0.295598,7.000000,0.000000,0.299065,0.002901,2.548113,0.000000
-0.969922,-0.378099,7.000000,0.000000,0.398525,0.003254,2.547799,0.000000
-1.025518,-0.460544,7.000000,0.000000,0.497965,0.003896,2.547495,0.000000
-1.081176,-0.542955,7.000000,0.000000,0.597410,0.004824,2.547198,0.000000
-1.136907,-0.625356,7.000000,0.000000,0.696888,0.006039,2.546904,0.000000
-1.192705,-0.707748,7.000000,0.000000,0.796396,0.007540,2.546609,0.000000
-1.248564,-0.790134,7.000000,0.000000,0.895933,0.009326,2.546312,0.000000
-1.304481,-0.872518,7.000000,0.000000,0.995502,0.011399,2.546017,0.000000
-1.360452,-0.954907,7.000000,0.000000,1.095104,0.013768,2.545748,0.000000
-1.416477,-1.037317,7.000000,0.000000,1.194755,0.016447,2.545535,-0.313944
-1.472549,-1.119751,6.995527,0.000000,1.294451,0.019444,2.545413,-6.406298
-1.528659,-1.202215,6.903582,0.000000,1.394194,0.022766,2.545414,-6.215229
-1.584801,-1.284715,6.813148,0.000000,1.493985,0.026415,2.545584,-6.020196
-1.640966,-1.367256,6.724351,0.000000,1.593823,0.030389,2.545985,-5.821768
-1.697148,-1.449846,6.637308,0.000000,1.693710,0.034683,2.546677,-5.621258
-1.753338,-1.532489,6.552124,0.000000,1.793646,0.039292,2.547723,-5.419805
-1.809527,-1.615188,6.468892,0.000000,1.893628,0.044212,2.549185,-5.223008
-1.865706,-1.697947,6.387621,0.000000,1.993654,0.049440,2.551125,-5.026133
-1.921919,-1.780856,6.308310,0.000000,2.093822,0.054977,2.553599,-4.824921
-1.978187,-1.864026,6.231033,0.000000,2.194238,0.060832,2.556667,-4.632064
-2.034489,-1.947515,6.155720,0.000000,2.294937,0.067016,2.560385,-4.429697
-2.090887,-2.031562,6.082448,0.000000,2.396153,0.073522,2.564813,-4.226025
-2.147310,-2.116268,6.011318,0.000000,2.497931,0.080334,2.570007,-4.023553
-2.203659,-2.201699,5.942424,0.000000,2.600272,0.087433,2.576023,-3.822922
-2.259835,-2.287926,5.875845,0.000000,2.703183,0.094790,2.582921,-3.624571
-2.315731,-2.375012,5.811661,0.000000,2.806664,0.102375,2.590753,-3.430476
-2.371229,-2.463005,5.749925,0.000000,2.910697,0.110145,2.599578,-3.241905
-2.426219,-2.551959,5.690657,0.000000,3.015275,0.118064,2.609452,-3.057719
-2.480598,-2.641951,5.633876,0.000000,3.120422,0.126084,2.620417,-2.880534
-2.534242,-2.733027,5.579571,0.000000,3.226122,0.134165,2.632514,-2.709133
-2.587038,-2.825255,5.527731,0.000000,3.332392,0.142280,2.645775,-2.543117
-2.638862,-2.918693,5.478354,0.000000,3.439240,0.150398,2.660213,-2.385328
-2.689573,-3.013373,5.431387,0.000000,3.546645,0.158484,2.675842,-2.231254
-2.739061,-3.109391,5.386829,0.000000,3.654665,0.166518,2.692673,-2.084789
-2.787163,-3.206752,5.344635,0.000000,3.763261,0.174464,2.710722,-1.944072
-2.833741,-3.305520,5.304766,0.000000,3.872461,0.182301,2.730023,-1.808309
-2.878647,-3.405745,5.267195,0.000000,3.982287,0.190002,2.750604,-1.679642
-2.921705,-3.507431,5.231863,0.000000,4.092713,0.197544,2.772524,-1.555274
-2.962768,-3.610650,5.198735,0.000000,4.203801,0.204900,2.795845,-1.437708
-3.001645,-3.715391,5.167746,0.000000,4.315524,0.212031,2.820563,-1.326555
-3.038154,-3.821671,5.138818,0.000000,4.427899,0.218905,2.846629,-1.221617
-3.072105,-3.929498,5.111874,0.000000,4.540945,0.225504,2.874007,-1.123980
-3.103298,-4.038853,5.086809,0.000000,4.654662,0.231795,2.902603,-1.033535
-3.131532,-4.149747,5.063505,0.000000,4.769093,0.237774,2.932338,-0.948930
-3.156592,-4.262239,5.041861,0.000000,4.884343,0.243426,2.963116,-0.872507
-3.178224,-4.376282,5.021733,0.000000,5.000420,0.248743,2.994847,-0.801996
-3.196171,-4.491972,5.003001,0.000000,5.117494,0.253730,3.027439,-0.726614
-3.210112,-4.609314,4.985809,0.000000,5.235661,0.258383,3.060806,-0.656625
-3.219694,-4.727789,4.970131,0.000000,5.354523,0.262706,3.094863,-0.593619
-3.224717,-4.846947,4.955866,0.000000,5.473787,0.266710,3.129524,-0.534701
-3.225055,-4.966544,4.942945,0.000000,5.593384,0.270394,-3.118471,-0.482706
-3.220658,-5.086012,4.931257,0.000000,5.712932,0.273776,-3.082832,-0.435056
-3.211554,-5.205174,4.920702,0.000000,5.832442,0.276858,-3.046818,-0.393208
-3.197807,-5.323666,4.911160,0.000000,5.951729,0.279642,-3.010500,-0.356470
-3.179517,-5.441291,4.902513,0.000000,6.070768,0.282144,-2.973958,-0.325222
-3.156793,-5.557881,4.894626,0.000000,6.189551,0.284353,-2.937268,-0.300087
-3.129761,-5.673238,4.887357,0.000000,6.308033,0.286276,-2.900515,-0.280705
-3.098534,-5.787268,4.880562,0.000000,6.426262,0.287925,-2.863864,-0.267221
-3.063235,-5.899823,4.874099,0.000000,6.544222,0.289321,-2.827424,-0.259188
-3.023974,-6.010809,4.867835,0.000000,6.661947,0.290491,-2.791238,-0.256224
-2.980861,-6.120128,4.861645,0.000000,6.779461,0.291465,-2.755403,-0.256096
-2.934006,-6.227669,4.855462,0.000000,6.896766,0.292272,-2.719911,-0.257408
-2.883520,-6.333336,4.849250,0.000000,7.013874,0.292956,-2.684785,-0.262066
-2.829494,-6.437062,4.842925,0.000000,7.130826,0.293540,-2.650018,-0.270068
-2.772050,-6.538724,4.836409,0.000000,7.247596,0.294069,-2.615578,-0.280342
-2.711277,-6.638263,4.829644,0.000000,7.364220,0.294583,-2.581458,-0.291858
-2.647274,-6.735599,4.822599,0.000000,7.480713,0.295080,-2.547621,-0.305170
-2.580159,-6.830626,4.815232,0.000000,7.597052,0.295576,-2.514042,-0.319470
-2.509987,-6.923329,4.807512,0.000000,7.713318,0.296094,-2.480700,-0.334779
-2.436894,-7.013579,4.799418,0.000000,7.829455,0.296637,-2.447556,-0.350949
-2.360955,-7.101332,4.790924,0.000000,7.945504,0.297239,-2.414577,-0.366901
