# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.638758,-0.127310,7.533117,0.000000,0.000000,0.044017,2.544027,5.375541
-0.694772,-0.209983,7.604045,0.000000,0.099863,0.036558,2.548050,3.430113
-0.750485,-0.292862,7.648959,0.000000,0.199727,0.029101,2.551329,-6.426838
-0.805956,-0.375903,7.564587,0.000000,0.299590,0.026114,2.553975,-6.584320
-0.861207,-0.459089,7.477159,0.000000,0.399453,0.027552,2.556654,-6.537983
-0.916230,-0.542427,7.389323,0.000000,0.499316,0.029007,2.559478,-6.342205
-0.971010,-0.625930,7.303108,0.000000,0.599180,0.033313,2.562589,-6.155665
-1.025508,-0.709610,7.218445,0.000000,0.699043,0.037627,2.566131,-5.981745
-1.079694,-0.793498,7.135210,0.000000,0.798906,0.041873,2.570103,-5.819756
-1.133529,-0.877612,7.053288,0.000000,0.898769,0.046056,2.574494,-5.665327
-1.186969,-0.961961,6.972614,0.000000,0.998633,0.050252,2.579301,-5.490921
-1.239998,-1.046599,6.893524,0.000000,1.098496,0.055031,2.584559,-5.324402
-1.292550,-1.131511,6.815955,0.000000,1.198359,0.059824,2.590294,-5.164132
-1.344598,-1.216741,6.739869,0.000000,1.298223,0.064659,2.596509,-5.009963
-1.396097,-1.302309,6.665224,0.000000,1.398086,0.069536,2.603209,-4.862676
-1.446987,-1.388210,6.591965,0.000000,1.497949,0.074430,2.610396,-4.712557
-1.497257,-1.474522,6.520183,0.000000,1.597812,0.079559,2.618087,-4.569031
-1.546825,-1.561206,6.449824,0.000000,1.697676,0.084706,2.626288,-4.429734
-1.595663,-1.648314,6.380869,0.000000,1.797539,0.089919,2.635006,-4.294545
-1.643719,-1.735862,6.313300,0.000000,1.897402,0.095198,2.644250,-4.165081
-1.690927,-1.823837,6.247069,0.000000,1.997265,0.100497,2.654018,-4.037876
-1.737271,-1.912322,6.182185,0.000000,2.097129,0.105899,2.664326,-3.915832
-1.782661,-2.001262,6.118604,0.000000,2.196992,0.111324,2.675171,-3.804838
-1.827066,-2.090713,6.056186,0.000000,2.296855,0.116611,2.686556,-3.702984
-1.870427,-2.180678,5.994814,0.000000,2.396718,0.121799,2.698461,-3.605440
-1.912678,-2.271137,5.934450,0.000000,2.496582,0.127014,2.710882,-3.513857
-1.953797,-2.362165,5.875022,0.000000,2.596445,0.132204,2.723828,-3.426713
-1.993698,-2.453698,5.816484,0.000000,2.696308,0.137409,2.737288,-3.324023
-2.032343,-2.545781,5.759131,0.000000,2.796172,0.143211,2.751288,-3.210802
-2.069668,-2.638410,5.703184,0.000000,2.896035,0.149472,2.765902,-3.103091
-2.105599,-2.731567,5.648587,0.000000,2.995898,0.155708,2.781140,-3.013554
-2.140089,-2.825300,5.595056,0.000000,3.095761,0.161519,2.796981,-2.926758
-2.173054,-2.919556,5.542571,0.000000,3.195625,0.167375,2.813402,-2.840867
-2.204443,-3.014358,5.491147,0.000000,3.295488,0.173331,2.830413,-2.756241
-2.234186,-3.109689,5.440791,0.000000,3.395351,0.179372,2.848024,-2.674173
-2.262213,-3.205527,5.391484,0.000000,3.495214,0.185450,2.866237,-2.592728
-2.288465,-3.301883,5.343245,0.000000,3.595078,0.191626,2.885066,-2.513044
-2.312866,-3.398713,5.296069,0.000000,3.694941,0.197856,2.904512,-2.434779
-2.335350,-3.496009,5.249957,0.000000,3.794804,0.204147,2.924584,-2.357183
-2.355845,-3.593744,5.204927,0.000000,3.894668,0.210520,2.945288,-2.280872
-2.374281,-3.691886,5.160980,0.000000,3.994531,0.216947,2.966631,-2.205509
-2.390586,-3.790401,5.118126,0.000000,4.094394,0.223435,2.988618,-2.131443
-2.404691,-3.889265,5.076367,0.000000,4.194257,0.229963,3.011258,-2.058618
-2.416520,-3.988416,5.035707,0.000000,4.294121,0.236528,3.034548,-1.983657
-2.426005,-4.087825,4.996214,0.000000,4.393984,0.243249,3.058503,-1.917015
-2.433072,-4.187438,4.957749,0.000000,4.493847,0.249715,3.083133,-1.887401
-2.437654,-4.287170,4.919585,0.000000,4.593710,0.254793,3.108318,-1.861978
-2.439698,-4.387028,4.881642,0.000000,4.693574,0.259802,3.134018,-1.710408
-2.439147,-4.486852,4.846526,0.000000,4.793437,0.270000,-3.122792,-1.509594
-2.435903,-4.586657,4.815320,0.000000,4.893300,0.282143,-3.095223,-1.281168
-2.429847,-4.686369,4.788677,0.000000,4.993164,0.295228,-3.066419,-0.967238
-2.420855,-4.785804,4.768463,0.000000,5.093027,0.311523,-3.036134,-0.621857
-2.408769,-4.884955,4.755422,0.000000,5.192890,0.328495,-3.004174,-0.420734
-2.393448,-4.983632,4.746578,0.000000,5.292753,0.338638,-2.970780,-0.252270
-2.374799,-5.081733,4.741268,0.000000,5.392617,0.346887,-2.936553,-0.159816
-2.352764,-5.179129,4.737901,0.000000,5.492480,0.351495,-2.901541,-0.149592
-2.327338,-5.275678,4.734747,0.000000,5.592343,0.345879,-2.866729,-0.286011
-2.298582,-5.371325,4.728710,0.000000,5.692206,0.340602,-2.832449,-0.426363
-2.266596,-5.465914,4.719698,0.000000,5.792070,0.337299,-2.798624,-0.529940
-2.231439,-5.559383,4.708471,0.000000,5.891933,0.334977,-2.765060,-0.617442
-2.193171,-5.651632,4.695358,0.000000,5.991796,0.333226,-2.731696,-0.697501
-2.151860,-5.742543,4.680499,0.000000,6.091659,0.331946,-2.698486,-0.771979
-2.107557,-5.832039,4.663999,0.000000,6.191523,0.331073,-2.665383,-0.841458
-2.060318,-5.920023,4.645947,0.000000,6.291386,0.330154,-2.632364,-0.916706
-2.010207,-6.006399,4.626201,0.000000,6.391249,0.329537,-2.599428,-0.990187
-1.957280,-6.091079,4.604777,0.000000,6.491113,0.329295,-2.566533,-1.060125
-1.901594,-6.173978,4.581728,0.000000,6.590976,0.329304,-2.533649,-1.129393
-1.843221,-6.254988,4.557046,0.000000,6.690839,0.329680,-2.500750,-1.195311
-1.782203,-6.334047,4.530776,0.000000,6.790702,0.330242,-2.467798,-1.262086
-1.718617,-6.411043,4.502872,0.000000,6.890566,0.331135,-2.434778,-1.326982
-1.652523,-6.485891,4.473346,0.000000,6.990429,0.332508,-2.401650,-1.387135
-1.583974,-6.558510,4.442272,0.000000,7.090292,0.334451,-2.368348,-1.440335
-1.513045,-6.628792,4.409774,0.000000,7.190155,0.336687,-2.334842,-1.491978
-1.439787,-6.696656,4.375856,0.000000,7.290019,0.338855,-2.301110,-1.550158
-1.364277,-6.762001,4.340335,0.000000,7.389882,0.341356,-2.267150,-1.607504
-1.286586,-6.824732,4.303190,0.000000,7.489745,0.344352,-2.232919,-1.661203
-1.206782,-6.884756,4.264465,0.000000,7.589609,0.347907,-2.198356,-1.710012
-1.124941,-6.941971,4.224231,0.000000,7.689472,0.351777,-2.163422,-1.752030
-1.041153,-6.996265,4.182607,0.000000,7.789335,0.359376,-2.127950,-1.728598
-0.955457,-7.047525,4.141129,0.000000,7.889198,0.367933,-2.091637,-1.708638
-0.867932,-7.095604,4.099718,0.000000,7.989062,0.376545,-2.054461,-1.687029
-0.778678,-7.140351,4.058417,0.000000,8.088925,0.385515,-2.016421,-1.658751
-0.687733,-7.181644,4.017394,0.000000,8.188788,0.395134,-1.977438,-1.612921
-0.595265,-7.219302,3.977098,0.000000,8.288651,0.406034,-1.937451,-1.556618
-0.501330,-7.253185,3.937818,0.000000,8.388515,0.417761,-1.896322,-1.501094
-0.406058,-7.283123,3.899564,0.000000,8.488378,0.429605,-1.853998,-1.446155
-0.309606,-7.308943,3.862352,0.000000,8.588241,0.441562,-1.810511,-1.377911
-0.212089,-7.330488,3.826560,0.000000,8.688104,0.454480,-1.765772,-1.299724
-0.113711,-7.347584,3.792489,0.000000,8.787968,0.468079,-1.719716,-1.203396
-0.014639,-7.360064,3.760668,0.000000,8.887831,0.482807,-1.672245,-1.100793
0.084927,-7.367754,3.731322,0.000000,8.987694,0.497765,-1.623263,-0.989012
0.184754,-7.370487,3.704758,0.000000,9.087558,0.513041,-1.572802,-0.844684
0.284567,-7.368102,3.681919,0.000000,9.187421,0.530044,-1.520738,-0.662481
0.384171,-7.360434,3.663907,0.000000,9.287284,0.548819,-1.466863,-0.425605
0.483154,-7.347324,3.652288,0.000000,9.387147,0.570060,-1.411016,-0.229467
0.581227,-7.328604,3.646008,0.000000,9.487011,0.586773,-1.353060,-0.154535
0.678092,-7.304163,3.641773,0.000000,9.586874,0.593783,-1.294105,-0.029573
0.773219,-7.274061,3.640962,0.000000,9.686737,0.603473,-1.234389,-0.029573
0.866480,-7.238264,3.640151,0.000000,9.786600,0.595385,-1.174369,0.081179
0.957391,-7.197012,3.642377,0.000000,9.886464,0.585234,-1.115440,0.206162
1.045728,-7.150527,3.648025,0.000000,9.986327,0.570851,-1.057564,0.373372
1.131319,-7.099063,3.658232,0.000000,10.086190,0.548274,-1.001686,0.632778
1.213919,-7.043022,3.675465,0.000000,10.186054,0.527587,-0.948003,0.842663
1.293518,-6.982672,3.698289,0.000000,10.285917,0.500142,-0.896628,1.128878
1.369968,-6.918451,3.728647,0.000000,10.385780,0.472613,-0.848071,1.398330
1.443300,-6.850698,3.765912,0.000000,10.485643,0.447342,-0.802179,1.624120
1.513550,-6.779719,3.808737,0.000000,10.585507,0.423684,-0.758684,1.821478
1.580709,-6.705860,3.856199,0.000000,10.685370,0.400439,-0.717552,2.012190
1.644875,-6.629351,3.907961,0.000000,10.785233,0.381102,-0.678538,2.145685
1.706084,-6.550456,3.962412,0.000000,10.885096,0.362123,-0.641432,2.279385
1.764396,-6.469407,4.019448,0.000000,10.984960,0.343895,-0.606196,2.407999
1.819891,-6.386401,4.078836,0.000000,11.084823,0.326283,-0.572738,2.534540
1.872671,-6.301600,4.140425,0.000000,11.184686,0.308985,-0.541013,2.664798
1.922778,-6.215267,4.204206,0.000000,11.284550,0.291768,-0.511029,2.803470
1.970375,-6.127465,4.270279,0.000000,11.384413,0.274707,-0.482742,2.949963
2.015534,-6.038409,4.338717,0.000000,11.484276,0.258056,-0.456148,3.100235
2.058382,-5.948225,4.409497,0.000000,11.584139,0.241670,-0.431201,3.257669
2.099065,-5.856977,4.482667,0.000000,11.684003,0.225475,-0.407867,3.424409
2.137645,-5.764926,4.558317,0.000000,11.783866,0.209623,-0.386155,3.598041
2.174318,-5.672016,4.636472,0.000000,11.883729,0.193894,-0.366003,3.783939
2.209174,-5.578444,4.717269,0.000000,11.983592,0.178456,-0.347416,3.979234
2.242356,-5.484270,4.800770,0.000000,12.083456,0.163219,-0.330359,4.186815
2.274017,-5.389509,4.887086,0.000000,12.183319,0.148125,-0.314807,4.408955
2.304245,-5.294379,4.976363,0.000000,12.283182,0.133359,-0.300760,4.642218
2.333223,-5.198788,5.068665,0.000000,12.383045,0.118686,-0.288172,4.893488
