# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.430405,-0.268034,7.370092,0.000000,0.000000,0.054960,2.540900,4.422754
-0.486713,-0.350755,7.429899,0.000000,0.100067,0.054813,2.542362,-5.095173
-0.543114,-0.433390,7.360970,0.000000,0.200115,0.054952,2.543794,-5.137545
-0.599592,-0.515934,7.290830,0.000000,0.300131,0.055380,2.545261,-5.168566
-0.656076,-0.598344,7.219655,0.000000,0.400041,0.056098,2.546827,-5.185316
-0.712512,-0.680646,7.147623,0.000000,0.499833,0.057108,2.548555,-5.180811
-0.768841,-0.762860,7.075018,0.000000,0.599493,0.058413,2.550511,-5.159668
-0.825006,-0.845024,7.002059,0.000000,0.699020,0.060015,2.552761,-5.127287
-0.880949,-0.927172,6.928900,0.000000,0.798407,0.061916,2.555372,-5.084423
-0.936613,-1.009339,6.855686,0.000000,0.897654,0.064118,2.558416,-5.030167
-0.991943,-1.091570,6.782575,0.000000,0.996767,0.066626,2.561965,-4.967935
-1.046876,-1.173891,6.709695,0.000000,1.095733,0.069445,2.566083,-4.894320
-1.101372,-1.256356,6.637201,0.000000,1.194578,0.072580,2.570804,-4.812814
-1.155369,-1.338989,6.565233,0.000000,1.293289,0.076027,2.576154,-4.723919
-1.208816,-1.421824,6.493913,0.000000,1.391870,0.079782,2.582146,-4.626040
-1.261664,-1.504901,6.423389,0.000000,1.490332,0.083838,2.588783,-4.524975
-1.313846,-1.588228,6.353752,0.000000,1.588649,0.088183,2.596063,-4.416033
-1.365324,-1.671859,6.285126,0.000000,1.686854,0.092810,2.603987,-4.303423
-1.416037,-1.755806,6.217611,0.000000,1.784930,0.097708,2.612554,-4.187533
-1.465931,-1.840096,6.151289,0.000000,1.882880,0.102864,2.621761,-4.066237
-1.514960,-1.924764,6.086269,0.000000,1.980720,0.108263,2.631602,-3.945865
-1.563053,-2.009802,6.022599,0.000000,2.078414,0.113885,2.642065,-3.821506
-1.610172,-2.095262,5.960354,0.000000,2.176003,0.119709,2.653153,-3.697399
-1.656253,-2.181141,5.899586,0.000000,2.273465,0.125713,2.664860,-3.573701
-1.701240,-2.267458,5.840326,0.000000,2.370801,0.131881,2.677188,-3.448210
-1.745082,-2.354239,5.782637,0.000000,2.468028,0.138192,2.690136,-3.326095
-1.787701,-2.441457,5.726529,0.000000,2.565103,0.144631,2.703700,-3.203671
-1.829048,-2.529152,5.672030,0.000000,2.662056,0.151174,2.717885,-3.084385
-1.869052,-2.617317,5.619136,0.000000,2.758872,0.157798,2.732690,-2.967203
-1.907663,-2.705977,5.567837,0.000000,2.855575,0.164480,2.748117,-2.851544
-1.944833,-2.795146,5.518139,0.000000,2.952181,0.171180,2.764171,-2.741154
-1.980492,-2.884785,5.470007,0.000000,3.048652,0.177880,2.780853,-2.633920
-2.014587,-2.974909,5.423410,0.000000,3.145010,0.184548,2.798171,-2.531403
-2.047049,-3.065497,5.378307,0.000000,3.241239,0.191168,2.816129,-2.433440
-2.077816,-3.156540,5.334648,0.000000,3.337340,0.197726,2.834734,-2.339655
-2.106827,-3.248032,5.292386,0.000000,3.433321,0.204201,2.853995,-2.251085
-2.134013,-3.339941,5.251461,0.000000,3.529166,0.210584,2.873921,-2.166969
-2.159311,-3.432256,5.211813,0.000000,3.624885,0.216863,2.894520,-2.087499
-2.182655,-3.524950,5.173386,0.000000,3.720473,0.223032,2.915811,-2.012626
-2.203976,-3.617989,5.136118,0.000000,3.815924,0.229086,2.937813,-1.942244
-2.223205,-3.711338,5.099949,0.000000,3.911233,0.235031,2.960513,-1.875418
-2.240275,-3.804970,5.064829,0.000000,4.006408,0.240865,2.983916,-1.812916
-2.255112,-3.898827,5.030701,0.000000,4.101431,0.246594,3.007990,-1.753601
-2.267648,-3.992874,4.997519,0.000000,4.196310,0.252219,3.032717,-1.697704
-2.277808,-4.087050,4.965237,0.000000,4.291032,0.257734,3.058076,-1.646059
-2.285518,-4.181278,4.933795,0.000000,4.385575,0.263150,3.084053,-1.595729
-2.290702,-4.275532,4.903169,0.000000,4.479972,0.268464,3.110640,-1.550522
-2.293276,-4.369672,4.873297,0.000000,4.574147,0.273680,3.137826,-1.508685
-2.293156,-4.463676,4.844108,0.000000,4.668151,0.278811,-3.117599,-1.467344
-2.290289,-4.557558,4.815573,0.000000,4.762076,0.283858,-3.089282,-1.430834
-2.284649,-4.651198,4.787618,0.000000,4.855887,0.288835,-3.060440,-1.393225
-2.276203,-4.744640,4.760237,0.000000,4.949709,0.293743,-3.031140,-1.359670
-2.264953,-4.837708,4.733384,0.000000,5.043455,0.298585,-3.001395,-1.326955
-2.250892,-4.930355,4.707041,0.000000,5.137163,0.303366,-2.971264,-1.296097
-2.234014,-5.022458,4.681187,0.000000,5.230799,0.308087,-2.940786,-1.268035
-2.214306,-5.113884,4.655784,0.000000,5.324325,0.312754,-2.909989,-1.241534
-2.191746,-5.204575,4.630795,0.000000,5.417780,0.317371,-2.878945,-1.215854
-2.166325,-5.294466,4.606203,0.000000,5.511196,0.321939,-2.847672,-1.193112
-2.138054,-5.383432,4.581959,0.000000,5.604546,0.326463,-2.816222,-1.171784
-2.106932,-5.471453,4.558021,0.000000,5.697907,0.330941,-2.784605,-1.149129
-2.072974,-5.558499,4.534404,0.000000,5.791342,0.335378,-2.752816,-1.131910
-2.036282,-5.644331,4.511042,0.000000,5.884689,0.339785,-2.720873,-1.112440
-1.996829,-5.729018,4.487943,0.000000,5.978115,0.344169,-2.688750,-1.094938
