# x_m, y_m, v_mps
-0.096,0.162,5.839
0.020,0.174,5.837
0.137,0.182,5.836
0.255,0.185,5.834
0.372,0.183,5.832
0.489,0.178,5.831
0.605,0.168,5.829
0.719,0.155,5.828
0.833,0.138,5.826
0.945,0.117,5.825
1.056,0.094,5.824
1.165,0.067,5.822
1.274,0.038,5.821
1.381,0.006,5.819
1.486,-0.028,5.822
1.590,-0.064,5.829
1.693,-0.103,5.841
1.794,-0.143,5.858
1.894,-0.185,5.879
1.993,-0.228,5.906
2.091,-0.273,5.937
2.187,-0.319,5.973
2.282,-0.366,6.014
2.376,-0.414,6.060
2.469,-0.463,6.112
2.561,-0.512,6.170
2.652,-0.562,6.233
2.742,-0.613,6.303
2.831,-0.664,6.379
2.920,-0.715,6.463
3.007,-0.766,6.450
3.094,-0.817,6.343
3.181,-0.868,6.221
3.267,-0.919,6.084
3.352,-0.969,5.948
3.437,-1.019,5.820
3.522,-1.069,5.698
3.607,-1.118,5.583
3.691,-1.166,5.474
3.775,-1.213,5.370
3.859,-1.259,5.272
3.942,-1.305,5.178
4.026,-1.349,5.090
4.110,-1.392,5.005
4.194,-1.434,4.926
4.277,-1.474,4.850
4.361,-1.513,4.780
4.445,-1.550,4.714
4.529,-1.585,4.652
4.613,-1.619,4.594
4.698,-1.651,4.540
4.782,-1.681,4.490
4.866,-1.708,4.444
4.951,-1.734,4.402
5.035,-1.757,4.363
5.119,-1.778,4.328
5.203,-1.796,4.296
5.287,-1.812,4.267
5.371,-1.825,4.242
5.454,-1.835,4.219
5.537,-1.842,4.199
5.619,-1.846,4.182
5.700,-1.847,4.167
5.781,-1.845,4.155
5.861,-1.839,4.145
5.939,-1.831,4.138
6.016,-1.818,4.133
6.092,-1.803,4.130
6.166,-1.784,4.129
6.239,-1.761,4.129
6.310,-1.735,4.128
6.381,-1.706,4.127
6.450,-1.672,4.127
6.517,-1.636,4.126
6.583,-1.596,4.125
6.648,-1.552,4.124
6.711,-1.505,4.124
6.773,-1.456,4.123
6.832,-1.403,4.122
6.890,-1.347,4.122
6.946,-1.289,4.121
6.999,-1.228,4.120
7.051,-1.165,4.119
7.100,-1.100,4.119
7.147,-1.032,4.118
7.192,-0.963,4.117
7.234,-0.892,4.116
7.275,-0.818,4.116
7.312,-0.744,4.115
7.348,-0.667,4.115
7.381,-0.590,4.117
7.412,-0.511,4.121
7.440,-0.430,4.127
7.466,-0.349,4.135
7.489,-0.267,4.143
7.511,-0.184,4.153
7.529,-0.100,4.164
7.546,-0.015,4.176
7.560,0.070,4.188
7.571,0.155,4.200
7.580,0.241,4.213
7.587,0.327,4.226
7.591,0.413,4.238
7.592,0.498,4.250
7.591,0.584,4.261
7.588,0.670,4.271
7.582,0.755,4.280
7.573,0.841,4.288
7.562,0.925,4.295
7.548,1.010,4.291
7.532,1.094,4.285
7.513,1.177,4.280
7.492,1.259,4.276
7.469,1.341,4.274
7.442,1.422,4.273
7.414,1.501,4.272
7.382,1.580,4.271
7.349,1.657,4.271
7.313,1.734,4.270
7.274,1.808,4.269
7.234,1.882,4.268
7.190,1.953,4.267
7.145,2.023,4.267
7.097,2.091,4.266
7.047,2.157,4.265
6.995,2.221,4.264
6.941,2.283,4.264
6.885,2.343,4.263
6.827,2.400,4.262
6.767,2.455,4.261
6.705,2.507,4.260
6.641,2.556,4.262
6.576,2.603,4.266
6.509,2.646,4.273
6.441,2.686,4.282
6.372,2.723,4.295
6.301,2.756,4.310
6.230,2.786,4.327
6.157,2.812,4.347
6.084,2.835,4.369
6.010,2.854,4.394
5.934,2.870,4.422
5.855,2.882,4.453
5.775,2.892,4.487
5.692,2.899,4.524
5.608,2.903,4.564
5.521,2.904,4.607
5.434,2.903,4.652
5.345,2.900,4.702
5.255,2.895,4.754
5.162,2.888,4.810
5.068,2.880,4.869
4.972,2.871,4.933
4.874,2.861,5.000
4.775,2.851,5.070
4.675,2.841,5.145
4.575,2.831,5.222
4.474,2.822,5.302
4.373,2.812,5.386
4.272,2.803,5.473
4.171,2.794,5.564
4.071,2.786,5.658
3.970,2.778,5.755
3.869,2.770,5.857
3.768,2.762,5.962
3.667,2.755,6.071
3.567,2.748,6.183
3.466,2.741,6.298
3.365,2.734,6.417
3.265,2.728,6.538
3.164,2.722,6.662
3.063,2.716,6.789
2.963,2.710,6.918
2.862,2.705,7.043
2.761,2.699,7.163
2.661,2.694,7.276
2.560,2.690,7.384
2.459,2.685,7.487
2.359,2.681,7.500
2.258,2.676,7.500
2.157,2.672,7.500
2.057,2.669,7.500
1.956,2.665,7.500
1.856,2.662,7.500
1.755,2.658,7.500
1.654,2.655,7.500
1.554,2.652,7.500
1.453,2.650,7.500
1.353,2.647,7.500
1.252,2.645,7.500
1.151,2.643,7.500
1.051,2.641,7.500
0.950,2.639,7.500
0.850,2.637,7.500
0.749,2.636,7.500
0.649,2.634,7.500
0.548,2.633,7.500
0.448,2.632,7.500
0.348,2.631,7.500
0.247,2.630,7.500
0.147,2.629,7.500
0.046,2.629,7.500
-0.054,2.628,7.500
-0.155,2.628,7.500
-0.255,2.628,7.500
-0.356,2.628,7.500
-0.457,2.629,7.500
-0.558,2.629,7.500
-0.659,2.630,7.500
-0.760,2.631,7.500
-0.861,2.632,7.500
-0.962,2.634,7.500
-1.063,2.636,7.500
-1.164,2.638,7.500
-1.264,2.640,7.500
-1.365,2.643,7.500
-1.465,2.645,7.500
-1.566,2.648,7.500
-1.666,2.651,7.500
-1.766,2.654,7.500
-1.866,2.657,7.500
-1.966,2.660,7.500
-2.066,2.663,7.500
-2.166,2.666,7.500
-2.266,2.669,7.500
-2.366,2.673,7.427
-2.466,2.676,7.307
-2.565,2.679,7.189
-2.665,2.683,7.072
-2.765,2.686,6.957
-2.865,2.689,6.843
-2.965,2.693,6.731
-3.064,2.696,6.621
-3.164,2.699,6.513
-3.263,2.703,6.407
-3.363,2.706,6.303
-3.463,2.709,6.202
-3.562,2.713,6.104
-3.662,2.716,6.008
-3.761,2.719,5.915
-3.861,2.722,5.825
-3.960,2.725,5.739
-4.060,2.728,5.655
-4.159,2.731,5.573
-4.259,2.734,5.495
-4.358,2.737,5.420
-4.457,2.739,5.349
-4.556,2.742,5.280
-4.653,2.744,5.215
-4.750,2.746,5.154
-4.845,2.746,5.095
-4.939,2.746,5.039
-5.033,2.745,4.986
-5.125,2.742,4.937
-5.216,2.738,4.890
-5.307,2.732,4.846
-5.396,2.724,4.805
-5.484,2.715,4.766
-5.570,2.703,4.731
-5.656,2.689,4.697
-5.739,2.673,4.667
-5.822,2.655,4.639
-5.902,2.634,4.614
-5.980,2.610,4.591
-6.056,2.584,4.571
-6.130,2.555,4.554
-6.203,2.523,4.538
-6.274,2.488,4.525
-6.344,2.450,4.514
-6.412,2.408,4.506
-6.480,2.364,4.499
-6.545,2.316,4.496
-6.610,2.266,4.494
-6.672,2.213,4.493
-6.734,2.158,4.493
-6.793,2.100,4.492
-6.850,2.040,4.491
-6.906,1.977,4.490
-6.959,1.913,4.489
-7.011,1.846,4.488
-7.061,1.778,4.488
-7.108,1.708,4.487
-7.154,1.636,4.486
-7.197,1.562,4.485
-7.239,1.488,4.485
-7.278,1.411,4.484
-7.315,1.334,4.483
-7.349,1.255,4.482
-7.381,1.176,4.481
-7.411,1.095,4.480
-7.439,1.014,4.479
-7.465,0.931,4.479
-7.488,0.848,4.479
-7.508,0.764,4.480
-7.527,0.680,4.483
-7.543,0.594,4.481
-7.557,0.509,4.474
-7.568,0.423,4.467
-7.577,0.337,4.458
-7.583,0.250,4.448
-7.588,0.164,4.437
-7.589,0.077,4.424
-7.589,-0.009,4.411
-7.586,-0.096,4.397
-7.580,-0.183,4.382
-7.573,-0.269,4.367
-7.562,-0.355,4.350
-7.550,-0.440,4.334
-7.535,-0.525,4.317
-7.518,-0.610,4.300
-7.498,-0.694,4.284
-7.476,-0.777,4.267
-7.451,-0.860,4.252
-7.425,-0.941,4.237
-7.395,-1.022,4.223
-7.364,-1.101,4.210
-7.330,-1.180,4.199
-7.294,-1.257,4.189
-7.256,-1.332,4.181
-7.215,-1.407,4.175
-7.172,-1.480,4.171
-7.127,-1.551,4.169
-7.080,-1.620,4.168
-7.031,-1.688,4.167
-6.979,-1.753,4.166
-6.926,-1.817,4.165
-6.870,-1.878,4.165
-6.813,-1.937,4.164
-6.753,-1.994,4.163
-6.692,-2.048,4.162
-6.629,-2.100,4.162
-6.565,-2.148,4.161
-6.499,-2.194,4.160
-6.431,-2.237,4.159
-6.362,-2.276,4.159
-6.293,-2.313,4.158
-6.222,-2.345,4.157
-6.150,-2.375,4.157
-6.077,-2.400,4.156
-6.004,-2.422,4.155
-5.930,-2.440,4.154
-5.855,-2.455,4.154
-5.779,-2.466,4.154
-5.702,-2.474,4.157
-5.623,-2.478,4.162
-5.544,-2.478,4.170
-5.464,-2.475,4.180
-5.383,-2.469,4.192
-5.302,-2.460,4.206
-5.221,-2.447,4.223
-5.139,-2.431,4.243
-5.057,-2.413,4.266
-4.975,-2.392,4.291
-4.892,-2.368,4.320
-4.810,-2.341,4.351
-4.728,-2.312,4.385
-4.647,-2.280,4.423
-4.565,-2.246,4.465
-4.484,-2.211,4.509
-4.403,-2.173,4.558
