# 8882bb22-78e2-4e6a-9df9-99090aecfb1d
# f1bc9b91e0d39fd37934d05ddc96f0764706ffa0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0163956; -0.5831922; -1.4677760; -0.3282428; 4.6620973; -0.0484655
0.0997701; 0.0830218; -0.5745746; -1.5010667; -0.3390551; 4.6610600; -0.0484440
0.1995402; 0.1826429; -0.5693268; -1.5354585; -0.3505069; 4.6600229; -0.0484224
0.2993103; 0.2823853; -0.5675592; -1.5706419; -0.3474776; 4.6589861; -0.0484224
0.3990804; 0.3821387; -0.5692440; -1.6044349; -0.3299489; 4.6579490; -0.0329716
0.4988504; 0.4817675; -0.5742103; -1.6364850; -0.3127005; 4.6572427; 0.4397197
0.5986205; 0.5812150; -0.5822873; -1.6669409; -0.2978006; 4.6666531; 0.8069724
0.6983906; 0.6803681; -0.5933141; -1.6959189; -0.2831591; 4.6838739; 1.1403964
0.7981607; 0.7791687; -0.6071374; -1.7234532; -0.2688695; 4.7081026; 1.4444242
0.8979308; 0.8775650; -0.6236059; -1.7495682; -0.2546496; 4.7386127; 1.7329183
0.9977009; 0.9755133; -0.6425693; -1.7742675; -0.2405295; 4.7749594; 2.0096612
1.0974710; 1.0729666; -0.6638765; -1.7976171; -0.2276068; 4.8167671; 2.2464073
1.1972411; 1.1699278; -0.6873952; -1.8196851; -0.2147675; 4.8630745; 2.4801665
1.2970111; 1.2663545; -0.7129839; -1.8404820; -0.2022532; 4.9136938; 2.7061029
1.3967812; 1.3622437; -0.7405126; -1.8600459; -0.1899601; 4.9683361; 2.9297689
1.4965513; 1.4576161; -0.7698605; -1.8783910; -0.1777498; 5.0268250; 3.1465602
1.5963214; 1.5524182; -0.8008841; -1.8955259; -0.1658134; 5.0888933; 3.3503046
1.6960915; 1.6467211; -0.8334809; -1.9114773; -0.1539348; 5.1541590; 3.5646262
1.7958616; 1.7405032; -0.8675190; -1.9262479; -0.1422011; 5.2227044; 3.7882872
1.8956317; 1.8337896; -0.9028829; -1.9398539; -0.1305646; 5.2945781; 4.0249406
1.9954018; 1.9266281; -0.9394673; -1.9523039; -0.1189705; 5.3698877; 4.2788346
2.0951718; 2.0189992; -0.9771400; -1.9635903; -0.1073099; 5.4488066; 4.5568895
2.1949419; 2.1109782; -1.0158065; -1.9737173; -0.0956938; 5.5316161; 4.8576142
2.2947120; 2.2025823; -1.0553488; -1.9826926; -0.0842992; 5.6185466; 5.1764430
2.3944821; 2.2938467; -1.0956586; -1.9905426; -0.0730662; 5.7097262; 5.5191105
2.4942522; 2.3848168; -1.1366336; -1.9972731; -0.0618539; 5.8053646; 5.8961423
2.5940223; 2.4755352; -1.1781705; -2.0028859; -0.0506564; 5.9058255; 6.3128974
2.6937924; 2.5660359; -1.2201623; -2.0073815; -0.0394636; 6.0115266; 6.7760357
2.7935625; 2.6563784; -1.2625136; -2.0107553; -0.0280812; 6.1229522; 7.3041586
2.8933326; 2.7466005; -1.3051173; -2.0129818; -0.0165477; 6.2408346; 6.6734414
2.9931026; 2.8367354; -1.3478618; -2.0140569; -0.0049969; 6.3466240; -8.6857775
3.0928727; 2.9268814; -1.3906666; -2.0139730; 0.0066811; 6.2085807; -8.0506377
3.1926428; 3.0170265; -1.4333972; -2.0127233; 0.0183790; 6.0778326; -7.4871420
3.2924129; 3.1072650; -1.4759696; -2.0103028; 0.0301722; 5.9536596; -6.9857088
3.3921830; 3.1976317; -1.5182703; -2.0067002; 0.0420452; 5.8354206; -6.5397784
3.4919531; 3.2881461; -1.5601781; -2.0019131; 0.0539574; 5.7225156; -6.1361767
3.5917232; 3.3789326; -1.6016197; -1.9959256; 0.0660402; 5.6145143; -5.7758889
3.6914933; 3.4699519; -1.6424449; -1.9887339; 0.0781509; 5.5109209; -5.4499201
3.7912633; 3.5613037; -1.6825667; -1.9803282; 0.0903854; 5.4113558; -5.1554453
3.8910334; 3.6530148; -1.7218634; -1.9706949; 0.1027205; 5.3154542; -4.8916594
3.9908035; 3.7450962; -1.7602068; -1.9598327; 0.1150921; 5.2228316; -4.6512971
4.0905736; 3.8376535; -1.7975069; -1.9477226; 0.1276215; 5.1332105; -4.4369398
4.1903437; 3.9306468; -1.8336132; -1.9343654; 0.1401754; 5.0462364; -4.2269736
4.2901138; 4.0241465; -1.8684195; -1.9197478; 0.1529291; 4.9619604; -4.0179065
4.3898839; 4.1181679; -1.9017956; -1.9038469; 0.1658199; 4.8805038; -3.8289897
4.4896540; 4.2127170; -1.9336079; -1.8866626; 0.1786777; 4.8015914; -3.6605507
4.5894240; 4.3078308; -1.9637340; -1.8681991; 0.1914459; 4.7249183; -3.5075253
4.6891941; 4.4034984; -1.9920367; -1.8484599; 0.2042594; 4.6502646; -3.3596887
4.7889642; 4.4997152; -2.0183818; -1.8274314; 0.2174570; 4.5776160; -3.2212433
4.8887343; 4.5964859; -2.0426348; -1.8050674; 0.2308703; 4.5068615; -3.0863649
4.9885044; 4.6937989; -2.0646546; -1.7813611; 0.2447038; 4.4380116; -2.9044657
5.0882745; 4.7915892; -2.0842834; -1.7561445; 0.2609392; 4.3722293; -2.7335661
5.1880446; 4.8899008; -2.1013676; -1.7292937; 0.2772142; 4.3094005; -2.5696850
5.2878147; 4.9886109; -2.1157213; -1.7008261; 0.2936332; 4.2494914; -2.4071338
5.3875847; 5.0877135; -2.1271792; -1.6706980; 0.3103775; 4.1925955; -2.2488951
5.4873548; 5.1871530; -2.1355651; -1.6388810; 0.3272461; 4.1387332; -2.0922496
5.5871249; 5.2867547; -2.1406976; -1.6053959; 0.3442860; 4.0879854; -1.9312807
5.6868950; 5.3865303; -2.1424071; -1.5701717; 0.3616832; 4.0405763; -1.7733683
5.7866651; 5.4862635; -2.1405166; -1.5332275; 0.3789837; 3.9965483; -1.6036176
5.8864352; 5.5858654; -2.1348563; -1.4945334; 0.3967942; 3.9563130; -1.4225048
5.9862053; 5.6851922; -2.1252550; -1.4540261; 0.4149290; 3.9202762; -1.2291118
6.0859754; 5.7839952; -2.1115565; -1.4117308; 0.4332412; 3.8888698; -1.0022895
6.1857455; 5.8821416; -2.0935956; -1.3675435; 0.4525534; 3.8630702; -0.7550649
6.2855155; 5.9793774; -2.0712225; -1.3214213; 0.4718318; 3.8435199; -0.4544185
6.3852856; 6.0754424; -2.0442995; -1.2733329; 0.4923601; 3.8317060; -0.1192737
6.4850557; 6.1700661; -2.0126916; -1.2231427; 0.5125286; 3.8285991; -0.0326851
6.5848258; 6.2629903; -1.9762776; -1.1712424; 0.5277969; 3.8277472; -0.0326706
6.6845959; 6.3537974; -1.9350532; -1.1177453; 0.5452975; 3.8268956; -0.0326560
6.7843660; 6.4422979; -1.8889336; -1.0631178; 0.5433309; 3.8260441; -0.0326415
6.8841361; 6.5281424; -1.8381011; -1.0093793; 0.5341308; 3.8251928; -0.0326270
6.9839062; 6.6111143; -1.7827964; -0.9565099; 0.5252060; 3.8243417; -0.0326270
7.0836762; 6.6911638; -1.7231622; -0.9047665; 0.5115691; 3.8234905; 0.0973601
7.1834463; 6.7679767; -1.6595948; -0.8543876; 0.4991096; 3.8260301; 0.3004002
7.2832164; 6.8416012; -1.5922193; -0.8052141; 0.4858231; 3.8338556; 0.4920687
7.3829865; 6.9118473; -1.5213810; -0.7574057; 0.4727045; 3.8466396; 0.6586129
7.4827566; 6.9786462; -1.4473424; -0.7108728; 0.4604982; 3.8636842; 0.7917780
7.5825267; 7.0420376; -1.3702367; -0.6655176; 0.4482799; 3.8840761; 0.9132560
7.6822968; 7.1018470; -1.2904679; -0.6213982; 0.4368319; 3.9074645; 1.0114052
7.7820669; 7.1581908; -1.2080717; -0.5783570; 0.4254394; 3.9332041; 1.1025982
7.8818369; 7.2109545; -1.1234088; -0.5364601; 0.4146077; 3.9610740; 1.1789159
7.9816070; 7.2601580; -1.0366610; -0.4956218; 0.4039411; 3.9906576; 1.2497956
8.0813771; 7.3058671; -0.9479234; -0.4558907; 0.3921268; 4.0217823; 1.3417934
8.1811472; 7.3480132; -0.8575890; -0.4173719; 0.3807403; 4.0549321; 1.4233329
8.2809173; 7.3867559; -0.7655798; -0.3798784; 0.3704820; 4.0898027; 1.4816650
8.3806874; 7.4220398; -0.6722831; -0.3434135; 0.3607043; 4.1257894; 1.5317660
8.4804575; 7.4539455; -0.5777738; -0.3079079; 0.3509924; 4.1626658; 1.5830263
8.5802276; 7.4825380; -0.4821541; -0.2733767; 0.3410027; 4.2004362; 1.6430135
8.6799977; 7.5078292; -0.3857415; -0.2398704; 0.3313415; 4.2392820; 1.6984235
8.7797677; 7.5299491; -0.2884000; -0.2071308; 0.3245775; 4.2790671; 1.6921750
8.8795378; 7.5488890; -0.1904773; -0.1751021; 0.3176233; 4.3183414; 1.6966092
