# x_m, y_m, v_mps
0.016,-0.781,5.067
0.098,-0.773,5.066
0.180,-0.767,5.065
0.262,-0.765,5.064
0.344,-0.766,5.063
0.427,-0.770,5.062
0.510,-0.777,5.062
0.593,-0.787,5.061
0.677,-0.799,5.060
0.761,-0.815,5.059
0.846,-0.833,5.059
0.930,-0.853,5.063
1.014,-0.876,5.071
1.099,-0.901,5.082
1.183,-0.928,5.098
1.267,-0.958,5.118
1.352,-0.989,5.142
1.436,-1.022,5.172
1.520,-1.058,5.206
1.604,-1.094,5.245
1.688,-1.133,5.290
1.771,-1.173,5.340
1.855,-1.214,5.395
1.939,-1.257,5.457
2.023,-1.301,5.524
2.106,-1.346,5.597
2.190,-1.393,5.677
2.274,-1.440,5.764
2.358,-1.488,5.857
2.443,-1.536,5.958
2.527,-1.586,6.066
2.612,-1.636,6.182
2.698,-1.686,6.308
2.784,-1.737,6.442
2.870,-1.788,6.341
2.957,-1.839,6.225
3.045,-1.890,6.117
3.133,-1.941,6.015
3.222,-1.992,5.919
3.312,-2.043,5.829
3.403,-2.093,5.744
3.494,-2.142,5.664
3.587,-2.191,5.588
3.681,-2.240,5.517
3.776,-2.287,5.451
3.872,-2.333,5.388
3.969,-2.378,5.330
4.068,-2.422,5.275
4.168,-2.464,5.223
4.269,-2.504,5.175
4.371,-2.543,5.131
4.475,-2.580,5.089
4.580,-2.614,5.050
4.687,-2.647,5.014
4.795,-2.676,4.981
4.904,-2.703,4.951
5.015,-2.727,4.924
5.128,-2.748,4.900
5.241,-2.766,4.879
5.356,-2.780,4.861
5.472,-2.790,4.847
5.589,-2.796,4.835
5.707,-2.797,4.826
5.826,-2.794,4.820
5.946,-2.786,4.817
6.066,-2.772,4.816
6.186,-2.753,4.815
6.305,-2.729,4.813
6.425,-2.698,4.812
6.542,-2.662,4.811
6.658,-2.619,4.809
6.772,-2.571,4.808
6.883,-2.518,4.807
6.991,-2.459,4.805
7.095,-2.396,4.804
7.196,-2.328,4.803
7.293,-2.256,4.802
7.387,-2.180,4.800
7.477,-2.101,4.799
7.563,-2.018,4.798
7.645,-1.932,4.796
7.724,-1.843,4.795
7.798,-1.752,4.794
7.869,-1.658,4.793
7.936,-1.562,4.791
7.999,-1.463,4.790
8.059,-1.363,4.789
8.115,-1.261,4.788
8.167,-1.158,4.788
8.216,-1.054,4.789
8.261,-0.948,4.792
8.303,-0.841,4.797
8.341,-0.733,4.803
8.375,-0.624,4.810
8.407,-0.514,4.818
8.435,-0.404,4.827
8.459,-0.293,4.836
8.481,-0.182,4.847
8.499,-0.070,4.857
8.514,0.042,4.868
8.526,0.155,4.879
8.535,0.268,4.890
8.540,0.382,4.900
8.542,0.496,4.910
8.541,0.609,4.919
8.536,0.723,4.928
8.528,0.836,4.935
8.517,0.950,4.942
8.502,1.063,4.947
8.484,1.176,4.952
8.462,1.288,4.955
8.437,1.399,4.956
8.409,1.510,4.956
8.377,1.620,4.955
8.341,1.729,4.954
8.302,1.837,4.953
8.260,1.944,4.951
8.214,2.050,4.950
8.165,2.154,4.949
8.112,2.257,4.948
8.056,2.358,4.946
7.996,2.457,4.945
7.932,2.555,4.944
7.866,2.650,4.942
7.795,2.743,4.941
7.722,2.834,4.940
7.644,2.922,4.939
7.564,3.008,4.937
7.480,3.090,4.936
7.392,3.170,4.935
7.301,3.246,4.933
7.207,3.319,4.932
7.110,3.388,4.931
7.009,3.454,4.929
6.905,3.515,4.928
6.798,3.572,4.928
6.688,3.624,4.932
6.576,3.671,4.940
6.461,3.713,4.951
6.343,3.749,4.965
6.224,3.780,4.984
6.105,3.804,5.005
5.986,3.823,5.031
5.869,3.837,5.058
5.752,3.847,5.089
5.638,3.852,5.123
5.524,3.854,5.159
5.412,3.853,5.198
5.301,3.849,5.241
5.193,3.843,5.285
5.086,3.835,5.333
4.982,3.826,5.383
4.879,3.817,5.436
4.778,3.807,5.492
4.679,3.797,5.551
4.580,3.787,5.613
4.482,3.777,5.680
4.384,3.767,5.750
4.286,3.758,5.824
4.188,3.749,5.903
4.090,3.741,5.986
3.992,3.733,6.073
3.894,3.725,6.165
3.796,3.717,6.262
3.698,3.710,6.363
3.599,3.702,6.469
3.501,3.695,6.580
3.403,3.689,6.694
3.304,3.682,6.814
3.206,3.676,6.937
3.107,3.670,7.061
3.009,3.664,7.177
2.910,3.659,7.287
2.812,3.653,7.390
