# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
0.035023,-1.080541,5.390319,0.249933,0.000000,-0.249381,0.095486,-0.064340
0.117858,-1.073360,5.389327,0.248306,0.099958,-0.250110,0.065325,-0.064459
0.200308,-1.069015,5.388339,0.247184,0.199916,-0.250092,0.035014,-0.064770
0.282462,-1.067559,5.387351,0.246644,0.299874,-0.249321,0.004744,-0.064746
0.365323,-1.068961,5.386355,0.246692,0.399832,-0.247801,-0.025291,-0.064722
0.448947,-1.073132,5.385349,0.247343,0.499790,-0.245535,-0.054906,-0.064698
0.617970,-1.089405,5.383309,0.250323,0.599748,-0.238757,-0.112092,-0.064649
0.703136,-1.101323,5.382276,0.252682,0.699706,-0.234247,-0.139330,-0.064624
0.788654,-1.115637,5.381235,0.255640,0.799664,-0.228987,-0.165452,-0.064599
0.874478,-1.132255,5.380185,0.259164,0.899622,-0.222986,-0.190338,0.135028
0.960526,-1.151070,5.382395,0.263225,0.999581,-0.216244,-0.213867,0.362089
1.046764,-1.171989,5.388362,0.267799,1.099539,-0.208769,-0.235953,0.600890
1.133140,-1.194911,5.398318,0.272855,1.199497,-0.200570,-0.256729,0.851978
1.219627,-1.219742,5.412501,0.278364,1.299455,-0.191623,-0.276247,1.117345
1.306233,-1.246393,5.431175,0.284300,1.399413,-0.181982,-0.294528,1.396581
1.392892,-1.274753,5.454571,0.290630,1.499371,-0.171710,-0.311585,1.689562
1.479657,-1.304745,5.482933,0.297333,1.599329,-0.160870,-0.327434,1.996308
1.566496,-1.336264,5.516467,0.304381,1.699287,-0.149540,-0.342092,2.317025
1.653421,-1.369217,5.555375,0.311748,1.799245,-0.137781,-0.355575,2.652684
1.740468,-1.403519,5.599872,0.319414,1.899203,-0.125673,-0.367892,3.003988
1.827614,-1.439062,5.650134,0.327351,1.999161,-0.113286,-0.379051,3.372410
1.914925,-1.475766,5.706385,0.335540,2.099119,-0.100690,-0.389056,3.759621
2.002408,-1.513530,5.768822,0.343957,2.199077,-0.087979,-0.397910,4.166742
2.090082,-1.552255,5.837640,0.352581,2.299035,-0.075196,-0.405617,4.597277
2.177984,-1.591848,5.913075,0.361395,2.398993,-0.062390,-0.412174,5.054943
2.266151,-1.632217,5.995398,0.370383,2.498951,-0.049599,-0.417584,5.544522
2.354612,-1.673263,6.084917,0.379530,2.598909,-0.036855,-0.421844,6.071801
2.443427,-1.714898,6.182020,0.388821,2.698867,-0.024195,-0.424952,6.643266
2.532643,-1.757027,6.287150,0.398238,2.798826,-0.011638,-0.426905,6.016758
2.622292,-1.799541,6.381395,0.407762,2.898784,0.000791,-0.427698,-7.412233
2.712476,-1.842364,6.264360,0.417382,2.998742,0.013080,-0.427327,-6.815125
2.803185,-1.885362,6.154181,0.427076,3.098700,0.025275,-0.425787,-6.277805
2.894519,-1.928450,6.050288,0.436838,3.198658,0.037391,-0.423071,-5.793364
2.986517,-1.971515,5.952229,0.446656,3.298616,0.049449,-0.419172,-5.361729
3.079203,-2.014428,5.859500,0.456515,3.398574,0.061454,-0.414080,-4.959388
3.172713,-2.057112,5.771844,0.466417,3.498532,0.073421,-0.407788,-4.597870
3.267014,-2.099409,5.688918,0.476340,3.598490,0.085363,-0.400285,-4.261234
3.362214,-2.141220,5.610494,0.486286,3.698448,0.097282,-0.391564,-3.948438
3.458352,-2.182414,5.536397,0.496245,3.798406,0.109176,-0.381620,-3.661111
3.555448,-2.222844,5.466403,0.506205,3.898364,0.121041,-0.370439,-3.388740
3.653621,-2.262407,5.400389,0.516171,3.998322,0.132808,-0.358014,-3.139294
3.752841,-2.300930,5.338158,0.526124,4.098280,0.144450,-0.344327,-2.905557
3.853190,-2.338285,5.279555,0.536067,4.198238,0.155933,-0.329343,-2.687894
3.954704,-2.374320,5.224425,0.545990,4.298196,0.167208,-0.313047,-2.485950
4.057397,-2.408872,5.172612,0.555885,4.398154,0.178258,-0.295404,-2.297419
4.161312,-2.441784,5.123970,0.565747,4.498112,0.189036,-0.276390,-2.122438
4.266444,-2.472886,5.078354,0.575569,4.598071,0.199525,-0.255985,-1.959954
4.372802,-2.502007,5.035615,0.585344,4.698029,0.209712,-0.234150,-1.806238
4.480419,-2.528977,4.995661,0.595054,4.797987,0.219565,-0.210872,-1.645056
4.589293,-2.553611,4.958767,0.604687,4.897945,0.229139,-0.186111,-1.492597
4.699445,-2.575719,4.924834,0.614236,4.997903,0.238399,-0.159842,-1.343511
4.810984,-2.595100,4.893852,0.623674,5.097861,0.247339,-0.132042,-1.201611
4.923779,-2.611500,4.865785,0.632972,5.197819,0.255960,-0.102668,-1.064657
5.037846,-2.624686,4.840595,0.642126,5.297777,0.264214,-0.071690,-0.930537
5.153137,-2.634407,4.818302,0.651106,5.397735,0.272116,-0.039072,-0.802600
5.269458,-2.640398,4.798861,0.659876,5.497693,0.279621,-0.004770,-0.676839
5.505043,-2.640164,4.768526,0.679479,5.597651,0.293355,0.068891,-0.438373
5.623960,-2.633403,4.757563,0.687855,5.697609,0.299499,0.108226,-0.323838
5.743445,-2.621850,4.749385,0.695913,5.797567,0.305175,0.148952,-0.212335
5.863193,-2.605244,4.743977,0.703589,5.897525,0.310374,0.190963,-0.102567
5.983070,-2.583303,4.741342,0.710836,5.997483,0.315091,0.234124,-0.050519
6.102777,-2.555756,4.740033,0.717577,6.097441,0.319372,0.278242,-0.050518
6.221990,-2.522341,4.738713,0.723733,6.197399,0.323190,0.323246,-0.050425
6.340412,-2.482779,4.737384,0.729232,6.297357,0.326580,0.368943,-0.050324
6.457494,-2.436895,4.736048,0.733961,6.397316,0.329555,0.415233,-0.050260
6.685373,-2.325871,4.733369,0.743330,6.497274,0.334281,0.509103,-0.049761
6.794336,-2.261352,4.732037,0.746413,6.597232,0.336039,0.556464,-0.049744
6.899302,-2.191389,4.730711,0.748954,6.697190,0.337413,0.603905,-0.049580
7.000098,-2.116303,4.729394,0.751087,6.797148,0.338420,0.651342,-0.049667
7.096317,-2.036679,4.728082,0.752890,6.897106,0.339033,0.698660,-0.049553
7.188080,-1.952709,4.726778,0.754475,6.997064,0.339279,0.745674,-0.049540
7.275158,-1.864900,4.725482,0.755917,7.097022,0.339148,0.792332,-0.049589
7.435336,-1.678970,4.722908,0.760073,7.196980,0.337747,0.883824,-0.049561
7.508380,-1.581554,4.721631,0.761875,7.296938,0.336505,0.928400,-0.049448
7.576872,-1.481396,4.720360,0.763528,7.396896,0.334933,0.971855,-0.049451
