# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
0.005518,-0.832208,4.869021,0.000000,0.000000,-0.311295,0.084031,-0.052863
0.105267,-0.825372,4.867935,0.000000,0.099958,-0.314029,0.052774,-0.052840
0.205145,-0.821672,4.866850,0.000000,0.199916,-0.317278,0.021228,-0.052816
0.305091,-0.821135,4.865765,0.000000,0.299874,-0.305796,-0.010279,-0.052816
0.405017,-0.823646,4.864680,0.000000,0.399832,-0.279849,-0.039549,0.450903
0.504814,-0.828951,4.873936,0.000000,0.499790,-0.254325,-0.066225,1.103980
0.604467,-0.836811,4.896525,0.000000,0.599748,-0.240784,-0.090972,1.397163
0.703892,-0.847066,4.924964,0.000000,0.699706,-0.227315,-0.114365,1.678253
0.803048,-0.859576,4.958909,0.000000,0.799664,-0.214066,-0.136419,1.946701
0.901919,-0.874205,4.997996,0.000000,0.899622,-0.200819,-0.157154,2.212012
1.000500,-0.890820,5.042041,0.000000,0.999581,-0.187629,-0.176565,2.458980
1.098699,-0.909274,5.090557,0.000000,1.099539,-0.176497,-0.194756,2.646608
1.196612,-0.929468,5.142263,0.000000,1.199497,-0.165410,-0.211847,2.838562
1.294152,-0.951273,5.197147,0.000000,1.299455,-0.154665,-0.227836,3.027035
1.391341,-0.974582,5.255045,0.000000,1.399413,-0.144170,-0.242769,3.216252
1.488236,-0.999303,5.315870,0.000000,1.499371,-0.133754,-0.256664,3.413202
1.584714,-1.025297,5.379668,0.000000,1.599329,-0.123631,-0.269522,3.611796
1.680921,-1.052497,5.446364,0.000000,1.699287,-0.113590,-0.281380,3.820820
1.776796,-1.080783,5.516043,0.000000,1.799245,-0.103642,-0.292237,4.041313
1.872366,-1.110059,5.588797,0.000000,1.899203,-0.093772,-0.302102,4.275540
1.967685,-1.140238,5.664751,0.000000,1.999161,-0.083958,-0.310987,4.526296
2.062720,-1.171207,5.744065,0.000000,2.099119,-0.074072,-0.318885,4.801101
2.157531,-1.202881,5.827014,0.000000,2.199077,-0.064233,-0.325797,5.097783
2.252149,-1.235168,5.913817,0.000000,2.299035,-0.054353,-0.331726,5.423341
2.346583,-1.267966,6.004785,0.000000,2.398993,-0.044444,-0.336664,5.781154
2.440844,-1.301174,6.100261,0.000000,2.498951,-0.034566,-0.340611,6.172773
2.535053,-1.334730,6.200582,0.000000,2.598909,-0.024868,-0.343583,6.595347
2.629111,-1.368496,6.306008,0.000000,2.698867,-0.015149,-0.345583,-3.619024
2.723163,-1.402421,6.248379,0.000000,2.798826,-0.005167,-0.346604,-7.806493
2.817190,-1.436392,6.122221,0.000000,2.898784,0.005021,-0.346611,-7.344964
2.911161,-1.470289,6.001101,0.000000,2.998742,0.015312,-0.345598,-6.896750
3.005320,-1.504090,5.885104,0.000000,3.098700,0.026053,-0.343530,-6.494956
3.099443,-1.537602,5.773734,0.000000,3.198658,0.036874,-0.340387,-6.129366
3.193763,-1.570793,5.666625,0.000000,3.298616,0.047886,-0.336152,-5.797414
3.288228,-1.603527,5.563420,0.000000,3.398574,0.059050,-0.330807,-5.496259
3.382796,-1.635673,5.463776,0.000000,3.498532,0.070346,-0.324348,-5.215912
3.477743,-1.667204,5.367505,0.000000,3.598490,0.081967,-0.316729,-4.962448
3.572801,-1.697910,5.274281,0.000000,3.698448,0.093676,-0.307957,-4.727706
3.668239,-1.727754,5.183907,0.000000,3.798406,0.105650,-0.297995,-4.513123
3.763955,-1.756579,5.096140,0.000000,3.898364,0.117791,-0.286828,-4.317685
3.859941,-1.784258,5.010735,0.000000,3.998322,0.130082,-0.274450,-4.114033
3.956396,-1.810717,4.927982,0.000000,4.098280,0.142695,-0.260809,-3.925127
4.053096,-1.835767,4.847712,0.000000,4.198238,0.155346,-0.245923,-3.744102
4.150272,-1.859335,4.769885,0.000000,4.298196,0.168350,-0.229743,-3.575721
4.247787,-1.881255,4.694354,0.000000,4.398154,0.181500,-0.212260,-3.423190
4.345660,-1.901398,4.620889,0.000000,4.498112,0.194635,-0.193466,-3.286343
4.443959,-1.919643,4.549244,0.000000,4.598071,0.207722,-0.173353,-3.164172
4.542555,-1.935834,4.479179,0.000000,4.698029,0.220773,-0.151945,-3.015049
4.641520,-1.949848,4.411382,0.000000,4.797987,0.235598,-0.129144,-2.877997
4.740784,-1.961527,4.345680,0.000000,4.897945,0.250454,-0.104852,-2.725436
4.840294,-1.970717,4.282531,0.000000,4.997903,0.266596,-0.079054,-2.548812
4.940017,-1.977251,4.222621,0.000000,5.097861,0.284421,-0.051520,-2.382789
5.039944,-1.980951,4.165834,0.000000,5.197819,0.302164,-0.022189,-2.227536
5.139831,-1.981630,4.112037,0.000000,5.297777,0.319736,0.008871,-2.075599
5.239782,-1.979116,4.061269,0.000000,5.397735,0.337446,0.041725,-1.927753
5.339537,-1.973236,4.013541,0.000000,5.497693,0.355169,0.076331,-1.777064
5.439029,-1.963818,3.969036,0.000000,5.597651,0.373197,0.112726,-1.625430
5.538172,-1.950685,3.927888,0.000000,5.697609,0.391314,0.150960,-1.471363
5.636589,-1.933710,3.890264,0.000000,5.797567,0.409488,0.190946,-1.306413
5.734364,-1.912693,3.856550,0.000000,5.897525,0.428068,0.232829,-1.136388
5.831047,-1.887540,3.826983,0.000000,5.997483,0.446534,0.276519,-0.945082
5.926551,-1.858086,3.802218,0.000000,6.097441,0.465649,0.322100,-0.739032
6.020645,-1.824195,3.782739,0.000000,6.197399,0.484734,0.369647,-0.525354
6.112857,-1.785842,3.768831,0.000000,6.297357,0.503069,0.418966,-0.266580
6.203164,-1.742836,3.761754,0.000000,6.397316,0.522607,0.470260,-0.031554
6.290979,-1.695243,3.760916,0.000000,6.497274,0.538981,0.523322,-0.031540
6.376158,-1.642957,3.760077,0.000000,6.597232,0.555483,0.578012,-0.031526
6.458347,-1.585993,3.759239,0.000000,6.697190,0.566096,0.634342,-0.031512
6.537091,-1.524563,3.758401,0.000000,6.797148,0.560160,0.690569,-0.031498
6.612394,-1.458714,3.757563,0.000000,6.897106,0.556676,0.746416,-0.031483
6.683845,-1.388865,3.756726,0.000000,6.997064,0.540505,0.801388,-0.031483
6.751445,-1.315232,3.755888,0.000000,7.097022,0.522350,0.854494,0.234521
6.815131,-1.238140,3.762124,0.000000,7.196980,0.506050,0.905922,0.447774
6.874806,-1.157968,3.774003,0.000000,7.296938,0.489513,0.955666,0.641625
6.930494,-1.074960,3.790959,0.000000,7.396896,0.474533,1.003838,0.793586
6.982188,-0.989399,3.811826,0.000000,7.496854,0.460180,1.050564,0.923772
7.029884,-0.901562,3.835974,0.000000,7.596812,0.446529,1.095872,1.034408
7.073611,-0.811690,3.862834,0.000000,7.696770,0.433693,1.139865,1.126494
7.113410,-0.719987,3.891875,0.000000,7.796728,0.420682,1.182568,1.218111
7.149307,-0.626723,3.923036,0.000000,7.896686,0.408410,1.223991,1.295343
7.181384,-0.532026,3.955904,0.000000,7.996644,0.394461,1.264154,1.399867
7.209695,-0.436162,3.991119,0.000000,8.096602,0.380560,1.302883,1.502213
7.234332,-0.339318,4.028566,0.000000,8.196561,0.368276,1.340269,1.576293
7.255398,-0.241579,4.067490,0.000000,8.296519,0.358108,1.376584,1.614840
7.272941,-0.143215,4.106983,0.000000,8.396477,0.348003,1.411861,1.656205
7.287054,-0.044269,4.147096,0.000000,8.496435,0.341324,1.446272,1.638039
7.297784,0.055102,4.186392,0.000000,8.596393,0.335699,1.480106,1.606291
7.305174,0.154779,4.224571,0.000000,8.696351,0.330853,1.513393,1.566072
7.309262,0.254658,4.261465,0.000000,8.796309,0.328246,1.546332,1.488311
7.310071,0.354603,4.296233,0.000000,8.896267,0.326298,1.579038,1.405197
7.307621,0.454531,4.328804,0.000000,8.996225,0.323819,1.611542,1.340715
7.301939,0.554317,4.359653,0.000000,9.096183,0.321064,1.643771,1.288553
7.293058,0.653866,4.389097,0.000000,9.196141,0.318609,1.675728,1.235756
7.281011,0.753083,4.417151,0.000000,9.296099,0.317080,1.707493,1.168650
7.265823,0.851887,4.443518,0.000000,9.396057,0.315897,1.739129,1.100086
7.247528,0.950147,4.468197,0.000000,9.496015,0.313575,1.770600,1.062497
7.226160,1.047792,4.491903,0.000000,9.595973,0.311220,1.801824,1.029700
7.201764,1.144728,4.514759,0.000000,9.695931,0.309483,1.832836,0.986661
7.174383,1.240855,4.536551,0.000000,9.795889,0.308646,1.863726,0.927251
7.144047,1.336100,4.556936,0.000000,9.895847,0.308100,1.894549,0.866102
7.110796,1.430357,4.575895,0.000000,9.995806,0.307649,1.925322,0.807687
7.074660,1.523552,4.593505,0.000000,10.095764,0.307453,1.956062,0.748028
7.035676,1.615595,4.609753,0.000000,10.195722,0.307543,1.986798,0.686294
6.993883,1.706392,4.624611,0.000000,10.295680,0.307939,2.017557,0.622096
6.949315,1.795861,4.638038,0.000000,10.395638,0.308682,2.048372,0.554482
6.902005,1.883916,4.649973,0.000000,10.495596,0.309452,2.079268,0.491373
6.851998,1.970461,4.660523,0.000000,10.595554,0.310482,2.110249,0.426786
6.799328,2.055413,4.669668,0.000000,10.695512,0.311756,2.141347,0.361207
6.744033,2.138688,4.677394,0.000000,10.795470,0.313239,2.172583,0.295564
6.686167,2.220177,4.683706,0.000000,10.895428,0.315092,2.203981,0.225927
6.625748,2.299826,4.688525,0.000000,10.995386,0.317062,2.235579,0.158908
6.562847,2.377504,4.691912,0.000000,11.095344,0.319396,2.267385,0.088271
6.497501,2.453132,4.693792,0.000000,11.195302,0.321686,2.299435,0.024470
6.429743,2.526635,4.694313,0.000000,11.295260,0.323501,2.331683,-0.022337
6.359671,2.597882,4.693837,0.000000,11.395218,0.325644,2.364117,-0.049150
6.287295,2.666847,4.692790,0.000000,11.495176,0.318855,2.396397,0.098146
6.212774,2.733456,4.694880,0.000000,11.595134,0.310882,2.427866,0.286509
6.136219,2.797718,4.700976,0.000000,11.695092,0.302196,2.458538,0.477982
