# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.067815,-0.085843,6.109433,-0.749886,0.000000,-0.180255,0.089551,-0.083593
0.048185,-0.075790,6.107839,-0.751550,0.099958,-0.180630,0.062595,-0.083459
0.164978,-0.069639,6.106241,-0.752716,0.199916,-0.180580,0.035576,-0.082650
0.282308,-0.067559,6.104652,-0.753302,0.299874,-0.180107,0.008587,-0.082461
0.398955,-0.069527,6.103076,-0.753290,0.399832,-0.179210,-0.018289,-0.082494
0.514588,-0.075289,6.101511,-0.752657,0.499790,-0.177886,-0.044954,-0.082467
0.742766,-0.097223,6.098412,-0.749094,0.599748,-0.173941,-0.097302,-0.082407
0.855201,-0.112952,6.096878,-0.746585,0.699706,-0.171309,-0.122802,-0.082364
0.966476,-0.131575,6.095354,-0.743463,0.799664,-0.168227,-0.147723,-0.082334
1.076548,-0.152884,6.093839,-0.739763,0.899622,-0.164688,-0.171952,-0.082337
1.185407,-0.176683,6.092333,-0.735513,0.999581,-0.160685,-0.195384,-0.082394
1.293091,-0.202802,6.090835,-0.730736,1.099539,-0.156209,-0.217916,0.071705
1.399569,-0.231057,6.092131,-0.725473,1.199497,-0.151256,-0.239429,0.315509
1.504860,-0.261283,6.097802,-0.719751,1.299455,-0.145818,-0.259808,0.567966
1.609000,-0.293328,6.107942,-0.713600,1.399413,-0.139927,-0.278892,0.828918
1.711944,-0.327016,6.122624,-0.707054,1.499371,-0.133604,-0.296683,1.099252
1.813786,-0.362217,6.141940,-0.700136,1.599329,-0.126859,-0.313220,1.380478
1.914510,-0.398774,6.165977,-0.692877,1.699287,-0.119709,-0.328521,1.674197
2.014158,-0.436549,6.194845,-0.685302,1.799245,-0.112157,-0.342601,1.982919
2.112788,-0.475415,6.228686,-0.677435,1.899203,-0.104211,-0.355477,2.309132
2.210385,-0.515218,6.267639,-0.669304,1.999161,-0.095875,-0.367160,2.656196
2.307032,-0.555847,6.311913,-0.660931,2.099119,-0.087150,-0.377661,3.027853
2.402756,-0.597167,6.361731,-0.652339,2.199077,-0.078039,-0.386993,3.428399
2.497611,-0.639062,6.417370,-0.643548,2.299035,-0.068538,-0.395159,1.103631
2.591650,-0.681419,6.435083,-0.634575,2.398993,-0.058650,-0.402164,-4.556104
2.684920,-0.724124,6.362039,-0.625436,2.498951,-0.048361,-0.408010,-5.268822
2.777460,-0.767062,6.276985,-0.616148,2.598909,-0.037680,-0.412698,-5.967600
2.869330,-0.810129,6.179769,-0.606729,2.698867,-0.026617,-0.416229,-6.641684
2.960558,-0.853208,6.070371,-0.597197,2.798826,-0.015180,-0.418602,-7.284392
3.051179,-0.896183,5.948802,-0.587571,2.898784,-0.003378,-0.419813,-7.643339
3.141287,-0.938970,5.819226,-0.577861,2.998742,0.008778,-0.419863,-7.155074
3.230868,-0.981433,5.696029,-0.568087,3.098700,0.021276,-0.418745,-6.706010
3.320011,-1.023489,5.578779,-0.558254,3.198658,0.034120,-0.416457,-6.295218
3.408747,-1.065026,5.467103,-0.548373,3.298616,0.047296,-0.412994,-5.925042
3.497089,-1.105928,5.360559,-0.538458,3.398574,0.060812,-0.408349,-5.572558
3.585152,-1.146127,5.258963,-0.528509,3.498532,0.074700,-0.402516,-5.255216
3.672890,-1.185481,5.161978,-0.518543,3.598490,0.088916,-0.395488,-4.955979
3.760394,-1.223913,5.069390,-0.508559,3.698448,0.103471,-0.387257,-4.671891
3.847677,-1.261313,4.981108,-0.498568,3.798406,0.118355,-0.377813,-4.392378
3.934745,-1.297569,4.897235,-0.488576,3.898364,0.133557,-0.367154,-4.119660
4.021686,-1.332607,4.817737,-0.478583,3.998322,0.149053,-0.355263,-3.864462
4.108453,-1.366296,4.742488,-0.468601,4.098280,0.164812,-0.342124,-3.617483
4.195103,-1.398554,4.671430,-0.458630,4.198238,0.180812,-0.327718,-3.380964
4.281632,-1.429271,4.604496,-0.448679,4.298196,0.196995,-0.312022,-3.154835
4.368037,-1.458344,4.541603,-0.438753,4.398154,0.213331,-0.295025,-2.935677
4.454350,-1.485684,4.482697,-0.428856,4.498112,0.229747,-0.276697,-2.725860
4.540553,-1.511187,4.427694,-0.418995,4.598071,0.246127,-0.257022,-2.524317
4.626629,-1.534757,4.376518,-0.409181,4.698029,0.262421,-0.235977,-2.331684
4.712553,-1.556293,4.329067,-0.399425,4.797987,0.278521,-0.213537,-2.143591
4.798305,-1.575698,4.285311,-0.389730,4.897945,0.294372,-0.189686,-1.967149
4.883734,-1.592847,4.245125,-0.380120,4.997903,0.309871,-0.164397,-1.796496
4.968818,-1.607635,4.208420,-0.370609,5.097861,0.324948,-0.137642,-1.635381
5.053443,-1.619942,4.175057,-0.361219,5.197819,0.339544,-0.109404,-1.481621
5.137581,-1.629672,4.144890,-0.351964,5.297777,0.353559,-0.079655,-1.333407
5.221169,-1.636724,4.117816,-0.342871,5.397735,0.366981,-0.048310,-1.195326
5.386218,-1.642407,4.072289,-0.326305,5.497693,0.391776,0.019304,-0.934342
5.467483,-1.640869,4.053597,-0.317698,5.597651,0.403201,0.055906,-0.811604
5.547771,-1.636310,4.037464,-0.309357,5.697609,0.413954,0.094368,-0.692478
5.626940,-1.628660,4.023799,-0.301337,5.797567,0.424065,0.134697,-0.578192
5.704797,-1.617869,4.012489,-0.293691,5.897525,0.433501,0.176764,-0.466599
5.781213,-1.603888,4.003445,-0.286481,5.997483,0.442297,0.220461,-0.358086
5.855978,-1.586689,3.996577,-0.279780,6.097441,0.450454,0.265628,-0.252587
5.928894,-1.566258,3.991788,-0.273663,6.197399,0.457952,0.312065,-0.150510
5.999720,-1.542604,3.988972,-0.268227,6.297357,0.464813,0.359632,-0.050747
6.068487,-1.515660,3.988032,-0.263541,6.397316,0.471007,0.408077,-0.035228
6.199223,-1.451996,3.986739,-0.256547,6.497274,0.481516,0.506858,-0.035631
6.261949,-1.414850,3.986087,-0.253450,6.597232,0.485837,0.556723,-0.035757
6.322927,-1.374204,3.985430,-0.250844,6.697190,0.489552,0.606667,-0.035693
6.382229,-1.330022,3.984768,-0.248611,6.797148,0.492676,0.656414,-0.035741
6.439636,-1.282510,3.984099,-0.246660,6.897106,0.495228,0.705794,-0.035701
6.495123,-1.231730,3.983425,-0.244884,6.997064,0.497192,0.754542,-0.035663
6.548537,-1.177862,3.982746,-0.243239,7.097022,0.498557,0.802472,-0.035692
6.648739,-1.061503,3.981371,-0.239927,7.196980,0.499524,0.895146,-0.035361
6.695314,-0.999382,3.980681,-0.238105,7.296938,0.499131,0.939637,-0.035349
6.739510,-0.934747,3.979986,-0.236407,7.396896,0.498160,0.982705,-0.035337
6.781193,-0.867861,3.979286,-0.234818,7.496854,0.496577,1.024397,-0.035324
6.820321,-0.798872,3.978582,-0.233327,7.596812,0.494329,1.064959,-0.035312
6.856933,-0.727792,3.977872,-0.231914,7.696770,0.491463,1.104413,-0.035299
6.890934,-0.654909,3.977159,-0.230554,7.796728,0.487960,1.142859,-0.035287
6.922401,-0.580176,3.976439,-0.229218,7.896686,0.483890,1.180336,-0.035274
6.977461,-0.426241,3.974989,-0.226343,7.996644,0.474164,1.252768,-0.013459
7.001106,-0.347162,3.974709,-0.224708,8.096602,0.468654,1.287845,0.080518
7.022145,-0.266953,3.976389,-0.223109,8.196561,0.462755,1.322237,0.172267
7.040637,-0.185574,3.980002,-0.221533,8.296519,0.456620,1.355982,0.259677
7.056535,-0.103373,3.985461,-0.219984,8.396477,0.450262,1.389157,0.343239
7.069873,-0.020387,3.992693,-0.218466,8.496435,0.443826,1.421815,0.421126
7.080645,0.063190,4.001572,-0.216979,8.596393,0.437506,1.453995,0.490856
7.088855,0.147233,4.011917,-0.215529,8.696351,0.431374,1.485773,0.552164
7.094499,0.231539,4.023529,-0.214133,8.796309,0.425578,1.517190,0.603443
7.097569,0.315993,4.036184,-0.212814,8.896267,0.420113,1.548315,0.645774
7.095973,0.485052,4.063817,-0.210229,8.996225,0.410522,1.609846,0.700682
7.091326,0.569605,4.078391,-0.208938,9.096183,0.406397,1.640363,0.714653
7.084132,0.653942,4.093196,-0.207769,9.196141,0.402789,1.670777,0.719303
7.074390,0.738055,4.108050,-0.206742,9.296099,0.399621,1.701141,0.716531
7.062117,0.821767,4.122780,-0.205873,9.396057,0.396966,1.731484,0.705497
7.047309,0.905136,4.137244,-0.205169,9.496015,0.394780,1.761843,0.687396
7.029988,0.988032,4.151291,-0.204644,9.595973,0.392964,1.792239,0.664458
7.010183,1.070322,4.164816,-0.204316,9.695931,0.391438,1.822709,0.638419
6.987890,1.152008,4.177776,-0.204204,9.795889,0.390077,1.853228,0.611749
6.963167,1.232869,4.190139,-0.204323,9.895847,0.388872,1.883841,0.584641
6.906419,1.392120,4.213161,-0.204941,9.995806,0.386497,1.945352,0.536932
6.874470,1.470255,4.223905,-0.205545,10.095764,0.385276,1.976342,0.516985
6.840144,1.547348,4.234221,-0.206435,10.195722,0.383962,2.007459,0.500680
6.803532,1.623168,4.244165,-0.207625,10.295680,0.382553,2.038780,0.487895
6.764593,1.697783,4.253830,-0.209132,10.395638,0.380968,2.070261,0.479846
6.723408,1.771007,4.263296,-0.210972,10.495596,0.379167,2.101949,0.477044
6.679997,1.842781,4.272672,-0.213160,10.595554,0.377107,2.133904,0.480000
6.634366,1.913060,4.282075,-0.215716,10.695512,0.374779,2.166275,0.488468
6.586641,1.981630,4.291594,-0.218655,10.795470,0.372176,2.199151,0.502323
6.536763,2.048545,4.301352,-0.221999,10.895428,0.369277,2.232476,0.521602
6.430933,2.176775,4.321934,-0.229238,10.995386,0.362640,2.300543,0.574472
6.375010,2.237996,4.332941,-0.233587,11.095344,0.358899,2.335062,0.607653
6.317290,2.297021,4.344504,-0.238399,11.195302,0.354856,2.369781,0.645638
6.257698,2.353888,4.356728,-0.243720,11.295260,0.350514,2.404563,0.688107
6.196484,2.408315,4.369646,-0.249575,11.395218,0.345864,2.439335,0.735307
6.133838,2.460069,4.383298,-0.256034,11.495176,0.340924,2.473971,0.786946
6.069801,2.509028,4.397746,-0.263249,11.595134,0.335701,2.508372,0.842874
6.003995,2.555426,4.413152,-0.271388,11.695092,0.330191,2.542445,0.902776
5.936154,2.599489,4.429669,-0.280490,11.795051,0.324426,2.576072,0.965729
5.866379,2.641175,4.447354,-0.290558,11.895009,0.318394,2.609196,1.032049
5.720335,2.718152,4.486778,-0.312266,11.994967,0.305620,2.673521,1.172326
5.644391,2.753456,4.508607,-0.324771,12.094925,0.298878,2.704576,1.246729
5.566687,2.786663,4.531914,-0.338017,12.194883,0.291937,2.734745,1.323465
5.487358,2.817802,4.556733,-0.351930,12.294841,0.284779,2.763980,1.403250
5.406548,2.846900,4.583107,-0.366434,12.394799,0.277455,2.792147,1.485268
5.324357,2.874004,4.611068,-0.381465,12.494757,0.269965,2.819118,1.569901
5.240917,2.899149,4.640643,-0.396945,12.594715,0.262306,2.844792,1.657634
5.156366,2.922367,4.671858,-0.412799,12.694673,0.254454,2.869198,1.749488
5.070752,2.943716,4.704784,-0.428967,12.794631,0.246390,2.892399,1.846373
4.984161,2.963247,4.739492,-0.445384,12.894589,0.238153,2.914385,1.947765
4.896661,2.981017,4.776044,-0.461987,12.994547,0.229732,2.935242,2.054463
4.808280,2.997094,4.814531,-0.478721,13.094505,0.221170,2.955000,2.165853
4.719104,3.011538,4.855000,-0.495518,13.194463,0.212510,2.973670,2.281449
4.629152,3.024421,4.897516,-0.512323,13.294421,0.203770,2.991272,2.401310
4.538480,3.035811,4.942120,-0.529072,13.394379,0.195005,3.007831,2.524610
4.447131,3.045781,4.988840,-0.545701,13.494337,0.186226,3.023362,2.651669
4.355112,3.054408,5.037725,-0.562156,13.594296,0.177462,3.037910,2.768360
4.262478,3.061769,5.088534,-0.578367,13.694254,0.168741,3.051521,2.884852
4.169233,3.067945,5.141240,-0.594277,13.794212,0.160114,3.064232,3.004632
4.075407,3.073018,5.195864,-0.609819,13.894170,0.151628,3.076086,3.126816
3.981019,3.077071,5.252410,-0.624929,13.994128,0.143293,3.087122,3.251579
3.886075,3.080191,5.310893,-0.639544,14.094086,0.135149,3.097380,3.378064
3.790596,3.082465,5.371297,-0.653596,14.194044,0.127206,3.106904,3.506406
3.694610,3.083980,5.433604,-0.667018,14.294002,0.119474,3.115731,3.636659
3.598194,3.084817,5.497758,-0.679747,14.393960,0.111976,3.123900,3.768451
3.598194,3.084817,5.497758,-0.680805,14.493918,0.111976,3.123900,3.768451
3.501364,3.085048,5.563735,-0.692691,14.593876,0.104716,3.131446,3.901891
3.404307,3.084736,5.631390,-0.703789,14.693834,0.097719,3.138405,4.036519
3.307120,3.083908,5.700630,-0.714100,14.793792,0.091007,3.144814,4.171625
3.209804,3.082591,5.771411,-0.723641,14.893750,0.084596,3.150708,4.306480
3.112357,3.080809,5.843683,-0.732429,14.993708,0.078471,3.156122,4.441634
3.014781,3.078588,5.917402,-0.740478,15.093666,0.072611,3.161091,4.577901
2.917107,3.075952,5.992517,-0.747804,15.193624,0.067011,3.165652,4.715361
2.819344,3.072920,6.068993,-0.754431,15.293582,0.061646,3.169837,4.855144
2.721493,3.069511,6.146822,-0.760385,15.393541,0.056504,3.173683,4.997768
2.623535,3.065745,6.226017,-0.765687,15.493499,0.051574,3.177223,5.143633
2.525469,3.061645,6.306583,-0.770364,15.593457,0.046846,3.180485,5.293222
2.427301,3.057234,6.388528,-0.774443,15.693415,0.042313,3.183494,5.446961
2.329032,3.052533,6.471867,-0.777953,15.793373,0.037969,3.186269,5.605133
