# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.016396,-0.583192,4.662097,0.000000,0.000000,-0.328243,0.103020,-0.048466
0.083022,-0.574575,4.661060,0.000000,0.099770,-0.339055,0.069730,-0.048444
0.182643,-0.569327,4.660023,0.000000,0.199540,-0.350507,0.035338,-0.048422
0.282385,-0.567559,4.658986,0.000000,0.299310,-0.347478,0.000154,-0.048422
0.382139,-0.569244,4.657949,0.000000,0.399080,-0.329949,-0.033639,-0.032972
0.481768,-0.574210,4.657243,0.000000,0.498850,-0.312701,-0.065689,0.439720
0.581215,-0.582287,4.666653,0.000000,0.598621,-0.297801,-0.096145,0.806972
0.680368,-0.593314,4.683874,0.000000,0.698391,-0.283159,-0.125123,1.140396
0.779169,-0.607137,4.708103,0.000000,0.798161,-0.268869,-0.152657,1.444424
0.877565,-0.623606,4.738613,0.000000,0.897931,-0.254650,-0.178772,1.732918
0.975513,-0.642569,4.774959,0.000000,0.997701,-0.240529,-0.203471,2.009661
1.072967,-0.663876,4.816767,0.000000,1.097471,-0.227607,-0.226821,2.246407
1.169928,-0.687395,4.863075,0.000000,1.197241,-0.214768,-0.248889,2.480167
1.266355,-0.712984,4.913694,0.000000,1.297011,-0.202253,-0.269686,2.706103
1.362244,-0.740513,4.968336,0.000000,1.396781,-0.189960,-0.289250,2.929769
1.457616,-0.769861,5.026825,0.000000,1.496551,-0.177750,-0.307595,3.146560
1.552418,-0.800884,5.088893,0.000000,1.596321,-0.165813,-0.324730,3.350305
1.646721,-0.833481,5.154159,0.000000,1.696091,-0.153935,-0.340681,3.564626
1.740503,-0.867519,5.222704,0.000000,1.795862,-0.142201,-0.355452,3.788287
1.833790,-0.902883,5.294578,0.000000,1.895632,-0.130565,-0.369058,4.024941
1.926628,-0.939467,5.369888,0.000000,1.995402,-0.118970,-0.381508,4.278835
2.018999,-0.977140,5.448807,0.000000,2.095172,-0.107310,-0.392794,4.556889
2.110978,-1.015806,5.531616,0.000000,2.194942,-0.095694,-0.402921,4.857614
2.202582,-1.055349,5.618547,0.000000,2.294712,-0.084299,-0.411896,5.176443
2.293847,-1.095659,5.709726,0.000000,2.394482,-0.073066,-0.419746,5.519111
2.384817,-1.136634,5.805365,0.000000,2.494252,-0.061854,-0.426477,5.896142
2.475535,-1.178170,5.905826,0.000000,2.594022,-0.050656,-0.432090,6.312897
2.566036,-1.220162,6.011527,0.000000,2.693792,-0.039464,-0.436585,6.776036
2.656378,-1.262514,6.122952,0.000000,2.793562,-0.028081,-0.439959,7.304159
2.746600,-1.305117,6.240835,0.000000,2.893333,-0.016548,-0.442185,6.673441
2.836735,-1.347862,6.346624,0.000000,2.993103,-0.004997,-0.443261,-8.685777
2.926881,-1.390667,6.208581,0.000000,3.092873,0.006681,-0.443177,-8.050638
3.017027,-1.433397,6.077833,0.000000,3.192643,0.018379,-0.441927,-7.487142
3.107265,-1.475970,5.953660,0.000000,3.292413,0.030172,-0.439506,-6.985709
3.197632,-1.518270,5.835421,0.000000,3.392183,0.042045,-0.435904,-6.539778
3.288146,-1.560178,5.722516,0.000000,3.491953,0.053957,-0.431117,-6.136177
3.378933,-1.601620,5.614514,0.000000,3.591723,0.066040,-0.425129,-5.775889
3.469952,-1.642445,5.510921,0.000000,3.691493,0.078151,-0.417938,-5.449920
3.561304,-1.682567,5.411356,0.000000,3.791263,0.090385,-0.409532,-5.155445
3.653015,-1.721863,5.315454,0.000000,3.891033,0.102720,-0.399899,-4.891659
3.745096,-1.760207,5.222832,0.000000,3.990804,0.115092,-0.389036,-4.651297
3.837654,-1.797507,5.133210,0.000000,4.090574,0.127622,-0.376926,-4.436940
3.930647,-1.833613,5.046236,0.000000,4.190344,0.140175,-0.363569,-4.226974
4.024147,-1.868419,4.961960,0.000000,4.290114,0.152929,-0.348951,-4.017907
4.118168,-1.901796,4.880504,0.000000,4.389884,0.165820,-0.333051,-3.828990
4.212717,-1.933608,4.801591,0.000000,4.489654,0.178678,-0.315866,-3.660551
4.307831,-1.963734,4.724918,0.000000,4.589424,0.191446,-0.297403,-3.507525
4.403498,-1.992037,4.650265,0.000000,4.689194,0.204259,-0.277664,-3.359689
4.499715,-2.018382,4.577616,0.000000,4.788964,0.217457,-0.256635,-3.221243
4.596486,-2.042635,4.506861,0.000000,4.888734,0.230870,-0.234271,-3.086365
4.693799,-2.064655,4.438012,0.000000,4.988504,0.244704,-0.210565,-2.904466
4.791589,-2.084283,4.372229,0.000000,5.088274,0.260939,-0.185348,-2.733566
4.889901,-2.101368,4.309401,0.000000,5.188045,0.277214,-0.158497,-2.569685
4.988611,-2.115721,4.249491,0.000000,5.287815,0.293633,-0.130030,-2.407134
5.087714,-2.127179,4.192596,0.000000,5.387585,0.310377,-0.099902,-2.248895
5.187153,-2.135565,4.138733,0.000000,5.487355,0.327246,-0.068085,-2.092250
5.286755,-2.140698,4.087985,0.000000,5.587125,0.344286,-0.034600,-1.931281
5.386530,-2.142407,4.040576,0.000000,5.686895,0.361683,0.000625,-1.773368
5.486263,-2.140517,3.996548,0.000000,5.786665,0.378984,0.037569,-1.603618
5.585865,-2.134856,3.956313,0.000000,5.886435,0.396794,0.076263,-1.422505
5.685192,-2.125255,3.920276,0.000000,5.986205,0.414929,0.116770,-1.229112
5.783995,-2.111557,3.888870,0.000000,6.085975,0.433241,0.159066,-1.002290
5.882142,-2.093596,3.863070,0.000000,6.185745,0.452553,0.203253,-0.755065
5.979377,-2.071223,3.843520,0.000000,6.285516,0.471832,0.249375,-0.454418
6.075442,-2.044299,3.831706,0.000000,6.385286,0.492360,0.297463,-0.119274
6.170066,-2.012692,3.828599,0.000000,6.485056,0.512529,0.347654,-0.032685
6.262990,-1.976278,3.827747,0.000000,6.584826,0.527797,0.399554,-0.032671
6.353797,-1.935053,3.826896,0.000000,6.684596,0.545297,0.453051,-0.032656
