# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.096461,0.162411,5.838573,-0.749884,0.000000,-0.206139,0.102950,-0.076345
0.019887,0.174149,5.837044,-0.751303,0.099770,-0.206634,0.072832,-0.076232
0.137108,0.181648,5.835509,-0.752115,0.199540,-0.206698,0.042607,-0.075616
0.254939,0.184727,5.833982,-0.752290,0.299310,-0.206329,0.012378,-0.075480
0.372320,0.183370,5.832463,-0.751858,0.399080,-0.205530,-0.017770,-0.075424
0.488946,0.177771,5.830953,-0.750830,0.498850,-0.204296,-0.047740,-0.075351
0.719274,0.154701,5.827961,-0.746838,0.598621,-0.200522,-0.106778,-0.075290
0.832730,0.137685,5.826478,-0.744298,0.698391,-0.197973,-0.135658,-0.075257
0.944952,0.117306,5.825005,-0.741228,0.798161,-0.194973,-0.163983,-0.075223
1.055884,0.093777,5.823540,-0.737658,0.897931,-0.191517,-0.191648,-0.075198
1.165485,0.067304,5.822084,-0.733617,0.997701,-0.187598,-0.218545,-0.075159
1.273738,0.038083,5.820637,-0.729129,1.097471,-0.183207,-0.244566,-0.075262
1.380617,0.006306,5.819195,-0.724225,1.197241,-0.178344,-0.269593,0.130576
1.486115,-0.027839,5.821682,-0.718931,1.297011,-0.172999,-0.293507,0.383308
1.590239,-0.064175,5.828939,-0.713273,1.396781,-0.167204,-0.316144,0.638927
1.692984,-0.102523,5.840948,-0.707278,1.496551,-0.160974,-0.337488,0.898800
1.794388,-0.142722,5.857709,-0.700966,1.596321,-0.154322,-0.357541,1.164633
1.894463,-0.184605,5.879239,-0.694361,1.696091,-0.147268,-0.376309,1.437946
1.993230,-0.228010,5.905566,-0.687485,1.795862,-0.139819,-0.393805,1.721085
2.090734,-0.272785,5.936753,-0.680361,1.895632,-0.131989,-0.410039,2.016247
2.187007,-0.318777,5.972878,-0.673009,1.995402,-0.123783,-0.425023,2.326215
2.282114,-0.365853,6.014066,-0.665446,2.095172,-0.115209,-0.438764,2.654125
2.376098,-0.413871,6.060464,-0.657687,2.194942,-0.106273,-0.451271,3.003488
2.469018,-0.462705,6.112265,-0.649744,2.294712,-0.096972,-0.462550,3.378768
2.560936,-0.512230,6.169712,-0.641629,2.394482,-0.087312,-0.472605,3.784609
2.651892,-0.562314,6.233080,-0.633357,2.494252,-0.077282,-0.481442,4.227537
2.741953,-0.612840,6.302730,-0.624940,2.594022,-0.066890,-0.489064,4.713872
2.831175,-0.663687,6.379073,-0.616391,2.693792,-0.056148,-0.495475,5.250914
2.919621,-0.714742,6.462589,-0.607723,2.793562,-0.045064,-0.500675,-0.799041
3.007350,-0.765890,6.450021,-0.598943,2.893333,-0.033655,-0.504668,-6.768665
3.094433,-0.817026,6.343160,-0.590058,2.993103,-0.021933,-0.507457,-7.633809
3.180921,-0.868038,6.221145,-0.581075,3.092873,-0.009912,-0.509043,-8.438445
3.266883,-0.918823,6.084210,-0.571998,3.192643,0.002398,-0.509427,-8.242204
3.352378,-0.969277,5.948206,-0.562831,3.292413,0.014981,-0.508611,-7.659738
3.437458,-1.019293,5.819729,-0.553579,3.392183,0.027828,-0.506592,-7.131056
3.522203,-1.068784,5.698210,-0.544240,3.491953,0.040945,-0.503370,-6.656789
3.606644,-1.117636,5.583081,-0.534819,3.591723,0.054296,-0.498944,-6.223843
3.690848,-1.165759,5.473897,-0.525313,3.691493,0.067901,-0.493316,-5.827022
3.774862,-1.213051,5.370287,-0.515725,3.791263,0.081768,-0.486486,-5.465285
3.858720,-1.259407,5.271873,-0.506055,3.891033,0.095885,-0.478456,-5.127553
3.942498,-1.304746,5.178392,-0.496300,3.990804,0.110250,-0.469224,-4.816908
4.026214,-1.348960,5.089565,-0.486462,4.090574,0.124839,-0.458785,-4.526778
4.109918,-1.391959,5.005169,-0.476536,4.190344,0.139634,-0.447136,-4.229870
4.193633,-1.433641,4.925502,-0.466525,4.290114,0.154600,-0.434264,-3.949476
4.277372,-1.473901,4.850428,-0.456429,4.389884,0.169706,-0.420159,-3.680001
