# s_m, x_opt_m, y_opt_m, d_opt_m, x_left_m, y_left_m, d_left_m, x_right_m, y_right_m, d_right_m, v_opt_mps, v_left_mps, v_right_mps, kappa_opt_radpm, kappa_left_radpm, kappa_right_radpm, psi_opt_rad, psi_left_rad, psi_right_rad, ax_opt_mps2, ax_left_mps2, ax_right_mps2
0.000000,0.005518,-0.832208,0.000000,0.035023,-1.080541,0.249933,-0.067815,-0.085843,-0.749886,4.869021,5.390319,6.109433,-0.311295,-0.249381,-0.180255,0.084031,0.095486,0.089551,-0.052863,-0.064340,-0.083593
0.099958,0.105267,-0.825372,0.000000,0.117858,-1.073360,0.248306,0.048185,-0.075790,-0.751550,4.867935,5.389327,6.107839,-0.314029,-0.250110,-0.180630,0.052774,0.065325,0.062595,-0.052840,-0.064459,-0.083459
0.199916,0.205145,-0.821672,0.000000,0.200308,-1.069015,0.247184,0.164978,-0.069639,-0.752716,4.866850,5.388339,6.106241,-0.317278,-0.250092,-0.180580,0.021228,0.035014,0.035576,-0.052816,-0.064770,-0.082650
0.299874,0.305091,-0.821135,0.000000,0.282462,-1.067559,0.246644,0.282308,-0.067559,-0.753302,4.865765,5.387351,6.104652,-0.305796,-0.249321,-0.180107,-0.010279,0.004744,0.008587,-0.052816,-0.064746,-0.082461
0.399832,0.405017,-0.823646,0.000000,0.365323,-1.068961,0.246692,0.398955,-0.069527,-0.753290,4.864680,5.386355,6.103076,-0.279849,-0.247801,-0.179210,-0.039549,-0.025291,-0.018289,0.450903,-0.064722,-0.082494
0.499790,0.504814,-0.828951,0.000000,0.448947,-1.073132,0.247343,0.514588,-0.075289,-0.752657,4.873936,5.385349,6.101511,-0.254325,-0.245535,-0.177886,-0.066225,-0.054906,-0.044954,1.103980,-0.064698,-0.082467
0.599748,0.604467,-0.836811,0.000000,0.617970,-1.089405,0.250323,0.742766,-0.097223,-0.749094,4.896525,5.383309,6.098412,-0.240784,-0.238757,-0.173941,-0.090972,-0.112092,-0.097302,1.397163,-0.064649,-0.082407
0.699706,0.703892,-0.847066,0.000000,0.703136,-1.101323,0.252682,0.855201,-0.112952,-0.746585,4.924964,5.382276,6.096878,-0.227315,-0.234247,-0.171309,-0.114365,-0.139330,-0.122802,1.678253,-0.064624,-0.082364
0.799664,0.803048,-0.859576,0.000000,0.788654,-1.115637,0.255640,0.966476,-0.131575,-0.743463,4.958909,5.381235,6.095354,-0.214066,-0.228987,-0.168227,-0.136419,-0.165452,-0.147723,1.946701,-0.064599,-0.082334
0.899622,0.901919,-0.874205,0.000000,0.874478,-1.132255,0.259164,1.076548,-0.152884,-0.739763,4.997996,5.380185,6.093839,-0.200819,-0.222986,-0.164688,-0.157154,-0.190338,-0.171952,2.212012,0.135028,-0.082337
0.999581,1.000500,-0.890820,0.000000,0.960526,-1.151070,0.263225,1.185407,-0.176683,-0.735513,5.042041,5.382395,6.092333,-0.187629,-0.216244,-0.160685,-0.176565,-0.213867,-0.195384,2.458980,0.362089,-0.082394
1.099539,1.098699,-0.909274,0.000000,1.046764,-1.171989,0.267799,1.293091,-0.202802,-0.730736,5.090557,5.388362,6.090835,-0.176497,-0.208769,-0.156209,-0.194756,-0.235953,-0.217916,2.646608,0.600890,0.071705
1.199497,1.196612,-0.929468,0.000000,1.133140,-1.194911,0.272855,1.399569,-0.231057,-0.725473,5.142263,5.398318,6.092131,-0.165410,-0.200570,-0.151256,-0.211847,-0.256729,-0.239429,2.838562,0.851978,0.315509
1.299455,1.294152,-0.951273,0.000000,1.219627,-1.219742,0.278364,1.504860,-0.261283,-0.719751,5.197147,5.412501,6.097802,-0.154665,-0.191623,-0.145818,-0.227836,-0.276247,-0.259808,3.027035,1.117345,0.567966
1.399413,1.391341,-0.974582,0.000000,1.306233,-1.246393,0.284300,1.609000,-0.293328,-0.713600,5.255045,5.431175,6.107942,-0.144170,-0.181982,-0.139927,-0.242769,-0.294528,-0.278892,3.216252,1.396581,0.828918
