# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.046815,-0.961636,5.304642,0.199746,0.000000,-0.255489,0.197194,-0.062561
0.036095,-0.946006,5.303647,0.197276,0.099851,-0.257822,0.167029,-0.062616
0.119223,-0.933142,5.302653,0.195698,0.199703,-0.259317,0.136576,-0.062931
0.202585,-0.923068,5.301657,0.195055,0.299554,-0.259974,0.106023,-0.062703
0.286539,-0.915734,5.300660,0.195348,0.399405,-0.259788,0.075532,-0.062679
0.371005,-0.911102,5.299660,0.196567,0.499257,-0.258751,0.045279,-0.062656
0.541541,-0.909767,5.297643,0.201381,0.599108,-0.254147,-0.013741,-0.062608
0.627461,-0.912956,5.296627,0.205132,0.698959,-0.250580,-0.042235,-0.062584
0.713756,-0.918635,5.295605,0.209795,0.798811,-0.246171,-0.069889,-0.062560
0.800305,-0.926734,5.294578,0.215336,0.898662,-0.240933,-0.096612,-0.062535
0.887182,-0.937195,5.293544,0.221724,0.998513,-0.234880,-0.122301,0.104870
0.974219,-0.949932,5.295287,0.228910,1.098365,-0.228041,-0.146888,0.354137
1.061445,-0.964878,5.301202,0.236863,1.198216,-0.220442,-0.170376,0.614158
1.148822,-0.981953,5.311506,0.245547,1.298067,-0.212109,-0.192746,0.884986
1.236272,-1.001065,5.326400,0.254919,1.397919,-0.203096,-0.213989,1.166173
1.323887,-1.022156,5.346094,0.264956,1.497770,-0.193450,-0.234079,1.457868
1.411551,-1.045115,5.370749,0.275609,1.597621,-0.183249,-0.253011,1.759531
1.499322,-1.069870,5.400543,0.286841,1.697473,-0.172568,-0.270766,2.071059
1.587190,-1.096328,5.435620,0.298598,1.797324,-0.161486,-0.287326,2.392504
1.675132,-1.124385,5.476100,0.310822,1.897176,-0.150085,-0.302690,2.724188
1.763232,-1.153971,5.522139,0.323463,1.997027,-0.138430,-0.316831,3.067161
1.851436,-1.184965,5.573825,0.336447,2.096878,-0.126604,-0.329746,3.422049
1.939816,-1.217285,5.631303,0.349720,2.196730,-0.114685,-0.341426,3.789829
2.028383,-1.250824,5.694682,0.363216,2.296581,-0.102744,-0.351857,4.171779
2.117158,-1.285474,5.764072,0.376870,2.396432,-0.090848,-0.361045,4.569595
2.206207,-1.321143,5.839626,0.390622,2.496284,-0.079048,-0.368981,4.985743
2.295541,-1.357712,5.921466,0.404401,2.596135,-0.067384,-0.375669,5.423485
2.385211,-1.395078,6.009782,0.418143,2.695986,-0.055892,-0.381114,5.886493
2.475266,-1.433131,6.104790,0.431780,2.795838,-0.044598,-0.385319,6.379371
2.565744,-1.471756,6.206741,0.445242,2.895689,-0.033527,-0.388296,6.907527
2.656672,-1.510830,6.315923,0.458461,2.995540,-0.022698,-0.390057,7.477389
2.748142,-1.550259,6.432766,0.471380,3.095392,-0.012101,-0.390622,8.098207
2.840100,-1.589885,6.557612,0.483923,3.195243,-0.001745,-0.390005,8.779991
2.932679,-1.629631,6.691145,0.496047,3.295094,0.008377,-0.388243,2.494058
