# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.089909,-0.766375,5.251377,0.000000,0.000000,-0.256018,0.171040,-0.061492
0.008706,-0.750636,5.250208,0.000000,0.099851,-0.255319,0.145509,-0.061464
0.107671,-0.737419,5.249038,0.000000,0.199703,-0.254783,0.120044,-0.061437
0.206930,-0.726722,5.247870,0.000000,0.299554,-0.250151,0.094736,-0.061437
0.306431,-0.718505,5.246701,0.000000,0.399405,-0.241379,0.070197,0.083387
0.406124,-0.712687,5.248287,0.000000,0.499257,-0.232453,0.046534,0.403655
0.505874,-0.709182,5.255961,0.000000,0.599108,-0.220855,0.023912,0.796312
0.605729,-0.707876,5.271068,0.000000,0.698959,-0.209378,0.002430,1.157199
0.705565,-0.708659,5.292944,0.000000,0.798811,-0.200033,-0.017961,1.417684
0.805357,-0.711436,5.319621,0.000000,0.898662,-0.192413,-0.037550,1.601264
0.905147,-0.716133,5.349593,0.000000,0.998513,-0.184739,-0.056391,1.781416
1.004714,-0.722661,5.382741,0.000000,1.098365,-0.176441,-0.074410,1.982377
1.104248,-0.730949,5.419390,0.000000,1.198216,-0.168220,-0.091621,2.177459
1.203597,-0.740906,5.459361,0.000000,1.298067,-0.159813,-0.108004,2.379319
1.302761,-0.752445,5.502707,0.000000,1.397919,-0.151270,-0.123531,2.587674
1.401819,-0.765491,5.549464,0.000000,1.497770,-0.142888,-0.138224,2.791619
1.500569,-0.779935,5.599468,0.000000,1.597621,-0.135924,-0.152136,2.937464
1.599184,-0.795728,5.651607,0.000000,1.697473,-0.129059,-0.165367,3.084733
1.697576,-0.812790,5.705847,0.000000,1.797324,-0.122494,-0.177922,3.224959
1.795736,-0.831051,5.762007,0.000000,1.897176,-0.116201,-0.189837,3.359787
1.893712,-0.850457,5.819938,0.000000,1.997027,-0.109996,-0.201133,3.498665
1.991440,-0.870931,5.879658,0.000000,2.096878,-0.103372,-0.211784,3.667865
2.088956,-0.892414,5.941621,0.000000,2.196730,-0.096830,-0.221779,3.843073
2.186275,-0.914842,6.005858,0.000000,2.296581,-0.090288,-0.231124,4.029680
2.283384,-0.938146,6.072485,0.000000,2.396432,-0.083730,-0.239813,4.229770
2.380247,-0.962249,6.141642,0.000000,2.496284,-0.077228,-0.247846,4.440651
2.477018,-0.987124,6.213419,0.000000,2.596135,-0.070726,-0.255238,4.667072
2.573531,-1.012660,6.287973,0.000000,2.695986,-0.064244,-0.261975,4.909545
2.669904,-1.038821,6.365458,0.000000,2.795838,-0.057644,-0.268064,5.178861
2.766153,-1.065545,6.446184,0.000000,2.895689,-0.050889,-0.273485,5.480582
2.862138,-1.092722,6.530526,0.000000,2.995540,-0.044117,-0.278224,5.808873
2.958204,-1.120378,6.618747,0.000000,3.095392,-0.037102,-0.282284,6.183879
3.054024,-1.148349,6.711390,0.000000,3.195243,-0.030048,-0.285636,6.596248
3.149794,-1.176617,6.808821,0.000000,3.295094,-0.023155,-0.288287,6.762185
3.245546,-1.205121,6.907277,0.000000,3.394946,-0.016433,-0.290265,-7.715147
3.341062,-1.233726,6.794831,0.000000,3.494797,-0.009646,-0.291566,-8.329830
3.436826,-1.262504,6.671300,0.000000,3.594648,-0.002082,-0.292153,-8.702972
3.532398,-1.291245,6.539743,0.000000,3.694500,0.005567,-0.291980,-8.187017
3.628036,-1.319949,6.413522,0.000000,3.794351,0.013653,-0.291030,-7.705251
3.723749,-1.348532,6.292417,0.000000,3.894202,0.022152,-0.289242,-7.273470
3.819372,-1.376859,6.175919,0.000000,3.994054,0.030736,-0.286606,-6.878862
3.915307,-1.404958,6.063683,0.000000,4.093905,0.039523,-0.283095,-6.524868
4.011186,-1.432629,5.955268,0.000000,4.193756,0.048372,-0.278710,-6.195901
4.107267,-1.459857,5.850460,0.000000,4.293608,0.057502,-0.273428,-5.894593
4.203501,-1.486532,5.748975,0.000000,4.393459,0.066809,-0.267221,-5.620022
4.299829,-1.512543,5.650520,0.000000,4.493310,0.076259,-0.260089,-5.350209
4.396470,-1.537850,5.555171,0.000000,4.593162,0.086289,-0.251969,-5.111153
4.493235,-1.562300,5.462529,0.000000,4.693013,0.096288,-0.242858,-4.898176
4.590285,-1.585832,5.372247,0.000000,4.792864,0.106305,-0.232743,-4.708614
4.687566,-1.608330,5.284006,0.000000,4.892716,0.116358,-0.221627,-4.541739
4.785077,-1.629690,5.197472,0.000000,4.992567,0.126427,-0.209509,-4.399414
4.882874,-1.649824,5.112254,0.000000,5.092418,0.136424,-0.196385,-4.283953
4.980936,-1.668623,5.027885,0.000000,5.192270,0.146249,-0.182271,-4.074282
5.079205,-1.685974,4.946310,0.000000,5.292121,0.158932,-0.167058,-3.872368
5.177805,-1.701776,4.867511,0.000000,5.391972,0.171673,-0.150548,-3.670777
5.276636,-1.715882,4.791617,0.000000,5.491824,0.184980,-0.132768,-3.457069
5.375689,-1.728157,4.719026,0.000000,5.591675,0.199248,-0.113592,-3.260605
5.475109,-1.738474,4.649522,0.000000,5.691527,0.213441,-0.092965,-3.084626
5.574509,-1.746652,4.582799,0.000000,5.791378,0.227382,-0.070982,-2.922008
5.674232,-1.752582,4.518685,0.000000,5.891229,0.241276,-0.047571,-2.767519
5.773993,-1.756104,4.457111,0.000000,5.991081,0.255276,-0.022791,-2.617911
5.873812,-1.757084,4.398071,0.000000,6.090932,0.269465,0.003400,-2.479134
5.973740,-1.755375,4.341422,0.000000,6.190783,0.283565,0.031040,-2.357682
6.073383,-1.750847,4.286853,0.000000,6.290635,0.297268,0.060007,-2.238254
6.173017,-1.743351,4.234397,0.000000,6.390486,0.311183,0.090404,-2.128893
6.272267,-1.732775,4.183895,0.000000,6.490337,0.324929,0.122154,-2.020859
6.371146,-1.718981,4.135385,0.000000,6.590189,0.338859,0.155288,-1.917951
6.469584,-1.701835,4.088812,0.000000,6.690040,0.352765,0.189853,-1.834411
6.567207,-1.681265,4.043767,0.000000,6.789891,0.365961,0.225702,-1.744817
6.664154,-1.657108,4.000450,0.000000,6.889743,0.379637,0.262948,-1.660233
6.760019,-1.629321,3.958794,0.000000,6.989594,0.393215,0.301522,-1.567423
6.854748,-1.597783,3.919060,0.000000,7.089445,0.407314,0.341482,-1.477187
6.948174,-1.562396,3.881241,0.000000,7.189297,0.421326,0.382898,-1.419252
7.039925,-1.523157,3.844555,0.000000,7.289148,0.433711,0.425555,-1.344970
7.129983,-1.479939,3.809463,0.000000,7.388999,0.447046,0.469542,-1.241476
7.217970,-1.432770,3.776782,0.000000,7.488851,0.461899,0.514897,-1.102076
7.303698,-1.381589,3.747532,0.000000,7.588702,0.478420,0.561833,-0.952046
7.386912,-1.326351,3.722079,0.000000,7.688553,0.494961,0.610485,-0.841800
7.467265,-1.267096,3.699427,0.000000,7.788405,0.508608,0.660571,-0.685708
7.544512,-1.203831,3.680873,0.000000,7.888256,0.524157,0.712121,-0.505113
