# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.237954,-0.031063,6.039769,-0.749781,0.000000,-0.185230,0.190489,-0.081459
-0.124626,-0.009700,6.038213,-0.752439,0.099851,-0.186557,0.162971,-0.081413
-0.010485,0.007962,6.036656,-0.754166,0.199703,-0.187412,0.135251,-0.081052
0.104348,0.021839,6.035103,-0.754908,0.299554,-0.187793,0.107427,-0.080928
0.219294,0.031883,6.033555,-0.754652,0.399405,-0.187701,0.079598,-0.080934
0.334105,0.038181,6.032013,-0.753405,0.499257,-0.187136,0.051846,-0.080748
0.562836,0.039994,6.028949,-0.747600,0.599108,-0.184583,-0.003014,-0.080699
0.676427,0.035782,6.027427,-0.743484,0.698959,-0.182588,-0.029939,-0.080607
0.789366,0.028351,6.025914,-0.738396,0.798811,-0.180112,-0.056381,-0.080672
0.901505,0.017861,6.024406,-0.732392,0.898662,-0.177157,-0.082216,-0.080502
1.012923,0.004447,6.022906,-0.725508,0.998513,-0.173729,-0.107338,-0.080531
1.123384,-0.011716,6.021413,-0.717799,1.098365,-0.169830,-0.131670,-0.080465
1.232939,-0.030485,6.019927,-0.709301,1.198216,-0.165472,-0.155106,-0.080541
1.341516,-0.051701,6.018447,-0.700056,1.298067,-0.160662,-0.177571,0.163078
1.449033,-0.075197,6.021428,-0.690110,1.397919,-0.155423,-0.198964,0.435907
1.555582,-0.100843,6.029357,-0.679494,1.497770,-0.149779,-0.219247,0.711327
1.661010,-0.128453,6.042201,-0.668271,1.597621,-0.143736,-0.238405,0.991467
1.765396,-0.157892,6.059971,-0.656496,1.697473,-0.137329,-0.256403,1.276937
1.868702,-0.188996,6.082663,-0.644233,1.797324,-0.130571,-0.273237,1.569804
1.970911,-0.221604,6.110288,-0.631554,1.897176,-0.123477,-0.288891,1.872092
2.072108,-0.255587,6.142907,-0.618518,1.997027,-0.116073,-0.303354,2.185468
2.172229,-0.290766,6.180547,-0.605205,2.096878,-0.108357,-0.316622,2.513450
2.271357,-0.327015,6.223322,-0.591673,2.196730,-0.100361,-0.328681,2.857746
2.369497,-0.364178,6.271326,-0.577993,2.296581,-0.092096,-0.339530,3.221795
2.466677,-0.402107,6.324691,-0.564235,2.396432,-0.083574,-0.349162,3.609206
2.562969,-0.440676,6.383610,-0.550460,2.496284,-0.074817,-0.357573,4.023466
2.658386,-0.479736,6.448266,-0.536741,2.596135,-0.065838,-0.364763,4.469328
2.752990,-0.519157,6.518914,-0.523143,2.695986,-0.056661,-0.370731,4.951423
2.846833,-0.558810,6.595840,-0.509730,2.795838,-0.047308,-0.375482,5.475384
2.939958,-0.598564,6.679367,-0.496568,2.895689,-0.037802,-0.379023,6.047747
3.032421,-0.638298,6.769876,-0.483716,2.995540,-0.028167,-0.381359,-0.553569
3.124325,-0.677914,6.761688,-0.471225,3.095392,-0.018447,-0.382512,-7.604541
3.215635,-0.717261,6.648927,-0.459159,3.195243,-0.008654,-0.382489,-8.404599
3.306516,-0.756277,6.522711,-0.447551,3.295094,0.001180,-0.381312,-8.315243
3.396977,-0.794842,6.396120,-0.436457,3.394946,0.011027,-0.379010,-7.760401
3.487023,-0.832835,6.276421,-0.425928,3.494797,0.020885,-0.375594,-7.234475
3.576862,-0.870226,6.163237,-0.415988,3.594648,0.030704,-0.371115,-6.806334
3.666283,-0.906815,6.055598,-0.406698,3.694500,0.040501,-0.365585,-6.395199
3.755607,-0.942631,5.953097,-0.398056,3.794351,0.050261,-0.359043,-6.031148
3.844761,-0.977543,5.855291,-0.390094,3.894202,0.059972,-0.351540,-5.725544
3.933730,-1.011455,5.761436,-0.382827,3.994054,0.069662,-0.343092,-5.404362
4.022838,-1.044404,5.671620,-0.376238,4.093905,0.079301,-0.333766,-5.169149
4.111647,-1.076151,5.585001,-0.370360,4.193756,0.088911,-0.323588,-4.921336
4.200655,-1.106805,5.501423,-0.365154,4.293608,0.098487,-0.312594,-4.700652
4.289710,-1.136244,5.420688,-0.360619,4.393459,0.108028,-0.300830,-4.527619
4.378713,-1.164379,5.342154,-0.356741,4.493310,0.117552,-0.288312,-4.325614
4.468072,-1.191282,5.266049,-0.353476,4.593162,0.127047,-0.275075,-4.191811
4.557241,-1.216740,5.191709,-0.350812,4.693013,0.136542,-0.261132,-4.046084
4.646709,-1.240851,5.118986,-0.348694,4.792864,0.146031,-0.246523,-3.909056
4.736374,-1.263541,5.047862,-0.347084,4.892716,0.155544,-0.231238,-3.805651
4.825999,-1.284717,4.977948,-0.345940,4.992567,0.165085,-0.215314,-3.660409
4.915996,-1.304444,4.909733,-0.345204,5.092418,0.174660,-0.198765,-3.547097
